cell_id,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,dry_generated_per_cell,l1_generated_per_cell,l1_strict_replay_per_cell,l1_deep_audit_per_cell,l2_generated_per_cell,l3_generated_per_cell
C0044,H01_cross_symbol_relative_strength,P0_price_return,RollingMinRank,H72,cross_symbol_rank,FundingCore,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0045,H07_taker_flow_lag_stable,P15_open_ast_diverse,RollingMaxRank,H48,cross_symbol_zscore,FundingCore_and_Core4,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0046,H01_cross_symbol_relative_strength,P8_regime_state,MulRankZScore,H6,same_symbol_zscore,FundingCore,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0047,H05_volatility_structure_ex_liquidity_mul,P6_funding_observable,AbsZScore,mixed_6_24,same_symbol_rank,none,low_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0048,H05_volatility_structure_ex_liquidity_mul,P7_cross_symbol_relative,DecayZScore,spread_12_vs_48,cross_symbol_rank,FundingCore,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0049,H11_regime_conditional_non_may,P4_taker_flow,RollingMinRank,H72,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0050,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,ZScore,spread_6_vs_24,cross_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0051,H03_basis_premium_residual,P6_funding_observable,Rank,H72,cross_symbol_rank,none,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0052,H10_range_breakout_failure,P6_funding_observable,AbsZScore,spread_6_vs_24,cross_symbol_zscore,none,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0053,H00_low_turnover_robust,P4_taker_flow,MulRankRank,H12,same_symbol_zscore,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0054,H01_cross_symbol_relative_strength,P1_range_volatility,SafeDivZScore,H6,cross_symbol_rank,Core4,low_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0055,H00_low_turnover_robust,P0_price_return,DecayZScore,H6,same_symbol_zscore,FundingCore,medium_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0056,H00_low_turnover_robust,P14_horizon_spread,MulRankZScore,H12,cross_symbol_rank,Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0057,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,AbsZScore,H12,cross_symbol_rank,none,low_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0058,H11_regime_conditional_non_may,P13_trade_size_volatility,MulRankRank,spread_6_vs_24,cross_symbol_zscore,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0059,H12_horizon_ensemble_stability,P14_horizon_spread,SmoothInteraction,H24,same_symbol_zscore,FundingCore_and_Core4,lag_stable,F1_high_realized_vol,512,2048,24,3,4096,8192
C0060,H13_symbol_tier_relative,P13_trade_size_volatility,RegimeMaskNonMay,H12,cross_symbol_rank,none,lag_stable,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0061,H10_range_breakout_failure,P7_cross_symbol_relative,RegimeMaskNonMay,H6,cross_symbol_rank,FundingCore,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0062,H09_trend_reversal_horizon_mix,P1_range_volatility,WinsorZScore,ensemble_6_12_24_48,cross_symbol_rank,none,lag_stable,F2_low_liquidity,512,2048,24,3,4096,8192
C0063,H12_horizon_ensemble_stability,P10_price_liquidity,TSRankMul,H72,cross_symbol_rank,FundingCore,medium_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0064,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0065,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0066,H05_volatility_structure_ex_liquidity_mul,P8_regime_state,TSRankMul,mixed_12_48,same_symbol_rank,Core4,lag_stable,F1_high_realized_vol,512,2048,24,3,4096,8192
C0067,H00_low_turnover_robust,P0_price_return,TSMeanRank,H24,same_symbol_zscore,none,lag_stable,F9_liquidity_shock,512,2048,24,3,4096,8192
C0068,H05_volatility_structure_ex_liquidity_mul,P7_cross_symbol_relative,AbsZScore,H24,cross_symbol_rank,FundingCore,medium_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0069,H10_range_breakout_failure,P5_basis_premium,SmoothInteraction,H12,same_symbol_zscore,FundingCore,medium_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0070,H03_basis_premium_residual,P13_trade_size_volatility,ResidualizeVsCore4,H6,cross_symbol_zscore,Core4,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0071,H01_cross_symbol_relative_strength,P1_range_volatility,DeltaRank,spread_12_vs_48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0072,H10_range_breakout_failure,P9_price_basis,Rank,mixed_6_24,same_symbol_zscore,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0073,H03_basis_premium_residual,P11_volatility_basis,ResidualizeVsFundingCore,H72,same_symbol_rank,FundingCore,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0074,H04_basis_compression_expansion,P13_trade_size_volatility,NegRank,H72,same_symbol_rank,FundingCore,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0075,H15_placebo_null_adversarial,P6_funding_observable,AddZScore,spread_6_vs_24,same_symbol_zscore,Core4,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0076,H03_basis_premium_residual,P2_liquidity,AddZScore,spread_6_vs_24,same_symbol_zscore,none,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0077,H09_trend_reversal_horizon_mix,P4_taker_flow,ClipRank,H24,cross_symbol_zscore,FundingCore_and_Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0078,H12_horizon_ensemble_stability,P0_price_return,SafeDivZScore,H72,same_symbol_zscore,none,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0079,H00_low_turnover_robust,P10_price_liquidity,NegRank,H6,same_symbol_rank,Core4,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0080,H03_basis_premium_residual,P6_funding_observable,SmoothInteraction,spread_12_vs_48,cross_symbol_rank,FundingCore_and_Core4,lag_stable,F2_low_liquidity,512,2048,24,3,4096,8192
C0081,H03_basis_premium_residual,P7_cross_symbol_relative,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0082,H01_cross_symbol_relative_strength,P12_liquidity_flow,SubRank,H72,same_symbol_zscore,none,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0083,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,TSMeanRank,H72,same_symbol_rank,FundingCore,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0084,H11_regime_conditional_non_may,P3_trade_size,ResidualizeVsCore4,H6,same_symbol_rank,FundingCore_and_Core4,lag_stable,F1_high_realized_vol,512,2048,24,3,4096,8192
C0085,H15_placebo_null_adversarial,P6_funding_observable,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0086,H04_basis_compression_expansion,P7_cross_symbol_relative,TSMeanRank,H6,cross_symbol_zscore,none,medium_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0087,H13_symbol_tier_relative,P9_price_basis,ResidualizeVsCore4,mixed_6_24,same_symbol_rank,Core4,low_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0088,H14_open_ast_cem_diversity,P13_trade_size_volatility,TSStdZScore,H12,same_symbol_rank,none,low_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0089,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,ClipRank,spread_12_vs_48,cross_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0090,H12_horizon_ensemble_stability,P1_range_volatility,RollingMaxRank,H12,cross_symbol_rank,FundingCore,medium_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0091,H14_open_ast_cem_diversity,P7_cross_symbol_relative,HorizonSpread,H72,same_symbol_rank,none,lag_stable,F4_basis_dislocation,512,2048,24,3,4096,8192
C0092,H12_horizon_ensemble_stability,P4_taker_flow,TSMeanRank,H12,cross_symbol_rank,FundingCore,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0093,H15_placebo_null_adversarial,P10_price_liquidity,DecayZScore,H6,cross_symbol_zscore,none,medium_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0094,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,HorizonSpread,H48,cross_symbol_rank,FundingCore,low_turnover,F0_calendar_blocks,512,2048,24,3,4096,8192
C0095,H07_taker_flow_lag_stable,P8_regime_state,RollingMaxRank,H6,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0096,H06_liquidity_structure_ex_realized_vol_mul,P10_price_liquidity,MulRankZScore,ensemble_6_12_24_48,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0097,H11_regime_conditional_non_may,P9_price_basis,HorizonSpread,H24,cross_symbol_rank,FundingCore,low_turnover,F0_calendar_blocks,512,2048,24,3,4096,8192
C0098,H13_symbol_tier_relative,P12_liquidity_flow,AddZScore,mixed_6_24,same_symbol_zscore,none,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0099,H12_horizon_ensemble_stability,P13_trade_size_volatility,HorizonSpread,H12,cross_symbol_zscore,Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0100,H09_trend_reversal_horizon_mix,P2_liquidity,DeltaRank,spread_12_vs_48,cross_symbol_zscore,none,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0101,H10_range_breakout_failure,P12_liquidity_flow,DeltaRank,H24,same_symbol_zscore,FundingCore,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0102,H13_symbol_tier_relative,P14_horizon_spread,TSRankMul,mixed_6_24,cross_symbol_rank,Core4,lag_stable,F10_volatility_compression,512,2048,24,3,4096,8192
C0103,H00_low_turnover_robust,P6_funding_observable,ResidualizeVsFundingCore,spread_12_vs_48,same_symbol_rank,FundingCore,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0104,H11_regime_conditional_non_may,P11_volatility_basis,ResidualizeVsFundingCore,ensemble_6_12_24_48,same_symbol_rank,FundingCore,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0105,H08_trade_size_microstructure_lite,P2_liquidity,MulRankRank,H12,same_symbol_rank,none,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0106,H04_basis_compression_expansion,P11_volatility_basis,ResidualizeVsCore4,mixed_6_24,cross_symbol_rank,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0107,H11_regime_conditional_non_may,P11_volatility_basis,RegimeMaskNonMay,H48,same_symbol_zscore,Core4,low_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0108,H06_liquidity_structure_ex_realized_vol_mul,P12_liquidity_flow,CrossSymbolRank,mixed_12_48,same_symbol_zscore,Core4,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0109,H03_basis_premium_residual,P9_price_basis,SmoothInteraction,mixed_12_48,same_symbol_zscore,none,low_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0110,H06_liquidity_structure_ex_realized_vol_mul,P5_basis_premium,SmoothInteraction,H6,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0111,H12_horizon_ensemble_stability,P7_cross_symbol_relative,RollingMaxRank,H24,cross_symbol_zscore,Core4,low_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0112,H12_horizon_ensemble_stability,P14_horizon_spread,ResidualizeVsCore4,H48,cross_symbol_zscore,FundingCore,lag_stable,F4_basis_dislocation,512,2048,24,3,4096,8192
C0113,H04_basis_compression_expansion,P9_price_basis,ResidualizeVsFundingCore,mixed_12_48,same_symbol_zscore,FundingCore,low_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0114,H06_liquidity_structure_ex_realized_vol_mul,P5_basis_premium,RegimeMaskNonMay,mixed_6_24,cross_symbol_zscore,FundingCore,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0115,H02_cross_symbol_dispersion_reversal,P5_basis_premium,RollingMaxRank,H6,same_symbol_zscore,Core4,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0116,H10_range_breakout_failure,P8_regime_state,SafeDivZScore,spread_12_vs_48,same_symbol_rank,FundingCore_and_Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0117,H00_low_turnover_robust,P10_price_liquidity,AbsZScore,spread_6_vs_24,same_symbol_zscore,Core4,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0118,H12_horizon_ensemble_stability,P8_regime_state,RollingMaxRank,H12,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0119,H01_cross_symbol_relative_strength,P7_cross_symbol_relative,ResidualizeVsFundingCore,H48,same_symbol_rank,FundingCore_and_Core4,low_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0120,H14_open_ast_cem_diversity,P2_liquidity,TSMeanRank,spread_12_vs_48,same_symbol_zscore,none,lag_stable,F10_volatility_compression,512,2048,24,3,4096,8192
C0121,H01_cross_symbol_relative_strength,P12_liquidity_flow,TSRankMul,mixed_6_24,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0122,H02_cross_symbol_dispersion_reversal,P8_regime_state,AbsZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0123,H01_cross_symbol_relative_strength,P6_funding_observable,MulRankZScore,mixed_6_24,same_symbol_zscore,Core4,medium_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0124,H12_horizon_ensemble_stability,P6_funding_observable,DeltaRank,mixed_6_24,same_symbol_rank,none,low_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0125,H08_trade_size_microstructure_lite,P3_trade_size,DecayZScore,H6,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0126,H12_horizon_ensemble_stability,P9_price_basis,ResidualizeVsFundingCore,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0127,H00_low_turnover_robust,P10_price_liquidity,CrossSymbolRank,H6,same_symbol_rank,FundingCore_and_Core4,lag_stable,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0128,H03_basis_premium_residual,P12_liquidity_flow,Rank,mixed_6_24,same_symbol_rank,Core4,low_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0129,H12_horizon_ensemble_stability,P4_taker_flow,WinsorZScore,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0130,H09_trend_reversal_horizon_mix,P0_price_return,DecayZScore,H6,cross_symbol_rank,none,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0131,H03_basis_premium_residual,P15_open_ast_diverse,RollingMinRank,H72,cross_symbol_zscore,FundingCore,low_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0132,H02_cross_symbol_dispersion_reversal,P1_range_volatility,ResidualizeVsCore4,H72,cross_symbol_rank,FundingCore,lag_stable,F4_basis_dislocation,512,2048,24,3,4096,8192
C0133,H02_cross_symbol_dispersion_reversal,P2_liquidity,NegRank,spread_6_vs_24,same_symbol_zscore,Core4,low_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0134,H05_volatility_structure_ex_liquidity_mul,P1_range_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0135,H04_basis_compression_expansion,P1_range_volatility,DeltaRank,H6,cross_symbol_zscore,none,low_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0136,H07_taker_flow_lag_stable,P0_price_return,SubRank,spread_6_vs_24,cross_symbol_zscore,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0137,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H48,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0138,H13_symbol_tier_relative,P3_trade_size,AddZScore,H48,same_symbol_zscore,Core4,lag_stable,F9_liquidity_shock,512,2048,24,3,4096,8192
C0139,H09_trend_reversal_horizon_mix,P5_basis_premium,MulRankZScore,mixed_6_24,same_symbol_rank,FundingCore,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0140,H10_range_breakout_failure,P1_range_volatility,SafeDivZScore,H72,cross_symbol_rank,none,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0141,H11_regime_conditional_non_may,P5_basis_premium,SafeDivZScore,ensemble_6_12_24_48,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F0_calendar_blocks,512,2048,24,3,4096,8192
C0142,H15_placebo_null_adversarial,P4_taker_flow,ClipRank,H6,cross_symbol_zscore,Core4,lag_stable,F2_low_liquidity,512,2048,24,3,4096,8192
C0143,H11_regime_conditional_non_may,P8_regime_state,SubRank,H48,same_symbol_rank,FundingCore,medium_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0144,H15_placebo_null_adversarial,P14_horizon_spread,ResidualizeVsFundingCore,mixed_12_48,same_symbol_rank,FundingCore,medium_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0145,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,CrossSymbolRank,mixed_6_24,same_symbol_zscore,none,medium_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0146,H05_volatility_structure_ex_liquidity_mul,P8_regime_state,RegimeMaskNonMay,mixed_12_48,same_symbol_rank,none,lag_stable,F9_liquidity_shock,512,2048,24,3,4096,8192
C0147,H02_cross_symbol_dispersion_reversal,P3_trade_size,ZScore,H72,cross_symbol_rank,none,medium_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
