candidate_id,expression,family,field_families,expression_key,skeleton_key,production_key,operator_signature,horizon_signature
crypto_fg2_18f056370a194b1f,"Mul(Rank(Mean(index_close,168)),Sign(Delta(mark_low,4)))",price_volatility_structure,price|volatility,expr-7f8c44293a7d240c,skeleton-4c1e1eff7eb11f45,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|168,Delta|Mean|Mul|Rank|Sign,4|168
crypto_fg2_19a3f95b8076131b,"Mul(Sign(Delta(open_interest_value_mean,4)),Rank(Mean(trade_close,168)))",oi_price_interaction,open_interest|price,expr-8f8aeb645316b5d7,skeleton-7470f7edcb033b50,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4|168,Delta|Mean|Mul|Rank|Sign,4|168
crypto_fg2_da1bd27e9bf097c4,"Mul(Sign(Delta(top_long_short_account_ratio_last,720)),Neg(ZScore(Delta(trade_close,168))))",positioning_reversal,positioning|price,expr-e8e875f5abd5f43b,skeleton-47a54e07b92e8874,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::168|720,Delta|Mul|Neg|Sign|ZScore,168|720
crypto_fg2_8cb495328f96ffa2,"Mul(ZScore(Mean(global_long_short_account_ratio_last,48)),Neg(ZScore(Delta(index_close,168))))",positioning_reversal,positioning|price,expr-5a7b9671e2d256ff,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::48|168,Delta|Mean|Mul|Neg|ZScore,48|168
crypto_fg2_949d47bb2314fba0,"Mul(Sign(Delta(index_close,336)),Abs(ZScore(Mean(trade_low,72))))",price_volatility_structure,price|volatility,expr-ae853a87196f6e1c,skeleton-118c1f2487c7c606,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|336,Abs|Delta|Mean|Mul|Sign|ZScore,72|336
crypto_fg2_dbb32b46a59d2ebb,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,24))),Rank(Delta(trade_quote_volume,336)))",taker_flow_state,liquidity|taker_ratio,expr-660a042bc987c583,skeleton-2ef3c76974d18388,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::24|336,Abs|Delta|Mean|Mul|Rank|ZScore,24|336
crypto_fg2_6bbfac8d113b744e,"Mul(Sign(Delta(premium_close_bps,336)),ZScore(Mean(funding_rate,96)))",basis_funding_crowding,basis|funding,expr-e2c5cd24509f7f5a,skeleton-d90c18cb1efbbe79,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::96|336,Delta|Mean|Mul|Sign|ZScore,96|336
crypto_fg2_3fc51a4a11e40de1,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_mean,168)),ZScore(Delta(trade_quote_volume,504)))",taker_flow_state,liquidity|taker_ratio,expr-03ded66faebacac9,skeleton-f0d571410f34225a,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::168|504,Delta|Rank|Sub|ZScore,168|504
crypto_fg2_fec05bf294df5b20,"Mul(Sign(Delta(trade_close,504)),Abs(ZScore(Mean(trade_high,72))))",price_volatility_structure,price|volatility,expr-06b5f3443d16e20b,skeleton-118c1f2487c7c606,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|504,Abs|Delta|Mean|Mul|Sign|ZScore,72|504
crypto_fg2_c5f606caeae82b48,"Mul(ZScore(Delta(index_close,48)),ZScore(Mean(trade_high,720)))",price_volatility_structure,price|volatility,expr-5d94074f303b367b,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|720,Delta|Mean|Mul|ZScore,48|720
crypto_fg2_c1dd4148ed5c0e1c,"Sub(Abs(ZScore(Mean(premium_close_bps,72))),Abs(ZScore(Mean(funding_rate,96))))",basis_funding_crowding,basis|funding,expr-ca360a7689c4217b,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72|96,Abs|Mean|Sub|ZScore,72|96
crypto_fg2_6ffda5d890f30dcc,"Mul(Rank(Mean(index_close,720)),Sign(Delta(trade_low,48)))",price_volatility_structure,price|volatility,expr-704279e38ab21ae0,skeleton-4c1e1eff7eb11f45,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|720,Delta|Mean|Mul|Rank|Sign,48|720
crypto_fg2_81410f92936d55d7,"Sub(Abs(ZScore(Delta(mark_close,168))),Rank(Mean(trade_low,4)))",price_volatility_structure,price|volatility,expr-3e224070d9b27fb3,skeleton-131162e8b64c3fa4,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|168,Abs|Delta|Mean|Rank|Sub|ZScore,4|168
crypto_fg2_99785e6a83fd9ee3,"Sub(ZScore(Mean(taker_buy_quote_volume,96)),Rank(Mean(trade_high,336)))",liquidity_volatility_guarded,liquidity|volatility,expr-f7d8cdea19fa14e6,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::96|336,Mean|Rank|Sub|ZScore,96|336
crypto_fg2_f3ffa3b8cccb6ae4,"Sub(Abs(ZScore(Delta(index_close,48))),Rank(Mean(mark_high,720)))",price_volatility_structure,price|volatility,expr-39a3989feec7dbba,skeleton-131162e8b64c3fa4,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|720,Abs|Delta|Mean|Rank|Sub|ZScore,48|720
crypto_fg2_59f63f6226656f57,"Sub(ZScore(Delta(index_close,720)),ZScore(Delta(mark_high,4)))",price_volatility_structure,price|volatility,expr-9ac219da0f3dca0a,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|720,Delta|Sub|ZScore,4|720
crypto_fg2_5034c45f61f5ea51,"Mul(Sign(Delta(open_interest_mean,720)),Rank(Mean(mark_close,96)))",oi_price_interaction,open_interest|price,expr-68844dbe8bb5b91b,skeleton-7470f7edcb033b50,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::96|720,Delta|Mean|Mul|Rank|Sign,96|720
crypto_fg2_ed198b8d6c57d771,"Add(ZScore(Delta(global_long_short_account_ratio_last,12)),Neg(Rank(Delta(trade_close,96))))",positioning_reversal,positioning|price,expr-89bf4cb6793f13fd,skeleton-ae37e2737f6e97ed,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|96,Add|Delta|Neg|Rank|ZScore,12|96
crypto_fg2_b38f29c48c707b5c,"Sub(Abs(ZScore(Mean(premium_close_bps,336))),Abs(ZScore(Mean(funding_rate,48))))",basis_funding_crowding,basis|funding,expr-f01c13f3cc29f16a,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|336,Abs|Mean|Sub|ZScore,48|336
crypto_fg2_1ed3dccb9ce838ca,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,168))),Rank(Delta(trade_volume,12)))",taker_flow_state,liquidity|taker_ratio,expr-f372f6dcb4d93671,skeleton-2ef3c76974d18388,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::12|168,Abs|Delta|Mean|Mul|Rank|ZScore,12|168
crypto_fg2_7abaa1738f0e2520,"Mul(Sign(Delta(open_interest_value_mean,24)),Rank(Mean(index_close,168)))",oi_price_interaction,open_interest|price,expr-0d7106e08ebfeb80,skeleton-7470f7edcb033b50,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|168,Delta|Mean|Mul|Rank|Sign,24|168
crypto_fg2_ab007d6a1c2e92c3,"Mul(ZScore(Delta(open_interest_value_mean,336)),ZScore(Delta(index_close,24)))",oi_price_interaction,open_interest|price,expr-4b58a6a00b7af830,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|336,Delta|Mul|ZScore,24|336
crypto_fg2_3732514b95a26d8f,"Mul(Sign(Delta(top_long_short_account_ratio_mean,96)),Neg(ZScore(Delta(mark_close,168))))",positioning_reversal,positioning|price,expr-542c0162dfc7ca86,skeleton-47a54e07b92e8874,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::96|168,Delta|Mul|Neg|Sign|ZScore,96|168
crypto_fg2_7f8b844fa0e2b354,"Mul(Rank(Mean(trade_count,48)),ZScore(Delta(mark_low,720)))",liquidity_volatility_guarded,liquidity|volatility,expr-4a202991e2424956,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::48|720,Delta|Mean|Mul|Rank|ZScore,48|720
crypto_fg2_ec39453d509abaf8,"Sub(ZScore(Mean(open_interest_value_mean,504)),Rank(Mean(mark_close,24)))",oi_price_interaction,open_interest|price,expr-621d82a6f5d347bc,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|504,Mean|Rank|Sub|ZScore,24|504
crypto_fg2_ed68227360068276,"Sub(ZScore(Mean(open_interest_mean,96)),Rank(Mean(index_close,72)))",oi_price_interaction,open_interest|price,expr-b605ce8c611d4e28,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::72|96,Mean|Rank|Sub|ZScore,72|96
crypto_fg2_b070fa35497d9bc9,"Mul(ZScore(Delta(mark_close,72)),ZScore(Mean(mark_low,504)))",price_volatility_structure,price|volatility,expr-6374f34f968f1407,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|504,Delta|Mean|Mul|ZScore,72|504
crypto_fg2_249580542e4f5cb9,"Mul(Sign(Delta(top_long_short_position_ratio_last,504)),Neg(ZScore(Delta(index_close,24))))",positioning_reversal,positioning|price,expr-0ff08b94d645f985,skeleton-47a54e07b92e8874,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::24|504,Delta|Mul|Neg|Sign|ZScore,24|504
crypto_fg2_63b89c2c6cfee9d5,"Add(Rank(Delta(index_close,96)),Neg(Rank(Delta(mark_low,8))))",price_volatility_structure,price|volatility,expr-6362542be2ed479d,skeleton-946bd1f4dcc39091,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::8|96,Add|Delta|Neg|Rank,8|96
crypto_fg2_90d8a2600b1cf58f,"Sub(Abs(ZScore(Mean(premium_close,72))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,expr-61d6c2a6e838ec9f,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72|720,Abs|Mean|Sub|ZScore,72|720
crypto_fg2_6632835b1939e1b3,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,72)),ZScore(Mean(taker_buy_sell_volume_ratio_mean,720)))",taker_flow_state,liquidity|taker_ratio,expr-e31f7250c89a9752,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::72|720,Mean|Sub|ZScore,72|720
crypto_fg2_1dcaae771aedc541,"Add(ZScore(Delta(open_interest_last,336)),ZScore(Delta(mark_close,48)))",oi_price_interaction,open_interest|price,expr-0fdd5fafd9497157,skeleton-2e3fa7ca15d43f41,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::48|336,Add|Delta|ZScore,48|336
crypto_fg2_413accdbe82945d8,"Add(Rank(Delta(mark_trade_basis_bps,96)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,expr-c723a56492921773,skeleton-3b738ce4415cf9b3,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::96|168,Add|Delta|Mean|Rank|ZScore,96|168
crypto_fg2_8992e401d54ab5c0,"Mul(Abs(ZScore(Delta(top_long_short_position_ratio_last,168))),Sign(Delta(index_close,12)))",positioning_reversal,positioning|price,expr-afd5e253fa95aa61,skeleton-c626ba6bf1687861,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|168,Abs|Delta|Mul|Sign|ZScore,12|168
crypto_fg2_150304178dc0a275,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_last,720)),ZScore(Delta(taker_buy_quote_volume,168)))",taker_flow_state,liquidity|taker_ratio,expr-bf759e6c9f7447b2,skeleton-f0d571410f34225a,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::168|720,Delta|Rank|Sub|ZScore,168|720
crypto_fg2_80f9ad40dcfdd668,"Sub(ZScore(Delta(mark_close,12)),ZScore(Delta(trade_high,24)))",price_volatility_structure,price|volatility,expr-8aded5b67f601567,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::12|24,Delta|Sub|ZScore,12|24
crypto_fg2_5867678edef93f9e,"Sub(Abs(ZScore(Mean(premium_close,504))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,expr-9f5230bf809e8ad7,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::504|720,Abs|Mean|Sub|ZScore,504|720
crypto_fg2_b9b949a71fb12ea7,"Mul(Rank(Mean(open_interest_mean,72)),ZScore(Delta(trade_close,168)))",oi_price_interaction,open_interest|price,expr-723315f01ac5cb90,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::72|168,Delta|Mean|Mul|Rank|ZScore,72|168
crypto_fg2_1beccf4ae2ec1b40,"Mul(Sign(Delta(premium_close_bps,72)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,expr-66ebf2e034a6d037,skeleton-d90c18cb1efbbe79,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72|168,Delta|Mean|Mul|Sign|ZScore,72|168
crypto_fg2_b4ade21adee157d4,"Mul(ZScore(Delta(index_close,48)),ZScore(Mean(mark_low,336)))",price_volatility_structure,price|volatility,expr-9ccd36a841ad2b94,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|336,Delta|Mean|Mul|ZScore,48|336
crypto_fg2_158fdb2597093fc0,"Mul(Sign(Delta(premium_close_bps,4)),ZScore(Mean(funding_rate,8)))",basis_funding_crowding,basis|funding,expr-ce4571800874ea40,skeleton-d90c18cb1efbbe79,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|8,Delta|Mean|Mul|Sign|ZScore,4|8
crypto_fg2_5986048c4b9e6233,"Sub(ZScore(Mean(open_interest_value_mean,336)),Rank(Mean(mark_close,336)))",oi_price_interaction,open_interest|price,expr-3f0193b8cf2331a6,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::336,Mean|Rank|Sub|ZScore,336
crypto_fg2_a04284e4bb01b820,"Sub(ZScore(Delta(trade_close,72)),ZScore(Delta(mark_high,48)))",price_volatility_structure,price|volatility,expr-9aa5e09d600421a2,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|72,Delta|Sub|ZScore,48|72
crypto_fg2_1d76f27087a93812,"Sub(ZScore(Mean(open_interest_value_mean,72)),Rank(Mean(trade_close,96)))",oi_price_interaction,open_interest|price,expr-e03e85671177be0e,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::72|96,Mean|Rank|Sub|ZScore,72|96
crypto_fg2_4ed3c27c5bbdc079,"Mul(Sign(Delta(taker_buy_sell_volume_ratio_mean,336)),ZScore(Delta(trade_count,720)))",taker_flow_state,liquidity|taker_ratio,expr-ab2fab3c5e6e0a05,skeleton-73a7996ef6b73def,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::336|720,Delta|Mul|Sign|ZScore,336|720
crypto_fg2_b9a380c01fecc2f7,"Mul(Sign(Delta(taker_buy_sell_volume_ratio_last,504)),ZScore(Delta(trade_count,336)))",taker_flow_state,liquidity|taker_ratio,expr-a5849692f12bdd9b,skeleton-73a7996ef6b73def,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::336|504,Delta|Mul|Sign|ZScore,336|504
crypto_fg2_3522cd90888d43d7,"Sub(ZScore(Mean(global_long_short_account_ratio_mean,12)),ZScore(Mean(global_long_short_account_ratio_mean,4)))",positioning_reversal,positioning|price,expr-a0f5a21a609be2d2,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::4|12,Mean|Sub|ZScore,4|12
crypto_fg2_f2895c88926ca8d0,"Mul(ZScore(premium_close),ZScore(Mean(funding_rate,12)))",basis_funding_crowding,basis|funding,expr-81b4a2f9563b7e4d,skeleton-b71bac576de51f5e,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12,Mean|Mul|ZScore,12
crypto_fg2_0324aca14580698c,"Mul(Sign(Delta(premium_close_bps,12)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,expr-d55d18009c3bd2de,skeleton-d90c18cb1efbbe79,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|168,Delta|Mean|Mul|Sign|ZScore,12|168
crypto_fg2_138cc4cbf37bf1a0,"Add(ZScore(Delta(open_interest_mean,24)),ZScore(Delta(mark_close,504)))",oi_price_interaction,open_interest|price,expr-7592d1e471ccea85,skeleton-2e3fa7ca15d43f41,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|504,Add|Delta|ZScore,24|504
crypto_fg2_c5cc82da877ec5e9,"Add(Rank(Delta(mark_index_basis_bps,4)),ZScore(Mean(funding_rate,12)))",basis_funding_crowding,basis|funding,expr-585206b8eb29be1e,skeleton-3b738ce4415cf9b3,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|12,Add|Delta|Mean|Rank|ZScore,4|12
crypto_fg2_bc20a51e14e7ed41,"Mul(ZScore(Delta(open_interest_value_mean,12)),ZScore(Delta(index_close,24)))",oi_price_interaction,open_interest|price,expr-19203b7e2c5aa6be,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::12|24,Delta|Mul|ZScore,12|24
crypto_fg2_20093bcc6c6d04af,"Sub(ZScore(Delta(trade_close,504)),ZScore(Delta(mark_high,12)))",price_volatility_structure,price|volatility,expr-7ca009af75056b9d,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::12|504,Delta|Sub|ZScore,12|504
crypto_fg2_d27acfc716487570,"Mul(ZScore(Delta(trade_close,720)),ZScore(Mean(mark_high,336)))",price_volatility_structure,price|volatility,expr-3bccef8c6e292821,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::336|720,Delta|Mean|Mul|ZScore,336|720
crypto_fg2_f1fa88c72b8f9c4d,"Mul(ZScore(mark_index_basis_bps),ZScore(Mean(funding_rate,72)))",basis_funding_crowding,basis|funding,expr-930cdf725bc78098,skeleton-b71bac576de51f5e,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72,Mean|Mul|ZScore,72
crypto_fg2_3355ddc9b79ba7e4,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,504))),Rank(Delta(trade_count,8)))",taker_flow_state,liquidity|taker_ratio,expr-e84bd0a0a58fa311,skeleton-2ef3c76974d18388,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::8|504,Abs|Delta|Mean|Mul|Rank|ZScore,8|504
crypto_fg2_d204661dee74cbb5,"Mul(Rank(Mean(open_interest_value_last,4)),ZScore(Delta(trade_close,336)))",oi_price_interaction,open_interest|price,expr-7d985c20a2727f7a,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4|336,Delta|Mean|Mul|Rank|ZScore,4|336
crypto_fg2_59eb7be56beb98b0,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_last,24)),ZScore(Delta(trade_volume,72)))",taker_flow_state,liquidity|taker_ratio,expr-ea5210368797d439,skeleton-f0d571410f34225a,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::24|72,Delta|Rank|Sub|ZScore,24|72
crypto_fg2_91a4c8462776b7dd,"Sub(Abs(ZScore(Mean(mark_index_basis_bps,24))),Abs(ZScore(Mean(funding_rate,168))))",basis_funding_crowding,basis|funding,expr-8b1ddc2df1c1ec41,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|168,Abs|Mean|Sub|ZScore,24|168
crypto_fg2_de383c1122c11ccc,"Sub(Abs(ZScore(Mean(premium_close,96))),Abs(ZScore(Mean(funding_rate,4))))",basis_funding_crowding,basis|funding,expr-dff1802f3706eaaa,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|96,Abs|Mean|Sub|ZScore,4|96
crypto_fg2_aa3661f8eb8b5435,"Add(Rank(Delta(premium_close_bps,24)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,expr-e8f8b558665c1f47,skeleton-3b738ce4415cf9b3,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|168,Add|Delta|Mean|Rank|ZScore,24|168
crypto_fg2_9f5e590d43a9aa7e,"Sub(Rank(Mean(top_long_short_position_ratio_last,12)),Rank(Mean(index_close,96)))",positioning_reversal,positioning|price,expr-3505dd85c8e4084c,skeleton-612ffe194eccb811,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|96,Mean|Rank|Sub,12|96
crypto_fg2_0d30503c609e1e2d,"Sub(ZScore(Mean(open_interest_last,24)),Rank(Mean(trade_close,720)))",oi_price_interaction,open_interest|price,expr-270d50e09cfc55d9,skeleton-d6390c39a14fbd38,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::24|720,Mean|Rank|Sub|ZScore,24|720
crypto_fg2_c649a241fed6a55f,"Sub(Abs(ZScore(Delta(trade_volume,72))),Abs(ZScore(Delta(mark_high,504))))",liquidity_volatility_guarded,liquidity|volatility,expr-6e58581463d9de36,skeleton-df45a983764233a6,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::72|504,Abs|Delta|Sub|ZScore,72|504
crypto_fg2_4e9ba42b824279e6,"Mul(ZScore(Mean(top_long_short_position_ratio_last,96)),Neg(ZScore(Delta(mark_close,72))))",positioning_reversal,positioning|price,expr-8bb1b3d4b53ac640,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::72|96,Delta|Mean|Mul|Neg|ZScore,72|96
crypto_fg2_9b238c3da842837e,"Mul(Rank(Mean(mark_trade_basis_bps,8)),Sign(Delta(funding_rate,72)))",basis_funding_crowding,basis|funding,expr-3ffdd8ec93d844bc,skeleton-4c1e1eff7eb11f45,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|72,Delta|Mean|Mul|Rank|Sign,8|72
