symbol,status,error,rows,pages,timestamp_min,timestamp_max,silver_path,raw_dir
MASKUSDT,ok,,4413,5,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=MASKUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=MASKUSDT\run=a7ac_company_p0b05_funding_20260522_193740
SEIUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=SEIUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=SEIUSDT\run=a7ac_company_p0b05_funding_20260522_193740
YFIUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=YFIUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=YFIUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ACEUSDT,ok,,5439,6,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ACEUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ACEUSDT\run=a7ac_company_p0b05_funding_20260522_193740
KNCUSDT,error,<HTTPError 403: 'Forbidden'>,2000,2,2024-01-01 00:00:00+00:00,2025-10-28 08:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=KNCUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=KNCUSDT\run=a7ac_company_p0b05_funding_20260522_193740
APEUSDT,error,"URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))",0,0,,,,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=APEUSDT\run=a7ac_company_p0b05_funding_20260522_193740
MAGICUSDT,error,<HTTPError 403: 'Forbidden'>,3000,3,2024-01-01 00:00:00+00:00,2026-01-08 04:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=MAGICUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=MAGICUSDT\run=a7ac_company_p0b05_funding_20260522_193740
WLDUSDT,error,<HTTPError 403: 'Forbidden'>,2000,2,2024-01-01 00:00:00+00:00,2025-10-28 08:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=WLDUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=WLDUSDT\run=a7ac_company_p0b05_funding_20260522_193740
1000BONKUSDT,error,<HTTPError 403: 'Forbidden'>,5000,5,2024-01-01 00:00:00+00:00,2026-04-13 04:00:00.003000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=1000BONKUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=1000BONKUSDT\run=a7ac_company_p0b05_funding_20260522_193740
UNIUSDT,error,<HTTPError 403: 'Forbidden'>,0,0,,,,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=UNIUSDT\run=a7ac_company_p0b05_funding_20260522_193740
NEARUSDT,error,<HTTPError 403: 'Forbidden'>,0,0,,,,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=NEARUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ZECUSDT,error,<HTTPError 403: 'Forbidden'>,0,0,,,,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ZECUSDT\run=a7ac_company_p0b05_funding_20260522_193740
AXSUSDT,error,<HTTPError 403: 'Forbidden'>,0,0,,,,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=AXSUSDT\run=a7ac_company_p0b05_funding_20260522_193740
