cell_id,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
C0031,H08_trade_size_microstructure_lite,P3_trade_size,SubRank,H48,3,0,3,0,0,1.033337039195979,0.0,0.0,1.8337120505609923,1.7504247673552467,1.9011738767377062,0.08205993822418116,0.9538461538461539,0.0,cell
C0032,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,spread_12_vs_48,3,0,3,0,0,1.9120217541815006,-9.752336927867367,-4.161620248399899,3.6215986154439155,3.5276616379932317,3.6112610166632275,0.9144141522895004,1.0,0.0,cell
C0042,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,SafeDivZScore,H72,3,0,3,0,0,0.6361804501632387,0.0,0.0,3.1461296109431043,3.090900892115432,3.1673906517315467,-0.2847315469243819,0.9230769230769232,0.0,cell
C0044,H01_cross_symbol_relative_strength,P0_price_return,RollingMinRank,H72,3,0,3,0,0,2.9974433649394814,-10.737071099160195,-6.395721568056236,6.882584343311415,6.7824013083792165,6.841332623492801,2.0,1.0,0.0,cell
C0045,H07_taker_flow_lag_stable,P15_open_ast_diverse,RollingMaxRank,H48,3,0,3,0,0,2.438968087717139,-9.93234452570937,-6.599508451590229,4.135809339535668,3.968390090829146,4.105364042776903,1.4431619630130073,1.0,0.0,cell
C0048,H05_volatility_structure_ex_liquidity_mul,P7_cross_symbol_relative,DecayZScore,spread_12_vs_48,3,0,2,1,0,0.6741305704270437,-8.381329589890454,-8.540994755524068,1.8727638300123448,1.6687715391557532,1.819905637008602,-0.23278824635281223,0.9128205128205128,0.0,cell
C0059,H12_horizon_ensemble_stability,P14_horizon_spread,SmoothInteraction,H24,3,0,3,0,0,0.3637355352023863,-3.5495627005606223,0.3612590672767775,2.542599902882769,2.4525666602646434,2.486506332489696,-0.587865488444795,0.953846153846154,0.0,cell
C0063,H12_horizon_ensemble_stability,P10_price_liquidity,TSRankMul,H72,3,0,3,0,0,1.5435705826247805,-16.274604393635844,-14.837929548938057,1.6723758521139382,1.314130760010246,1.700178562987843,0.5736327893447688,0.9794871794871796,0.0,cell
C0064,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,3,0,3,0,0,2.3273084663399803,-10.552760520478566,-7.918947854751424,3.422509532745927,2.873955526262139,3.3468761562900267,1.3428240169972394,1.0,0.0,cell
C0082,H01_cross_symbol_relative_strength,P12_liquidity_flow,SubRank,H72,3,0,2,1,0,-1.159658657017769,-12.549763055067686,-12.116732920338762,4.6617987165808366,4.559545866085003,4.658123033704016,-1.9568739071070838,0.7999999999999999,0.0,cell
C0083,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,TSMeanRank,H72,3,0,3,0,0,2.110890476912584,-22.75368391938363,-18.346951871244066,4.759404312619383,4.611326417467004,4.70233766056059,1.1145553659016083,1.0,0.0,cell
C0094,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,HorizonSpread,H48,3,0,3,0,0,1.1903473365492028,0.0,0.0,2.257176649690782,2.0957572092110364,2.2727899010319104,0.23598596083342394,0.958974358974359,0.0,cell
C0107,H11_regime_conditional_non_may,P11_volatility_basis,RegimeMaskNonMay,H48,3,0,2,0,1,-0.23938506083246522,0.0,0.0,0.11240783293474055,0.018558452238715883,0.10881365510847678,-0.9292457052846749,0.6923076923076922,0.0,cell
C0111,H12_horizon_ensemble_stability,P7_cross_symbol_relative,RollingMaxRank,H24,3,0,3,0,0,0.2535674034879973,-2.5171730860204975,-0.9534954329497977,1.2404461503419288,1.05495364928921,1.2513563352009849,-0.6627573803639727,0.923076923076923,0.0,cell
C0132,H02_cross_symbol_dispersion_reversal,P1_range_volatility,ResidualizeVsCore4,H72,3,0,3,0,0,2.9455059670441037,-23.831513447242163,-21.521859819207965,6.389058912281274,6.332063588310913,6.397380154513551,1.9468755150759938,1.0,0.0,cell
C0134,H05_volatility_structure_ex_liquidity_mul,P1_range_volatility,DecayZScore,mixed_12_48,3,0,3,0,0,1.3352179360427059,-5.10761052762011,-4.57589451591799,2.56742516319512,2.350218150424539,2.5868214236004436,0.3611233544774087,0.9794871794871796,0.0,cell
C0140,H10_range_breakout_failure,P1_range_volatility,SafeDivZScore,H72,3,0,3,0,0,0.3264892111106449,-14.49175213922274,-11.52237465326517,1.9836958771347206,1.8225186663034758,1.9345152862260662,-0.6232913029913066,0.953846153846154,0.0,cell
C0151,H11_regime_conditional_non_may,P12_liquidity_flow,TSStdZScore,spread_6_vs_24,3,0,3,0,0,0.5589523024055701,0.0,0.0,1.626396228431009,1.517589903434322,1.6134491669216693,-0.20744033682353602,0.7692307692307692,0.0,cell
C0160,H10_range_breakout_failure,P1_range_volatility,NegRank,H24,3,0,3,0,0,1.9333651718795384,-6.701680136697635,-2.5785458407451216,2.6269840939821036,2.4713436154070627,2.5922529243972803,0.9373800220041679,1.0,0.0,cell
C0166,H02_cross_symbol_dispersion_reversal,P1_range_volatility,SafeDivZScore,mixed_6_24,3,0,3,0,0,2.0021419229967363,-12.336676224858726,-9.93675327344271,3.5864577490972382,3.511502531945995,3.554454206214173,1.0040538981975937,1.0,0.0,cell
C0183,H00_low_turnover_robust,P11_volatility_basis,RollingMaxRank,ensemble_6_12_24_48,3,0,3,0,0,2.268904339951122,-8.274302491596634,-3.4340977829506585,4.087893980697074,4.0020532791267245,4.090326218483362,1.2711090424738511,1.0,0.0,cell
C0187,H07_taker_flow_lag_stable,P1_range_volatility,AddZScore,mixed_12_48,3,0,3,0,0,2.541541346262643,-14.790456652626377,-9.979108324575787,4.0505114088406575,3.9248195152733465,3.9898337380727433,1.5446254091465181,1.0,0.0,cell
C0194,H10_range_breakout_failure,P11_volatility_basis,Rank,spread_6_vs_24,3,0,3,0,0,2.1302403069400326,-12.676441505583442,-8.381028848286574,3.7179710884391017,3.634854706204816,3.738567213282,1.1323198409523656,1.0,0.0,cell
C0200,H05_volatility_structure_ex_liquidity_mul,P1_range_volatility,MulRankRank,spread_6_vs_24,3,0,3,0,0,2.3868795032999017,-7.850660470506548,-3.1193261533021404,3.2125323419471226,3.000374153260669,3.163945238152279,1.3922536512177242,1.0,0.0,cell
C0213,H12_horizon_ensemble_stability,P11_volatility_basis,NegRank,H12,3,0,3,0,0,1.5428279219755623,-4.442900638796471,-2.2471135617455427,1.5587337467024367,1.4784008312938035,1.5756720024474153,0.5451000094450591,1.0,0.0,cell
C0222,H02_cross_symbol_dispersion_reversal,P1_range_volatility,AddZScore,H24,3,0,3,0,0,1.1473579420458038,-5.640274417240402,-3.081024001125721,2.4578243538791074,2.047402959493575,2.396140373393678,0.16454533786092423,0.9948717948717949,0.0,cell
C0227,H11_regime_conditional_non_may,P11_volatility_basis,TSRankMul,H72,3,0,3,0,0,2.877194398145992,0.0,0.0,3.317161500670073,3.1391284215042834,3.361972736352931,1.8826308876171922,1.0,0.0,cell
C0229,H06_liquidity_structure_ex_realized_vol_mul,P10_price_liquidity,AddZScore,ensemble_6_12_24_48,3,0,3,0,0,1.7618734583751616,-10.787966765069257,-8.054070537255699,4.846737210581102,4.672968714637952,4.858635704823517,0.7662339730311234,1.0,0.0,cell
C0241,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,HorizonSpread,mixed_6_24,3,0,3,0,0,2.1500993858688573,-15.595657049571669,-11.727561892160104,4.207333754309354,4.09573427884366,4.160327438108221,1.1528761155623803,1.0,0.0,cell
C0251,H05_volatility_structure_ex_liquidity_mul,P14_horizon_spread,ResidualizeVsCore4,H72,3,0,3,0,0,2.1611600001746427,-14.329220939728733,-10.99057290516876,5.497480499558756,5.302117826038946,5.484287552495897,1.1659591756716854,1.0,0.0,cell
C0252,H05_volatility_structure_ex_liquidity_mul,P6_funding_observable,AddZScore,H24,3,0,3,0,0,0.6810889726185622,-1.1266916789134107,-1.044803029648247,0.9236137699528454,0.653105023361598,0.9723585361293244,-0.23436457448136783,0.9230769230769232,0.0,cell
C0253,H03_basis_premium_residual,P15_open_ast_diverse,WinsorZScore,H48,3,0,3,0,0,2.997211755342864,-15.505227982144534,-10.4374883585501,4.010921355846113,3.89824951699373,4.021196793972613,2.0,1.0,0.0,cell
C0269,H14_open_ast_cem_diversity,P3_trade_size,RollingMinRank,H72,3,0,1,0,2,0.1107888495992461,0.0,0.0,-0.027435129372490787,-0.10312286419423648,0.0022127018053734507,-0.6146143590463031,0.7282051282051283,0.0,cell
C0270,H02_cross_symbol_dispersion_reversal,P10_price_liquidity,SmoothInteraction,H12,3,0,3,0,0,1.0317219710096557,0.0,0.0,0.9148375282712444,0.8014296916266529,0.9443882392554039,0.060798753863380274,0.9743589743589745,0.0,cell
C0280,H05_volatility_structure_ex_liquidity_mul,P5_basis_premium,Rank,H72,3,0,3,0,0,2.817049834291577,-17.06098819516917,-17.12773349476276,4.992005214071737,4.7032278866066735,4.932847844305539,1.8252081396236421,1.0,0.0,cell
C0289,H08_trade_size_microstructure_lite,P0_price_return,TSStdZScore,H24,3,0,3,0,0,2.29793206432583,-8.22172992793837,-6.243511621504704,2.145507518754799,1.8149891369214988,2.047351964338484,1.3067878805044095,1.0,0.0,cell
C0316,H07_taker_flow_lag_stable,P1_range_volatility,RollingMaxRank,H72,3,0,3,0,0,2.0533800778092655,-13.126339265831305,-9.01504376004499,4.7674454237367705,4.658906160494991,4.701250008488834,1.0560633515765143,1.0,0.0,cell
C0318,H07_taker_flow_lag_stable,P11_volatility_basis,RollingMinRank,ensemble_6_12_24_48,3,0,3,0,0,1.6755627382840332,-13.092167323257522,-7.737013013978808,5.041329413861154,4.9709033827520726,5.04047751533671,0.7080893077200442,0.9692307692307692,0.0,cell
C0323,H10_range_breakout_failure,P9_price_basis,DeltaRank,H24,3,0,3,0,0,0.9036633395466313,0.0,0.0,0.44375121534824985,0.2926908620211504,0.39225066592389884,-0.013390494513107467,0.923076923076923,0.0,cell
C0336,H00_low_turnover_robust,P14_horizon_spread,ResidualizeVsFundingCore,ensemble_6_12_24_48,3,0,2,1,0,-0.2551024479898888,-3.881100807507798,-2.5732045942509103,0.8075351734298453,0.6266764115814664,0.8302006182693525,-1.0859851239125993,0.8358974358974359,0.0,cell
C0337,H07_taker_flow_lag_stable,P10_price_liquidity,ResidualizeVsCore4,H72,3,0,2,1,0,-1.187604935209405,-14.425358381173895,-16.08277947532079,3.245000598378135,3.13380198703563,3.195463546117443,-2.0,0.8153846153846155,0.0,cell
C0339,H10_range_breakout_failure,P11_volatility_basis,RollingMinRank,spread_6_vs_24,3,0,3,0,0,1.896896161057701,-9.781638781696453,-4.973425181155213,3.6574808836866644,3.539990825728007,3.6549215625568485,0.8998651781821279,1.0,0.0,cell
C0343,H13_symbol_tier_relative,P14_horizon_spread,TSStdZScore,H24,3,0,3,0,0,2.0460084447981406,-4.074117748313196,-0.28011777112831177,2.7264681153259613,2.542474449819608,2.6974468331742707,1.0509103518431007,1.0,0.0,cell
C0350,H08_trade_size_microstructure_lite,P1_range_volatility,NegRank,mixed_6_24,3,0,3,0,0,1.9178257890762849,-12.206661442891985,-10.256870949480112,2.8163052351592235,2.660987123134793,2.742102404031307,0.9221122313171919,1.0,0.0,cell
C0356,H08_trade_size_microstructure_lite,P7_cross_symbol_relative,MulRankRank,spread_12_vs_48,3,0,2,0,1,0.5261481830306194,-2.928371128514902,-3.6393190122255246,1.0700278979730278,0.8974159327421348,1.119871028839529,-0.26797638052610057,0.7999999999999999,0.0,cell
C0360,H11_regime_conditional_non_may,P3_trade_size,ClipRank,H24,3,0,2,1,0,0.7129530422931999,0.0,0.0,0.9245674743029607,0.8914985817348962,0.9330111807267567,-0.05020005201875896,0.764102564102564,0.0,cell
C0364,H07_taker_flow_lag_stable,P6_funding_observable,SafeDivZScore,spread_6_vs_24,3,0,3,0,0,0.4200701505249343,-6.715398581658832,-6.3131749148136125,1.7558119590188845,1.580296792120069,1.6394017900135254,-0.4929609113880769,0.9179487179487179,0.0,cell
C0368,H03_basis_premium_residual,P1_range_volatility,CrossSymbolRank,spread_6_vs_24,3,0,3,0,0,2.468608052260546,-12.269187526657596,-7.2255986325874995,3.932708234228638,3.8148595494078634,3.9594611589450968,1.4715723176046147,1.0,0.0,cell
C0370,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,NegRank,mixed_12_48,3,0,3,0,0,2.027962741818723,-18.77187554833589,-13.987961436524708,3.4906215662002373,3.310036128856911,3.4790867533373606,1.0325189476242957,1.0,0.0,cell
