path,line_no,pattern,category,severity,decision,classification,excerpt,rationale
scripts/crypto_a7al2l_fast_derived_replay_preflight.py,184,global_rank_or_quantile,normalization_scope,low,review,scope_check,"return frame.rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al2l_fast_derived_replay_preflight.py,274,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"label = shift_matrix(log_close, -24) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2q_local_oi_price_formula_search.py,588,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": fast.shift_matrix(base_signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2r_local_forensic.py,384,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": fast.shift_matrix(base_signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2x5_evaluator_preflight_smoke.py,230,global_rank_or_quantile,normalization_scope,low,review,scope_check,"return pd.DataFrame(values).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al2x5_evaluator_preflight_smoke.py,256,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranked = pd.DataFrame(vals).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al2x7_small_numeric_replay_preflight.py,180,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(sig).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al2z4_broader_non_oi_numeric_replay_preflight.py,132,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(sig).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al_universe498_replay_acceptance.py,211,global_rank_or_quantile,normalization_scope,low,review,scope_check,"""p10_hourly_quote_volume"": float(quote.quantile(0.10)),","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al_universe498_replay_acceptance.py,212,global_rank_or_quantile,normalization_scope,low,review,scope_check,"""p90_hourly_quote_volume"": float(quote.quantile(0.90)),","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ao_okx_cross_exchange_light_acceptance.py,236,global_rank_or_quantile,normalization_scope,low,review,scope_check,"""basis_spread_bps_abs_p95"": float(g[""mark_basis_spread_bps_okx_minus_binance""].abs().quantile(0.95)),","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ao_okx_cross_exchange_light_acceptance.py,237,global_rank_or_quantile,normalization_scope,low,review,scope_check,"""mark_close_spread_bps_abs_p95"": float(g[""mark_close_spread_bps_okx_minus_binance""].abs().quantile(0.95)),","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ap1_cross_exchange_field_smoke.py,99,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_hi = g[""signal""].quantile(0.9)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ap1_cross_exchange_field_smoke.py,100,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_lo = g[""signal""].quantile(0.1)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ap2_multiplier_price_scale_repair.py,159,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_hi = g[""signal""].quantile(0.9)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ap2_multiplier_price_scale_repair.py,160,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_lo = g[""signal""].quantile(0.1)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7as0_v2_data_acceptance.py,125,global_rank_or_quantile,normalization_scope,low,review,scope_check,"summary[f""{col}_p05""] = float(vals.quantile(0.05))","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7data_pre2024_backfill_acceptance_and_age.py,142,global_rank_or_quantile,normalization_scope,low,review,scope_check,"full[""age_percentile_active_universe""] = full.groupby(""timestamp"")[""listing_age_days""].rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7data_recent_patch_merged_panel_builder.py,146,global_rank_or_quantile,normalization_scope,low,review,scope_check,"df[""age_percentile_active_universe""] = df.groupby(""timestamp"")[""listing_age_days""].rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ff30a_portfolio_replay_smoke.py,127,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(signal).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ff31_portfolio_forensic.py,129,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(signal).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ff31_portfolio_forensic.py,142,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(np.where(valid, score, np.nan)).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ff8_expanded_numeric_probe.py,207,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"return shift_matrix(signal, -24)",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore13e_numeric_response_execution.py,144,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future"": full.groupby(panel[""symbol""], sort=False).shift(-1).to_numpy()[sample_idx],",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore14e_bounded_replay_execution.py,145,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"pd.Series(signal).groupby(panel[""symbol""], sort=False).shift(-1).to_numpy(dtype=float)[sample_positions] * orient",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore16e_sharded_primitive_operator_atlas.py,178,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore16ge_family_native_interaction_probe.py,188,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore16he_second_pass_interaction_breadth.py,172,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore16ke_h2_strict_floor_execution.py,271,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore16me_broader_h2_repair_execution.py,172,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore19e_bounded_replay_execution.py,130,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore26ce_split_consistency_repair_probe.py,255,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future"": full.groupby(panel[""symbol""], sort=False).shift(-1).to_numpy()[sample_idx],",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore26de_non_s0_lane_repair_probe.py,254,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future"": full.groupby(panel[""symbol""], sort=False).shift(-1).to_numpy()[sample_idx],",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore26e_targeted_numeric_probe_execution.py,166,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future"": full.groupby(panel[""symbol""], sort=False).shift(-1).to_numpy()[sample_idx],",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore30e_bounded_numeric_probe.py,77,global_rank_or_quantile,normalization_scope,low,review,scope_check,return s.groupby(ts).rank(pct=True) - 0.5,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore30e_bounded_numeric_probe.py,143,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"sig_rank = tmp[""signal""].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore30e_bounded_numeric_probe.py,144,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"label_rank = tmp[label].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore30e_bounded_numeric_probe.py,145,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"control_rank = tmp[control].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,86,global_rank_or_quantile,normalization_scope,low,review,scope_check,return s.groupby(ts).rank(pct=True) - 0.5,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,142,global_rank_or_quantile,normalization_scope,low,review,scope_check,"df[f""L7_h{h}""] = ret.groupby(df[""timestamp""]).rank(pct=True).sub(0.5).astype(""float32"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,143,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"liq_rank = df[""__liquidity_proxy""].groupby(df[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,147,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"df[f""CONTROL_FUTURE_WRONGLAG_h{h}""] = df.groupby(""symbol"", sort=False)[ret.name if hasattr(ret, ""name"") else ""__close""].shift(-1) if False else ret.groupby(df[""symbol""]).shift(-1)",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,157,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"sig_rank = tmp[""signal""].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,158,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"lab_rank = tmp[label].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore32e_replay_preflight_execution.py,159,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"con_rank = tmp[control].groupby(tmp[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore33e_bounded_replay_execution.py,88,global_rank_or_quantile,normalization_scope,low,review,scope_check,return s.groupby(ts).rank(pct=True) - 0.5,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore33e_bounded_replay_execution.py,154,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"rank = frame[""signal""].groupby(frame[""timestamp""]).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore39e_symbol_level_book_packet_audit.py,83,global_rank_or_quantile,normalization_scope,low,review,scope_check,"tier = quote.groupby(df[""timestamp""]).rank(pct=True).mul(5).clip(0, 4).fillna(2).astype(int)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore39e_symbol_level_book_packet_audit.py,109,global_rank_or_quantile,normalization_scope,low,review,scope_check,"base[""candidate_rank""] = base[""candidate_score""].groupby(base[""timestamp""]).rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore39e_symbol_level_book_packet_audit.py,132,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"work[""candidate_rank""] = work[""candidate_score""].groupby(work[""timestamp""]).rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore43e_control_vector_rebuild_audit.py,187,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"work[f""{col}_rank""] = work[col].groupby(work[""timestamp""]).rank(pct=True, method=""average"").astype(""float32"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore44e_orthogonal_score_packet_construction.py,47,global_rank_or_quantile,normalization_scope,low,review,scope_check,"work[""book_rank""] = work[""book_score""].groupby(group_key).rank(pct=True, method=""average"").astype(""float32"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore51e_filtered_replay_execution.py,111,global_rank_or_quantile,normalization_scope,low,review,scope_check,"rank = tmp[""signal""].groupby(tmp[""timestamp""], sort=False).rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore7e_numeric_response_execution.py,128,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"panel[rank_col] = panel.groupby(""timestamp"", sort=False)[raw_col].rank(pct=True, method=""average"") - 0.5","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore7e_numeric_response_execution.py,180,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future"": full.groupby(symbol_groups, sort=False).shift(-1),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ffcore7r_control_policy_forensic.py,130,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"""p90_ratio"": float(df[f""{control}_ratio""].quantile(0.90)),","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore9e_bounded_replay_execution.py,152,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"ranks = g[signal_col].rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ffcore9e_bounded_replay_execution.py,199,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"control_full = pd.Series(signal).groupby(panel[""symbol""], sort=False).shift(-1).to_numpy(dtype=float)",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ls16_local_preflight.py,258,global_rank_or_quantile,normalization_scope,low,review,scope_check,"out[symbol_idx] = series.rolling(window=w, min_periods=min_periods).rank(pct=True).to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ls22_clue_attribution_promotion_triage.py,278,global_rank_or_quantile,normalization_scope,low,review,scope_check,"review.groupby(""duplicate_cluster_id"")[""score_no_may""].rank(method=""first"", ascending=False).astype(int)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7regime2_mechanism_regime_audit.py,95,global_rank_or_quantile,normalization_scope,low,review,scope_check,"return float(pd.to_numeric(series.loc[train_mask], errors=""coerce"").quantile(quantile))","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7regime2_mechanism_regime_audit.py,330,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""future_label_next_24h_market_ret_when_on"": float(states[""market_ret_24h""].shift(-24).loc[mask].mean()) if mask.any() else np.nan,",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7reward1_portfolio_reward_model.py,280,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,may_distance_q75 = float(distance.loc[may].quantile(0.75)) if np.any(may) else np.nan,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7reward1_portfolio_reward_model.py,281,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,may_stress_q25 = float(stress_score.loc[may].quantile(0.25)) if np.any(may) else np.nan,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7reward1_portfolio_reward_model.py,379,global_rank_or_quantile,normalization_scope,low,review,scope_check,"return pd.DataFrame(values).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7s2m_metrics_registry_diagnostic.py,158,global_rank_or_quantile,normalization_scope,low,review,scope_check,"return pd.DataFrame(mat).rank(axis=1, pct=True).to_numpy(dtype=float)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
