object,gate,split,active_ratio,active_hours,inactive_hours,active_mean_return,inactive_missed_mean_return,active_total_return_sum,inactive_missed_return_sum,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_turnover_active
FundingCore,G2_funding_abs_low_only,recent_oos_2025H2_2026Apr,0.7705573951434879,5585,1663,0.00018899861692461616,-0.0001730687229829101,1.0555572755239813,-0.2878132863205795,7248,0.00014563428194315413,1.2757563098220301,0.0019690732360601844,6.9223539669962735,9.966155732035094,0.3973509933774834,1.0555572755239813,-0.26496580443043205,1.8333801463013084,-0.2335273816092186,-0.015752481471994585,-0.004849850107545501,-0.0026748690092616894,0.0,0.0032285607576468182,10,8,0.8,-0.1205073637322441,0.03281760973469412
FundingCore,G2_funding_abs_low_only,fresh_forward_2026May,0.9158163265306123,359,33,-0.0001915912878698285,-0.0015851990357838776,-0.06878127234526843,-0.05231156818086796,392,-0.00017546242945221542,-1.537050882001407,0.002648509827070894,-6.200612660330654,-11.556819163947265,0.3392857142857143,-0.06878127234526844,-0.14972894891113236,-0.06775007129843613,-0.13927847418166028,-0.008057718175704848,-0.0063313689032590895,-0.0032858270435362643,-0.0002726306101076307,0.003805771311741803,1,0,0.0,-0.03911194775040951,0.03345150671055964
FundingCore,G3_funding_positive_share_low_or_mid,train_2024,0.5508241758241759,4812,3924,0.00023296005325139713,-3.164481383539759e-05,1.121003776245723,-0.12417424949010014,8736,0.00012832002933215695,1.124083456949695,0.00205565210820016,5.842475304123868,6.564494252611452,0.29521520146520147,1.121003776245723,-0.2942887570737003,2.011651365431603,-0.25607715152019017,-0.013890403386169647,-0.005982256223665936,-0.0030221513611134528,0.0,0.003634528680329922,12,9,0.75,-0.1139720087132062,0.022361509650567157
FundingCore,G3_funding_positive_share_low_or_mid,validation_2025H1,0.8575418994413407,3684,612,0.00021334415377659703,0.0004034768501729989,0.7859598625129834,0.24692783230587534,4296,0.0001829515508642885,1.6026555855711673,0.0029342470099445366,5.83568011284662,6.0241565406674065,0.47695530726256985,0.7859598625129834,-0.47220532750798705,1.1539659049500357,-0.3802366659262042,-0.038121102329422056,-0.006918423521041923,-0.004120046329783967,0.0,0.004484232216072937,6,4,0.6666666666666666,-0.2626530638963999,0.030978860457708417
FundingCore,G3_funding_positive_share_low_or_mid,recent_oos_2025H2_2026Apr,0.7738686534216336,5609,1639,7.925090604498946e-05,0.00019720906479381078,0.44451833200634583,0.32322565719705587,7248,6.13297919434804e-05,0.5372489774248882,0.0018892237087027373,3.0383664883612327,3.766604281917304,0.39266004415011035,0.4445183320063459,-0.43176324755620493,0.5396810136188979,-0.35148089634449153,-0.015752481471994585,-0.005502854441511146,-0.002868440154703517,0.0,0.0031138538202431596,10,7,0.7,-0.3096165909869456,0.03237761822179722
FundingCore,G3_funding_positive_share_low_or_mid,fresh_forward_2026May,0.8724489795918368,342,50,-0.00048822235395762505,0.0009175840905474271,-0.16697204505350777,0.045879204527371355,392,-0.0004259490945242545,-3.7313140680324692,0.0026354139591945477,-15.127282260234209,-27.321326616881016,0.27040816326530615,-0.16697204505350777,-0.20870950583851972,-0.1549516865456635,-0.1886660377538688,-0.008057718175704848,-0.0063313689032590895,-0.0037841126213642743,-0.0003666834497471997,0.0029344386616435053,1,0,0.0,-0.13730272045864883,0.0320851054403686
FundingCore,G4_basis_abs_low_or_mid,train_2024,0.6699862637362637,5853,2883,4.860122192391106e-05,0.0002470921175286062,0.28446295192065146,0.7123665748349716,8736,3.256215108981813e-05,0.28524444354680684,0.003229718640755468,0.9436271982283885,0.973685965372267,0.3453525641025641,0.2844629519206512,-1.3495699699418076,0.2697732320282158,-0.7435765922329972,-0.030972844954426926,-0.01008583490601735,-0.004934041734521317,0.0,0.00490558995870804,12,8,0.6666666666666666,-1.1562668399048646,0.019474774885712455
FundingCore,G4_basis_abs_low_or_mid,validation_2025H1,0.36033519553072624,1548,2748,0.00033031860846664715,0.00018979420993904254,0.5113332059063698,0.5215544889124889,4296,0.0001190254203692667,1.0426626824347764,0.0023190216451351316,4.803822752771711,3.798767400746227,0.20763500931098697,0.5113332059063698,-0.3129100187081954,0.6483000916771218,-0.26986432979202624,-0.03629375737296092,-0.007616217339552211,-0.0033806421587031475,0.0,0.003657788658901765,6,5,0.8333333333333334,-0.03073076224756751,0.025462390216038144
FundingCore,G4_basis_abs_low_or_mid,recent_oos_2025H2_2026Apr,0.4852373068432671,3517,3731,0.00011201270724295798,0.00010018635696325875,0.3939486913734832,0.3737952978299184,7248,5.435274439479629e-05,0.4761300408984155,0.0021516105159942824,2.364339687819149,2.2419485918393747,0.25579470198675497,0.3939486913734835,-0.832031330253688,0.45815476771961006,-0.5674483585800512,-0.017298481156424527,-0.007153059341952663,-0.003158010708956289,0.0,0.003294335406547051,10,8,0.8,-0.6656184357319492,0.029181156269593944
FundingCore,G4_basis_abs_low_or_mid,fresh_forward_2026May,0.41581632653061223,163,229,-9.240650349748116e-05,-0.00046301563517924443,-0.015062260070089428,-0.10603058045604698,392,-3.842413283186079e-05,-0.3365954036071005,0.002051682668484637,-1.7528547840612694,-2.4295909492375105,0.16581632653061223,-0.015062260070089428,-0.09556108100460987,-0.015756632611444554,-0.09128998202556493,-0.008057718175704848,-0.004686214867422412,-0.002875458144650364,0.0,0.0020447358705965347,1,0,0.0,-0.005950665489777886,0.03468116750325339
