timestamp,multiplier,gross_exposure,turnover,funding_drag,net_return,object,funding_abs_mean,funding_mean,funding_dispersion,funding_positive_share,funding_negative_share,funding_persistence_abs_mean,basis_abs_mean,basis_minus_abs_mean,vol_ret12_abs_mean,vol_hl_mean,funding_abs_mean_bucket,funding_dispersion_bucket,funding_positive_share_bucket,funding_negative_share_bucket,funding_persistence_abs_mean_bucket,basis_abs_mean_bucket,basis_minus_abs_mean_bucket,vol_ret12_abs_mean_bucket,vol_hl_mean_bucket
2026-05-18 02:00:00+00:00,0.25,0.5,0.041666666666666664,-2.669604166666666e-05,-0.004672907556463894,FundingCore,4.950416666666667e-05,-4.6295833333333325e-05,3.719581953623582e-05,0.08333333333333333,0.8333333333333334,0.75,0.0004924512057091305,2.6009347183340883,0.02282880642079056,0.009218098105415613,low,low,low,high,low,mid,mid,high,mid
2026-05-06 00:00:00+00:00,0.27272727272727276,0.5,0.0,-4.972204545454546e-05,-0.00457110857294351,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.000425990471271398,4.671464350000343,0.006653043638369928,0.007182873216974306,mid,mid,mid,high,high,mid,high,low,low
2026-05-18 01:00:00+00:00,0.25,0.5,0.12499999999999999,-2.5943541666666665e-05,-0.004310386184341288,FundingCore,4.950416666666667e-05,-4.6295833333333325e-05,3.719581953623582e-05,0.08333333333333333,0.8333333333333334,0.75,0.0005118439647091855,3.2020439100000364,0.026127807266113523,0.013194977162641718,low,low,low,high,low,mid,high,high,mid
2026-05-05 20:00:00+00:00,0.27272727272727276,0.5,0.0,-4.972204545454546e-05,-0.004267149340807346,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0005223653620442063,3.2804913333331833,0.014345854454297036,0.007368723897670994,mid,mid,mid,high,high,mid,high,mid,low
2026-05-08 16:00:00+00:00,0.25,0.5,0.0,-3.6105833333333336e-05,-0.004093930375323312,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004259495091928263,3.4948393816667243,0.015100828195898391,0.006090274823196994,low,low,low,high,low,mid,high,mid,low
2026-05-05 19:00:00+00:00,0.27272727272727276,0.5,0.0,-3.370454545454546e-05,-0.004086497543826868,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.00040875880645164603,4.152500793333372,0.011768651385984855,0.004889318257453891,mid,mid,mid,high,high,mid,high,low,low
2026-05-06 02:00:00+00:00,0.27272727272727276,0.5,0.0,-3.191500000000001e-05,-0.0040178070965405915,FundingCore,8.809000000000002e-05,6.943333333333335e-05,5.902647150972933e-05,0.8333333333333334,0.16666666666666666,1.0,0.0004859739313596752,3.557799835000474,0.01217723604689371,0.0070364902342851185,mid,mid,mid,high,high,mid,high,low,low
2026-05-05 23:00:00+00:00,0.27272727272727276,0.5,0.0,-4.972204545454546e-05,-0.0039810818079663215,FundingCore,8.805333333333333e-05,6.345333333333334e-05,6.376837726403965e-05,0.8333333333333334,0.16666666666666666,1.0,0.0004928422937202914,4.500631089167528,0.008283959749978725,0.007183102295078813,mid,mid,mid,high,high,mid,high,low,low
2026-05-06 03:00:00+00:00,0.27272727272727276,0.5,0.0,-3.191500000000001e-05,-0.003841122184719481,FundingCore,8.809000000000002e-05,6.943333333333335e-05,5.902647150972933e-05,0.8333333333333334,0.16666666666666666,1.0,0.0005602388628163923,4.277954118333585,0.015333534089006201,0.0076588027066475306,mid,mid,mid,high,high,high,high,mid,low
2026-05-08 08:00:00+00:00,0.25,0.5,0.0,-2.8562291666666668e-05,-0.0037847542668422267,FundingCore,5.064416666666668e-05,2.4560833333333337e-05,5.7360504771479206e-05,0.5833333333333334,0.4166666666666667,1.0,0.000494103305799252,3.2738581350003813,0.005458498093521881,0.006222783056906157,low,mid,low,high,high,mid,high,low,low
