candidate_id,family_id,dataset,motif,primary_field,partner_field,window_h,operator,expression,candidate_role,executes_numeric,primary_field_available,partner_field_available,materialization_preflight_pass
a7ffcore29e_0033,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_volume_imbalance,premium_index_bps,72,ZScore,"ZScore(agg_volume_imbalance,72)*ZScore(Delta(premium_index_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0034,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_max_trade_notional,premium_index_bps,168,ZScore,"ZScore(agg_max_trade_notional,168)*ZScore(Delta(premium_index_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0035,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_large_notional_ratio_100k_plus,premium_index_bps,4,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,4)*ZScore(Delta(premium_index_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0036,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_signed_aggressor_notional,funding_rate,8,TSRank,"TSRank(agg_signed_aggressor_notional,8)*ZScore(Delta(funding_rate,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0037,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_volume_imbalance,funding_rate,24,TSRank,"TSRank(agg_volume_imbalance,24)*ZScore(Delta(funding_rate,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0038,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_max_trade_notional,funding_rate,72,TSRank,"TSRank(agg_max_trade_notional,72)*ZScore(Delta(funding_rate,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0039,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_large_notional_ratio_100k_plus,funding_rate,168,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,168)*ZScore(Delta(funding_rate,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0040,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_signed_aggressor_notional,mark_index_basis_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,4)),ZScore(Mean(mark_index_basis_bps,16)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0041,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_volume_imbalance,mark_index_basis_bps,8,SpreadShortLong,"Sub(ZScore(Mean(agg_volume_imbalance,8)),ZScore(Mean(mark_index_basis_bps,32)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0042,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_max_trade_notional,mark_index_basis_bps,24,SpreadShortLong,"Sub(ZScore(Mean(agg_max_trade_notional,24)),ZScore(Mean(mark_index_basis_bps,96)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0043,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,72,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,72)),ZScore(Mean(mark_index_basis_bps,288)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0044,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_signed_aggressor_notional,agg_price_range_bps,168,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,168)),ZScore(Mean(agg_price_range_bps,336)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0045,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_volume_imbalance,agg_price_range_bps,4,WinsorZ,"Clip(ZScore(Delta(agg_volume_imbalance,4)),-3,3)*Sign(Delta(agg_price_range_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0046,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_max_trade_notional,agg_price_range_bps,8,WinsorZ,"Clip(ZScore(Delta(agg_max_trade_notional,8)),-3,3)*Sign(Delta(agg_price_range_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0047,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_large_notional_ratio_100k_plus,agg_price_range_bps,24,WinsorZ,"Clip(ZScore(Delta(agg_large_notional_ratio_100k_plus,24)),-3,3)*Sign(Delta(agg_price_range_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0048,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_signed_aggressor_notional,premium_index_bps,72,WinsorZ,"Clip(ZScore(Delta(agg_signed_aggressor_notional,72)),-3,3)*Sign(Delta(premium_index_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0049,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_volume_imbalance,premium_index_bps,168,WinsorZ,"Clip(ZScore(Delta(agg_volume_imbalance,168)),-3,3)*Sign(Delta(premium_index_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0050,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_max_trade_notional,premium_index_bps,4,Delta,"Delta(agg_max_trade_notional,4)*ZScore(Delta(premium_index_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0051,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_large_notional_ratio_100k_plus,premium_index_bps,8,Delta,"Delta(agg_large_notional_ratio_100k_plus,8)*ZScore(Delta(premium_index_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0052,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_signed_aggressor_notional,funding_rate,24,Delta,"Delta(agg_signed_aggressor_notional,24)*ZScore(Delta(funding_rate,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0053,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_volume_imbalance,funding_rate,72,Delta,"Delta(agg_volume_imbalance,72)*ZScore(Delta(funding_rate,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0054,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_max_trade_notional,funding_rate,168,Delta,"Delta(agg_max_trade_notional,168)*ZScore(Delta(funding_rate,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0055,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_large_notional_ratio_100k_plus,funding_rate,4,ZScore,"ZScore(agg_large_notional_ratio_100k_plus,4)*ZScore(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0056,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_signed_aggressor_notional,mark_index_basis_bps,8,ZScore,"ZScore(agg_signed_aggressor_notional,8)*ZScore(Delta(mark_index_basis_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0057,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_volume_imbalance,mark_index_basis_bps,24,ZScore,"ZScore(agg_volume_imbalance,24)*ZScore(Delta(mark_index_basis_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0058,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_max_trade_notional,mark_index_basis_bps,72,ZScore,"ZScore(agg_max_trade_notional,72)*ZScore(Delta(mark_index_basis_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0059,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,168,ZScore,"ZScore(agg_large_notional_ratio_100k_plus,168)*ZScore(Delta(mark_index_basis_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0060,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_signed_aggressor_notional,agg_price_range_bps,4,TSRank,"TSRank(agg_signed_aggressor_notional,4)*ZScore(Delta(agg_price_range_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0061,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_volume_imbalance,agg_price_range_bps,8,TSRank,"TSRank(agg_volume_imbalance,8)*ZScore(Delta(agg_price_range_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0062,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_max_trade_notional,agg_price_range_bps,24,TSRank,"TSRank(agg_max_trade_notional,24)*ZScore(Delta(agg_price_range_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0063,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_low_turnover,agg_large_notional_ratio_100k_plus,agg_price_range_bps,72,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,72)*ZScore(Delta(agg_price_range_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0064,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,premium_index_bps,168,TSRank,"TSRank(agg_signed_aggressor_notional,168)*ZScore(Delta(premium_index_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0065,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,premium_index_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_volume_imbalance,4)),ZScore(Mean(premium_index_bps,16)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0066,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,premium_index_bps,8,SpreadShortLong,"Sub(ZScore(Mean(agg_max_trade_notional,8)),ZScore(Mean(premium_index_bps,32)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0067,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,premium_index_bps,24,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,24)),ZScore(Mean(premium_index_bps,96)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0068,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,funding_rate,72,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,72)),ZScore(Mean(funding_rate,288)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0069,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,funding_rate,168,SpreadShortLong,"Sub(ZScore(Mean(agg_volume_imbalance,168)),ZScore(Mean(funding_rate,336)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0070,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,funding_rate,4,WinsorZ,"Clip(ZScore(Delta(agg_max_trade_notional,4)),-3,3)*Sign(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0071,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,funding_rate,8,WinsorZ,"Clip(ZScore(Delta(agg_large_notional_ratio_100k_plus,8)),-3,3)*Sign(Delta(funding_rate,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0072,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,mark_index_basis_bps,24,WinsorZ,"Clip(ZScore(Delta(agg_signed_aggressor_notional,24)),-3,3)*Sign(Delta(mark_index_basis_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0073,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,mark_index_basis_bps,72,WinsorZ,"Clip(ZScore(Delta(agg_volume_imbalance,72)),-3,3)*Sign(Delta(mark_index_basis_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0074,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,mark_index_basis_bps,168,WinsorZ,"Clip(ZScore(Delta(agg_max_trade_notional,168)),-3,3)*Sign(Delta(mark_index_basis_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0075,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,4,Delta,"Delta(agg_large_notional_ratio_100k_plus,4)*ZScore(Delta(mark_index_basis_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0076,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,agg_price_range_bps,8,Delta,"Delta(agg_signed_aggressor_notional,8)*ZScore(Delta(agg_price_range_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0077,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,agg_price_range_bps,24,Delta,"Delta(agg_volume_imbalance,24)*ZScore(Delta(agg_price_range_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0078,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,agg_price_range_bps,72,Delta,"Delta(agg_max_trade_notional,72)*ZScore(Delta(agg_price_range_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0079,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,agg_price_range_bps,168,Delta,"Delta(agg_large_notional_ratio_100k_plus,168)*ZScore(Delta(agg_price_range_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0080,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,premium_index_bps,4,ZScore,"ZScore(agg_signed_aggressor_notional,4)*ZScore(Delta(premium_index_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0081,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,premium_index_bps,8,ZScore,"ZScore(agg_volume_imbalance,8)*ZScore(Delta(premium_index_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0082,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,premium_index_bps,24,ZScore,"ZScore(agg_max_trade_notional,24)*ZScore(Delta(premium_index_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0083,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,premium_index_bps,72,ZScore,"ZScore(agg_large_notional_ratio_100k_plus,72)*ZScore(Delta(premium_index_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0084,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,funding_rate,168,ZScore,"ZScore(agg_signed_aggressor_notional,168)*ZScore(Delta(funding_rate,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0085,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,funding_rate,4,TSRank,"TSRank(agg_volume_imbalance,4)*ZScore(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0086,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,funding_rate,8,TSRank,"TSRank(agg_max_trade_notional,8)*ZScore(Delta(funding_rate,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0087,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,funding_rate,24,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,24)*ZScore(Delta(funding_rate,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0088,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,mark_index_basis_bps,72,TSRank,"TSRank(agg_signed_aggressor_notional,72)*ZScore(Delta(mark_index_basis_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0089,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,mark_index_basis_bps,168,TSRank,"TSRank(agg_volume_imbalance,168)*ZScore(Delta(mark_index_basis_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0090,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,mark_index_basis_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_max_trade_notional,4)),ZScore(Mean(mark_index_basis_bps,16)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0091,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,8,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,8)),ZScore(Mean(mark_index_basis_bps,32)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0092,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,agg_price_range_bps,24,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,24)),ZScore(Mean(agg_price_range_bps,96)))",preflight_blueprint_only,False,True,True,True
