symbol,path,file_exists,manifest_status,manifest_rows,coverage_metrics,coverage_market_funding,read_ok,error,rows,row_count_match,timestamp_min,timestamp_max,duplicate_symbol_timestamp,gap_hours,inf_cell_count,nan_cell_count,negative_non_allowed_count,feature_lag_min_hours,execution_lag_min_hours,feature_to_execution_lag_min_hours,median_hourly_quote_volume,mean_hourly_quote_volume,p10_hourly_quote_volume,p90_hourly_quote_volume,metrics_missing_rows,market_funding_missing_rows,source_trade_klines_rate,source_metrics_rate,source_market_funding_rate,rows_train_2024,rows_validation_2025H1,rows_recent_2025H2_2026Apr,rows_may_2026_stress_unavailable,liquidity_rank,liquidity_tier,history_tier,search_eligibility,contract_format,base_asset,is_core12,is_major
FARTCOINUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=FARTCOINUSDT\part.parquet,True,ok,11910,1.0,1.0,True,,11910,True,2024-12-20 18:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,17872,0,1.0,1.0,0.0,9796013.97231,14565153.913195053,1740049.9375720003,32150955.818143003,0,0,1.0,1.0,1.0,270,4344,7296,0,12,top20,listed_by_2025H1,listing_aware,plain_contract,FARTCOIN,False,False
AVAXUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=AVAXUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,9520662.469999999,13882859.491616972,3804211.5603,27460035.9237,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,13,top20,full_2024_2026apr,strict_full_history,plain_contract,AVAX,True,False
ENAUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ENAUSDT\part.parquet,True,ok,18204,1.0,1.0,True,,18204,True,2024-04-02 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,27315,0,1.0,1.0,0.0,9480076.84515,15940744.739471275,2822632.23608,35182030.41341,0,0,1.0,1.0,1.0,6564,4344,7296,0,14,top20,listed_by_2025H1,listing_aware,plain_contract,ENA,False,False
LINKUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=LINKUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,9015910.776645001,13984443.276340501,3272209.221533,28913304.741935004,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,15,top20,full_2024_2026apr,strict_full_history,plain_contract,LINK,True,False
WLDUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=WLDUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,7002302.05815,12738468.770306014,1924829.6792000001,27058366.239970002,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,16,top20,full_2024_2026apr,strict_full_history,plain_contract,WLD,False,False
TRUMPUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=TRUMPUSDT\part.parquet,True,ok,11219,1.0,1.0,True,,11219,True,2025-01-18 13:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,16836,0,1.0,1.0,0.0,6821205.94739,23735302.623505592,1427942.770674,44834982.675948024,0,0,1.0,1.0,1.0,0,3923,7296,0,17,top20,recent_only,listing_aware,plain_contract,TRUMP,False,False
PUMPUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=PUMPUSDT\part.parquet,True,ok,7289,0.970366305391686,1.0,True,,7289,True,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,7,0,14708,0,1.0,1.0,0.0,6670073.673663,12099925.087232638,1274309.264525,28941355.837086998,216,0,1.0,0.9703663053916861,1.0,0,0,7289,0,18,top20,recent_only,hold_quality_or_short_history,plain_contract,PUMP,False,False
ASTERUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ASTERUSDT\part.parquet,True,ok,5364,1.0,1.0,True,,5364,True,2025-09-19 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,8048,0,1.0,1.0,0.0,6561659.7926,19123305.662762307,1403876.16063,50947385.183769986,0,0,1.0,1.0,1.0,0,0,5364,0,19,top20,short_history,listing_aware,plain_contract,ASTER,False,False
LTCUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=LTCUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,6423928.5956,10932222.437410468,2128536.732968,23883788.550095,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,20,top20,full_2024_2026apr,strict_full_history,plain_contract,LTC,True,False
RIVERUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=RIVERUSDT\part.parquet,True,ok,4690,1.0,1.0,True,,4690,True,2025-10-17 14:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,4974,0,1.0,1.0,0.0,6378103.8463,14126652.147596097,448290.7514500001,37540940.424720004,0,0,1.0,1.0,1.0,0,0,4690,0,21,top50,short_history,listing_aware,plain_contract,RIVER,False,False
BCHUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=BCHUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,5190550.75025,8974889.256245982,2020716.8612670002,18288418.621581,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,22,top50,full_2024_2026apr,strict_full_history,plain_contract,BCH,True,False
NEARUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=NEARUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,5182960.1495,8110456.283467636,2122318.9163,16744020.846100012,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,23,top50,full_2024_2026apr,strict_full_history,plain_contract,NEAR,False,False
FILUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=FILUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,5084373.908,8719937.463069325,2193158.1467399998,17867192.215800002,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,24,top50,full_2024_2026apr,strict_full_history,plain_contract,FIL,False,False
DOTUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=DOTUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,4785066.6719,7296073.72951978,1985631.9105500001,14359346.469110006,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,25,top50,full_2024_2026apr,strict_full_history,plain_contract,DOT,False,False
AAVEUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=AAVEUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,4714573.4885,7497906.874757932,1278803.6525,16334330.598700002,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,26,top50,full_2024_2026apr,strict_full_history,plain_contract,AAVE,False,False
1000SHIBUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=1000SHIBUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,4612492.547191,10971343.408539379,1433737.9685374,21489758.91519701,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,27,top50,full_2024_2026apr,strict_full_history,multiplier_contract,1000SHIB,False,False
TIAUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=TIAUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,30773,0,1.0,1.0,0.0,4345167.1862,6854714.483320971,1055797.37867,14752739.451810004,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,28,top50,full_2024_2026apr,strict_full_history,plain_contract,TIA,False,False
1000BONKUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=1000BONKUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,30773,0,1.0,1.0,0.0,4284986.754673,8600840.115945091,1125999.327736,19810792.45204562,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,29,top50,full_2024_2026apr,strict_full_history,multiplier_contract,1000BONK,False,False
ORDIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ORDIUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,30773,0,1.0,1.0,0.0,4160073.5047,9787949.277186384,443994.12723,24336577.095850006,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,30,top50,full_2024_2026apr,strict_full_history,plain_contract,ORDI,False,False
TAOUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=TAOUSDT\part.parquet,True,ok,17986,1.0,1.0,True,,17986,True,2024-04-11 14:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,26987,0,1.0,1.0,0.0,4118175.7849399997,6340441.4862330975,1203263.29415,13421109.749499999,0,0,1.0,1.0,1.0,6346,4344,7296,0,31,top50,listed_by_2025H1,listing_aware,plain_contract,TAO,False,False
ARBUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ARBUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,4106192.473755,7497482.466898352,1317052.290786,16279105.834898004,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,32,top50,full_2024_2026apr,strict_full_history,plain_contract,ARB,False,False
PENGUUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=PENGUUSDT\part.parquet,True,ok,11984,1.0,1.0,True,,11984,True,2024-12-17 16:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,17982,0,1.0,1.0,0.0,4005402.9006324997,8241623.242428358,1071581.0764482,19194039.345366407,0,0,1.0,1.0,1.0,344,4344,7296,0,33,top50,listed_by_2025H1,listing_aware,plain_contract,PENGU,False,False
OPUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=OPUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3798113.489015,6077878.815512767,1229114.4409400001,12752867.426691,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,34,top50,full_2024_2026apr,strict_full_history,plain_contract,OP,False,False
UNIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=UNIUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3736057.0659999996,7042232.259032659,1298051.191,14910523.118800014,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,35,top50,full_2024_2026apr,strict_full_history,plain_contract,UNI,False,False
ONDOUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ONDOUSDT\part.parquet,True,ok,19955,0.9994988724630418,1.0,True,,19955,True,2024-01-20 13:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,30071,0,1.0,1.0,0.0,3654209.87191,6107035.491713915,906847.951944,13383582.597130008,10,0,1.0,0.9994988724630418,1.0,8315,4344,7296,0,36,top50,full_2024_2026apr,strict_full_history,plain_contract,ONDO,False,False
APTUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=APTUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3646803.23972,6232069.712156676,1241408.321553,13356385.756866004,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,37,top50,full_2024_2026apr,strict_full_history,plain_contract,APT,False,False
CRVUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=CRVUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3461137.20845,5264937.739958157,1206387.38819,10789069.512740001,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,38,top50,full_2024_2026apr,strict_full_history,plain_contract,CRV,False,False
FETUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=FETUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3294161.3729499998,5425697.184410732,1027837.3687300001,11748064.38412,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,39,top50,full_2024_2026apr,strict_full_history,plain_contract,FET,False,False
XPLUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=XPLUSDT\part.parquet,True,ok,6039,1.0,1.0,True,,6039,True,2025-08-22 09:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,13976,0,1.0,1.0,0.0,3182437.6086,11239217.39953403,948886.10976,21077798.116499998,0,0,1.0,1.0,1.0,0,0,6039,0,40,top50,short_history,listing_aware,plain_contract,XPL,False,False
VIRTUALUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=VIRTUALUSDT\part.parquet,True,ok,12156,1.0,1.0,True,,12156,True,2024-12-10 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,18242,0,1.0,1.0,0.0,3058668.985775,5767527.925954379,828763.2788849999,13510865.050999999,0,0,1.0,1.0,1.0,516,4344,7296,0,41,top50,listed_by_2025H1,listing_aware,plain_contract,VIRTUAL,False,False
WLFIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=WLFIUSDT\part.parquet,True,ok,6016,1.0,1.0,True,,6016,True,2025-08-23 08:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,10354,0,1.0,1.0,0.0,3023305.66435,10972645.038084742,781467.7117,24321478.555299997,0,0,1.0,1.0,1.0,0,0,6016,0,42,top50,short_history,listing_aware,plain_contract,WLFI,False,False
INJUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=INJUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,3000052.6054499997,4664190.498975294,843755.32757,9774359.82169,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,43,top50,full_2024_2026apr,strict_full_history,plain_contract,INJ,False,False
ETCUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ETCUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,2931621.310985,5531985.988370784,918951.004835,11795776.767441,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,44,top50,full_2024_2026apr,strict_full_history,plain_contract,ETC,False,False
TRXUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=TRXUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,2877017.515065,4731619.839490277,1155434.6551670001,8663919.973749,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,45,top50,full_2024_2026apr,strict_full_history,plain_contract,TRX,False,False
NEIROUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=NEIROUSDT\part.parquet,True,ok,14197,1.0,1.0,True,,14197,True,2024-09-16 11:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,21303,0,1.0,1.0,0.0,2843050.7184191,11436904.743487962,352654.42131764,30420782.320868276,0,0,1.0,1.0,1.0,2557,4344,7296,0,46,top50,listed_by_2025H1,listing_aware,plain_contract,NEIRO,False,False
PNUTUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=PNUTUSDT\part.parquet,True,ok,12852,1.0,1.0,True,,12852,True,2024-11-11 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,19286,0,1.0,1.0,0.0,2657282.97874,10288639.912050188,238614.650628,25350649.498577,0,0,1.0,1.0,1.0,1212,4344,7296,0,47,top50,listed_by_2025H1,listing_aware,plain_contract,PNUT,False,False
SEIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=SEIUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,2654382.8086,5250466.208047683,734891.2846700001,12157456.866240002,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,48,top50,full_2024_2026apr,strict_full_history,plain_contract,SEI,False,False
ETHFIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ETHFIUSDT\part.parquet,True,ok,18561,1.0,1.0,True,,18561,True,2024-03-18 15:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,27849,0,1.0,1.0,0.0,2481389.84276,4476330.09951786,427500.75502,9443435.31372,0,0,1.0,1.0,1.0,6921,4344,7296,0,49,top50,listed_by_2025H1,listing_aware,plain_contract,ETHFI,False,False
PAXGUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=PAXGUSDT\part.parquet,True,ok,9590,1.0,1.0,True,,9590,True,2025-03-27 10:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,14392,0,1.0,1.0,0.0,2454771.62166,5706446.014998981,575078.660187,12700220.375439001,0,0,1.0,1.0,1.0,0,2294,7296,0,50,top50,recent_only,listing_aware,plain_contract,PAXG,False,False
GALAUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=GALAUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,2428004.590225,4377899.61284428,889893.865511,8986918.551412001,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,51,top100,full_2024_2026apr,strict_full_history,plain_contract,GALA,False,False
TONUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=TONUSDT\part.parquet,True,ok,18972,1.0,1.0,True,,18972,True,2024-03-01 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,28467,0,1.0,1.0,0.0,2331747.61937,4260488.008053094,781503.966306,8842674.186542,0,0,1.0,1.0,1.0,7332,4344,7296,0,52,top100,listed_by_2025H1,listing_aware,plain_contract,TON,False,False
LDOUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=LDOUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,2275978.57175,3686230.4672516654,626360.14945,7832818.764920001,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,53,top100,full_2024_2026apr,strict_full_history,plain_contract,LDO,False,False
