symbol,base_asset,contract_format,is_core12,is_major,liquidity_rank,liquidity_tier,history_tier,search_eligibility,median_hourly_quote_volume,rows,timestamp_min,timestamp_max
WLDUSDT,WLD,plain_contract,False,False,16,top20,full_2024_2026apr,strict_full_history,7002302.05815,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TRUMPUSDT,TRUMP,plain_contract,False,False,17,top20,recent_only,listing_aware,6821205.94739,11219,2025-01-18 13:00:00+00:00,2026-04-30 23:00:00+00:00
PUMPUSDT,PUMP,plain_contract,False,False,18,top20,recent_only,hold_quality_or_short_history,6670073.673663,7289,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ASTERUSDT,ASTER,plain_contract,False,False,19,top20,short_history,listing_aware,6561659.7926,5364,2025-09-19 12:00:00+00:00,2026-04-30 23:00:00+00:00
LTCUSDT,LTC,plain_contract,True,False,20,top20,full_2024_2026apr,strict_full_history,6423928.5956,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
RIVERUSDT,RIVER,plain_contract,False,False,21,top50,short_history,listing_aware,6378103.8463,4690,2025-10-17 14:00:00+00:00,2026-04-30 23:00:00+00:00
BCHUSDT,BCH,plain_contract,True,False,22,top50,full_2024_2026apr,strict_full_history,5190550.75025,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
NEARUSDT,NEAR,plain_contract,False,False,23,top50,full_2024_2026apr,strict_full_history,5182960.1495,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
FILUSDT,FIL,plain_contract,False,False,24,top50,full_2024_2026apr,strict_full_history,5084373.908,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
DOTUSDT,DOT,plain_contract,False,False,25,top50,full_2024_2026apr,strict_full_history,4785066.6719,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
AAVEUSDT,AAVE,plain_contract,False,False,26,top50,full_2024_2026apr,strict_full_history,4714573.4885,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
1000SHIBUSDT,1000SHIB,multiplier_contract,False,False,27,top50,full_2024_2026apr,strict_full_history,4612492.547191,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TIAUSDT,TIA,plain_contract,False,False,28,top50,full_2024_2026apr,strict_full_history,4345167.1862,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
1000BONKUSDT,1000BONK,multiplier_contract,False,False,29,top50,full_2024_2026apr,strict_full_history,4284986.754673,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ORDIUSDT,ORDI,plain_contract,False,False,30,top50,full_2024_2026apr,strict_full_history,4160073.5047,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TAOUSDT,TAO,plain_contract,False,False,31,top50,listed_by_2025H1,listing_aware,4118175.7849399997,17986,2024-04-11 14:00:00+00:00,2026-04-30 23:00:00+00:00
ARBUSDT,ARB,plain_contract,False,False,32,top50,full_2024_2026apr,strict_full_history,4106192.473755,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
PENGUUSDT,PENGU,plain_contract,False,False,33,top50,listed_by_2025H1,listing_aware,4005402.9006324997,11984,2024-12-17 16:00:00+00:00,2026-04-30 23:00:00+00:00
OPUSDT,OP,plain_contract,False,False,34,top50,full_2024_2026apr,strict_full_history,3798113.489015,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
UNIUSDT,UNI,plain_contract,False,False,35,top50,full_2024_2026apr,strict_full_history,3736057.0659999996,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ONDOUSDT,ONDO,plain_contract,False,False,36,top50,full_2024_2026apr,strict_full_history,3654209.87191,19955,2024-01-20 13:00:00+00:00,2026-04-30 23:00:00+00:00
APTUSDT,APT,plain_contract,False,False,37,top50,full_2024_2026apr,strict_full_history,3646803.23972,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
CRVUSDT,CRV,plain_contract,False,False,38,top50,full_2024_2026apr,strict_full_history,3461137.20845,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
FETUSDT,FET,plain_contract,False,False,39,top50,full_2024_2026apr,strict_full_history,3294161.3729499998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
XPLUSDT,XPL,plain_contract,False,False,40,top50,short_history,listing_aware,3182437.6086,6039,2025-08-22 09:00:00+00:00,2026-04-30 23:00:00+00:00
VIRTUALUSDT,VIRTUAL,plain_contract,False,False,41,top50,listed_by_2025H1,listing_aware,3058668.985775,12156,2024-12-10 12:00:00+00:00,2026-04-30 23:00:00+00:00
WLFIUSDT,WLFI,plain_contract,False,False,42,top50,short_history,listing_aware,3023305.66435,6016,2025-08-23 08:00:00+00:00,2026-04-30 23:00:00+00:00
INJUSDT,INJ,plain_contract,False,False,43,top50,full_2024_2026apr,strict_full_history,3000052.6054499997,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ETCUSDT,ETC,plain_contract,False,False,44,top50,full_2024_2026apr,strict_full_history,2931621.310985,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TRXUSDT,TRX,plain_contract,False,False,45,top50,full_2024_2026apr,strict_full_history,2877017.515065,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
NEIROUSDT,NEIRO,plain_contract,False,False,46,top50,listed_by_2025H1,listing_aware,2843050.7184191,14197,2024-09-16 11:00:00+00:00,2026-04-30 23:00:00+00:00
PNUTUSDT,PNUT,plain_contract,False,False,47,top50,listed_by_2025H1,listing_aware,2657282.97874,12852,2024-11-11 12:00:00+00:00,2026-04-30 23:00:00+00:00
SEIUSDT,SEI,plain_contract,False,False,48,top50,full_2024_2026apr,strict_full_history,2654382.8086,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ETHFIUSDT,ETHFI,plain_contract,False,False,49,top50,listed_by_2025H1,listing_aware,2481389.84276,18561,2024-03-18 15:00:00+00:00,2026-04-30 23:00:00+00:00
PAXGUSDT,PAXG,plain_contract,False,False,50,top50,recent_only,listing_aware,2454771.62166,9590,2025-03-27 10:00:00+00:00,2026-04-30 23:00:00+00:00
GALAUSDT,GALA,plain_contract,False,False,51,top100,full_2024_2026apr,strict_full_history,2428004.590225,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TONUSDT,TON,plain_contract,False,False,52,top100,listed_by_2025H1,listing_aware,2331747.61937,18972,2024-03-01 12:00:00+00:00,2026-04-30 23:00:00+00:00
LDOUSDT,LDO,plain_contract,False,False,53,top100,full_2024_2026apr,strict_full_history,2275978.57175,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
POPCATUSDT,POPCAT,plain_contract,False,False,54,top100,listed_by_2025H1,listing_aware,2223016.6566,14795,2024-08-22 13:00:00+00:00,2026-04-30 23:00:00+00:00
1000FLOKIUSDT,1000FLOKI,multiplier_contract,False,False,55,top100,full_2024_2026apr,strict_full_history,2081358.951435,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
HBARUSDT,HBAR,plain_contract,False,False,56,top100,full_2024_2026apr,strict_full_history,2073535.84802,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
1000SATSUSDT,1000SATS,multiplier_contract,False,False,57,top100,full_2024_2026apr,strict_full_history,2070159.2141859499,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
EIGENUSDT,EIGEN,plain_contract,False,False,58,top100,listed_by_2025H1,listing_aware,2006903.0630649999,13842,2024-10-01 06:00:00+00:00,2026-04-30 23:00:00+00:00
XLMUSDT,XLM,plain_contract,False,False,59,top100,full_2024_2026apr,strict_full_history,1960063.533045,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ATOMUSDT,ATOM,plain_contract,False,False,60,top100,full_2024_2026apr,strict_full_history,1865381.228075,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
BOMEUSDT,BOME,plain_contract,False,False,61,top100,listed_by_2025H1,listing_aware,1837185.9515155,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00
JUPUSDT,JUP,plain_contract,False,False,62,top100,full_2024_2026apr,strict_full_history,1798365.51875,19686,2024-01-31 18:00:00+00:00,2026-04-30 23:00:00+00:00
PENDLEUSDT,PENDLE,plain_contract,False,False,63,top100,full_2024_2026apr,strict_full_history,1667361.7462,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
BEATUSDT,BEAT,plain_contract,False,False,64,top100,short_history,listing_aware,1576127.573055,4068,2025-11-12 12:00:00+00:00,2026-04-30 23:00:00+00:00
PEOPLEUSDT,PEOPLE,plain_contract,False,False,65,top100,full_2024_2026apr,strict_full_history,1550778.9537149998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ICPUSDT,ICP,plain_contract,False,False,66,top100,full_2024_2026apr,strict_full_history,1473120.7515,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
DYDXUSDT,DYDX,plain_contract,False,False,67,top100,full_2024_2026apr,strict_full_history,1470172.1267,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TRBUSDT,TRB,plain_contract,False,False,68,top100,full_2024_2026apr,strict_full_history,1406577.9774,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
GIGGLEUSDT,GIGGLE,plain_contract,False,False,69,top100,short_history,listing_aware,1393160.8981,4887,2025-10-09 09:00:00+00:00,2026-04-30 23:00:00+00:00
RENDERUSDT,RENDER,plain_contract,False,False,70,top100,listed_by_2025H1,listing_aware,1368523.01135,15446,2024-07-26 10:00:00+00:00,2026-04-30 23:00:00+00:00
ENSUSDT,ENS,plain_contract,False,False,71,top100,full_2024_2026apr,strict_full_history,1353883.7899,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
MOODENGUSDT,MOODENG,plain_contract,False,False,72,top100,listed_by_2025H1,listing_aware,1346399.625455,13262,2024-10-25 10:00:00+00:00,2026-04-30 23:00:00+00:00
JTOUSDT,JTO,plain_contract,False,False,73,top100,full_2024_2026apr,strict_full_history,1327179.9274499998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
TURBOUSDT,TURBO,plain_contract,False,False,74,top100,listed_by_2025H1,listing_aware,1319192.2404406,16809,2024-05-30 15:00:00+00:00,2026-04-30 23:00:00+00:00
ZROUSDT,ZRO,plain_contract,False,False,75,top100,listed_by_2025H1,listing_aware,1275819.57164,16306,2024-06-20 14:00:00+00:00,2026-04-30 23:00:00+00:00
STXUSDT,STX,plain_contract,False,False,76,top100,full_2024_2026apr,strict_full_history,1251413.17665,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
APEUSDT,APE,plain_contract,False,False,77,top100,full_2024_2026apr,strict_full_history,1235421.6398999998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
SPXUSDT,SPX,plain_contract,False,False,78,top100,listed_by_2025H1,listing_aware,1206211.4345,12156,2024-12-10 12:00:00+00:00,2026-04-30 23:00:00+00:00
SANDUSDT,SAND,plain_contract,False,False,79,top100,full_2024_2026apr,strict_full_history,1182881.0574349998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
RUNEUSDT,RUNE,plain_contract,False,False,80,top100,full_2024_2026apr,strict_full_history,1178523.7985,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
KITEUSDT,KITE,plain_contract,False,False,81,top100,short_history,listing_aware,1174905.0508599998,4406,2025-10-29 10:00:00+00:00,2026-04-30 23:00:00+00:00
BERAUSDT,BERA,plain_contract,False,False,82,top100,recent_only,listing_aware,1130386.66886,10761,2025-02-06 15:00:00+00:00,2026-04-30 23:00:00+00:00
IPUSDT,IP,plain_contract,False,False,83,top100,recent_only,listing_aware,1125104.351,10591,2025-02-13 17:00:00+00:00,2026-04-30 23:00:00+00:00
MYXUSDT,MYX,plain_contract,False,False,84,top100,recent_only,listing_aware,1080171.98345,7596,2025-06-18 12:00:00+00:00,2026-04-30 23:00:00+00:00
ALGOUSDT,ALGO,plain_contract,False,False,85,top100,full_2024_2026apr,strict_full_history,1074182.671695,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
STRKUSDT,STRK,plain_contract,False,False,86,top100,listed_by_2025H1,listing_aware,1063020.84857,19207,2024-02-20 17:00:00+00:00,2026-04-30 23:00:00+00:00
ARKMUSDT,ARKM,plain_contract,False,False,87,top100,full_2024_2026apr,strict_full_history,1049912.3693,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
AIXBTUSDT,AIXBT,plain_contract,False,False,88,top100,listed_by_2025H1,listing_aware,1017219.542225,11910,2024-12-20 18:00:00+00:00,2026-04-30 23:00:00+00:00
SUSDT,S,plain_contract,False,False,89,top100,recent_only,listing_aware,979804.54965,11270,2025-01-16 10:00:00+00:00,2026-04-30 23:00:00+00:00
KAITOUSDT,KAITO,plain_contract,False,False,90,top100,recent_only,listing_aware,960872.25336,10427,2025-02-20 13:00:00+00:00,2026-04-30 23:00:00+00:00
POLUSDT,POL,plain_contract,False,False,91,top100,listed_by_2025H1,listing_aware,954629.562035,14268,2024-09-13 12:00:00+00:00,2026-04-30 23:00:00+00:00
NOTUSDT,NOT,plain_contract,False,False,92,top100,listed_by_2025H1,listing_aware,928997.2771725,17146,2024-05-16 14:00:00+00:00,2026-04-30 23:00:00+00:00
HUSDT,H,plain_contract,False,False,93,top100,recent_only,listing_aware,911381.89588,7431,2025-06-25 09:00:00+00:00,2026-04-30 23:00:00+00:00
PYTHUSDT,PYTH,plain_contract,False,False,94,top100,full_2024_2026apr,strict_full_history,903613.4087,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
MEMEUSDT,MEME,plain_contract,False,False,95,top100,full_2024_2026apr,strict_full_history,902162.9868075,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ARUSDT,AR,plain_contract,False,False,96,top100,full_2024_2026apr,strict_full_history,898689.53805,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
CFXUSDT,CFX,plain_contract,False,False,97,top100,full_2024_2026apr,strict_full_history,893677.38038,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
PIPPINUSDT,PIPPIN,plain_contract,False,False,98,top100,recent_only,listing_aware,880755.582865,11078,2025-01-24 10:00:00+00:00,2026-04-30 23:00:00+00:00
WUSDT,W,plain_contract,False,False,99,top100,listed_by_2025H1,listing_aware,878124.02123,18177,2024-04-03 15:00:00+00:00,2026-04-30 23:00:00+00:00
0GUSDT,0G,plain_contract,False,False,100,top100,short_history,listing_aware,876051.6996,5409,2025-09-17 15:00:00+00:00,2026-04-30 23:00:00+00:00
LITUSDT,LIT,plain_contract,False,False,101,top200,short_history,hold_quality_or_short_history,861152.1733,3607,2025-12-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
XMRUSDT,XMR,plain_contract,False,False,102,top200,full_2024_2026apr,strict_full_history,835577.132215,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
MONUSDT,MON,plain_contract,False,False,103,top200,short_history,listing_aware,833969.69931,4865,2025-10-10 07:00:00+00:00,2026-04-30 23:00:00+00:00
ZECUSDT,ZEC,plain_contract,False,False,104,top200,full_2024_2026apr,strict_full_history,832233.655255,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
GMTUSDT,GMT,plain_contract,False,False,105,top200,full_2024_2026apr,strict_full_history,832028.880895,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
AXSUSDT,AXS,plain_contract,False,False,106,top200,full_2024_2026apr,strict_full_history,824621.1245,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
POWERUSDT,POWER,plain_contract,False,False,107,top200,short_history,listing_aware,824164.1925,3495,2025-12-06 09:00:00+00:00,2026-04-30 23:00:00+00:00
JASMYUSDT,JASMY,plain_contract,False,False,108,top200,full_2024_2026apr,strict_full_history,813167.3364925,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
AVNTUSDT,AVNT,plain_contract,False,False,109,top200,short_history,listing_aware,812515.3054,5601,2025-09-09 15:00:00+00:00,2026-04-30 23:00:00+00:00
1000RATSUSDT,1000RATS,multiplier_contract,False,False,110,top200,full_2024_2026apr,strict_full_history,783775.52096,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
BIOUSDT,BIO,plain_contract,False,False,111,top200,listed_by_2025H1,listing_aware,775884.5515099999,11580,2025-01-03 12:00:00+00:00,2026-04-30 23:00:00+00:00
IOUSDT,IO,plain_contract,False,False,112,top200,listed_by_2025H1,listing_aware,757589.7408400001,16522,2024-06-11 14:00:00+00:00,2026-04-30 23:00:00+00:00
CHZUSDT,CHZ,plain_contract,False,False,113,top200,full_2024_2026apr,strict_full_history,749816.60252,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
GOATUSDT,GOAT,plain_contract,False,False,114,top200,listed_by_2025H1,listing_aware,747045.56172,13283,2024-10-24 13:00:00+00:00,2026-04-30 23:00:00+00:00
ARCUSDT,ARC,plain_contract,False,False,115,top200,recent_only,listing_aware,738125.38654,11243,2025-01-17 13:00:00+00:00,2026-04-30 23:00:00+00:00
SAGAUSDT,SAGA,plain_contract,False,False,116,top200,listed_by_2025H1,listing_aware,710838.3789850001,18038,2024-04-09 10:00:00+00:00,2026-04-30 23:00:00+00:00
MOVEUSDT,MOVE,plain_contract,False,False,117,top200,listed_by_2025H1,listing_aware,707730.52345,12178,2024-12-09 14:00:00+00:00,2026-04-30 23:00:00+00:00
GRTUSDT,GRT,plain_contract,False,False,118,top200,full_2024_2026apr,strict_full_history,705281.2501950001,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
CAKEUSDT,CAKE,plain_contract,False,False,119,top200,full_2024_2026apr,strict_full_history,677160.88585,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
THETAUSDT,THETA,plain_contract,False,False,120,top200,full_2024_2026apr,strict_full_history,672917.760735,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ZKUSDT,ZK,plain_contract,False,False,121,top200,listed_by_2025H1,listing_aware,668640.16013,16381,2024-06-17 11:00:00+00:00,2026-04-30 23:00:00+00:00
VETUSDT,VET,plain_contract,False,False,122,top200,full_2024_2026apr,strict_full_history,667631.547198,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
IMXUSDT,IMX,plain_contract,False,False,123,top200,full_2024_2026apr,strict_full_history,659700.5996,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
USELESSUSDT,USELESS,plain_contract,False,False,124,top200,short_history,listing_aware,657521.9806,6204,2025-08-15 12:00:00+00:00,2026-04-30 23:00:00+00:00
MANAUSDT,MANA,plain_contract,False,False,125,top200,full_2024_2026apr,strict_full_history,643131.2302,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
MASKUSDT,MASK,plain_contract,False,False,126,top200,full_2024_2026apr,strict_full_history,629496.2637499999,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
SYRUPUSDT,SYRUP,plain_contract,False,False,127,top200,recent_only,listing_aware,602655.05253,8608,2025-05-07 08:00:00+00:00,2026-04-30 23:00:00+00:00
BIGTIMEUSDT,BIGTIME,plain_contract,False,False,128,top200,full_2024_2026apr,strict_full_history,602491.5407,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ZENUSDT,ZEN,plain_contract,False,False,129,top200,full_2024_2026apr,strict_full_history,589308.0672500001,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ALTUSDT,ALT,plain_contract,False,False,130,top200,full_2024_2026apr,strict_full_history,587054.364935,19834,2024-01-25 14:00:00+00:00,2026-04-30 23:00:00+00:00
SUSHIUSDT,SUSHI,plain_contract,False,False,131,top200,full_2024_2026apr,strict_full_history,585837.2338,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
1000LUNCUSDT,1000LUNC,multiplier_contract,False,False,132,top200,full_2024_2026apr,strict_full_history,582262.5205049999,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
NEOUSDT,NEO,plain_contract,False,False,133,top200,full_2024_2026apr,strict_full_history,579987.82261,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
RESOLVUSDT,RESOLV,plain_contract,False,False,134,top200,recent_only,listing_aware,576365.75155,7787,2025-06-10 13:00:00+00:00,2026-04-30 23:00:00+00:00
LPTUSDT,LPT,plain_contract,False,False,135,top200,full_2024_2026apr,strict_full_history,575067.4967,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
DOGSUSDT,DOGS,plain_contract,False,False,136,top200,listed_by_2025H1,listing_aware,564894.8356321501,14700,2024-08-26 12:00:00+00:00,2026-04-30 23:00:00+00:00
ENSOUSDT,ENSO,plain_contract,False,False,137,top200,short_history,listing_aware,562461.49383,4767,2025-10-14 09:00:00+00:00,2026-04-30 23:00:00+00:00
XAIUSDT,XAI,plain_contract,False,False,138,top200,full_2024_2026apr,strict_full_history,557927.87144,20218,2024-01-09 14:00:00+00:00,2026-04-30 23:00:00+00:00
KASUSDT,KAS,plain_contract,False,False,139,top200,full_2024_2026apr,strict_full_history,553838.790775,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
USUALUSDT,USUAL,plain_contract,False,False,140,top200,listed_by_2025H1,listing_aware,551935.0735,11963,2024-12-18 13:00:00+00:00,2026-04-30 23:00:00+00:00
FLOWUSDT,FLOW,plain_contract,False,False,141,top200,full_2024_2026apr,strict_full_history,551818.9758,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
RAYSOLUSDT,RAYSOL,plain_contract,False,False,142,top200,listed_by_2025H1,listing_aware,548335.573725,12156,2024-12-10 12:00:00+00:00,2026-04-30 23:00:00+00:00
LINEAUSDT,LINEA,plain_contract,False,False,143,top200,short_history,listing_aware,544365.7725455,5800,2025-09-01 08:00:00+00:00,2026-04-30 23:00:00+00:00
STABLEUSDT,STABLE,plain_contract,False,False,144,top200,short_history,listing_aware,535339.7839775,4212,2025-11-06 12:00:00+00:00,2026-04-30 23:00:00+00:00
CELOUSDT,CELO,plain_contract,False,False,145,top200,full_2024_2026apr,strict_full_history,534502.77,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
MUSDT,M,plain_contract,False,False,146,top200,recent_only,listing_aware,533438.5651,7143,2025-07-07 09:00:00+00:00,2026-04-30 23:00:00+00:00
BLURUSDT,BLUR,plain_contract,False,False,147,top200,full_2024_2026apr,strict_full_history,533355.878305,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
NIGHTUSDT,NIGHT,plain_contract,False,False,148,top200,short_history,listing_aware,531584.5812,3397,2025-12-10 11:00:00+00:00,2026-04-30 23:00:00+00:00
COMPUSDT,COMP,plain_contract,False,False,149,top200,full_2024_2026apr,strict_full_history,529778.8572549999,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
PIEVERSEUSDT,PIEVERSE,plain_contract,False,False,150,top200,short_history,listing_aware,529240.8201,4021,2025-11-14 11:00:00+00:00,2026-04-30 23:00:00+00:00
BBUSDT,BB,plain_contract,False,False,151,top200,listed_by_2025H1,listing_aware,528913.5201000001,17220,2024-05-13 12:00:00+00:00,2026-04-30 23:00:00+00:00
SNXUSDT,SNX,plain_contract,False,False,152,top200,full_2024_2026apr,strict_full_history,526372.9807,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
GRASSUSDT,GRASS,plain_contract,False,False,153,top200,listed_by_2025H1,listing_aware,516167.71136,12921,2024-11-08 15:00:00+00:00,2026-04-30 23:00:00+00:00
MANTAUSDT,MANTA,plain_contract,False,False,154,top200,full_2024_2026apr,strict_full_history,514320.58738499996,20002,2024-01-18 14:00:00+00:00,2026-04-30 23:00:00+00:00
LIGHTUSDT,LIGHT,plain_contract,False,False,155,top200,short_history,listing_aware,513529.9948,5173,2025-09-27 11:00:00+00:00,2026-04-30 23:00:00+00:00
ACTUSDT,ACT,plain_contract,False,False,156,top200,listed_by_2025H1,listing_aware,504889.152595,12852,2024-11-11 12:00:00+00:00,2026-04-30 23:00:00+00:00
ZAMAUSDT,ZAMA,plain_contract,False,False,157,top200,short_history,listing_aware,490512.26517,2679,2026-01-09 09:00:00+00:00,2026-04-30 23:00:00+00:00
BARDUSDT,BARD,plain_contract,False,False,158,top200,short_history,listing_aware,489637.8513,5389,2025-09-18 11:00:00+00:00,2026-04-30 23:00:00+00:00
