field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,objective_id
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L3_liquidity_tier_relative_return,1,1.0,3,True,0.22272674976752052,0.0001786647781254894,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,718,0.00014718110352410167,0.8656896736205385,0.8656896736205385,0.8656896736205385,0.5362116991643454,719,0.000935651262504668,9.794164042848386,9.794164042848386,9.794164042848386,0.6522948539638387,719,0.0014652989859424712,9.599060128982149,9.599060128982149,9.599060128982149,0.6884561891515995,719,0.0016447075953215323,6.092816515231855,6.092816515231855,6.092816515231855,0.6133518776077886,95.86666666666666,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L3_liquidity_tier_relative_return_h1
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L5_vol_adjusted_return,1,1.0,3,True,0.16309934624259065,0.007301173097654275,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,718,0.005511208592983117,0.5136085614047403,0.5136085614047403,0.5136085614047403,0.5292479108635098,719,0.10960513363205537,11.76812591599607,11.76812591599607,11.76812591599607,0.674547983310153,719,0.17052147077258595,12.758313056466882,12.758313056466882,12.758313056466882,0.7121001390820584,719,0.16957206325121663,8.948269133490532,8.948269133490532,8.948269133490532,0.6662030598052852,95.86666666666666,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L5_vol_adjusted_return_h1
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L0_raw_forward_return,4,1.0,3,True,0.41728658918425393,-0.00032197551285890124,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.00024220749502157978,0.6893649681745065,0.1961565572920964,-0.17939670126303206,0.5384615384615384,716,0.0010090234965298072,5.063877016101177,2.3737428014815922,1.0201621539414543,0.5963687150837989,716,0.0016995172514740042,6.115860972483598,3.1567928804712646,2.6333455610709646,0.6131284916201117,716,0.0014944474861461623,2.786987671657471,1.4199924325438513,0.7218911347696261,0.5670391061452514,95.46666666666667,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L0_raw_forward_return_h4
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L1_cross_sectional_relative_return,4,1.0,3,True,0.41728658918425404,-0.00032197551285890135,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.00024220749502157986,0.6893649681745067,0.19615655729209708,-0.1793967012630323,0.5384615384615384,716,0.0010090234965298077,5.06387701610118,2.3737428014815922,1.0201621539414545,0.5963687150837989,716,0.0016995172514740042,6.115860972483598,3.156792880471264,2.633345561070964,0.6131284916201117,716,0.0014944474861461623,2.786987671657471,1.419992432543851,0.7218911347696264,0.5670391061452514,95.46666666666667,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L1_cross_sectional_relative_return_h4
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L3_liquidity_tier_relative_return,4,1.0,3,True,0.4199244029202644,-0.0002781673903096771,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.00025601751619581004,0.7834317774948157,0.12384491476895486,-0.21634856446161965,0.5272727272727272,716,0.0010095218479369578,5.231532894023709,2.5071995814858066,0.9487811855898645,0.590782122905028,716,0.0016069563697949736,5.980841042755455,2.998788462004782,2.830449165238015,0.6243016759776536,716,0.0015270750479242734,2.971106759452402,1.6476202102531385,0.7396971498395124,0.5698324022346368,95.46666666666667,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L3_liquidity_tier_relative_return_h4
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L5_vol_adjusted_return,4,1.0,3,True,0.3150099975605763,-0.0021493978415325224,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.012889544712831567,0.6342750884793648,0.42610639294182784,-0.40443445040823317,0.5398601398601398,716,0.1214017341374821,6.561033034687187,3.177249510540611,2.275421867349514,0.6256983240223464,716,0.1814912256076396,6.799058992729863,3.6693874321845783,2.5834367746179514,0.6368715083798883,716,0.17911519115600985,4.524102320764191,2.176082891202207,1.462123757544568,0.5837988826815642,95.46666666666667,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L5_vol_adjusted_return_h4
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_1h,L3_liquidity_tier_relative_return,8,1.0,3,True,0.604289777796977,-0.0003521158346220478,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,711,3.660002080907139e-05,0.08259105394782398,-0.1336962365449984,-0.45458156918941656,0.5344585091420534,712,0.0010690655676016095,3.8993516877648164,1.4249669142217847,-0.3292745819004884,0.5786516853932584,712,0.0017585646073254631,4.532492693503911,1.3426885429333881,-0.1606320309858628,0.6095505617977528,712,0.0015354476260792606,2.0825518110029995,0.5654826092147356,-0.6214264526545492,0.5463483146067416,94.93333333333334,,core16e_basis_premium_mark_trade_basis_bps_delta_1h_L3_liquidity_tier_relative_return_h8
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_4h,L0_raw_forward_return,1,1.0,3,True,0.15997114739610943,-0.0002572355834180793,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.0003219259504072442,1.7456467221912206,1.7456467221912206,1.7456467221912206,0.5230769230769231,719,0.0008362882876336603,8.381032365268462,8.381032365268462,8.381032365268462,0.6411682892906815,719,0.0015364053323578607,10.663033575569434,10.663033575569434,10.663033575569434,0.6954102920723226,719,0.001391663981368818,5.141622785437182,5.141622785437182,5.141622785437182,0.6258692628650904,95.86666666666666,,core16e_basis_premium_mark_trade_basis_bps_delta_4h_L0_raw_forward_return_h1
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_4h,L1_cross_sectional_relative_return,1,1.0,3,True,0.15997114739610954,-0.0002572355834180791,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.00032192595040724436,1.7456467221912217,1.7456467221912217,1.7456467221912217,0.5230769230769231,719,0.0008362882876336602,8.38103236526846,8.38103236526846,8.38103236526846,0.6411682892906815,719,0.0015364053323578607,10.663033575569434,10.663033575569434,10.663033575569434,0.6954102920723226,719,0.001391663981368818,5.141622785437183,5.141622785437183,5.141622785437183,0.6258692628650904,95.86666666666666,,core16e_basis_premium_mark_trade_basis_bps_delta_4h_L1_cross_sectional_relative_return_h1
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,delta_4h,L3_liquidity_tier_relative_return,1,1.0,3,True,0.18890847239975367,-0.0002282837496818681,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,0.00033310269660094966,1.8982605888519395,1.8982605888519395,1.8982605888519395,0.5230769230769231,719,0.000832352416133256,8.498533331521479,8.498533331521479,8.498533331521479,0.650904033379694,719,0.0014994749163783393,10.562013491058165,10.562013491058165,10.562013491058165,0.6884561891515995,719,0.0014001879771353375,5.231762516075933,5.231762516075933,5.231762516075933,0.6189151599443672,95.86666666666666,,core16e_basis_premium_mark_trade_basis_bps_delta_4h_L3_liquidity_tier_relative_return_h1
