level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,expression,skeleton_key,production_key,blueprint_id
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,delta_72h,,"Delta(open_interest_last,72)",skel_1d39996e97d5ace0,prod_520eca926d9ac6e0,a7ff55r3_f9c3d40b559fdadb
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,mean_72h,,"Mean(open_interest_last,72)",skel_1d39996e97d5ace0,prod_4b9c9b1da474b238,a7ff55r3_05b974fe9b6bf7ab
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,level,,open_interest_mean,skel_ca36cd3eaf5a3a94,prod_194be9c07ff852e7,a7ff55r3_9bcab10e5f535ab9
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,delta_4h,,"Delta(open_interest_mean,4)",skel_1d39996e97d5ace0,prod_7169ecb5273c88a5,a7ff55r3_31132f2aa9d3db5f
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,mean_4h,,"Mean(open_interest_mean,4)",skel_1d39996e97d5ace0,prod_b71a693e701c2200,a7ff55r3_ecd01d6f21278257
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,zmean_4h,,"ZScore(Mean(open_interest_mean,4))",skel_a311ee3fdacdeca2,prod_7a6c9d26e09df7fb,a7ff55r3_7b59b15010ae9a3b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,delta_8h,,"Delta(open_interest_mean,8)",skel_1d39996e97d5ace0,prod_cb570e2ccd7f3dd6,a7ff55r3_948ad19e998498a3
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,mean_8h,,"Mean(open_interest_mean,8)",skel_1d39996e97d5ace0,prod_cd281a43ad3cbb79,a7ff55r3_842cef66e3e7a1b8
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,zmean_8h,,"ZScore(Mean(open_interest_mean,8))",skel_a311ee3fdacdeca2,prod_7d20e477969663a4,a7ff55r3_9e63fe3bd75e0bb9
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,delta_24h,,"Delta(open_interest_mean,24)",skel_1d39996e97d5ace0,prod_acba66ba2cacd2c2,a7ff55r3_5140d6cd7f030778
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,mean_24h,,"Mean(open_interest_mean,24)",skel_1d39996e97d5ace0,prod_13d093cb5c7c98ac,a7ff55r3_7800852c5b72d5db
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,zmean_24h,,"ZScore(Mean(open_interest_mean,24))",skel_a311ee3fdacdeca2,prod_06de43de8bd60d83,a7ff55r3_9b80a93586e6ce86
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,delta_72h,,"Delta(open_interest_mean,72)",skel_1d39996e97d5ace0,prod_1fec6d0af1116da3,a7ff55r3_bde93492328da2d9
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_mean,,open_interest_like,,mean_72h,,"Mean(open_interest_mean,72)",skel_1d39996e97d5ace0,prod_04763d48d78e0e6d,a7ff55r3_1fd0524c8abf4ff7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,level,,open_interest_value_last,skel_ca36cd3eaf5a3a94,prod_b99e7b70170c8028,a7ff55r3_a47bfb2fe97c1936
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,delta_4h,,"Delta(open_interest_value_last,4)",skel_1d39996e97d5ace0,prod_10143fde98d62ace,a7ff55r3_35cb616bcda1bc84
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,mean_4h,,"Mean(open_interest_value_last,4)",skel_1d39996e97d5ace0,prod_8ee16f6a9e3262d4,a7ff55r3_ae1fd3daa6ae4135
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,zmean_4h,,"ZScore(Mean(open_interest_value_last,4))",skel_a311ee3fdacdeca2,prod_3daef2e90f14d6e2,a7ff55r3_678d34d0b55e09ff
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,delta_8h,,"Delta(open_interest_value_last,8)",skel_1d39996e97d5ace0,prod_26970ac940525143,a7ff55r3_708a901a7d2f2e1f
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,mean_8h,,"Mean(open_interest_value_last,8)",skel_1d39996e97d5ace0,prod_077215f67278ad10,a7ff55r3_539ec0a7a3a4cf5b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,zmean_8h,,"ZScore(Mean(open_interest_value_last,8))",skel_a311ee3fdacdeca2,prod_c8254b7c06f52cd4,a7ff55r3_56959b82f9048f83
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,delta_24h,,"Delta(open_interest_value_last,24)",skel_1d39996e97d5ace0,prod_a705a6fc959ed7e8,a7ff55r3_c3af47ca65fffe08
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,mean_24h,,"Mean(open_interest_value_last,24)",skel_1d39996e97d5ace0,prod_8ff6cc7dc2fb133f,a7ff55r3_dc34ece992c1849c
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,zmean_24h,,"ZScore(Mean(open_interest_value_last,24))",skel_a311ee3fdacdeca2,prod_2d6b1fca881d59c5,a7ff55r3_898fdb95d4298728
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,delta_72h,,"Delta(open_interest_value_last,72)",skel_1d39996e97d5ace0,prod_13082af689ee0fa6,a7ff55r3_05396f9438c05592
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_last,,open_interest_like,,mean_72h,,"Mean(open_interest_value_last,72)",skel_1d39996e97d5ace0,prod_565bf5f37c48b3f6,a7ff55r3_efd43213cb817d27
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,level,,open_interest_value_mean,skel_ca36cd3eaf5a3a94,prod_e6d774e055dbb492,a7ff55r3_d20e7caaf8a0af7f
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,delta_4h,,"Delta(open_interest_value_mean,4)",skel_1d39996e97d5ace0,prod_ab4746c8ffad1f51,a7ff55r3_abd178ebba0aa939
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,mean_4h,,"Mean(open_interest_value_mean,4)",skel_1d39996e97d5ace0,prod_80b77adc6816581b,a7ff55r3_9a67d110d80cd2fe
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,zmean_4h,,"ZScore(Mean(open_interest_value_mean,4))",skel_a311ee3fdacdeca2,prod_52ccb4d4e085a3d3,a7ff55r3_bed51c39b20888c9
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,delta_8h,,"Delta(open_interest_value_mean,8)",skel_1d39996e97d5ace0,prod_e132cee93e781d4a,a7ff55r3_ee86c209a3b299db
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,mean_8h,,"Mean(open_interest_value_mean,8)",skel_1d39996e97d5ace0,prod_f642f5639807bc76,a7ff55r3_845bacc524c707c7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,zmean_8h,,"ZScore(Mean(open_interest_value_mean,8))",skel_a311ee3fdacdeca2,prod_14263a9acb78697a,a7ff55r3_57769e082e31af82
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,delta_24h,,"Delta(open_interest_value_mean,24)",skel_1d39996e97d5ace0,prod_e6525d2dae8489e2,a7ff55r3_c32522ef39297200
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,mean_24h,,"Mean(open_interest_value_mean,24)",skel_1d39996e97d5ace0,prod_2f2f57447c2302ce,a7ff55r3_8a81c56d8c850047
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,zmean_24h,,"ZScore(Mean(open_interest_value_mean,24))",skel_a311ee3fdacdeca2,prod_1ea97fd20f882618,a7ff55r3_b1dc18531a4f6eda
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,delta_72h,,"Delta(open_interest_value_mean,72)",skel_1d39996e97d5ace0,prod_cdb0f454b82a3bb6,a7ff55r3_816cbed61d10f28e
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_value_mean,,open_interest_like,,mean_72h,,"Mean(open_interest_value_mean,72)",skel_1d39996e97d5ace0,prod_7a64d66cae9f0cfc,a7ff55r3_1cd1275b06add886
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,level,,taker_buy_quote_volume,skel_ca36cd3eaf5a3a94,prod_8c1173f19dfa04df,a7ff55r3_4f85f576f1886f55
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,delta_4h,,"Delta(taker_buy_quote_volume,4)",skel_1d39996e97d5ace0,prod_665f8332854f3a38,a7ff55r3_3e2ff5684ee3369c
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,mean_4h,,"Mean(taker_buy_quote_volume,4)",skel_1d39996e97d5ace0,prod_d2498a9c549e466f,a7ff55r3_00de280dce6975f6
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,zmean_4h,,"ZScore(Mean(taker_buy_quote_volume,4))",skel_a311ee3fdacdeca2,prod_4841d7441df8a2be,a7ff55r3_4b47a6ae82d68fb9
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,delta_8h,,"Delta(taker_buy_quote_volume,8)",skel_1d39996e97d5ace0,prod_944eaaf6f8b6c92c,a7ff55r3_5acedce2c1568639
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,mean_8h,,"Mean(taker_buy_quote_volume,8)",skel_1d39996e97d5ace0,prod_a380771b834c3203,a7ff55r3_cccf7c8fe9252362
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,zmean_8h,,"ZScore(Mean(taker_buy_quote_volume,8))",skel_a311ee3fdacdeca2,prod_616582a3a9e70019,a7ff55r3_819d8727cfab1057
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,delta_24h,,"Delta(taker_buy_quote_volume,24)",skel_1d39996e97d5ace0,prod_b39438fb06c61058,a7ff55r3_0d7bf87453aa581b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,mean_24h,,"Mean(taker_buy_quote_volume,24)",skel_1d39996e97d5ace0,prod_89c2e0d87fe353a3,a7ff55r3_042fe037b105bd17
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,zmean_24h,,"ZScore(Mean(taker_buy_quote_volume,24))",skel_a311ee3fdacdeca2,prod_cb0ea1d469a21be4,a7ff55r3_dda10c6d7aa8ef90
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,delta_72h,,"Delta(taker_buy_quote_volume,72)",skel_1d39996e97d5ace0,prod_dbb283640263aaaf,a7ff55r3_66d5d4faeee64606
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_quote_volume,,taker_flow_like,,mean_72h,,"Mean(taker_buy_quote_volume,72)",skel_1d39996e97d5ace0,prod_989ce6afa9de2da2,a7ff55r3_0ef0d2c19c017b1b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,level,,taker_buy_sell_volume_ratio_last,skel_ca36cd3eaf5a3a94,prod_e3b7c0dd67855c0f,a7ff55r3_88ee09ec63ddd7ab
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,delta_4h,,"Delta(taker_buy_sell_volume_ratio_last,4)",skel_1d39996e97d5ace0,prod_833f0a19dce7e38d,a7ff55r3_e0dbbb01940bf2ec
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,mean_4h,,"Mean(taker_buy_sell_volume_ratio_last,4)",skel_1d39996e97d5ace0,prod_3a1d240b3b0aed3d,a7ff55r3_469cf4ab6572ccdd
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,zmean_4h,,"ZScore(Mean(taker_buy_sell_volume_ratio_last,4))",skel_a311ee3fdacdeca2,prod_7f3015df11c8395e,a7ff55r3_fe9511b714d96c68
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,delta_8h,,"Delta(taker_buy_sell_volume_ratio_last,8)",skel_1d39996e97d5ace0,prod_d13f44819e845276,a7ff55r3_cfec59c20c8a3e6b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,mean_8h,,"Mean(taker_buy_sell_volume_ratio_last,8)",skel_1d39996e97d5ace0,prod_6836f2dfef053792,a7ff55r3_006bd6b52d08b269
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,zmean_8h,,"ZScore(Mean(taker_buy_sell_volume_ratio_last,8))",skel_a311ee3fdacdeca2,prod_cd7f0f7b36fda543,a7ff55r3_d851888b8e735a0d
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,delta_24h,,"Delta(taker_buy_sell_volume_ratio_last,24)",skel_1d39996e97d5ace0,prod_44c2bae28f695a7c,a7ff55r3_7529bf416638cfc4
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,mean_24h,,"Mean(taker_buy_sell_volume_ratio_last,24)",skel_1d39996e97d5ace0,prod_f61278338031245b,a7ff55r3_de84a73ee821606b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,zmean_24h,,"ZScore(Mean(taker_buy_sell_volume_ratio_last,24))",skel_a311ee3fdacdeca2,prod_0d7de4a3240545e5,a7ff55r3_f06178eabbdd575a
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,delta_72h,,"Delta(taker_buy_sell_volume_ratio_last,72)",skel_1d39996e97d5ace0,prod_3824fed83a08017c,a7ff55r3_3a0e9749aa7715ab
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_last,,taker_flow_like,,mean_72h,,"Mean(taker_buy_sell_volume_ratio_last,72)",skel_1d39996e97d5ace0,prod_7278dbfde49de4e3,a7ff55r3_ba5ae69eba114f24
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,level,,taker_buy_sell_volume_ratio_mean,skel_ca36cd3eaf5a3a94,prod_ad32413f8b20574d,a7ff55r3_36b648cbd00fd359
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,delta_4h,,"Delta(taker_buy_sell_volume_ratio_mean,4)",skel_1d39996e97d5ace0,prod_13fd3eb23102d5c2,a7ff55r3_618fb53973f8b965
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,mean_4h,,"Mean(taker_buy_sell_volume_ratio_mean,4)",skel_1d39996e97d5ace0,prod_97b45ab1ac64cba7,a7ff55r3_f44c64458053b250
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,zmean_4h,,"ZScore(Mean(taker_buy_sell_volume_ratio_mean,4))",skel_a311ee3fdacdeca2,prod_882568af50b9c5da,a7ff55r3_297e078a3393cd98
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,delta_8h,,"Delta(taker_buy_sell_volume_ratio_mean,8)",skel_1d39996e97d5ace0,prod_df3166eabdec8267,a7ff55r3_e4960029108a299c
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,mean_8h,,"Mean(taker_buy_sell_volume_ratio_mean,8)",skel_1d39996e97d5ace0,prod_290c1c27cfbeee51,a7ff55r3_47aa38c6d5bcf563
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,zmean_8h,,"ZScore(Mean(taker_buy_sell_volume_ratio_mean,8))",skel_a311ee3fdacdeca2,prod_ad84010450e881a8,a7ff55r3_2c4965dcf4811179
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,delta_24h,,"Delta(taker_buy_sell_volume_ratio_mean,24)",skel_1d39996e97d5ace0,prod_442aaf4e167a0a65,a7ff55r3_e67dc215ee757f9f
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,mean_24h,,"Mean(taker_buy_sell_volume_ratio_mean,24)",skel_1d39996e97d5ace0,prod_119db6fcead0fe24,a7ff55r3_3fadf9519959c448
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,zmean_24h,,"ZScore(Mean(taker_buy_sell_volume_ratio_mean,24))",skel_a311ee3fdacdeca2,prod_b54dee32c4883310,a7ff55r3_9565182809ec76cb
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,delta_72h,,"Delta(taker_buy_sell_volume_ratio_mean,72)",skel_1d39996e97d5ace0,prod_20ec16b935081876,a7ff55r3_c10958c28b5fe198
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,taker_flow_like,single,taker_buy_sell_volume_ratio_mean,,taker_flow_like,,mean_72h,,"Mean(taker_buy_sell_volume_ratio_mean,72)",skel_1d39996e97d5ace0,prod_e455f31a3ff5f276,a7ff55r3_b903d0b3300676e7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,level,,trade_count,skel_ca36cd3eaf5a3a94,prod_3526f1884c5c90b5,a7ff55r3_32ef23b1b1494541
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_4h,,"Delta(trade_count,4)",skel_1d39996e97d5ace0,prod_beff23ba9ccc9689,a7ff55r3_0d2000ebd15b7032
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_4h,,"Mean(trade_count,4)",skel_1d39996e97d5ace0,prod_6cd848f8bca18dba,a7ff55r3_57375f2be61d85bf
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,zmean_4h,,"ZScore(Mean(trade_count,4))",skel_a311ee3fdacdeca2,prod_6f337045c2e5e4fa,a7ff55r3_b6319e55bed865d7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_8h,,"Delta(trade_count,8)",skel_1d39996e97d5ace0,prod_5fcf129bc16f5a2a,a7ff55r3_161b740e47dbc95e
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_8h,,"Mean(trade_count,8)",skel_1d39996e97d5ace0,prod_4ed069967ddd7db8,a7ff55r3_161c4b258dc53c01
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,zmean_8h,,"ZScore(Mean(trade_count,8))",skel_a311ee3fdacdeca2,prod_696bf4c3653b026b,a7ff55r3_c7bd20c1859368fe
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_24h,,"Delta(trade_count,24)",skel_1d39996e97d5ace0,prod_a90ecba58d5346b2,a7ff55r3_d65b88576027c583
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_24h,,"Mean(trade_count,24)",skel_1d39996e97d5ace0,prod_4865935e90124fb8,a7ff55r3_5885f0c22b156df2
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,zmean_24h,,"ZScore(Mean(trade_count,24))",skel_a311ee3fdacdeca2,prod_773dd7b5201f417d,a7ff55r3_620f368be88b1cad
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_72h,,"Delta(trade_count,72)",skel_1d39996e97d5ace0,prod_40a09d219345e9eb,a7ff55r3_4c817ac72ccefc81
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_72h,,"Mean(trade_count,72)",skel_1d39996e97d5ace0,prod_91192ab243dff3ac,a7ff55r3_b44111aeb5a4f0f0
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,level,,trade_quote_volume,skel_ca36cd3eaf5a3a94,prod_af0eed97836ad8c9,a7ff55r3_bfcdb45ce0401481
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,delta_4h,,"Delta(trade_quote_volume,4)",skel_1d39996e97d5ace0,prod_5284a7fa9ec792b3,a7ff55r3_a82c96426727d8a1
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,mean_4h,,"Mean(trade_quote_volume,4)",skel_1d39996e97d5ace0,prod_d8bf47a36f72af65,a7ff55r3_2eb852791ae842a7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,zmean_4h,,"ZScore(Mean(trade_quote_volume,4))",skel_a311ee3fdacdeca2,prod_e01ec441cde55c0f,a7ff55r3_7ab533ff6e92cce2
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,delta_8h,,"Delta(trade_quote_volume,8)",skel_1d39996e97d5ace0,prod_ff45d962f42e0006,a7ff55r3_576e78e001d23f91
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,mean_8h,,"Mean(trade_quote_volume,8)",skel_1d39996e97d5ace0,prod_b78659bddf45f919,a7ff55r3_dc78d04c1035bb7e
