activity_ok_count,activity_ok_rate,authorizes_alpha_proof,authorizes_shadow_paper_live,blockers,decision,elapsed_seconds,end_row,eval_failure_count,eval_success_count,field_count,generated_at,lane_count,operator_count,queue_path,queue_rows,runtime,semantic_pair_count,shard_id,stage,start_row,symbol_cap,timestamp_cap,uses_may,manifest_path
833,0.833,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,104.696,11000,0,1000,44,2026-06-06T06:11:23Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s010,A7LS-17,10000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s010\a7ls17_manifest.json
650,0.65,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,85.914,12000,0,1000,43,2026-06-06T06:11:24Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s011,A7LS-17,11000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s011\a7ls17_manifest.json
795,0.795,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,91.473,13000,0,1000,43,2026-06-06T06:13:10Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s012,A7LS-17,12000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s012\a7ls17_manifest.json
739,0.739,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,80.015,14000,0,1000,43,2026-06-06T06:12:59Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s013,A7LS-17,13000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s013\a7ls17_manifest.json
801,0.801,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,80.917,15000,0,1000,43,2026-06-06T06:13:00Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s014,A7LS-17,14000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s014\a7ls17_manifest.json
805,0.805,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,119.401,16000,0,1000,44,2026-06-06T06:15:18Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s015,A7LS-17,15000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s015\a7ls17_manifest.json
692,0.692,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,104.709,17000,0,1000,43,2026-06-06T06:15:04Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,26,a7ls17_s016,A7LS-17,16000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s016\a7ls17_manifest.json
850,0.85,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,123.326,18000,0,1000,44,2026-06-06T06:15:22Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,26,a7ls17_s017,A7LS-17,17000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s017\a7ls17_manifest.json
578,0.578,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,110.377,19000,0,1000,43,2026-06-06T06:17:10Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,26,a7ls17_s018,A7LS-17,18000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s018\a7ls17_manifest.json
796,0.796,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,74.278,20000,0,1000,44,2026-06-06T06:16:53Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,26,a7ls17_s019,A7LS-17,19000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s019\a7ls17_manifest.json
760,0.76,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,89.973,21000,0,1000,43,2026-06-06T06:17:09Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,26,a7ls17_s020,A7LS-17,20000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s020\a7ls17_manifest.json
724,0.724,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,106.741,22000,0,1000,45,2026-06-06T06:18:46Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s021,A7LS-17,21000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s021\a7ls17_manifest.json
728,0.728,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,104.875,23000,0,1000,44,2026-06-06T06:19:04Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s022,A7LS-17,22000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s022\a7ls17_manifest.json
816,0.816,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,147.284,24000,0,1000,45,2026-06-06T06:19:46Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s023,A7LS-17,23000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s023\a7ls17_manifest.json
542,0.542,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,83.143,25000,0,1000,44,2026-06-06T06:20:23Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s024,A7LS-17,24000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s024\a7ls17_manifest.json
814,0.814,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,90.818,26000,0,1000,45,2026-06-06T06:20:50Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s025,A7LS-17,25000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s025\a7ls17_manifest.json
666,0.666,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,113.298,27000,0,1000,44,2026-06-06T06:21:53Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s026,A7LS-17,26000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s026\a7ls17_manifest.json
803,0.803,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,98.09,28000,0,1000,45,2026-06-06T06:22:18Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s027,A7LS-17,27000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s027\a7ls17_manifest.json
678,0.678,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,140.336,29000,0,1000,44,2026-06-06T06:23:20Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s028,A7LS-17,28000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s028\a7ls17_manifest.json
712,0.712,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,118.884,30000,0,1000,45,2026-06-06T06:23:59Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s029,A7LS-17,29000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s029\a7ls17_manifest.json
698,0.698,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,95.33,31000,0,1000,44,2026-06-06T06:23:55Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s030,A7LS-17,30000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s030\a7ls17_manifest.json
756,0.756,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,80.659,32000,0,1000,44,2026-06-06T06:25:00Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,16,a7ls17_s031,A7LS-17,31000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s031\a7ls17_manifest.json
739,0.739,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,63.829,33000,0,1000,64,2026-06-06T06:10:48Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s032,A7LS-17,32000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s032\a7ls17_manifest.json
325,0.325,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,65.239,34000,0,1000,64,2026-06-06T06:10:49Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s033,A7LS-17,33000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s033\a7ls17_manifest.json
488,0.488,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,64.839,35000,0,1000,64,2026-06-06T06:12:09Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s034,A7LS-17,34000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s034\a7ls17_manifest.json
345,0.345,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,64.689,36000,0,1000,64,2026-06-06T06:12:09Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s035,A7LS-17,35000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s035\a7ls17_manifest.json
658,0.658,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,85.884,37000,0,1000,64,2026-06-06T06:13:50Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s036,A7LS-17,36000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s036\a7ls17_manifest.json
852,0.852,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,68.515,38000,0,1000,64,2026-06-06T06:13:33Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s037,A7LS-17,37000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s037\a7ls17_manifest.json
768,0.768,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,75.623,39000,0,1000,64,2026-06-06T06:15:00Z,1,11,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s038,A7LS-17,38000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s038\a7ls17_manifest.json
823,0.823,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,82.043,40000,0,1000,64,2026-06-06T06:15:26Z,1,11,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s039,A7LS-17,39000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s039\a7ls17_manifest.json
805,0.805,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,68.646,41000,0,1000,64,2026-06-06T06:16:14Z,1,12,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s040,A7LS-17,40000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s040\a7ls17_manifest.json
853,0.853,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,72.985,42000,0,1000,64,2026-06-06T06:16:57Z,1,11,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s041,A7LS-17,41000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s041\a7ls17_manifest.json
838,0.838,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,78.167,43000,0,1000,64,2026-06-06T06:17:43Z,1,11,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,53,a7ls17_s042,A7LS-17,42000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s042\a7ls17_manifest.json
