source_objective_family,label_horizon_h,pre_may_positive_rate,lag_ok_rate,median_control_ratio,mutation_directives,eligible_for_z7_seed
Z5_latent_listing_meme_neutral_structure,4,0.125,0.1875,10.284941276975111,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z6_cross_sectional_relative_flow_value,4,0.0,0.4375,3.616523318403334,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z7_market_regime_price_breadth,4,0.3125,0.4375,7.7391913544266915,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z0_funding_basis_premium_dislocation,8,0.0625,0.5,5.80098668467885,drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z1_price_range_volatility_structure,8,0.0625,0.3125,9.662090699570689,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z2_liquidity_taker_microstructure_lite,8,0.0625,0.1875,5.157830516092232,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z3_basis_price_trend_reversal,8,0.1875,0.3125,15.552088137170792,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z4_upper_regime_relative_value,8,0.0625,0.1875,3.654738863071216,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z5_latent_listing_meme_neutral_structure,8,0.125,0.25,12.36488070627272,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z6_cross_sectional_relative_flow_value,8,0.0,0.375,6.750082084769765,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z7_market_regime_price_breadth,8,0.1875,0.375,9.61632124064313,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z0_funding_basis_premium_dislocation,24,0.0625,0.3125,4.453893660714096,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z1_price_range_volatility_structure,24,0.125,0.5,5.3859640645029,drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z2_liquidity_taker_microstructure_lite,24,0.125,0.5,21.32991128850386,drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z3_basis_price_trend_reversal,24,0.0,0.375,29.679565850635854,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z4_upper_regime_relative_value,24,0.0,0.1875,2.912044247286116,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z5_latent_listing_meme_neutral_structure,24,0.25,0.4375,28.47924352609822,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z6_cross_sectional_relative_flow_value,24,0.0,0.5625,5.327049434165519,drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z7_market_regime_price_breadth,24,0.1875,0.5,16.611552650061203,drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|require_matched_control_resistant_double_difference|require_two_source_interaction,True
