source_run,dimension,value,count,share
A7J2_reranked_original_pool,field_family_combo,liquidity;price;volatility,3,0.003
A7K2_new_space,field_family_combo,liquidity;volatility,104,0.104
A7K2_new_space,field_family_combo,liquidity;price;volatility,94,0.094
A7K2_new_space,field_family_combo,basis;price;volatility,90,0.09
A7K2_new_space,field_family_combo,basis;liquidity;volatility,89,0.089
A7K2_new_space,field_family_combo,basis;price,77,0.077
A7K2_new_space,field_family_combo,basis;liquidity;price,72,0.072
A7K2_new_space,field_family_combo,basis;volatility,60,0.06
A7K2_new_space,field_family_combo,basis;liquidity,60,0.06
A7K2_new_space,field_family_combo,price;volatility,54,0.054
A7K2_new_space,field_family_combo,basis,52,0.052
A7K2_new_space,field_family_combo,price,52,0.052
A7K2_new_space,field_family_combo,liquidity;price,50,0.05
A7K2_new_space,field_family_combo,flow,50,0.05
A7K2_new_space,field_family_combo,volatility,48,0.048
A7K2_new_space,field_family_combo,liquidity,48,0.048
A7I1B_original_generator,operator_combo,Mul;Rank;ZScore,233,0.233
A7I1B_original_generator,operator_combo,Mul;Rank,213,0.213
A7I1B_original_generator,operator_combo,Mul;ZScore,211,0.211
A7I1B_original_generator,operator_combo,RandomNoise,50,0.05
A7I1B_original_generator,operator_combo,Rank;wrong_lag,40,0.04
A7I1B_original_generator,operator_combo,Rank;time_shuffle,40,0.04
A7I1B_original_generator,operator_combo,Rank;row_shuffle,40,0.04
A7I1B_original_generator,operator_combo,Rank;sign_flip,40,0.04
A7I1B_original_generator,operator_combo,,31,0.031
A7I1B_original_generator,operator_combo,ZScore,31,0.031
A7I1B_original_generator,operator_combo,Rank,31,0.031
A7I1B_original_generator,operator_combo,Mul;Rank;row_shuffle,10,0.01
A7I1B_original_generator,operator_combo,Mul;Rank;wrong_lag,10,0.01
A7I1B_original_generator,operator_combo,Mul;Rank;time_shuffle,10,0.01
A7I1B_original_generator,operator_combo,Mul;Rank;sign_flip,10,0.01
A7J2_reranked_original_pool,operator_combo,Mul;Rank;ZScore,233,0.233
A7J2_reranked_original_pool,operator_combo,Mul;Rank,213,0.213
A7J2_reranked_original_pool,operator_combo,Mul;ZScore,211,0.211
A7J2_reranked_original_pool,operator_combo,RandomNoise,50,0.05
A7J2_reranked_original_pool,operator_combo,Rank;wrong_lag,40,0.04
A7J2_reranked_original_pool,operator_combo,Rank;time_shuffle,40,0.04
A7J2_reranked_original_pool,operator_combo,Rank;row_shuffle,40,0.04
A7J2_reranked_original_pool,operator_combo,Rank;sign_flip,40,0.04
A7J2_reranked_original_pool,operator_combo,,31,0.031
A7J2_reranked_original_pool,operator_combo,ZScore,31,0.031
A7J2_reranked_original_pool,operator_combo,Rank,31,0.031
A7J2_reranked_original_pool,operator_combo,Mul;Rank;row_shuffle,10,0.01
A7J2_reranked_original_pool,operator_combo,Mul;Rank;wrong_lag,10,0.01
A7J2_reranked_original_pool,operator_combo,Mul;Rank;time_shuffle,10,0.01
A7J2_reranked_original_pool,operator_combo,Mul;Rank;sign_flip,10,0.01
A7K2_new_space,operator_combo,Mul;Rank;ZScore,606,0.606
A7K2_new_space,operator_combo,Mul;Rank,72,0.072
A7K2_new_space,operator_combo,Mul;ZScore,72,0.072
A7K2_new_space,operator_combo,Rank,50,0.05
A7K2_new_space,operator_combo,Rank;row_shuffle,50,0.05
A7K2_new_space,operator_combo,Rank;time_shuffle,50,0.05
A7K2_new_space,operator_combo,Rank;sign_flip,50,0.05
A7K2_new_space,operator_combo,Rank;wrong_lag,50,0.05
A7I1B_original_generator,horizon,12,500,0.5
A7I1B_original_generator,horizon,6,500,0.5
A7J2_reranked_original_pool,horizon,12,500,0.5
A7J2_reranked_original_pool,horizon,6,500,0.5
A7K2_new_space,horizon,12,500,0.5
A7K2_new_space,horizon,24,500,0.5
