blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,source_file,shard,followup_score
a7ls5_71510dbfea8d42c9,"TSRank(mark_index_basis_bps,8)",basis_premium_like,single,L5_vol_adjusted_return,1,-1.0,3,True,0.7409389562391184,0.0169706016652417,True,3.0451511476047703,3.0451511476047703,True,0.065690260454499,0.065090260454499,0.064090260454499,95.86666666666666,A7LS5S001_NUMERIC_CLUE,422,-0.0116329811016841,-0.9743318954081396,-0.9743318954081396,-0.9743318954081396,0.4786729857819905,441,-0.06463876864189,-4.86567274963871,-4.86567274963871,-4.86567274963871,0.365079365079365,487,-0.1185012156523581,-8.983356877848891,-8.983356877848891,-8.983356877848891,0.3552361396303901,509,-0.066090260454499,-3.0451511476047703,-3.0451511476047703,-3.0451511476047703,0.4165029469548134,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,110.01211764343364
a7ls5_1bcf1c49f40bab87,"Delta(premium_close_bps,2)",basis_premium_like,single,L5_vol_adjusted_return,1,-1.0,3,True,0.7959821675415732,0.0281824373741344,True,2.6488396004693664,2.6488396004693664,True,0.0571483630018562,0.0565483630018562,0.0555483630018562,95.86666666666666,A7LS5S000_NUMERIC_CLUE,717,-0.0149237068292222,-1.3762992263081746,-1.3762992263081746,-1.3762992263081746,0.4923291492329149,719,-0.0474916416702543,-3.405575919128568,-3.405575919128568,-3.405575919128568,0.4158553546592489,719,-0.0457615424030299,-3.442963280767927,-3.442963280767927,-3.442963280767927,0.4436717663421418,719,-0.0575483630018562,-2.6488396004693664,-2.6488396004693664,-2.6488396004693664,0.4506258692628651,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,106.78142322230265
a7ls5_dbf6d3ecf9b901c3,"Mul(mark_index_basis_bps,Sign(Mean(mark_trade_basis_bps,12)))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,-1.0,3,True,0.8590510777023744,0.017492405271976,True,2.690038262041152,2.690038262041152,True,0.0547618210633038,0.0541618210633038,0.0531618210633038,95.86666666666666,A7LS5S003_NUMERIC_CLUE,708,-0.0015036177274422,-0.1439138031662325,-0.1439138031662325,-0.1439138031662325,0.4717514124293785,719,-0.0477172959069171,-3.713121009267573,-3.713121009267573,-3.713121009267573,0.3963838664812239,719,-0.0794504987017205,-5.727338776037604,-5.727338776037604,-5.727338776037604,0.3783031988873435,719,-0.0551618210633038,-2.690038262041152,-2.690038262041152,-2.690038262041152,0.4645340751043115,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_003\a7ls5_s003_label_response_metrics.csv,s003,87.43915682708351
a7ls5_cfc06f5f75b3f3cf,"Mul(Delta(mark_index_basis_bps,8),Sign(premium_close_bps))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,1.0,3,True,0.9250566244985212,0.0309899088562137,True,2.1503903411744503,2.1503903411744503,True,0.0418214189881652,0.0412214189881652,0.0402214189881652,95.86666666666666,A7LS5S003_NUMERIC_CLUE,711,0.0155543015300171,1.403215611076612,1.403215611076612,1.403215611076612,0.5077355836849508,719,0.0245053083831093,2.2510355056698064,2.2510355056698064,2.2510355056698064,0.5159944367176634,719,0.0547592607994163,3.969798069625493,3.969798069625493,3.969798069625493,0.5869262865090403,719,0.0422214189881652,2.1503903411744503,2.1503903411744503,2.1503903411744503,0.521557719054242,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_003\a7ls5_s003_label_response_metrics.csv,s003,80.85605573570123
a7ls5_35a1ae6f13bfd9a5,"TSRank(mark_index_basis_bps,24)",basis_premium_like,single,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.2455513140713514,0.0005646423673812,True,3.230737224848193,3.230737224848193,True,0.0003582744863571,-0.0002417255136428,-0.0012417255136428,95.86666666666666,A7LS5S000_NUMERIC_CLUE,651,-0.0004401841857419,-2.642227852612641,-2.642227852612641,-2.642227852612641,0.4500768049155146,692,-0.0005953346580106,-6.063869536420378,-6.063869536420378,-6.063869536420378,0.3598265895953757,704,-0.0008572087717161,-6.843382058156238,-6.843382058156238,-6.843382058156238,0.3707386363636363,710,-0.0007582744863571,-3.230737224848193,-3.230737224848193,-3.230737224848193,0.4112676056338028,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,79.24024818509425
a7ls5_4616845b0b6bf159,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.2715386341304331,0.000740556741008,True,3.9129086623160174,3.9129086623160174,True,0.0008251396389297,0.0002251396389297,-0.0007748603610702,95.86666666666666,A7LS5S001_NUMERIC_CLUE,707,-0.0001492171667589,-0.8396472248170919,-0.8396472248170919,-0.8396472248170919,0.4653465346534653,719,-0.0006340628694096,-6.658373382750924,-6.658373382750924,-6.658373382750924,0.3769123783031989,719,-0.001034861087225,-7.117139432875125,-7.117139432875125,-7.117139432875125,0.364394993045897,719,-0.0012251396389297,-3.9129086623160174,-3.9129086623160174,-3.9129086623160174,0.4381084840055633,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,77.49960199028071
a7ls5_35a1ae6f13bfd9a5,"TSRank(mark_index_basis_bps,24)",basis_premium_like,single,L0_raw_forward_return,1,-1.0,3,True,0.2630645699660633,0.0006145526156851,True,2.968710691410944,2.968710691410944,True,0.0003227788942347,-0.0002772211057652,-0.0012772211057652,95.86666666666666,A7LS5S000_NUMERIC_CLUE,651,-0.0004326941739343,-2.401730102979712,-2.401730102979712,-2.401730102979712,0.4362519201228879,692,-0.0005980933905371,-5.855146736871537,-5.855146736871537,-5.855146736871537,0.3526011560693641,704,-0.000887813142044,-7.033555789358879,-7.033555789358879,-7.033555789358879,0.359375,710,-0.0007227788942347,-2.968710691410944,-2.968710691410944,-2.968710691410944,0.4225352112676056,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,77.27680631048972
a7ls5_35a1ae6f13bfd9a5,"TSRank(mark_index_basis_bps,24)",basis_premium_like,single,L1_cross_sectional_relative_return,1,-1.0,3,True,0.2630645699660633,0.0006145526156851,True,2.968710691410944,2.968710691410944,True,0.0003227788942347,-0.0002772211057652,-0.0012772211057652,95.86666666666666,A7LS5S000_NUMERIC_CLUE,651,-0.0004326941739343,-2.401730102979712,-2.401730102979712,-2.401730102979712,0.4362519201228879,692,-0.0005980933905371,-5.855146736871535,-5.855146736871535,-5.855146736871535,0.3526011560693641,704,-0.000887813142044,-7.033555789358879,-7.033555789358879,-7.033555789358879,0.359375,710,-0.0007227788942347,-2.968710691410944,-2.968710691410944,-2.968710691410944,0.4225352112676056,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,77.27680631048972
a7ls5_4616845b0b6bf159,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L1_cross_sectional_relative_return,1,-1.0,3,True,0.3157097656890827,0.0007642868762566,True,3.7082178483918,3.7082178483918,True,0.000789826795645,0.000189826795645,-0.0008101732043549,95.86666666666666,A7LS5S001_NUMERIC_CLUE,707,-0.0001267414764829,-0.6718199680039761,-0.6718199680039761,-0.6718199680039761,0.4724186704384724,719,-0.0006328257946052,-6.516068379457519,-6.516068379457519,-6.516068379457519,0.3824756606397774,719,-0.0010363250566642,-6.921358534609542,-6.921358534609542,-6.921358534609542,0.3504867872044506,719,-0.001189826795645,-3.7082178483918,-3.7082178483918,-3.7082178483918,0.4408901251738525,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,72.90152815574014
a7ls5_ac10b376522e0081,"Delta(mark_index_basis_bps,4)",basis_premium_like,single,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.3095092686889295,0.0004174151279801,True,2.4801690837214108,2.4801690837214108,True,0.0003522050914484,-0.0002477949085515,-0.0012477949085515,95.86666666666666,A7LS5S002_NUMERIC_CLUE,715,-0.0002027189947219,-1.2127726897606397,-1.2127726897606397,-1.2127726897606397,0.4685314685314685,719,-0.0005425744076458,-5.106872917840402,-5.106872917840402,-5.106872917840402,0.3741307371349096,719,-0.0010692134929666,-7.651678192429115,-7.651678192429115,-7.651678192429115,0.3504867872044506,719,-0.0007522050914484,-2.4801690837214108,-2.4801690837214108,-2.4801690837214108,0.4561891515994437,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_002\a7ls5_s002_label_response_metrics.csv,s002,71.94665734280856
a7ls5_527fcaeaacc0b31d,"TSRank(mark_index_basis_bps,72)",basis_premium_like,single,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.3472333690040021,0.0004836154525581,True,4.446188687647671,4.446188687647671,True,0.0007579917341903,0.0001579917341903,-0.0008420082658096,95.86666666666666,A7LS5S001_NUMERIC_CLUE,686,-0.0004587490292663,-2.760049425647853,-2.760049425647853,-2.760049425647853,0.4679300291545189,715,-0.000542532572519,-5.67658832450363,-5.67658832450363,-5.67658832450363,0.3692307692307692,718,-0.0009573849464702,-7.2385499969864435,-7.2385499969864435,-7.2385499969864435,0.3523676880222841,719,-0.0011579917341903,-4.446188687647671,-4.446188687647671,-4.446188687647671,0.4200278164116829,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,70.20646723980556
a7ls5_527fcaeaacc0b31d,"TSRank(mark_index_basis_bps,72)",basis_premium_like,single,L0_raw_forward_return,1,-1.0,3,True,0.3683794945903855,0.0005033801867592,True,4.459407240736883,4.459407240736883,True,0.0007651195432188,0.0001651195432188,-0.0008348804567811,95.86666666666666,A7LS5S001_NUMERIC_CLUE,686,-0.0004243894061899,-2.330148083948944,-2.330148083948944,-2.330148083948944,0.4548104956268221,715,-0.0005109383088714,-5.105206568318187,-5.105206568318187,-5.105206568318187,0.3902097902097902,718,-0.0009752076835854,-7.112905833757334,-7.112905833757334,-7.112905833757334,0.3607242339832869,719,-0.0011651195432188,-4.459407240736883,-4.459407240736883,-4.459407240736883,0.4061196105702364,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,68.12483796845753
a7ls5_527fcaeaacc0b31d,"TSRank(mark_index_basis_bps,72)",basis_premium_like,single,L1_cross_sectional_relative_return,1,-1.0,3,True,0.3683794945903856,0.0005033801867592,True,4.459407240736884,4.459407240736884,True,0.0007651195432188,0.0001651195432188,-0.0008348804567811,95.86666666666666,A7LS5S001_NUMERIC_CLUE,686,-0.0004243894061899,-2.3301480839489432,-2.3301480839489432,-2.3301480839489432,0.4548104956268221,715,-0.0005109383088714,-5.105206568318185,-5.105206568318185,-5.105206568318185,0.3902097902097902,718,-0.0009752076835854,-7.112905833757334,-7.112905833757334,-7.112905833757334,0.3607242339832869,719,-0.0011651195432188,-4.459407240736884,-4.459407240736884,-4.459407240736884,0.4061196105702364,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,68.12483796845753
a7ls5_093c274318822859,"Delta(mark_index_basis_bps,2)",basis_premium_like,single,L0_raw_forward_return,1,-1.0,3,True,0.3440684914514227,0.0001826885620992,True,2.058669707108965,2.058669707108965,True,0.0002505602270995,-0.0003494397729004,-0.0013494397729004,95.86666666666666,A7LS5S000_NUMERIC_CLUE,717,-0.0001400614947455,-0.8255402935677452,-0.8255402935677452,-0.8255402935677452,0.4825662482566248,719,-0.0007273619662408,-6.583679608234789,-6.583679608234789,-6.583679608234789,0.3727399165507649,719,-0.0011297430000363,-7.585400413133555,-7.585400413133555,-7.585400413133555,0.3310152990264255,719,-0.0006505602270995,-2.058669707108965,-2.058669707108965,-2.058669707108965,0.4645340751043115,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,67.83450912406589
a7ls5_4616845b0b6bf159,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,L0_raw_forward_return,1,-1.0,3,True,0.3727005528774952,0.0007642868762566,True,3.7082178483918,3.7082178483918,True,0.000789826795645,0.000189826795645,-0.0008101732043549,95.86666666666666,A7LS5S001_NUMERIC_CLUE,707,-0.0001267414764829,-0.6718199680039757,-0.6718199680039757,-0.6718199680039757,0.4724186704384724,719,-0.0006328257946052,-6.516068379457521,-6.516068379457521,-6.516068379457521,0.3824756606397774,719,-0.0010363250566642,-6.921358534609544,-6.921358534609544,-6.921358534609544,0.3504867872044506,719,-0.001189826795645,-3.7082178483918,-3.7082178483918,-3.7082178483918,0.4408901251738525,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_001\a7ls5_s001_label_response_metrics.csv,s001,67.20244943689889
a7ls5_ac10b376522e0081,"Delta(mark_index_basis_bps,4)",basis_premium_like,single,L0_raw_forward_return,1,-1.0,3,True,0.3578748586372117,0.0004201838626715,True,2.1279861255697825,2.1279861255697825,True,0.0002610412507587,-0.0003389587492412,-0.0013389587492412,95.86666666666666,A7LS5S002_NUMERIC_CLUE,715,-0.0001700231381352,-0.9618675250678494,-0.9618675250678494,-0.9618675250678494,0.4559440559440559,719,-0.0005276301775653,-4.869154198306517,-4.869154198306517,-4.869154198306517,0.3810848400556328,719,-0.0010808855122699,-7.400201963617428,-7.400201963617428,-7.400201963617428,0.3421418636995827,719,-0.0006610412507587,-2.1279861255697825,-2.1279861255697825,-2.1279861255697825,0.4770514603616133,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_002\a7ls5_s002_label_response_metrics.csv,s002,66.7606841245201
a7ls5_2b146a4707fb996d,"TSRank(mark_index_basis_bps,12)",basis_premium_like,single,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.440152752116094,0.0001318698217192,True,2.4038278264089827,2.4038278264089827,True,0.0001274518119177,-0.0004725481880822,-0.0014725481880822,95.86666666666666,A7LS5S000_NUMERIC_CLUE,564,-0.000332626673927,-1.9028801595114844,-1.9028801595114844,-1.9028801595114844,0.450354609929078,607,-0.0005918652545094,-5.644891098753736,-5.644891098753736,-5.644891098753736,0.3624382207578254,630,-0.00103214786431,-7.445883767711409,-7.445883767711409,-7.445883767711409,0.3666666666666666,668,-0.0005274518119177,-2.4038278264089827,-2.4038278264089827,-2.4038278264089827,0.4341317365269461,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,58.52042243651879
a7ls5_2b146a4707fb996d,"TSRank(mark_index_basis_bps,12)",basis_premium_like,single,L1_cross_sectional_relative_return,1,-1.0,3,True,0.4636351795389888,0.0001800861021968,True,1.98528680578796,1.98528680578796,True,5.3855685018375417e-05,-0.0005461443149816,-0.0015461443149816,95.86666666666666,A7LS5S000_NUMERIC_CLUE,564,-0.0002603201619127,-1.3644149082378092,-1.3644149082378092,-1.3644149082378092,0.4680851063829787,607,-0.0005649512976378,-5.078162711117062,-5.078162711117062,-5.078162711117062,0.3509060955518945,630,-0.001041906093142,-7.43547074315123,-7.43547074315123,-7.43547074315123,0.3714285714285714,668,-0.0004538556850183,-1.98528680578796,-1.98528680578796,-1.98528680578796,0.4446107784431137,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_000\a7ls5_s000_label_response_metrics.csv,s000,55.80185495408588
a7ls5_acf0697838e8a0eb,"Mul(Delta(mark_index_basis_bps,4),Sign(mark_index_basis_bps))",basis_premium_like,gated_sign,L5_vol_adjusted_return,1,1.0,3,True,0.9453159704038444,0.0236973124893876,True,1.315873818769032,1.315873818769032,True,0.0247724271788873,0.0241724271788873,0.0231724271788873,95.86666666666666,A7LS5S002_NUMERIC_CLUE,715,0.0069502816805952,0.677014175149277,0.677014175149277,0.677014175149277,0.5160839160839161,719,0.0274261561306689,2.8809238925904794,2.8809238925904794,2.8809238925904794,0.5660639777468707,719,0.025238211494303,1.9660847278597584,1.9660847278597584,1.9660847278597584,0.5465924895688457,719,0.0251724271788873,1.315873818769032,1.315873818769032,1.315873818769032,0.5299026425591099,G:\AlphaFactory_CryptoData\research_runtime\a7ls5_company_numeric\shard_002\a7ls5_s002_label_response_metrics.csv,s002,53.6540164466595
