symbol,component_id,may_gross_price_pnl_sum,may_funding_current_long_only_drag_sum,may_funding_full_signed_pnl_sum,may_fee_drag_sum,may_turnover_sum,may_net_current_long_only_sum,may_net_full_signed_sum,expression,horizon,orientation,train_ic_mean
XRPUSDT,funding_rate_h12,0.11989160582624216,0.0006996933333333333,-2.5613333333333443e-05,0.004833333333333334,4.833333333333333,0.11452524582624216,0.11519932582624216,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
ADAUSDT,funding_persistence_h6,-0.21344884200144992,0.0002019866666666667,0.002031806666666667,0.006166666666666666,6.166666666666666,-0.2196508286681166,-0.2174170353347833,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
AVAXUSDT,funding_persistence_h6,0.04080048563234448,0.0001309666666666667,0.0018184466666666668,0.0085,8.5,0.03233618563234446,0.034285598965677816,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
BCHUSDT,funding_persistence_h6,-0.16238959764463662,-0.0007844,0.0016394266666666668,0.0035,3.5,-0.16493853097796998,-0.1640835043113033,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
BNBUSDT,funding_persistence_h6,-0.07371533754998966,0.0,0.00050652,0.004166666666666667,4.166666666666666,-0.07788200421665634,-0.07737548421665634,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
BTCUSDT,funding_persistence_h6,0.07069951210802305,-0.0004555266666666667,0.00047804333333333336,0.005666666666666666,5.666666666666666,0.06565503877468973,0.0656775554413564,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
DOGEUSDT,funding_persistence_h6,-0.12319166562232792,-6.000000000000146e-07,0.0003342166666666667,0.0045,4.5,-0.1276910656223279,-0.12735744895566126,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
ETHUSDT,funding_persistence_h6,0.06252460249068133,-0.0007250799999999999,0.00137828,0.004,4.0,0.05941634915734798,0.060069549157347975,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
LINKUSDT,funding_persistence_h6,-0.17834051853538185,0.00030534,0.0004466566666666667,0.004999999999999999,5.0,-0.1834791918687152,-0.18272719520204855,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
LTCUSDT,funding_persistence_h6,0.0716867934400841,0.00024461666666666666,-0.00024461666666666666,0.003,3.0,0.06844217677341743,0.06844217677341743,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
SOLUSDT,funding_persistence_h6,-0.021886855786249458,0.00048380000000000005,-0.00044992000000000003,0.004166666666666667,4.166666666666666,-0.026537322452916116,-0.026503442452916123,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
SUIUSDT,funding_persistence_h6,0.3216904687356777,1.3233333333333324e-05,6.80000000000007e-07,0.0033333333333333335,3.333333333333333,0.31834390206901103,0.3183578154023443,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
XRPUSDT,funding_persistence_h6,0.013668681563855995,-3.080000000000001e-06,3.080000000000001e-06,0.0016666666666666666,1.6666666666666665,0.012005094897189332,0.012005094897189332,ZScore(funding_rate_persistence_3),6,-1.0,-0.014513756638242786
ADAUSDT,funding_persistence_h12,-0.20942085238980213,0.0007216933333333334,0.0031883866666666673,0.005833333333333333,5.833333333333333,-0.21597587905646876,-0.21206579905646875,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
AVAXUSDT,funding_persistence_h12,-0.06755449902453081,0.0006641133333333334,0.0025832866666666665,0.0085,8.5,-0.0765519456911975,-0.07330454569119746,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
BCHUSDT,funding_persistence_h12,-0.4591268727049511,-0.0012789166666666665,0.002646493333333333,0.0035,3.5,-0.4611812893716178,-0.45981371270495114,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
BNBUSDT,funding_persistence_h12,-0.11877257396853581,0.0,0.0015385466666666668,0.004166666666666667,4.166666666666666,-0.12293924063520248,-0.12140069396853582,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
BTCUSDT,funding_persistence_h12,0.07568448477292548,-0.0008946566666666667,0.0009432733333333334,0.005666666666666666,5.666666666666666,0.07107914143959214,0.0711277581062588,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
DOGEUSDT,funding_persistence_h12,-0.17769358965567725,0.0001332133333333333,0.00028277333333333337,0.0045,4.5,-0.1823268029890106,-0.1819108163223439,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
ETHUSDT,funding_persistence_h12,0.03410362914356883,-0.0013820266666666665,0.0026849066666666662,0.004,4.0,0.03165232247690219,0.03295520247690218,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
LINKUSDT,funding_persistence_h12,-0.13406295090544607,0.0005228966666666667,0.0008318466666666667,0.004999999999999999,5.0,-0.13941918090544606,-0.13806443757211279,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
LTCUSDT,funding_persistence_h12,0.10534484700159713,0.0004843133333333333,-0.0004843133333333333,0.003,3.0,0.10202720033493047,0.10202720033493047,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
SOLUSDT,funding_persistence_h12,-0.05680201777242678,0.0007870266666666667,-0.0008220466666666666,0.004166666666666667,4.166666666666666,-0.06175571110576011,-0.061790731105760104,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
SUIUSDT,funding_persistence_h12,0.39728376250667036,1.0506666666666665e-05,0.00021487666666666666,0.0033333333333333335,3.333333333333333,0.3939399225066704,0.39416530584000375,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
XRPUSDT,funding_persistence_h12,0.011828812891903996,1.7739999999999996e-05,-1.7739999999999996e-05,0.0016666666666666666,1.6666666666666665,0.010144406225237337,0.010144406225237337,ZScore(funding_rate_persistence_3),12,-1.0,-0.02378520238278919
