seed,algorithm,mechanism_family,primitive_id,visits,unique_candidates,first_evaluations
20260716,cem_like,SPARSE_EVENT_CARRY,LastHit,1,1,1
20260716,cem_like,SPARSE_EVENT_CARRY,Persistence,10,8,8
20260716,cem_like,SPARSE_EVENT_CARRY,Transition,1,1,1
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,Acceleration,3,1,1
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,EventWindow,7,6,5
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,FirstHit,1,1,1
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,MultiScaleRelation,3,3,3
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,PathShape,1,1,1
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,Persistence,1,1,1
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,Slope,18,7,6
20260716,evolutionary,CROSS_SECTIONAL_RELATIVE,TimeSince,1,1,1
20260716,evolutionary,DIRECTIONAL_STATEFUL,Acceleration,9,9,9
20260716,evolutionary,DIRECTIONAL_STATEFUL,Delta,5,4,4
20260716,evolutionary,DIRECTIONAL_STATEFUL,EventWindow,10,9,8
20260716,evolutionary,DIRECTIONAL_STATEFUL,FirstHit,1,1,1
20260716,evolutionary,DIRECTIONAL_STATEFUL,LastHit,1,1,1
20260716,evolutionary,DIRECTIONAL_STATEFUL,MultiScaleRelation,8,8,8
20260716,evolutionary,DIRECTIONAL_STATEFUL,PathShape,8,7,7
20260716,evolutionary,DIRECTIONAL_STATEFUL,Persistence,5,5,3
20260716,evolutionary,DIRECTIONAL_STATEFUL,Slope,28,16,14
20260716,evolutionary,DIRECTIONAL_STATEFUL,StateAge,5,2,2
20260716,evolutionary,DIRECTIONAL_STATEFUL,Transition,1,1,1
20260716,evolutionary,SPARSE_EVENT_CARRY,EventWindow,6,3,2
20260716,evolutionary,SPARSE_EVENT_CARRY,LastHit,1,1,1
20260716,evolutionary,SPARSE_EVENT_CARRY,Persistence,3,3,3
20260716,evolutionary,SPARSE_EVENT_CARRY,StateAge,2,2,2
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Acceleration,10,10,10
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Delta,8,8,8
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Duration,8,8,8
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,EventWindow,23,12,11
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,FirstHit,9,9,9
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,LastHit,9,8,8
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,MultiScaleRelation,8,8,8
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,PathShape,7,7,7
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Persistence,12,12,12
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Slope,9,9,9
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,StateAge,7,7,7
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,TimeSince,8,8,8
20260716,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Transition,7,7,6
20260716,uct_ucb_like,DIRECTIONAL_STATEFUL,Duration,1,1,1
20260716,uct_ucb_like,DIRECTIONAL_STATEFUL,Transition,1,1,1
20260716,uct_ucb_like,SPARSE_EVENT_CARRY,FirstHit,1,1,1
