candidate_id,return_corr_cluster,cluster_size,max_corr_to_prior
e0_current_a7l_manual_generator_s3_02399,rc_000,245,0.926966
e0_current_a7l_manual_generator_s3_00615,rc_000,245,1.0
e0_current_a7l_manual_generator_s3_01835,rc_000,245,1.0
e0_current_a7l_manual_generator_s3_03047,rc_003,49,0.938366
e0_current_a7l_manual_generator_s3_02791,rc_001,15,0.930529
e0_current_a7l_manual_generator_s4_00554,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_01734,rc_000,245,0.944591
e0_current_a7l_manual_generator_s4_00594,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_03662,rc_003,49,0.94448
e0_current_a7l_manual_generator_s4_02770,rc_002,43,0.94879
e0_current_a7l_manual_generator_s4_04054,rc_002,43,1.0
e0_current_a7l_manual_generator_s4_00558,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_03342,rc_002,43,0.92447
e0_current_a7l_manual_generator_s4_03434,rc_002,43,0.960797
e0_current_a7l_manual_generator_s4_01182,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_02310,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_02746,rc_000,245,0.971486
e0_current_a7l_manual_generator_s4_03346,rc_002,43,0.935427
e0_current_a7l_manual_generator_s4_01142,rc_000,245,1.0
e0_current_a7l_manual_generator_s4_02950,rc_002,43,1.0
e0_current_a7l_manual_generator_s4_03782,rc_002,43,0.917819
e1_formulagenv2_crypto_adapter_s1_03081,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s1_03117,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s1_03561,rc_003,49,0.922087
e1_formulagenv2_crypto_adapter_s1_00397,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s1_04257,rc_003,49,0.909688
e1_formulagenv2_crypto_adapter_s1_02485,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s1_04993,rc_002,43,0.902878
e1_formulagenv2_crypto_adapter_s1_02325,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s1_03129,rc_000,245,0.987023
e1_formulagenv2_crypto_adapter_s1_04801,rc_002,43,0.879928
e1_formulagenv2_crypto_adapter_s1_03165,rc_000,245,0.949882
e1_formulagenv2_crypto_adapter_s1_02729,rc_003,49,0.915304
e1_formulagenv2_crypto_adapter_s1_01801,rc_003,49,0.865388
e1_formulagenv2_crypto_adapter_s1_01045,rc_000,245,0.842615
e1_formulagenv2_crypto_adapter_s1_03149,rc_004,3,0.0
e1_formulagenv2_crypto_adapter_s2_01496,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_02356,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_00268,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_02776,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_04584,rc_000,245,0.970505
e1_formulagenv2_crypto_adapter_s2_03424,rc_001,15,1.0
e1_formulagenv2_crypto_adapter_s2_00216,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_01536,rc_000,245,0.948253
e1_formulagenv2_crypto_adapter_s2_02544,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_03396,rc_002,43,0.948035
e1_formulagenv2_crypto_adapter_s2_01440,rc_000,245,0.967026
e1_formulagenv2_crypto_adapter_s2_04504,rc_000,245,0.888301
e1_formulagenv2_crypto_adapter_s2_03036,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_03428,rc_000,245,0.81165
e1_formulagenv2_crypto_adapter_s2_01360,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s2_02492,rc_003,49,1.0
e1_formulagenv2_crypto_adapter_s3_01031,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_04071,rc_000,245,0.95645
e1_formulagenv2_crypto_adapter_s3_04659,rc_002,43,1.0
e1_formulagenv2_crypto_adapter_s3_00899,rc_000,245,0.987143
e1_formulagenv2_crypto_adapter_s3_01039,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_01571,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_00335,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_01455,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_01043,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_00875,rc_000,245,0.946269
e1_formulagenv2_crypto_adapter_s3_01687,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_00783,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s3_00355,rc_003,49,1.0
e1_formulagenv2_crypto_adapter_s3_01947,rc_004,3,0.81994
e1_formulagenv2_crypto_adapter_s3_00759,rc_000,245,0.915111
e1_formulagenv2_crypto_adapter_s3_04775,rc_003,49,0.887696
e1_formulagenv2_crypto_adapter_s4_01870,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_02210,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_01406,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_00478,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_00246,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_03714,rc_000,245,0.935679
e1_formulagenv2_crypto_adapter_s4_03638,rc_001,15,0.947396
e1_formulagenv2_crypto_adapter_s4_04522,rc_001,15,0.965342
e1_formulagenv2_crypto_adapter_s4_03770,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_03422,rc_000,245,0.974142
e1_formulagenv2_crypto_adapter_s4_04018,rc_000,245,0.906382
e1_formulagenv2_crypto_adapter_s4_02150,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_00842,rc_003,49,1.0
e1_formulagenv2_crypto_adapter_s4_02442,rc_000,245,1.0
e1_formulagenv2_crypto_adapter_s4_00610,rc_003,49,0.929008
e2_typed_ast_sampler_crypto_adapter_s1_00909,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_02645,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_00873,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_02117,rc_002,43,0.933718
e2_typed_ast_sampler_crypto_adapter_s1_00837,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_03813,rc_000,245,0.941662
e2_typed_ast_sampler_crypto_adapter_s1_02653,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_01105,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_04045,rc_000,245,0.999703
e2_typed_ast_sampler_crypto_adapter_s1_03777,rc_001,15,0.896685
e2_typed_ast_sampler_crypto_adapter_s1_02093,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_00885,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_04125,rc_000,245,0.94012
e2_typed_ast_sampler_crypto_adapter_s1_03465,rc_000,245,0.952799
e2_typed_ast_sampler_crypto_adapter_s1_01201,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s1_02685,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_01408,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_00556,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_04636,rc_002,43,0.927039
e2_typed_ast_sampler_crypto_adapter_s2_01716,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_02780,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_04348,rc_001,15,0.940078
e2_typed_ast_sampler_crypto_adapter_s2_01412,rc_002,43,0.951914
e2_typed_ast_sampler_crypto_adapter_s2_01496,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_02972,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_04436,rc_000,245,0.959062
e2_typed_ast_sampler_crypto_adapter_s2_02004,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_01908,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_02020,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s2_04384,rc_000,245,0.929173
e2_typed_ast_sampler_crypto_adapter_s2_01572,rc_003,49,1.0
e2_typed_ast_sampler_crypto_adapter_s2_04512,rc_003,49,0.911132
e2_typed_ast_sampler_crypto_adapter_s3_00927,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_02519,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_03803,rc_002,43,0.961937
e2_typed_ast_sampler_crypto_adapter_s3_00735,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00811,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_03751,rc_001,15,0.959958
e2_typed_ast_sampler_crypto_adapter_s3_04487,rc_000,245,0.999581
e2_typed_ast_sampler_crypto_adapter_s3_02603,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_01263,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00855,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00699,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_04199,rc_002,43,0.945089
e2_typed_ast_sampler_crypto_adapter_s3_00483,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00623,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_02611,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00683,rc_003,49,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00146,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00110,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00150,rc_002,43,0.963768
e2_typed_ast_sampler_crypto_adapter_s4_00270,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00258,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_02510,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00222,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_01618,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00086,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00946,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_03210,rc_000,245,0.958802
e2_typed_ast_sampler_crypto_adapter_s4_02914,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_01058,rc_000,245,1.0
e2_typed_ast_sampler_crypto_adapter_s4_04634,rc_001,15,0.92545
e2_typed_ast_sampler_crypto_adapter_s4_03030,rc_003,49,0.948621
e2_typed_ast_sampler_crypto_adapter_s4_02594,rc_003,49,1.0
e3_ast_failure_aware_repair_s1_00213,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00417,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00018,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00645,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00453,rc_003,49,0.929636
e3_ast_failure_aware_repair_s1_00429,rc_003,49,0.970186
e3_ast_failure_aware_repair_s1_00162,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00255,rc_003,49,0.852541
e3_ast_failure_aware_repair_s1_00447,rc_002,43,0.947117
e3_ast_failure_aware_repair_s1_00198,rc_002,43,1.0
e3_ast_failure_aware_repair_s1_00528,rc_005,18,0.0
e3_ast_failure_aware_repair_s1_00492,rc_003,49,0.92799
e3_ast_failure_aware_repair_s1_00261,rc_003,49,0.895577
e3_ast_failure_aware_repair_s1_00393,rc_003,49,0.860432
e3_ast_failure_aware_repair_s1_00630,rc_000,245,1.0
e3_ast_failure_aware_repair_s1_00426,rc_002,43,0.946338
e3_ast_failure_aware_repair_s2_00164,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00668,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00392,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00473,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00200,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00176,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00617,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00002,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00194,rc_002,43,1.0
e3_ast_failure_aware_repair_s2_00653,rc_002,43,1.0
e3_ast_failure_aware_repair_s2_00275,rc_005,18,1.0
e3_ast_failure_aware_repair_s2_00239,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00008,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00140,rc_003,49,1.0
e3_ast_failure_aware_repair_s2_00377,rc_000,245,1.0
e3_ast_failure_aware_repair_s2_00173,rc_002,43,1.0
e3_ast_failure_aware_repair_s3_00415,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00619,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00139,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00220,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00655,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00631,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00364,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00457,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00649,rc_002,43,1.0
e3_ast_failure_aware_repair_s3_00400,rc_002,43,1.0
e3_ast_failure_aware_repair_s3_00022,rc_005,18,1.0
e3_ast_failure_aware_repair_s3_00190,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00463,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00595,rc_003,49,1.0
e3_ast_failure_aware_repair_s3_00124,rc_000,245,1.0
e3_ast_failure_aware_repair_s3_00628,rc_002,43,1.0
e3_ast_failure_aware_repair_s4_00162,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00366,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00156,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00594,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00402,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00378,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00111,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00204,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00396,rc_002,43,1.0
e3_ast_failure_aware_repair_s4_00147,rc_002,43,1.0
e3_ast_failure_aware_repair_s4_00477,rc_005,18,1.0
e3_ast_failure_aware_repair_s4_00441,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00210,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00342,rc_003,49,1.0
e3_ast_failure_aware_repair_s4_00579,rc_000,245,1.0
e3_ast_failure_aware_repair_s4_00375,rc_002,43,1.0
e4_cem_adaptive_grammar_crypto_s1_00689,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_03097,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_02213,rc_003,49,0.871805
e4_cem_adaptive_grammar_crypto_s1_04281,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_03693,rc_003,49,0.96103
e4_cem_adaptive_grammar_crypto_s1_04709,rc_002,43,0.927445
e4_cem_adaptive_grammar_crypto_s1_04397,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_01633,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_02661,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_02909,rc_005,18,0.814483
e4_cem_adaptive_grammar_crypto_s1_01861,rc_002,43,0.899815
e4_cem_adaptive_grammar_crypto_s1_01757,rc_005,18,0.860659
e4_cem_adaptive_grammar_crypto_s1_02457,rc_005,18,0.830963
e4_cem_adaptive_grammar_crypto_s1_00333,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s1_04589,rc_000,245,0.950857
e4_cem_adaptive_grammar_crypto_s1_00085,rc_005,18,0.911185
e4_cem_adaptive_grammar_crypto_s2_00956,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s2_00109,rc_006,1,0.0
e4_cem_adaptive_grammar_crypto_s2_00296,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s2_01473,rc_007,1,0.0
e4_cem_adaptive_grammar_crypto_s2_01280,rc_003,49,0.947317
e4_cem_adaptive_grammar_crypto_s2_00853,rc_008,1,0.0
e4_cem_adaptive_grammar_crypto_s2_01829,rc_009,2,0.0
e4_cem_adaptive_grammar_crypto_s2_00541,rc_009,2,0.967379
e4_cem_adaptive_grammar_crypto_s2_04756,rc_005,18,0.93724
e4_cem_adaptive_grammar_crypto_s2_04340,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s2_02124,rc_000,245,0.986185
e4_cem_adaptive_grammar_crypto_s2_01544,rc_005,18,0.962661
e4_cem_adaptive_grammar_crypto_s2_00948,rc_000,245,0.986874
e4_cem_adaptive_grammar_crypto_s2_01620,rc_002,43,0.941848
e4_cem_adaptive_grammar_crypto_s2_03784,rc_003,49,0.85248
e4_cem_adaptive_grammar_crypto_s2_00535,rc_010,1,0.0
e4_cem_adaptive_grammar_crypto_s3_03123,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_02791,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_03343,rc_002,43,0.964377
e4_cem_adaptive_grammar_crypto_s3_03003,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_02775,rc_002,43,1.0
e4_cem_adaptive_grammar_crypto_s3_02323,rc_002,43,1.0
e4_cem_adaptive_grammar_crypto_s3_01855,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_03603,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_04099,rc_005,18,0.935216
e4_cem_adaptive_grammar_crypto_s3_01075,rc_005,18,1.0
e4_cem_adaptive_grammar_crypto_s3_04207,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s3_01915,rc_005,18,1.0
e4_cem_adaptive_grammar_crypto_s3_04555,rc_005,18,0.865589
e4_cem_adaptive_grammar_crypto_s3_03419,rc_000,245,0.948225
e4_cem_adaptive_grammar_crypto_s3_00979,rc_005,18,0.908081
e4_cem_adaptive_grammar_crypto_s4_02690,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_04914,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_04818,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_01658,rc_003,49,0.966038
e4_cem_adaptive_grammar_crypto_s4_00974,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_00754,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_03934,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_02282,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_03754,rc_005,18,1.0
e4_cem_adaptive_grammar_crypto_s4_01518,rc_000,245,1.0
e4_cem_adaptive_grammar_crypto_s4_04658,rc_002,43,0.925905
e4_cem_adaptive_grammar_crypto_s4_04714,rc_005,18,0.885016
e4_cem_adaptive_grammar_crypto_s4_04046,rc_005,18,0.962581
e4_cem_adaptive_grammar_crypto_s4_02586,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00150,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04065,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00132,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04077,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00003,rc_003,49,0.968336
e5_surrogate_prioritized_sampler_s1_00165,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04068,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00135,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04092,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04074,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04098,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00138,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00156,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04071,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_04083,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s1_00141,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00158,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04073,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00140,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04085,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00173,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04076,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00143,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04100,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04082,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04106,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00146,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_00164,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04079,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_04091,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s2_03935,rc_004,3,0.820241
e5_surrogate_prioritized_sampler_s2_00149,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00154,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04069,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00136,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04081,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00169,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04072,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_03934,rc_003,49,0.966059
e5_surrogate_prioritized_sampler_s3_00139,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04096,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04078,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04102,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00142,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00160,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04075,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_04087,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s3_00145,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00162,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04077,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00144,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04089,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00177,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04080,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00147,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04104,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04086,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04110,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00150,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00168,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04083,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_04095,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00153,rc_000,245,1.0
e5_surrogate_prioritized_sampler_s4_00024,rc_000,245,1.0
