subset,clusters,removed_cluster,cluster_count,cost_tier,split,n,annualized_mean,sharpe_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,month_count,positive_month_count,positive_month_rate,mean_multiplier,mean_gross_exposure,mean_turnover
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,severe_20bp,recent_oos_2025H2_2026,7296,-0.09189013984978836,-1.0411340228974542,0.4847861842105263,-0.07653315757352236,-0.3993183990729984,-0.07667624530717387,-0.3298915533052933,-0.00494115923685821,10,5,0.5,0.10080180921052634,0.19980811403508775,0.039927509746588694
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,stress_10bp,train_2024,8784,-0.08712734427430198,-0.7060480653261684,0.5034153005464481,-0.08736604932710829,-0.3527953606564109,-0.0906284219125073,-0.3020376103163944,-0.01179928309672581,12,5,0.4166666666666667,0.10721766848816029,0.19999999999999996,0.034135928961748635
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,stress_10bp,validation_2025H1,4344,0.2081742958007454,1.9986805261430898,0.5338397790055248,0.10323163709571209,-0.2934140170278106,0.10576571341664498,-0.2553333293310498,-0.015665433913775832,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03041999181501944
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,stress_10bp,recent_oos_2025H2_2026,7296,0.18854296053762032,2.4616740580086396,0.5078125,0.1570330411053057,-0.2571037001528312,0.16717925533743228,-0.22703971828256142,-0.004165328672667174,10,7,0.7,0.10067845394736845,0.19980811403508775,0.03301428484405458
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,severe_20bp,train_2024,8784,-0.38615808197922,-3.126647937250623,0.4858834244080146,-0.38721604932710835,-0.6222607431317126,-0.3262343936754478,-0.4670231961649375,-0.01179928309672581,12,4,0.3333333333333333,0.10721766848816029,0.19999999999999996,0.034135928961748635
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,severe_20bp,validation_2025H1,4344,-0.05830483249882487,-0.5592961301216709,0.5177255985267035,-0.028912807348732333,-0.3417970651579155,-0.031115754199419143,-0.29064442310390626,-0.01568765613599805,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03041999181501944
LOO_without_crypto_a4_1h_002,crypto_a4_1h_001|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_002,3,severe_20bp,recent_oos_2025H2_2026,7296,-0.10066217469629789,-1.311174924316761,0.48903508771929827,-0.0838391811169166,-0.2988486029392917,-0.08267440977399698,-0.25890376261772685,-0.004176439783778285,10,4,0.4,0.10067845394736845,0.19980811403508775,0.03301428484405458
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,stress_10bp,train_2024,8784,-0.06112083725766103,-0.4383026084311635,0.5002276867030966,-0.06128829160631215,-0.38748462308454357,-0.06857227756039885,-0.32275336953597555,-0.011307396101392612,12,5,0.4166666666666667,0.10006830601092893,0.19999999999999996,0.044216125278283745
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,stress_10bp,validation_2025H1,4344,0.34558611719728105,2.810584469613822,0.537292817679558,0.1713728416786517,-0.32033353866256675,0.18248418992339288,-0.2757343360433706,-0.018356585455291924,6,3,0.5,0.09999999999999998,0.19999999999999996,0.04201452834049519
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,stress_10bp,recent_oos_2025H2_2026,7296,0.2448704640059657,2.675646795717789,0.5054824561403509,0.20394690700770843,-0.31343084065291715,0.22196339025918954,-0.2697640475091656,-0.004751059960004093,10,6,0.6,0.10006853070175441,0.19980811403508775,0.04454495614035088
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,severe_20bp,train_2024,8784,-0.44845409469542685,-3.2132096521709705,0.4821265938069217,-0.4496827360507568,-0.6974640089872093,-0.36837511561992153,-0.5065674294444202,-0.011318507212503721,12,4,0.3333333333333333,0.10006830601092893,0.19999999999999996,0.044216125278283745
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,severe_20bp,validation_2025H1,4344,-0.02246115106545665,-0.18249806064378696,0.5197974217311234,-0.011138269432459325,-0.3948557608847885,-0.01478732195362431,-0.3277584115247689,-0.01838991878862526,6,3,0.5,0.09999999999999998,0.19999999999999996,0.04201452834049519
LOO_without_crypto_a4_1h_003,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_004,crypto_a4_1h_003,3,severe_20bp,recent_oos_2025H2_2026,7296,-0.145343351783508,-1.5852803680203342,0.4799890350877193,-0.12105309299229158,-0.39066697709152093,-0.11710777102953951,-0.3240890067965988,-0.004784393293337427,10,4,0.4,0.10006853070175441,0.19980811403508775,0.04454495614035088
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,stress_10bp,train_2024,8784,-0.03657426916707733,-0.31593540370955214,0.4920309653916211,-0.036674472644247405,-0.3037061982200808,-0.04246482538271623,-0.2662748254221774,-0.011168314666153194,12,5,0.4166666666666667,0.10721766848816029,0.19999999999999996,0.037617005666869055
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,stress_10bp,validation_2025H1,4344,0.24163913178943772,2.360013901191424,0.5359116022099447,0.11982652836681706,-0.25508601442768875,0.12437030003890248,-0.2263823388117555,-0.01550523361734624,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03441016983834664
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,stress_10bp,recent_oos_2025H2_2026,7296,0.2520349353591298,3.315267592297996,0.5043859649122807,0.20991402835390538,-0.24050390923064416,0.23060531997935607,-0.21408493228052383,-0.00470753116600772,10,7,0.7,0.10067845394736845,0.19980811403508775,0.03504660087719298
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,severe_20bp,train_2024,8784,-0.3660992388088503,-3.1595881434462996,0.4772313296903461,-0.3671022504220252,-0.6004449678683665,-0.31191357054365887,-0.45474411211115695,-0.011184981332819859,12,3,0.25,0.10721766848816029,0.19999999999999996,0.037617005666869055
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,severe_20bp,validation_2025H1,4344,-0.05979395599447888,-0.5836471402802953,0.5191068139963168,-0.029651249410960756,-0.3180193477610223,-0.03174161640919748,-0.2735755674252899,-0.015549678061790684,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03441016983834664
LOO_without_crypto_a4_1h_004,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003,crypto_a4_1h_004,3,severe_20bp,recent_oos_2025H2_2026,7296,-0.05497328832508081,-0.7216159734174118,0.47889254385964913,-0.04578597164609471,-0.2751550351926997,-0.047057920281713184,-0.24105998549523744,-0.004740864499341054,10,4,0.4,0.10067845394736845,0.19980811403508775,0.03504660087719298
