decision,label_family,response_rows
A7LS30a7ls30_num_s006_NUMERIC_CLUE,L3_liquidity_tier_relative_return,736
HOLD_A7LS30a7ls30_num_s003_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,736
HOLD_A7LS30a7ls30_num_s009_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,716
HOLD_A7LS30a7ls30_num_s008_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,713
HOLD_A7LS30a7ls30_num_s014_CONTROL_DOMINATED,L0_raw_forward_return,710
HOLD_A7LS30a7ls30_num_s012_CONTROL_DOMINATED,L7_ranked_future_return,709
HOLD_A7LS30a7ls30_num_s014_CONTROL_DOMINATED,L1_cross_sectional_relative_return,699
HOLD_A7LS30a7ls30_num_s003_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,698
A7LS30a7ls30_num_s007_NUMERIC_CLUE,L3_liquidity_tier_relative_return,689
HOLD_A7LS30a7ls30_num_s013_CONTROL_DOMINATED,L5_vol_adjusted_return,680
HOLD_A7LS30a7ls30_num_s006_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,677
HOLD_A7LS30a7ls30_num_s004_PRE_MAY_UNSTABLE,L7_ranked_future_return,660
HOLD_A7LS30a7ls30_num_s002_CONTROL_DOMINATED,L7_ranked_future_return,634
A7LS30a7ls30_num_s004_NUMERIC_CLUE,L3_liquidity_tier_relative_return,633
HOLD_A7LS30a7ls30_num_s014_PRE_MAY_UNSTABLE,L7_ranked_future_return,631
HOLD_A7LS30a7ls30_num_s007_PRE_MAY_UNSTABLE,L7_ranked_future_return,630
A7LS30a7ls30_num_s010_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,628
HOLD_A7LS30a7ls30_num_s003_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,622
HOLD_A7LS30a7ls30_num_s006_PRE_MAY_UNSTABLE,L7_ranked_future_return,610
HOLD_A7LS30a7ls30_num_s009_CONTROL_DOMINATED,L1_cross_sectional_relative_return,607
HOLD_A7LS30a7ls30_num_s009_CONTROL_DOMINATED,L0_raw_forward_return,607
HOLD_A7LS30a7ls30_num_s014_CONTROL_DOMINATED,L5_vol_adjusted_return,603
HOLD_A7LS30a7ls30_num_s012_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,591
HOLD_A7LS30a7ls30_num_s005_PRE_MAY_UNSTABLE,L7_ranked_future_return,590
HOLD_A7LS30a7ls30_num_s012_CONTROL_DOMINATED,L5_vol_adjusted_return,586
HOLD_A7LS30a7ls30_num_s003_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,581
A7LS30a7ls30_num_s005_NUMERIC_CLUE,L3_liquidity_tier_relative_return,575
HOLD_A7LS30a7ls30_num_s005_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,575
HOLD_A7LS30a7ls30_num_s003_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,573
HOLD_A7LS30a7ls30_num_s003_CONTROL_DOMINATED,L0_raw_forward_return,551
HOLD_A7LS30a7ls30_num_s003_CONTROL_DOMINATED,L1_cross_sectional_relative_return,549
HOLD_A7LS30a7ls30_num_s014_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,530
HOLD_A7LS30a7ls30_num_s010_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,529
HOLD_A7LS30a7ls30_num_s000_CONTROL_DOMINATED,L5_vol_adjusted_return,528
HOLD_A7LS30a7ls30_num_s010_PRE_MAY_UNSTABLE,L7_ranked_future_return,524
HOLD_A7LS30a7ls30_num_s006_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,516
HOLD_A7LS30a7ls30_num_s005_CONTROL_DOMINATED,L0_raw_forward_return,507
HOLD_A7LS30a7ls30_num_s005_CONTROL_DOMINATED,L1_cross_sectional_relative_return,505
HOLD_A7LS30a7ls30_num_s007_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,498
HOLD_A7LS30a7ls30_num_s003_CONTROL_DOMINATED,L5_vol_adjusted_return,492
HOLD_A7LS30a7ls30_num_s008_CONTROL_DOMINATED,L0_raw_forward_return,492
HOLD_A7LS30a7ls30_num_s008_CONTROL_DOMINATED,L1_cross_sectional_relative_return,491
HOLD_A7LS30a7ls30_num_s004_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,488
HOLD_A7LS30a7ls30_num_s011_PRE_MAY_UNSTABLE,L0_raw_forward_return,486
HOLD_A7LS30a7ls30_num_s011_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,486
HOLD_A7LS30a7ls30_num_s001_PRE_MAY_UNSTABLE,L7_ranked_future_return,476
HOLD_A7LS30a7ls30_num_s000_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,474
HOLD_A7LS30a7ls30_num_s001_CONTROL_DOMINATED,L7_ranked_future_return,472
HOLD_A7LS30a7ls30_num_s015_PRE_MAY_UNSTABLE,L7_ranked_future_return,470
HOLD_A7LS30a7ls30_num_s015_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,465
HOLD_A7LS30a7ls30_num_s000_PRE_MAY_UNSTABLE,L7_ranked_future_return,463
HOLD_A7LS30a7ls30_num_s003_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,461
HOLD_A7LS30a7ls30_num_s000_CONTROL_DOMINATED,L0_raw_forward_return,452
HOLD_A7LS30a7ls30_num_s000_CONTROL_DOMINATED,L1_cross_sectional_relative_return,445
HOLD_A7LS30a7ls30_num_s011_CONTROL_DOMINATED,L5_vol_adjusted_return,440
HOLD_A7LS30a7ls30_num_s015_CONTROL_DOMINATED,L1_cross_sectional_relative_return,434
A7LS30a7ls30_num_s000_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,431
A7LS30a7ls30_num_s002_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,430
HOLD_A7LS30a7ls30_num_s015_CONTROL_DOMINATED,L0_raw_forward_return,429
HOLD_A7LS30a7ls30_num_s015_CONTROL_DOMINATED,L7_ranked_future_return,415
HOLD_A7LS30a7ls30_num_s015_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,413
HOLD_A7LS30a7ls30_num_s000_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,392
A7LS30a7ls30_num_s008_NUMERIC_CLUE,L3_liquidity_tier_relative_return,390
HOLD_A7LS30a7ls30_num_s007_CONTROL_DOMINATED,L0_raw_forward_return,389
HOLD_A7LS30a7ls30_num_s007_CONTROL_DOMINATED,L1_cross_sectional_relative_return,388
A7LS30a7ls30_num_s010_NUMERIC_CLUE,L1_cross_sectional_relative_return,387
A7LS30a7ls30_num_s010_NUMERIC_CLUE,L0_raw_forward_return,386
HOLD_A7LS30a7ls30_num_s006_CONTROL_DOMINATED,L1_cross_sectional_relative_return,377
HOLD_A7LS30a7ls30_num_s006_CONTROL_DOMINATED,L0_raw_forward_return,377
HOLD_A7LS30a7ls30_num_s015_CONTROL_DOMINATED,L5_vol_adjusted_return,376
HOLD_A7LS30a7ls30_num_s015_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,375
HOLD_A7LS30a7ls30_num_s015_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,370
HOLD_A7LS30a7ls30_num_s011_PRE_MAY_UNSTABLE,L7_ranked_future_return,369
A7LS30a7ls30_num_s011_NUMERIC_CLUE,L1_cross_sectional_relative_return,366
HOLD_A7LS30a7ls30_num_s015_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,365
HOLD_A7LS30a7ls30_num_s003_PRE_MAY_UNSTABLE,L7_ranked_future_return,359
A7LS30a7ls30_num_s011_NUMERIC_CLUE,L0_raw_forward_return,358
HOLD_A7LS30a7ls30_num_s000_CONTROL_DOMINATED,L7_ranked_future_return,349
A7LS30a7ls30_num_s000_NUMERIC_CLUE,L1_cross_sectional_relative_return,334
A7LS30a7ls30_num_s000_NUMERIC_CLUE,L0_raw_forward_return,330
HOLD_A7LS30a7ls30_num_s002_CONTROL_DOMINATED,L5_vol_adjusted_return,329
A7LS30a7ls30_num_s012_NUMERIC_CLUE,L5_vol_adjusted_return,325
A7LS30a7ls30_num_s002_NUMERIC_CLUE,L3_liquidity_tier_relative_return,317
HOLD_A7LS30a7ls30_num_s001_CONTROL_DOMINATED,L5_vol_adjusted_return,317
A7LS30a7ls30_num_s010_NUMERIC_CLUE,L3_liquidity_tier_relative_return,308
HOLD_A7LS30a7ls30_num_s014_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,307
A7LS30a7ls30_num_s001_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,306
HOLD_A7LS30a7ls30_num_s003_CONTROL_DOMINATED,L7_ranked_future_return,303
A7LS30a7ls30_num_s000_NUMERIC_CLUE,L5_vol_adjusted_return,297
A7LS30a7ls30_num_s009_NUMERIC_CLUE,L3_liquidity_tier_relative_return,295
A7LS30a7ls30_num_s002_NUMERIC_CLUE,L5_vol_adjusted_return,286
HOLD_A7LS30a7ls30_num_s000_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,283
HOLD_A7LS30a7ls30_num_s000_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,282
HOLD_A7LS30a7ls30_num_s000_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,278
A7LS30a7ls30_num_s002_NUMERIC_CLUE,L0_raw_forward_return,278
A7LS30a7ls30_num_s002_NUMERIC_CLUE,L1_cross_sectional_relative_return,276
A7LS30a7ls30_num_s001_NUMERIC_CLUE,L3_liquidity_tier_relative_return,274
A7LS30a7ls30_num_s000_NUMERIC_CLUE,L3_liquidity_tier_relative_return,272
A7LS30a7ls30_num_s009_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,271
A7LS30a7ls30_num_s001_NUMERIC_CLUE,L1_cross_sectional_relative_return,264
A7LS30a7ls30_num_s001_NUMERIC_CLUE,L5_vol_adjusted_return,264
A7LS30a7ls30_num_s001_NUMERIC_CLUE,L0_raw_forward_return,264
HOLD_A7LS30a7ls30_num_s001_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,262
A7LS30a7ls30_num_s014_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,261
HOLD_A7LS30a7ls30_num_s002_CONTROL_DOMINATED,L1_cross_sectional_relative_return,261
HOLD_A7LS30a7ls30_num_s002_CONTROL_DOMINATED,L0_raw_forward_return,260
HOLD_A7LS30a7ls30_num_s002_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,240
HOLD_A7LS30a7ls30_num_s002_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,237
A7LS30a7ls30_num_s013_NUMERIC_CLUE,L5_vol_adjusted_return,235
HOLD_A7LS30a7ls30_num_s001_CONTROL_DOMINATED,L0_raw_forward_return,210
HOLD_A7LS30a7ls30_num_s001_CONTROL_DOMINATED,L1_cross_sectional_relative_return,210
A7LS30a7ls30_num_s014_NUMERIC_CLUE,L1_cross_sectional_relative_return,209
HOLD_A7LS30a7ls30_num_s001_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,205
A7LS30a7ls30_num_s008_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,205
A7LS30a7ls30_num_s014_NUMERIC_CLUE,L0_raw_forward_return,205
HOLD_A7LS30a7ls30_num_s001_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,195
HOLD_A7LS30a7ls30_num_s001_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,195
A7LS30a7ls30_num_s015_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,187
HOLD_A7LS30a7ls30_num_s002_PRE_MAY_UNSTABLE,L7_ranked_future_return,178
A7LS30a7ls30_num_s013_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,178
HOLD_A7LS30a7ls30_num_s002_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,173
HOLD_A7LS30a7ls30_num_s002_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,172
A7LS30a7ls30_num_s015_NUMERIC_CLUE,L3_liquidity_tier_relative_return,172
A7LS30a7ls30_num_s011_NUMERIC_CLUE,L3_liquidity_tier_relative_return,169
HOLD_A7LS30a7ls30_num_s001_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,167
A7LS30a7ls30_num_s014_NUMERIC_CLUE,L3_liquidity_tier_relative_return,162
A7LS30a7ls30_num_s015_NUMERIC_CLUE,L1_cross_sectional_relative_return,158
A7LS30a7ls30_num_s015_NUMERIC_CLUE,L5_vol_adjusted_return,158
A7LS30a7ls30_num_s015_NUMERIC_CLUE,L0_raw_forward_return,157
A7LS30a7ls30_num_s014_NUMERIC_CLUE,L5_vol_adjusted_return,151
HOLD_A7LS30a7ls30_num_s002_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,134
HOLD_A7LS30a7ls30_num_s014_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,132
A7LS30a7ls30_num_s013_NUMERIC_CLUE,L1_cross_sectional_relative_return,126
A7LS30a7ls30_num_s003_NUMERIC_CLUE,L5_vol_adjusted_return,122
HOLD_A7LS30a7ls30_num_s006_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,119
A7LS30a7ls30_num_s003_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,112
A7LS30a7ls30_num_s013_NUMERIC_CLUE,L0_raw_forward_return,112
HOLD_A7LS30a7ls30_num_s007_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,110
A7LS30a7ls30_num_s012_NUMERIC_CLUE,L0_raw_forward_return,109
A7LS30a7ls30_num_s012_NUMERIC_CLUE,L1_cross_sectional_relative_return,106
HOLD_A7LS30a7ls30_num_s009_CONTROL_DOMINATED,L5_vol_adjusted_return,103
HOLD_A7LS30a7ls30_num_s004_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,102
HOLD_A7LS30a7ls30_num_s010_COST2_PROXY_FRAGILE,L0_raw_forward_return,95
HOLD_A7LS30a7ls30_num_s005_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,93
HOLD_A7LS30a7ls30_num_s010_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,93
A7LS30a7ls30_num_s008_NUMERIC_CLUE,L1_cross_sectional_relative_return,84
A7LS30a7ls30_num_s008_NUMERIC_CLUE,L0_raw_forward_return,82
HOLD_A7LS30a7ls30_num_s008_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,79
HOLD_A7LS30a7ls30_num_s014_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,74
HOLD_A7LS30a7ls30_num_s010_CONTROL_DOMINATED,L5_vol_adjusted_return,74
HOLD_A7LS30a7ls30_num_s009_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,74
HOLD_A7LS30a7ls30_num_s014_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,73
A7LS30a7ls30_num_s003_NUMERIC_CLUE,L0_raw_forward_return,73
HOLD_A7LS30a7ls30_num_s005_CONTROL_DOMINATED,L5_vol_adjusted_return,71
A7LS30a7ls30_num_s005_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,70
HOLD_A7LS30a7ls30_num_s011_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,70
A7LS30a7ls30_num_s003_NUMERIC_CLUE,L3_liquidity_tier_relative_return,69
A7LS30a7ls30_num_s003_NUMERIC_CLUE,L1_cross_sectional_relative_return,67
HOLD_A7LS30a7ls30_num_s010_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,67
HOLD_A7LS30a7ls30_num_s011_COST2_PROXY_FRAGILE,L0_raw_forward_return,60
HOLD_A7LS30a7ls30_num_s014_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,53
HOLD_A7LS30a7ls30_num_s008_CONTROL_DOMINATED,L5_vol_adjusted_return,53
A7LS30a7ls30_num_s011_NUMERIC_CLUE,L5_vol_adjusted_return,51
A7LS30a7ls30_num_s013_NUMERIC_CLUE,L3_liquidity_tier_relative_return,47
A7LS30a7ls30_num_s012_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,42
HOLD_A7LS30a7ls30_num_s004_CONTROL_DOMINATED,L5_vol_adjusted_return,41
A7LS30a7ls30_num_s009_NUMERIC_CLUE,L0_raw_forward_return,40
A7LS30a7ls30_num_s009_NUMERIC_CLUE,L1_cross_sectional_relative_return,39
HOLD_A7LS30a7ls30_num_s007_CONTROL_DOMINATED,L5_vol_adjusted_return,33
HOLD_A7LS30a7ls30_num_s012_COST2_PROXY_FRAGILE,L0_raw_forward_return,32
HOLD_A7LS30a7ls30_num_s014_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,31
HOLD_A7LS30a7ls30_num_s006_CONTROL_DOMINATED,L5_vol_adjusted_return,30
HOLD_A7LS30a7ls30_num_s011_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,29
HOLD_A7LS30a7ls30_num_s013_COST2_PROXY_FRAGILE,L0_raw_forward_return,29
A7LS30a7ls30_num_s004_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,28
HOLD_A7LS30a7ls30_num_s013_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,27
HOLD_A7LS30a7ls30_num_s012_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,26
A7LS30a7ls30_num_s012_NUMERIC_CLUE,L3_liquidity_tier_relative_return,25
HOLD_A7LS30a7ls30_num_s014_COST2_PROXY_FRAGILE,L0_raw_forward_return,23
A7LS30a7ls30_num_s007_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,17
HOLD_A7LS30a7ls30_num_s013_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,16
HOLD_A7LS30a7ls30_num_s003_NONOVERLAP_WEAK,L3_liquidity_tier_relative_return,13
HOLD_A7LS30a7ls30_num_s012_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,13
HOLD_A7LS30a7ls30_num_s015_NONOVERLAP_WEAK,L3_liquidity_tier_relative_return,11
