seed_id,semantic_pair,operator,operator_origin,expression,materialization_status,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std,stale_signal,sign_flip_signal,time_shuffle_signal,symbol_shuffle_signal,stale_signal_corr,sign_flip_signal_corr,time_shuffle_signal_corr,symbol_shuffle_signal_corr,abs_stale_corr,abs_time_shuffle_corr,abs_symbol_shuffle_corr,active_ratio_num
a7ffcore48se_0841,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,72)),-3,3),Sign(Delta(is_forward_only,72)))",fail_inactive_or_empty,6949596,6903088,6903088,46508,0,0,0.993308,0.0,0.0,6903088,6903088,6891634,6882136,,,,,,,,0.0
a7ffcore48se_0864,basis_premium_like|state_or_taxonomy,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,72)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0865,basis_premium_like|state_or_taxonomy,Delta,native,"Mul(Delta(mark_trade_basis_bps,72),ZScore(Delta(raw_latent_state_id,72)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1104,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,168)),Sign(Delta(is_forward_only,168)))",fail_inactive_or_empty,6949596,6855054,6855054,94542,0,0,0.986396,0.0,0.0,6855054,6855054,6843600,6834198,,,,,,,,0.0
a7ffcore48se_1107,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,168)))",fail_inactive_or_empty,6949596,6858535,6858535,91061,0,0,0.986897,0.0,0.0,6858535,6858535,6847081,6837679,,,,,,,,0.0
a7ffcore48se_1108,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,168)),Sign(Delta(is_forward_only,168)))",fail_inactive_or_empty,6949596,6855054,6855054,94542,0,0,0.986396,0.0,0.0,6855054,6855054,6843600,6834198,,,,,,,,0.0
a7ffcore48se_1109,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,168)),ZScore(Mean(is_forward_only,336)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1110,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,168)),-3,3),Sign(Delta(is_forward_only,168)))",fail_inactive_or_empty,6949596,6855054,6855054,94542,0,0,0.986396,0.0,0.0,6855054,6855054,6843600,6834198,,,,,,,,0.0
a7ffcore48se_1133,basis_premium_like|state_or_taxonomy,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,168)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1134,basis_premium_like|state_or_taxonomy,Delta,native,"Mul(Delta(mark_trade_basis_bps,168),ZScore(Delta(raw_latent_state_id,168)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1366,basis_premium_like|funding_like,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(mark_close,4)),Sign(Delta(source_market_funding,4)))",fail_inactive_or_empty,6949596,6944882,6944882,4714,0,0,0.999322,0.0,0.0,6944882,6944882,6933428,6923862,,,,,,,,0.0
a7ffcore48se_1370,basis_premium_like|funding_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(mark_close,4)),Sign(Delta(source_market_funding,4)))",fail_inactive_or_empty,6949596,6944882,6944882,4714,0,0,0.999322,0.0,0.0,6944882,6944882,6933428,6923862,,,,,,,,0.0
a7ffcore48se_1372,basis_premium_like|funding_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(mark_close,4)),-3,3),Sign(Delta(source_market_funding,4)))",fail_inactive_or_empty,6949596,6944882,6944882,4714,0,0,0.999322,0.0,0.0,6944882,6944882,6933428,6923862,,,,,,,,0.0
a7ffcore48se_1373,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,4)),Sign(Delta(is_historical_backfill,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_1374,basis_premium_like|generic_numeric,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_trade_klines,4)))",fail_inactive_or_empty,6949596,6944896,6944896,4700,0,0,0.999324,0.0,0.0,6944896,6944896,6933442,6923876,,,,,,,,0.0
a7ffcore48se_1375,basis_premium_like|generic_numeric,Delta,native,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(source_trade_klines,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1376,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_historical_backfill,4)))",fail_inactive_or_empty,6949596,6937250,6937250,12346,0,0,0.998223,0.0,0.0,6937250,6937250,6925796,6916230,,,,,,,,0.0
a7ffcore48se_1377,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(is_historical_backfill,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_1378,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(is_historical_backfill,16)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1379,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(is_historical_backfill,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_1431,funding_like|generic_numeric,Delta,native,"Mul(Delta(funding_rate_abs_168h,4),ZScore(Delta(history_length_hours,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1471,generic_numeric|positioning_like,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6940592,6940592,9004,0,0,0.998704,0.0,0.0,6940094,6940592,6928640,6919585,,,,,,,,0.0
a7ffcore48se_1472,generic_numeric|positioning_like,CSRank,native,"Mul(CSRank(global_long_short_account_ratio_last),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6941392,6941392,8204,0,0,0.998819,0.0,0.0,6940894,6941392,6929440,6920381,,,,,,,,0.0
a7ffcore48se_1473,generic_numeric|positioning_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6940592,6940592,9004,0,0,0.998704,0.0,0.0,6940094,6940592,6928640,6919585,,,,,,,,0.0
a7ffcore48se_1474,generic_numeric|positioning_like,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(global_long_short_account_ratio_last,4)),ZScore(Mean(is_forward_only,16)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1475,generic_numeric|positioning_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(global_long_short_account_ratio_last,4)),-3,3),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6940592,6940592,9004,0,0,0.998704,0.0,0.0,6940094,6940592,6928640,6919585,,,,,,,,0.0
a7ffcore48se_1478,generic_numeric|state_or_taxonomy,Delta,native,"Mul(Delta(kline_taker_buy_quote_share,4),ZScore(Delta(source_trade_klines,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1485,generic_numeric|volatility_like,Delta,native,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(source_trade_klines,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1576,state_or_taxonomy,CSRank,native,CSRank(raw_latent_state_id),fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1577,state_or_taxonomy,Identity,native,ZScore(raw_latent_state_id),fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1623,basis_premium_like|funding_like,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(mark_close,8)),Sign(Delta(source_market_funding,8)))",fail_inactive_or_empty,6949596,6942878,6942878,6718,0,0,0.999033,0.0,0.0,6942878,6942878,6931424,6921862,,,,,,,,0.0
a7ffcore48se_1627,basis_premium_like|funding_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(mark_close,8)),Sign(Delta(source_market_funding,8)))",fail_inactive_or_empty,6949596,6942878,6942878,6718,0,0,0.999033,0.0,0.0,6942878,6942878,6931424,6921862,,,,,,,,0.0
a7ffcore48se_1629,basis_premium_like|funding_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(mark_close,8)),-3,3),Sign(Delta(source_market_funding,8)))",fail_inactive_or_empty,6949596,6942878,6942878,6718,0,0,0.999033,0.0,0.0,6942878,6942878,6931424,6921862,,,,,,,,0.0
a7ffcore48se_1630,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,8)),Sign(Delta(is_historical_backfill,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_1631,basis_premium_like|generic_numeric,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_trade_klines,8)))",fail_inactive_or_empty,6949596,6942904,6942904,6692,0,0,0.999037,0.0,0.0,6942904,6942904,6931450,6921888,,,,,,,,0.0
a7ffcore48se_1632,basis_premium_like|generic_numeric,Delta,native,"Mul(Delta(mark_trade_basis_bps,8),ZScore(Delta(source_trade_klines,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1633,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_historical_backfill,8)))",fail_inactive_or_empty,6949596,6935338,6935338,14258,0,0,0.997948,0.0,0.0,6935338,6935338,6923884,6914322,,,,,,,,0.0
a7ffcore48se_1634,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,8)),Sign(Delta(is_historical_backfill,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_1635,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,8)),ZScore(Mean(is_historical_backfill,32)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1636,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,8)),-3,3),Sign(Delta(is_historical_backfill,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_1686,funding_like|generic_numeric,Delta,native,"Mul(Delta(funding_rate_abs_168h,8),ZScore(Delta(history_length_hours,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1716,generic_numeric|positioning_like,CSRank,native,"Mul(CSRank(global_long_short_account_ratio_last),Sign(Delta(is_forward_only,8)))",fail_inactive_or_empty,6949596,6939436,6939436,10160,0,0,0.998538,0.0,0.0,6938938,6939436,6927484,6918429,,,,,,,,0.0
a7ffcore48se_1718,generic_numeric|state_or_taxonomy,Delta,native,"Mul(Delta(kline_taker_buy_quote_share,8),ZScore(Delta(source_trade_klines,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1721,generic_numeric|volatility_like,Delta,native,"Mul(Delta(realized_vol_168h,8),ZScore(Delta(source_trade_klines,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1777,basis_premium_like|generic_numeric,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(source_trade_klines,24)))",fail_inactive_or_empty,6949596,6934936,6934936,14660,0,0,0.997891,0.0,0.0,6934936,6934936,6923482,6913936,,,,,,,,0.0
a7ffcore48se_1778,basis_premium_like|generic_numeric,Delta,native,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(source_trade_klines,24)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_1779,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_historical_backfill,24)))",fail_inactive_or_empty,6949596,6927690,6927690,21906,0,0,0.996848,0.0,0.0,6927690,6927690,6916236,6906690,,,,,,,,0.0
