candidate_id,tail,rank,timestamp,split,oriented_spread_24h
a7al2k_0cf817ef95787b3d,worst,10,2026-04-15 00:00:00+00:00,recent_oos_2026JanApr,-0.05439183194983497
a7al2k_0cf817ef95787b3d,best,1,2025-10-09 22:00:00+00:00,test_2025H2,0.10780048452595761
a7al2k_0cf817ef95787b3d,best,2,2025-10-09 21:00:00+00:00,test_2025H2,0.10048664591802936
a7al2k_0cf817ef95787b3d,best,3,2025-10-10 00:00:00+00:00,test_2025H2,0.09927910148181461
a7al2k_0cf817ef95787b3d,best,4,2025-10-10 03:00:00+00:00,test_2025H2,0.09649343256133312
a7al2k_0cf817ef95787b3d,best,5,2025-10-10 05:00:00+00:00,test_2025H2,0.09637064453980215
a7al2k_0cf817ef95787b3d,best,6,2025-10-09 23:00:00+00:00,test_2025H2,0.0943385657868803
a7al2k_0cf817ef95787b3d,best,7,2025-10-10 01:00:00+00:00,test_2025H2,0.09422544884881395
a7al2k_0cf817ef95787b3d,best,8,2025-10-10 16:00:00+00:00,test_2025H2,0.09216289170208411
a7al2k_0cf817ef95787b3d,best,9,2025-10-10 13:00:00+00:00,test_2025H2,0.08858337159366696
a7al2k_0cf817ef95787b3d,best,10,2025-10-10 19:00:00+00:00,test_2025H2,0.08821682227887095
a7al2k_134ec76b5d7444f9,worst,1,2025-05-13 06:00:00+00:00,validation_2025H1,-0.06961697488677691
a7al2k_134ec76b5d7444f9,worst,2,2025-05-13 02:00:00+00:00,validation_2025H1,-0.06807537280906906
a7al2k_134ec76b5d7444f9,worst,3,2025-05-13 05:00:00+00:00,validation_2025H1,-0.0642549823126545
a7al2k_134ec76b5d7444f9,worst,4,2025-05-13 03:00:00+00:00,validation_2025H1,-0.06300655077990384
a7al2k_134ec76b5d7444f9,worst,5,2025-05-11 08:00:00+00:00,validation_2025H1,-0.06251955268108966
a7al2k_134ec76b5d7444f9,worst,6,2025-05-08 13:00:00+00:00,validation_2025H1,-0.06108117054433317
a7al2k_134ec76b5d7444f9,worst,7,2025-05-08 15:00:00+00:00,validation_2025H1,-0.06065701249278729
a7al2k_134ec76b5d7444f9,worst,8,2025-05-13 07:00:00+00:00,validation_2025H1,-0.05976327246353403
a7al2k_134ec76b5d7444f9,worst,9,2025-05-11 09:00:00+00:00,validation_2025H1,-0.05869371837489182
a7al2k_134ec76b5d7444f9,worst,10,2025-05-13 04:00:00+00:00,validation_2025H1,-0.057304381592308176
a7al2k_134ec76b5d7444f9,best,1,2025-05-30 00:00:00+00:00,validation_2025H1,0.07873747128997219
a7al2k_134ec76b5d7444f9,best,2,2025-08-26 00:00:00+00:00,test_2025H2,0.06888773795855432
a7al2k_134ec76b5d7444f9,best,3,2025-08-26 15:00:00+00:00,test_2025H2,0.06869943067841375
a7al2k_134ec76b5d7444f9,best,4,2025-08-26 02:00:00+00:00,test_2025H2,0.0680453989648125
a7al2k_134ec76b5d7444f9,best,5,2025-08-26 05:00:00+00:00,test_2025H2,0.06765746442739283
a7al2k_134ec76b5d7444f9,best,6,2025-08-26 09:00:00+00:00,test_2025H2,0.06686299462873471
a7al2k_134ec76b5d7444f9,best,7,2025-11-02 23:00:00+00:00,test_2025H2,0.06644003648530014
a7al2k_134ec76b5d7444f9,best,8,2025-08-26 10:00:00+00:00,test_2025H2,0.0661949006112542
a7al2k_134ec76b5d7444f9,best,9,2025-08-26 08:00:00+00:00,test_2025H2,0.06543976995456319
a7al2k_134ec76b5d7444f9,best,10,2025-08-26 07:00:00+00:00,test_2025H2,0.06541443109608089
a7al2k_01298a6b5902f416,worst,1,2025-08-13 22:00:00+00:00,test_2025H2,-0.05751243604895705
a7al2k_01298a6b5902f416,worst,2,2025-08-13 15:00:00+00:00,test_2025H2,-0.056083437882176
a7al2k_01298a6b5902f416,worst,3,2025-08-13 23:00:00+00:00,test_2025H2,-0.055831442803070314
a7al2k_01298a6b5902f416,worst,4,2025-08-13 21:00:00+00:00,test_2025H2,-0.05508417643316856
a7al2k_01298a6b5902f416,worst,5,2025-08-13 19:00:00+00:00,test_2025H2,-0.05432688645396071
a7al2k_01298a6b5902f416,worst,6,2025-05-29 23:00:00+00:00,validation_2025H1,-0.053047913078944166
a7al2k_01298a6b5902f416,worst,7,2025-08-13 20:00:00+00:00,test_2025H2,-0.05248277077529874
a7al2k_01298a6b5902f416,worst,8,2025-02-24 16:00:00+00:00,validation_2025H1,-0.05210252153399476
a7al2k_01298a6b5902f416,worst,9,2025-08-13 16:00:00+00:00,test_2025H2,-0.05104127907476812
a7al2k_01298a6b5902f416,worst,10,2025-05-29 22:00:00+00:00,validation_2025H1,-0.050009106005899535
a7al2k_01298a6b5902f416,best,1,2026-04-16 00:00:00+00:00,recent_oos_2026JanApr,0.06087318082184218
a7al2k_01298a6b5902f416,best,2,2026-04-16 01:00:00+00:00,recent_oos_2026JanApr,0.05830951971998048
a7al2k_01298a6b5902f416,best,3,2026-04-16 13:00:00+00:00,recent_oos_2026JanApr,0.055911703412381955
a7al2k_01298a6b5902f416,best,4,2026-04-15 22:00:00+00:00,recent_oos_2026JanApr,0.05293014353808644
a7al2k_01298a6b5902f416,best,5,2025-01-16 23:00:00+00:00,validation_2025H1,0.05274918024171902
a7al2k_01298a6b5902f416,best,6,2025-03-02 13:00:00+00:00,validation_2025H1,0.05228981050602219
a7al2k_01298a6b5902f416,best,7,2025-03-01 17:00:00+00:00,validation_2025H1,0.0522280729091776
a7al2k_01298a6b5902f416,best,8,2026-04-15 19:00:00+00:00,recent_oos_2026JanApr,0.0518174773848294
a7al2k_01298a6b5902f416,best,9,2025-10-09 21:00:00+00:00,test_2025H2,0.05172897596876272
a7al2k_01298a6b5902f416,best,10,2025-03-01 16:00:00+00:00,validation_2025H1,0.050914459759507626
