field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,strict_non_basis_candidate,near_miss_non_basis,lane
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,1,-1.0,3,True,1.2751802826882066,0.0380236878663705,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.0673761894233345,-4.173927651560201,-4.173927651560201,-4.173927651560201,0.4047287899860918,719,-0.0283941735540464,-1.7961587702019564,-1.7961587702019564,-1.7961587702019564,0.4339360222531293,719,-0.0645403629514876,-3.610907788359411,-3.610907788359411,-3.610907788359411,0.3991655076495132,719,-0.0832748517129543,-3.1731230680348674,-3.1731230680348674,-3.1731230680348674,0.3866481223922114,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,4,-1.0,3,True,1.098961618244265,-0.016722179525922,False,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,716,-0.104839941640105,-3.6591188515848607,-2.0985290985519773,-2.802747228505956,0.4273743016759777,716,-0.0738621764353515,-2.6480287392161723,-1.3527521522995634,-1.7252829325581331,0.4343575418994413,716,-0.1245172904642332,-3.88435756058097,-2.0782028116707725,-2.446157117289302,0.4189944134078212,716,-0.0624849537449482,-1.256810591466749,-0.7076338542317446,-1.7453031576306124,0.4371508379888268,95.46666666666668,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L5_vol_adjusted_return,1,-1.0,3,True,1.1050502481903737,0.0428858373481851,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,718,-0.0435294913659618,-2.827690929974195,-2.827690929974195,-2.827690929974195,0.4387186629526462,719,-0.005058747184202,-0.3197264163659884,-0.3197264163659884,-0.3197264163659884,0.4603616133518776,719,-0.0328469628216874,-1.8789048249737603,-1.8789048249737603,-1.8789048249737603,0.4339360222531293,719,-0.0510816585644304,-1.961911931160272,-1.961911931160272,-1.961911931160272,0.4283727399165508,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L0_raw_forward_return,4,-1.0,3,True,1.0995705161179872,0.0016620350279358,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,715,-0.0006967221168958,-1.5364247582927686,-0.9322612577413782,-2.274231404065697,0.4643356643356643,716,-0.0003525615179089,-1.1859759141123094,-0.4318396801721099,-1.7381792047172246,0.4776536312849162,716,-0.0005946079782435,-1.6346120272182234,-0.9448036749581812,-1.6822089592997582,0.4455307262569832,716,-0.0012834030488615,-1.833644620767489,-1.163478682343538,-1.5633585644900505,0.4636871508379888,95.46666666666668,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L1_cross_sectional_relative_return,4,-1.0,3,True,1.0995705161179872,0.0016620350279358,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,715,-0.0006967221168958,-1.536424758292769,-0.932261257741379,-2.2742314040656963,0.4643356643356643,716,-0.0003525615179089,-1.1859759141123096,-0.4318396801721103,-1.738179204717225,0.4776536312849162,716,-0.0005946079782435,-1.6346120272182234,-0.9448036749581812,-1.6822089592997571,0.4455307262569832,716,-0.0012834030488615,-1.833644620767489,-1.1634786823435377,-1.5633585644900505,0.4636871508379888,95.46666666666668,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L3_liquidity_tier_relative_return,4,-1.0,3,True,1.1666995585564248,0.0015516900485118,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,715,-0.0006737546444395,-1.6422402955521391,-1.0891707070204586,-2.0235319540565504,0.4727272727272727,716,-0.0003517517920324,-1.246049727942546,-0.3693029246685963,-1.9158899780647385,0.4650837988826816,716,-0.0006471102354633,-1.895779683398996,-0.9819859274399868,-2.0515837910067565,0.4483240223463687,716,-0.0011788290378683,-1.759320692215466,-1.1383542336008587,-1.522881106861464,0.467877094972067,95.46666666666668,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L5_vol_adjusted_return,4,-1.0,3,True,1.1245348171939284,0.0953974495358685,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,715,-0.0422147004106972,-1.580701358661156,-1.2668169392870534,-1.6556666280382837,0.4755244755244755,716,-0.0359407606050744,-1.363865556061157,-0.4991656571021,-1.4833820796890969,0.4692737430167598,716,-0.0610344296716682,-1.8615061258968724,-0.9696743085613536,-1.5737481934892796,0.4371508379888268,716,-0.1056580096335581,-2.053612675670107,-0.974588615528076,-1.939028171964514,0.473463687150838,95.46666666666668,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_24h,L0_raw_forward_return,1,-1.0,3,True,1.4372383372077375,0.0006847079148297,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,695,-0.0005715840929242,-2.15438641365443,-2.15438641365443,-2.15438641365443,0.4287769784172662,719,-0.0001338118693549,-0.7914402551443885,-0.7914402551443885,-0.7914402551443885,0.4492350486787204,719,-0.0004762194282826,-2.4445060015618254,-2.4445060015618254,-2.4445060015618254,0.4464534075104311,719,-0.0007640473134102,-2.0309779893371283,-2.0309779893371283,-2.0309779893371283,0.4339360222531293,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_24h,L1_cross_sectional_relative_return,1,-1.0,3,True,1.4372383372077375,0.0006847079148297,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,695,-0.0005715840929242,-2.15438641365443,-2.15438641365443,-2.15438641365443,0.4287769784172662,719,-0.0001338118693549,-0.7914402551443889,-0.7914402551443889,-0.7914402551443889,0.4492350486787204,719,-0.0004762194282826,-2.444506001561825,-2.444506001561825,-2.444506001561825,0.4464534075104311,719,-0.0007640473134102,-2.0309779893371283,-2.0309779893371283,-2.0309779893371283,0.4339360222531293,95.86666666666666,,False,True,forensic_near_miss
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_24h,L3_liquidity_tier_relative_return,1,-1.0,3,True,1.4586516262861335,0.000625635002812,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,695,-0.0006613354229715,-2.8303840386604064,-2.8303840386604064,-2.8303840386604064,0.4273381294964029,719,-0.0001607159604706,-0.9902030812817242,-0.9902030812817242,-0.9902030812817242,0.4492350486787204,719,-0.0004582858143445,-2.484565837645499,-2.484565837645499,-2.484565837645499,0.4339360222531293,719,-0.0007444793706892,-2.014582091180505,-2.014582091180505,-2.014582091180505,0.4353268428372739,95.86666666666666,,False,True,forensic_near_miss
