a7ls_arm,arm_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,modifier_guard_required,expression,skeleton_key,production_key,blueprint_id,in_materialization_queue,in_company_numeric_wave_queue,materialization_shard,checkpoint_key,numeric_shard
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_72h,zmean_72h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,72)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,72))),CSRank(ZScore(Mean(mark_trade_basis_bps,72)))))",skel_645a6995f5269099,prod_2301d5e23f003319,a7ls1_017139cff02c9129,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_017139cff02c9129,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,delta_8h,zmean_2h,False,"Mul(Delta(Delta(mark_index_basis_bps,8),24),Sub(CSRank(Delta(mark_index_basis_bps,8)),CSRank(ZScore(Mean(premium_close_bps,2)))))",skel_ea3ce7738ec5fb30,prod_12a4c23d99712158,a7ls1_01751af7cec3a3b0,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_01751af7cec3a3b0,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_2h,delta_2h,False,"Mul(Delta(Mean(mark_index_basis_bps,2),24),Sub(CSRank(Mean(mark_index_basis_bps,2)),CSRank(Delta(mark_trade_basis_bps,2))))",skel_8c2c9f3f4b776243,prod_8e26e34c51dd8036,a7ls1_01baae24edf3b8ab,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_01baae24edf3b8ab,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_2h,delta_4h,False,"Mul(Delta(Delta(mark_index_basis_bps,2),24),Sub(CSRank(Delta(mark_index_basis_bps,2)),CSRank(Delta(mark_trade_basis_bps,4))))",skel_8c2c9f3f4b776243,prod_c35025ce96751249,a7ls1_01e96fd883c463eb,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_01e96fd883c463eb,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_1h,mean_4h,False,"Mul(Delta(Delta(mark_index_basis_bps,1),24),Sub(CSRank(Delta(mark_index_basis_bps,1)),CSRank(Mean(mark_trade_basis_bps,4))))",skel_8c2c9f3f4b776243,prod_148518b1b631396c,a7ls1_01ef58aa97186ce6,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_01ef58aa97186ce6,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_72h,zmean_48h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,72)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,72))),CSRank(ZScore(Mean(mark_trade_basis_bps,48)))))",skel_645a6995f5269099,prod_b4fbbef154ed98f6,a7ls1_01f6a6e388548a5c,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_01f6a6e388548a5c,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,zmean_4h,zmean_4h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,4)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,4))),CSRank(ZScore(Mean(premium_close_bps,4)))))",skel_645a6995f5269099,prod_c19ec186c756463b,a7ls1_0248a944d13f7c3e,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0248a944d13f7c3e,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_168h,mean_24h,False,"Mul(Delta(Mean(mark_index_basis_bps,168),24),Sub(CSRank(Mean(mark_index_basis_bps,168)),CSRank(Mean(mark_trade_basis_bps,24))))",skel_8c2c9f3f4b776243,prod_fa90d80caa9bb46c,a7ls1_024b0d1795148624,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_024b0d1795148624,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_168h,delta_168h,False,"Mul(Delta(Delta(mark_index_basis_bps,168),24),Sub(CSRank(Delta(mark_index_basis_bps,168)),CSRank(Delta(mark_trade_basis_bps,168))))",skel_8c2c9f3f4b776243,prod_b4e49dc8a0bc2f06,a7ls1_0257ceaa2fdb17c6,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0257ceaa2fdb17c6,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,abs_zmean_72h,delta_4h,False,"Mul(Delta(Abs(ZScore(Mean(mark_index_basis_bps,72))),24),Sub(CSRank(Abs(ZScore(Mean(mark_index_basis_bps,72)))),CSRank(Delta(mark_trade_basis_bps,4))))",skel_74c9211f88a36010,prod_f8d3f7aeebb5aa15,a7ls1_025d278f2474846b,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_025d278f2474846b,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,zmean_4h,tsrank_24h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,4)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,4))),CSRank(TSRank(premium_close_bps,24))))",skel_ed4f1d0a031f5137,prod_545262922e363ecb,a7ls1_02a5de9b998d4a17,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_02a5de9b998d4a17,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_2h,abs_zmean_24h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,2)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,2))),CSRank(Abs(ZScore(Mean(mark_trade_basis_bps,24))))))",skel_76e17584561ba4d6,prod_e24fff00538b9bd8,a7ls1_02b1b8a82a844044,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_02b1b8a82a844044,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_8h,mean_168h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,8)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,8))),CSRank(Mean(mark_trade_basis_bps,168))))",skel_ed4f1d0a031f5137,prod_9e88d5a9fa551530,a7ls1_02bc6e622653d471,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_02bc6e622653d471,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,mean_4h,tsrank_24h,False,"Mul(Delta(Mean(mark_index_basis_bps,4),24),Sub(CSRank(Mean(mark_index_basis_bps,4)),CSRank(TSRank(premium_close_bps,24))))",skel_8c2c9f3f4b776243,prod_b10b9d9c4062b25a,a7ls1_02be7e0a1cab5330,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_02be7e0a1cab5330,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_12h,zmean_1h,False,"Mul(Delta(Delta(mark_index_basis_bps,12),24),Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(mark_trade_basis_bps,1)))))",skel_ea3ce7738ec5fb30,prod_7da9b379126db710,a7ls1_02e665e81fedc54d,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_02e665e81fedc54d,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,mean_4h,mean_168h,False,"Mul(Delta(Mean(mark_index_basis_bps,4),24),Sub(CSRank(Mean(mark_index_basis_bps,4)),CSRank(Mean(premium_close_bps,168))))",skel_8c2c9f3f4b776243,prod_0ce90fda8f4c3bf4,a7ls1_0313946afe04b9b3,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0313946afe04b9b3,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_72h,mean_12h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,72)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,72))),CSRank(Mean(mark_trade_basis_bps,12))))",skel_ed4f1d0a031f5137,prod_a11665be24c46da2,a7ls1_0320fc7d7409e250,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0320fc7d7409e250,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_72h,level,False,"Mul(Delta(Mean(mark_index_basis_bps,72),24),Sub(CSRank(Mean(mark_index_basis_bps,72)),CSRank(mark_trade_basis_bps)))",skel_ce638db1cf3f85fb,prod_aa5b86628a01938e,a7ls1_0325e630e9cb295c,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0325e630e9cb295c,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_8h,delta_1h,False,"Mul(Delta(Delta(mark_index_basis_bps,8),24),Sub(CSRank(Delta(mark_index_basis_bps,8)),CSRank(Delta(mark_trade_basis_bps,1))))",skel_8c2c9f3f4b776243,prod_a9635457dd0206ce,a7ls1_033358a9d5be40a0,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_033358a9d5be40a0,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,abs_zmean_24h,mean_2h,False,"Mul(Delta(Abs(ZScore(Mean(mark_index_basis_bps,24))),24),Sub(CSRank(Abs(ZScore(Mean(mark_index_basis_bps,24)))),CSRank(Mean(mark_trade_basis_bps,2))))",skel_74c9211f88a36010,prod_2bd9a000f2d72591,a7ls1_0358b1df96e729eb,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0358b1df96e729eb,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_24h,tsrank_24h,False,"Mul(Delta(Delta(mark_index_basis_bps,24),24),Sub(CSRank(Delta(mark_index_basis_bps,24)),CSRank(TSRank(mark_trade_basis_bps,24))))",skel_8c2c9f3f4b776243,prod_e0a3a365351f7ab0,a7ls1_03691719bb54abe1,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_03691719bb54abe1,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_1h,delta_24h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,1)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,1))),CSRank(Delta(mark_trade_basis_bps,24))))",skel_ed4f1d0a031f5137,prod_e216b52c00674007,a7ls1_0377c3dd78596ec6,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0377c3dd78596ec6,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_72h,delta_168h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,72)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,72))),CSRank(Delta(mark_trade_basis_bps,168))))",skel_ed4f1d0a031f5137,prod_eb89143c5a6473ee,a7ls1_037e84776180f8c7,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_037e84776180f8c7,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_4h,zmean_12h,False,"Mul(Delta(Mean(mark_index_basis_bps,4),24),Sub(CSRank(Mean(mark_index_basis_bps,4)),CSRank(ZScore(Mean(mark_trade_basis_bps,12)))))",skel_ea3ce7738ec5fb30,prod_0f8b88b8d7905245,a7ls1_03d4c20c0031aa13,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_03d4c20c0031aa13,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,level,mean_168h,False,"Mul(Delta(mark_index_basis_bps,24),Sub(CSRank(mark_index_basis_bps),CSRank(Mean(premium_close_bps,168))))",skel_2bede8eb36f01fb9,prod_69429865ec786467,a7ls1_040647d2ed5cda55,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_040647d2ed5cda55,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_48h,zmean_24h,False,"Mul(Delta(Mean(mark_index_basis_bps,48),24),Sub(CSRank(Mean(mark_index_basis_bps,48)),CSRank(ZScore(Mean(mark_trade_basis_bps,24)))))",skel_ea3ce7738ec5fb30,prod_c0cfe1b64d423ed2,a7ls1_042b5bd2577dcefa,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_042b5bd2577dcefa,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,zmean_1h,mean_72h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,1)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,1))),CSRank(Mean(premium_close_bps,72))))",skel_ed4f1d0a031f5137,prod_1d5923d7af1b80ab,a7ls1_0437daaa40dcbaf1,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0437daaa40dcbaf1,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,zmean_2h,decay_24h,False,"Mul(Delta(ZScore(Mean(mark_index_basis_bps,2)),24),Sub(CSRank(ZScore(Mean(mark_index_basis_bps,2))),CSRank(Decay(mark_trade_basis_bps,24))))",skel_ed4f1d0a031f5137,prod_338c555eda96cfad,a7ls1_0506827e5d7894e8,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0506827e5d7894e8,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,mean_4h,zmean_2h,False,"Mul(Delta(Mean(mark_index_basis_bps,4),24),Sub(CSRank(Mean(mark_index_basis_bps,4)),CSRank(ZScore(Mean(mark_trade_basis_bps,2)))))",skel_ea3ce7738ec5fb30,prod_73635437be0a9877,a7ls1_0517b6dc03f1d168,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0517b6dc03f1d168,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_2h,zmean_24h,False,"Mul(Delta(Delta(mark_index_basis_bps,2),24),Sub(CSRank(Delta(mark_index_basis_bps,2)),CSRank(ZScore(Mean(mark_trade_basis_bps,24)))))",skel_ea3ce7738ec5fb30,prod_af9bb1ea4d0ccbae,a7ls1_058eb24425a9ec17,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_058eb24425a9ec17,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,delta_4h,zmean_4h,False,"Mul(Delta(Delta(mark_index_basis_bps,4),24),Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(premium_close_bps,4)))))",skel_ea3ce7738ec5fb30,prod_d84316bb749f111a,a7ls1_05ad887645b6a34a,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_05ad887645b6a34a,a7ls_a_numeric_s000
A7LS_A,basis_premium_price_vol_evidence_guided,evidence_guided,L2_typed_arm_interaction,role_mixed_allowed,P0,basis_premium_like,delta_x_divergence,mark_index_basis_bps,mark_trade_basis_bps,basis_premium_like,basis_premium_like,delta_2h,level,False,"Mul(Delta(Delta(mark_index_basis_bps,2),24),Sub(CSRank(Delta(mark_index_basis_bps,2)),CSRank(mark_trade_basis_bps)))",skel_ce638db1cf3f85fb,prod_dbe4019849e446dd,a7ls1_0691e6349bd10399,True,True,a7ls_a_materialization_s000,a7ls_a_numeric_s000::a7ls1_0691e6349bd10399,a7ls_a_numeric_s000
