symbol,split,rows,metrics_complete_5m_rate,agg_overlay_available_rate,may_allowed_for_ranking
ACHUSDT,train_2024,8784,0.998065,0.0,True
ACHUSDT,validation_2025H1,4344,0.99954,0.0,True
ACHUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ACHUSDT,may_2026_stress_only,0,,,False
ACTUSDT,train_2024,1214,0.997529,0.0,True
ACTUSDT,validation_2025H1,4344,0.99954,0.0,True
ACTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ACTUSDT,may_2026_stress_only,0,,,False
ACXUSDT,train_2024,613,0.991843,0.0,True
ACXUSDT,validation_2025H1,4344,0.99954,0.0,True
ACXUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ACXUSDT,may_2026_stress_only,0,,,False
ADAUSDT,train_2024,8784,0.998065,0.998862,True
ADAUSDT,validation_2025H1,4344,0.99954,1.0,True
ADAUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
ADAUSDT,may_2026_stress_only,0,,,False
AEROUSDT,train_2024,659,0.996965,0.0,True
AEROUSDT,validation_2025H1,4344,0.99954,0.0,True
AEROUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
AEROUSDT,may_2026_stress_only,0,,,False
AEVOUSDT,train_2024,7045,0.999148,0.0,True
AEVOUSDT,validation_2025H1,4344,0.99954,0.0,True
AEVOUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AEVOUSDT,may_2026_stress_only,0,,,False
AGLDUSDT,train_2024,8784,0.998065,0.0,True
AGLDUSDT,validation_2025H1,4344,0.99954,0.0,True
AGLDUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AGLDUSDT,may_2026_stress_only,0,,,False
AIXBTUSDT,train_2024,271,0.99262,0.0,True
AIXBTUSDT,validation_2025H1,4344,0.99954,0.0,True
AIXBTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AIXBTUSDT,may_2026_stress_only,0,,,False
AKTUSDT,train_2024,1046,0.998088,0.0,True
AKTUSDT,validation_2025H1,4344,0.998849,0.0,True
AKTUSDT,recent_2025H2_2026Apr,7296,0.999178,0.0,True
AKTUSDT,may_2026_stress_only,0,,,False
ALCHUSDT,train_2024,0,,,True
ALCHUSDT,validation_2025H1,4190,0.999045,0.0,True
ALCHUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ALCHUSDT,may_2026_stress_only,0,,,False
ALGOUSDT,train_2024,8784,0.998065,0.0,True
ALGOUSDT,validation_2025H1,4344,0.99954,0.0,True
ALGOUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ALGOUSDT,may_2026_stress_only,0,,,False
ALICEUSDT,train_2024,8784,0.998065,0.0,True
ALICEUSDT,validation_2025H1,4344,0.99954,0.0,True
ALICEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ALICEUSDT,may_2026_stress_only,0,,,False
ALTUSDT,train_2024,8197,0.997438,0.0,True
ALTUSDT,validation_2025H1,4344,0.99954,0.0,True
ALTUSDT,recent_2025H2_2026Apr,7296,0.999452,0.0,True
ALTUSDT,may_2026_stress_only,0,,,False
ANIMEUSDT,train_2024,0,,,True
ANIMEUSDT,validation_2025H1,3800,0.998947,0.0,True
ANIMEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ANIMEUSDT,may_2026_stress_only,0,,,False
ANKRUSDT,train_2024,8784,0.998292,0.0,True
ANKRUSDT,validation_2025H1,4344,0.99954,0.0,True
ANKRUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ANKRUSDT,may_2026_stress_only,0,,,False
APEUSDT,train_2024,8784,0.998065,0.0,True
APEUSDT,validation_2025H1,4344,0.99954,0.0,True
APEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
APEUSDT,may_2026_stress_only,0,,,False
API3USDT,train_2024,8784,0.998065,0.0,True
API3USDT,validation_2025H1,4344,0.99954,0.0,True
API3USDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
API3USDT,may_2026_stress_only,0,,,False
APTUSDT,train_2024,8784,0.998065,0.0,True
APTUSDT,validation_2025H1,4344,0.99954,0.0,True
APTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
APTUSDT,may_2026_stress_only,0,,,False
ARBUSDT,train_2024,8784,0.998292,0.0,True
ARBUSDT,validation_2025H1,4344,0.99954,0.0,True
ARBUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ARBUSDT,may_2026_stress_only,0,,,False
ARCUSDT,train_2024,0,,,True
ARCUSDT,validation_2025H1,3949,0.998734,0.0,True
ARCUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ARCUSDT,may_2026_stress_only,0,,,False
ARKMUSDT,train_2024,8784,0.998292,0.0,True
ARKMUSDT,validation_2025H1,4344,0.99954,0.0,True
ARKMUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ARKMUSDT,may_2026_stress_only,0,,,False
ARKUSDT,train_2024,8784,0.99852,0.0,True
ARKUSDT,validation_2025H1,4344,0.99954,0.0,True
ARKUSDT,recent_2025H2_2026Apr,7296,0.999589,0.0,True
ARKUSDT,may_2026_stress_only,0,,,False
ARPAUSDT,train_2024,8784,0.99852,0.0,True
ARPAUSDT,validation_2025H1,4344,0.99954,0.0,True
ARPAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ARPAUSDT,may_2026_stress_only,0,,,False
ARUSDT,train_2024,8784,0.998292,0.0,True
ARUSDT,validation_2025H1,4344,0.99954,0.0,True
ARUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ARUSDT,may_2026_stress_only,0,,,False
ASTRUSDT,train_2024,8784,0.99852,0.0,True
ASTRUSDT,validation_2025H1,4344,0.99954,0.0,True
ASTRUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ASTRUSDT,may_2026_stress_only,0,,,False
ATOMUSDT,train_2024,8784,0.99852,0.0,True
ATOMUSDT,validation_2025H1,4344,0.99954,0.0,True
ATOMUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ATOMUSDT,may_2026_stress_only,0,,,False
AUCTIONUSDT,train_2024,8784,0.998292,0.0,True
AUCTIONUSDT,validation_2025H1,4344,0.99954,0.0,True
AUCTIONUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AUCTIONUSDT,may_2026_stress_only,0,,,False
AVAAIUSDT,train_2024,0,,,True
AVAAIUSDT,validation_2025H1,3949,0.998734,0.0,True
AVAAIUSDT,recent_2025H2_2026Apr,7296,0.999589,0.0,True
AVAAIUSDT,may_2026_stress_only,0,,,False
AVAUSDT,train_2024,456,0.969298,0.0,True
AVAUSDT,validation_2025H1,4344,0.99954,0.0,True
AVAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AVAUSDT,may_2026_stress_only,0,,,False
AVAXUSDT,train_2024,8784,0.99852,0.998862,True
AVAXUSDT,validation_2025H1,4344,0.99954,1.0,True
AVAXUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
AVAXUSDT,may_2026_stress_only,0,,,False
AXLUSDT,train_2024,7332,0.999182,0.0,True
AXLUSDT,validation_2025H1,4344,0.99954,0.0,True
AXLUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AXLUSDT,may_2026_stress_only,0,,,False
AXSUSDT,train_2024,8784,0.99852,0.0,True
AXSUSDT,validation_2025H1,4344,0.99954,0.0,True
AXSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
AXSUSDT,may_2026_stress_only,0,,,False
BANANAUSDT,train_2024,3337,0.998502,0.0,True
BANANAUSDT,validation_2025H1,4344,0.99954,0.0,True
BANANAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BANANAUSDT,may_2026_stress_only,0,,,False
BANDUSDT,train_2024,8784,0.99852,0.0,True
BANDUSDT,validation_2025H1,4344,0.99954,0.0,True
BANDUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BANDUSDT,may_2026_stress_only,0,,,False
BANUSDT,train_2024,1046,0.998088,0.0,True
BANUSDT,validation_2025H1,4344,0.99954,0.0,True
BANUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
BANUSDT,may_2026_stress_only,0,,,False
BATUSDT,train_2024,8784,0.99852,0.0,True
BATUSDT,validation_2025H1,4344,0.99954,0.0,True
BATUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
BATUSDT,may_2026_stress_only,0,,,False
BBUSDT,train_2024,5581,0.999462,0.0,True
BBUSDT,validation_2025H1,4344,0.99954,0.0,True
BBUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BBUSDT,may_2026_stress_only,0,,,False
BCHUSDT,train_2024,8784,0.99852,0.998862,True
BCHUSDT,validation_2025H1,4344,0.99954,1.0,True
BCHUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
BCHUSDT,may_2026_stress_only,0,,,False
BEAMXUSDT,train_2024,8784,0.99852,0.0,True
BEAMXUSDT,validation_2025H1,4344,0.99954,0.0,True
BEAMXUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
BEAMXUSDT,may_2026_stress_only,0,,,False
BELUSDT,train_2024,8784,0.99852,0.0,True
BELUSDT,validation_2025H1,4344,0.99954,0.0,True
BELUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BELUSDT,may_2026_stress_only,0,,,False
BERAUSDT,train_2024,0,,,True
BERAUSDT,validation_2025H1,3466,0.998846,0.0,True
BERAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BERAUSDT,may_2026_stress_only,0,,,False
BICOUSDT,train_2024,8784,0.99852,0.0,True
BICOUSDT,validation_2025H1,4344,0.99954,0.0,True
BICOUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BICOUSDT,may_2026_stress_only,0,,,False
BIGTIMEUSDT,train_2024,8784,0.99852,0.0,True
BIGTIMEUSDT,validation_2025H1,4344,0.99954,0.0,True
BIGTIMEUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
BIGTIMEUSDT,may_2026_stress_only,0,,,False
BIOUSDT,train_2024,0,,,True
BIOUSDT,validation_2025H1,4286,0.998833,0.0,True
BIOUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BIOUSDT,may_2026_stress_only,0,,,False
BLURUSDT,train_2024,8784,0.99852,0.0,True
BLURUSDT,validation_2025H1,4344,0.99954,0.0,True
BLURUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BLURUSDT,may_2026_stress_only,0,,,False
BNBUSDT,train_2024,8784,0.99852,0.998862,True
BNBUSDT,validation_2025H1,4344,0.99954,1.0,True
BNBUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
BNBUSDT,may_2026_stress_only,0,,,False
BNTUSDT,train_2024,8784,0.99852,0.0,True
BNTUSDT,validation_2025H1,4344,0.99954,0.0,True
BNTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BNTUSDT,may_2026_stress_only,0,,,False
BOMEUSDT,train_2024,6984,0.997995,0.0,True
BOMEUSDT,validation_2025H1,4344,0.99954,0.0,True
BOMEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
BOMEUSDT,may_2026_stress_only,0,,,False
BRETTUSDT,train_2024,3206,0.999376,0.0,True
BRETTUSDT,validation_2025H1,4344,0.99954,0.0,True
BRETTUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
BRETTUSDT,may_2026_stress_only,0,,,False
BSVUSDT,train_2024,8784,0.998406,0.0,True
BSVUSDT,validation_2025H1,4344,0.99954,0.0,True
BSVUSDT,recent_2025H2_2026Apr,7296,0.99534,0.0,True
BSVUSDT,may_2026_stress_only,0,,,False
BTCUSDT,train_2024,8784,0.99852,0.998862,True
BTCUSDT,validation_2025H1,4344,0.99954,1.0,True
BTCUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
BTCUSDT,may_2026_stress_only,0,,,False
C98USDT,train_2024,8784,0.99852,0.0,True
C98USDT,validation_2025H1,4344,0.99954,0.0,True
C98USDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
C98USDT,may_2026_stress_only,0,,,False
CAKEUSDT,train_2024,8784,0.99852,0.0,True
CAKEUSDT,validation_2025H1,4344,0.99954,0.0,True
CAKEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CAKEUSDT,may_2026_stress_only,0,,,False
CATIUSDT,train_2024,2467,0.996757,0.0,True
CATIUSDT,validation_2025H1,4344,0.99954,0.0,True
CATIUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CATIUSDT,may_2026_stress_only,0,,,False
CELOUSDT,train_2024,8784,0.998406,0.0,True
CELOUSDT,validation_2025H1,4344,0.997928,0.0,True
CELOUSDT,recent_2025H2_2026Apr,7296,0.999178,0.0,True
CELOUSDT,may_2026_stress_only,0,,,False
CELRUSDT,train_2024,8784,0.99852,0.0,True
CELRUSDT,validation_2025H1,4344,0.99954,0.0,True
CELRUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CELRUSDT,may_2026_stress_only,0,,,False
CETUSUSDT,train_2024,1332,0.997748,0.0,True
CETUSUSDT,validation_2025H1,4344,0.99954,0.0,True
CETUSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CETUSUSDT,may_2026_stress_only,0,,,False
CFXUSDT,train_2024,8784,0.99852,0.0,True
CFXUSDT,validation_2025H1,4344,0.99954,0.0,True
CFXUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CFXUSDT,may_2026_stress_only,0,,,False
CGPTUSDT,train_2024,271,0.98893,0.0,True
CGPTUSDT,validation_2025H1,4344,0.99954,0.0,True
CGPTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CGPTUSDT,may_2026_stress_only,0,,,False
CHILLGUYUSDT,train_2024,827,0.997582,0.0,True
CHILLGUYUSDT,validation_2025H1,4344,0.99954,0.0,True
CHILLGUYUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CHILLGUYUSDT,may_2026_stress_only,0,,,False
CHRUSDT,train_2024,8784,0.99852,0.0,True
CHRUSDT,validation_2025H1,4344,0.99954,0.0,True
CHRUSDT,recent_2025H2_2026Apr,7296,0.999589,0.0,True
CHRUSDT,may_2026_stress_only,0,,,False
CHZUSDT,train_2024,8784,0.99852,0.0,True
CHZUSDT,validation_2025H1,4344,0.99954,0.0,True
CHZUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CHZUSDT,may_2026_stress_only,0,,,False
CKBUSDT,train_2024,8784,0.99852,0.0,True
CKBUSDT,validation_2025H1,4344,0.99954,0.0,True
CKBUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CKBUSDT,may_2026_stress_only,0,,,False
COMPUSDT,train_2024,8784,0.99852,0.0,True
COMPUSDT,validation_2025H1,4344,0.99954,0.0,True
COMPUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
COMPUSDT,may_2026_stress_only,0,,,False
COOKIEUSDT,train_2024,0,,,True
COOKIEUSDT,validation_2025H1,4190,0.999045,0.0,True
COOKIEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
COOKIEUSDT,may_2026_stress_only,0,,,False
COSUSDT,train_2024,2232,0.99328,0.0,True
COSUSDT,validation_2025H1,4344,0.99954,0.0,True
COSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
COSUSDT,may_2026_stress_only,0,,,False
COTIUSDT,train_2024,8784,0.99852,0.0,True
COTIUSDT,validation_2025H1,4344,0.99954,0.0,True
COTIUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
COTIUSDT,may_2026_stress_only,0,,,False
COWUSDT,train_2024,1332,0.998498,0.0,True
COWUSDT,validation_2025H1,4344,0.99954,0.0,True
COWUSDT,recent_2025H2_2026Apr,7296,0.999726,0.0,True
COWUSDT,may_2026_stress_only,0,,,False
CRVUSDT,train_2024,8784,0.99852,0.0,True
CRVUSDT,validation_2025H1,4344,0.99954,0.0,True
CRVUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CRVUSDT,may_2026_stress_only,0,,,False
CTSIUSDT,train_2024,8784,0.99852,0.0,True
CTSIUSDT,validation_2025H1,4344,0.99954,0.0,True
CTSIUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CTSIUSDT,may_2026_stress_only,0,,,False
CYBERUSDT,train_2024,8784,0.99852,0.0,True
CYBERUSDT,validation_2025H1,4344,0.99954,0.0,True
CYBERUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
CYBERUSDT,may_2026_stress_only,0,,,False
DASHUSDT,train_2024,8784,0.99852,0.0,True
DASHUSDT,validation_2025H1,4344,0.99954,0.0,True
DASHUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DASHUSDT,may_2026_stress_only,0,,,False
DEXEUSDT,train_2024,192,0.9375,0.0,True
DEXEUSDT,validation_2025H1,4344,0.99954,0.0,True
DEXEUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DEXEUSDT,may_2026_stress_only,0,,,False
DIAUSDT,train_2024,2184,0.99359,0.0,True
DIAUSDT,validation_2025H1,4344,0.99954,0.0,True
DIAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DIAUSDT,may_2026_stress_only,0,,,False
DODOXUSDT,train_2024,8784,0.99852,0.0,True
DODOXUSDT,validation_2025H1,4344,0.99954,0.0,True
DODOXUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DODOXUSDT,may_2026_stress_only,0,,,False
DOGEUSDT,train_2024,8784,0.99852,0.998862,True
DOGEUSDT,validation_2025H1,4344,0.99954,1.0,True
DOGEUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
DOGEUSDT,may_2026_stress_only,0,,,False
DOGSUSDT,train_2024,3060,0.999346,0.0,True
DOGSUSDT,validation_2025H1,4344,0.99954,0.0,True
DOGSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DOGSUSDT,may_2026_stress_only,0,,,False
DOTUSDT,train_2024,8784,0.99852,0.0,True
DOTUSDT,validation_2025H1,4344,0.99954,0.0,True
DOTUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DOTUSDT,may_2026_stress_only,0,,,False
DRIFTUSDT,train_2024,1281,0.999219,0.0,True
DRIFTUSDT,validation_2025H1,4344,0.99954,0.0,True
DRIFTUSDT,recent_2025H2_2026Apr,7296,0.999315,0.0,True
DRIFTUSDT,may_2026_stress_only,0,,,False
DUSDT,train_2024,0,,,True
DUSDT,validation_2025H1,4143,0.999035,0.0,True
DUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DUSDT,may_2026_stress_only,0,,,False
DUSKUSDT,train_2024,8784,0.99852,0.0,True
DUSKUSDT,validation_2025H1,4344,0.99954,0.0,True
DUSKUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DUSKUSDT,may_2026_stress_only,0,,,False
DYDXUSDT,train_2024,8784,0.99852,0.0,True
DYDXUSDT,validation_2025H1,4344,0.99954,0.0,True
DYDXUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DYDXUSDT,may_2026_stress_only,0,,,False
DYMUSDT,train_2024,7893,0.997719,0.0,True
DYMUSDT,validation_2025H1,4344,0.99954,0.0,True
DYMUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
DYMUSDT,may_2026_stress_only,0,,,False
EDUUSDT,train_2024,8784,0.99852,0.0,True
EDUUSDT,validation_2025H1,4344,0.99954,0.0,True
EDUUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
EDUUSDT,may_2026_stress_only,0,,,False
EGLDUSDT,train_2024,8784,0.99852,0.0,True
EGLDUSDT,validation_2025H1,4344,0.99954,0.0,True
EGLDUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
EGLDUSDT,may_2026_stress_only,0,,,False
EIGENUSDT,train_2024,2203,0.998638,0.0,True
EIGENUSDT,validation_2025H1,4344,0.99954,0.0,True
EIGENUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
EIGENUSDT,may_2026_stress_only,0,,,False
ENAUSDT,train_2024,6568,0.999086,0.0,True
ENAUSDT,validation_2025H1,4344,0.99954,0.0,True
ENAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ENAUSDT,may_2026_stress_only,0,,,False
ENJUSDT,train_2024,8784,0.99852,0.0,True
ENJUSDT,validation_2025H1,4344,0.99954,0.0,True
ENJUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ENJUSDT,may_2026_stress_only,0,,,False
ENSUSDT,train_2024,8784,0.99852,0.0,True
ENSUSDT,validation_2025H1,4344,0.99954,0.0,True
ENSUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ENSUSDT,may_2026_stress_only,0,,,False
ETCUSDT,train_2024,8784,0.99852,0.0,True
ETCUSDT,validation_2025H1,4344,0.99954,0.0,True
ETCUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ETCUSDT,may_2026_stress_only,0,,,False
ETHFIUSDT,train_2024,6924,0.999278,0.0,True
ETHFIUSDT,validation_2025H1,4344,0.99954,0.0,True
ETHFIUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
ETHFIUSDT,may_2026_stress_only,0,,,False
ETHUSDT,train_2024,8784,0.99852,0.998862,True
ETHUSDT,validation_2025H1,4344,0.99954,1.0,True
ETHUSDT,recent_2025H2_2026Apr,7296,0.999863,1.0,True
ETHUSDT,may_2026_stress_only,0,,,False
ETHWUSDT,train_2024,8784,0.997837,0.0,True
ETHWUSDT,validation_2025H1,4344,0.99954,0.0,True
ETHWUSDT,recent_2025H2_2026Apr,7296,0.999315,0.0,True
ETHWUSDT,may_2026_stress_only,0,,,False
FARTCOINUSDT,train_2024,271,0.99262,0.0,True
FARTCOINUSDT,validation_2025H1,4344,0.99954,0.0,True
FARTCOINUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FARTCOINUSDT,may_2026_stress_only,0,,,False
FETUSDT,train_2024,8784,0.99852,0.0,True
FETUSDT,validation_2025H1,4344,0.99954,0.0,True
FETUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FETUSDT,may_2026_stress_only,0,,,False
FIDAUSDT,train_2024,2496,0.994391,0.0,True
FIDAUSDT,validation_2025H1,4344,0.99954,0.0,True
FIDAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FIDAUSDT,may_2026_stress_only,0,,,False
FILUSDT,train_2024,8784,0.99852,0.0,True
FILUSDT,validation_2025H1,4344,0.99954,0.0,True
FILUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FILUSDT,may_2026_stress_only,0,,,False
FLOWUSDT,train_2024,8784,0.99852,0.0,True
FLOWUSDT,validation_2025H1,4344,0.99954,0.0,True
FLOWUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FLOWUSDT,may_2026_stress_only,0,,,False
FLUXUSDT,train_2024,2880,0.996528,0.0,True
FLUXUSDT,validation_2025H1,4344,0.999309,0.0,True
FLUXUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
FLUXUSDT,may_2026_stress_only,0,,,False
GALAUSDT,train_2024,8784,0.99852,0.0,True
GALAUSDT,validation_2025H1,4344,0.99954,0.0,True
GALAUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
GALAUSDT,may_2026_stress_only,0,,,False
GASUSDT,train_2024,8784,0.99852,0.0,True
GASUSDT,validation_2025H1,4344,0.99954,0.0,True
GASUSDT,recent_2025H2_2026Apr,7296,0.999863,0.0,True
GASUSDT,may_2026_stress_only,0,,,False
GLMUSDT,train_2024,7536,0.998275,0.0,True
GLMUSDT,validation_2025H1,4344,0.99954,0.0,True
