symbol,rows,timestamp_min,timestamp_max,path,metrics_join_rate,metrics_complete_5m_rate,agg_overlay_available_rate,duplicate_symbol_timestamp,inf_cell_count
AVAUSDT,12096,2024-12-13 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AVAUSDT\part.parquet,0.998925,0.998595,0.0,0,0
AVAXUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AVAXUSDT\part.parquet,0.99951,0.999217,0.99951,0,0
AXLUSDT,18972,2024-03-01 12:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AXLUSDT\part.parquet,0.999842,0.999526,0.0,0,0
AXSUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=AXSUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BANANAUSDT,14977,2024-08-14 16:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BANANAUSDT\part.parquet,0.9998,0.999466,0.0,0,0
BANDUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BANDUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BANUSDT,12686,2024-11-18 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BANUSDT\part.parquet,0.999921,0.999527,0.0,0,0
BATUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BATUSDT\part.parquet,0.99951,0.999168,0.0,0,0
BBUSDT,17221,2024-05-13 11:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BBUSDT\part.parquet,0.999942,0.999652,0.0,0,0
BCHUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BCHUSDT\part.parquet,0.99951,0.999217,0.99951,0,0
BEAMXUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BEAMXUSDT\part.parquet,0.99951,0.999168,0.0,0,0
BELUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BELUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BERAUSDT,10762,2025-02-06 14:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BERAUSDT\part.parquet,0.999907,0.999535,0.0,0,0
BICOUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BICOUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BIGTIMEUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BIGTIMEUSDT\part.parquet,0.99951,0.999168,0.0,0,0
BIOUSDT,11582,2025-01-03 10:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BIOUSDT\part.parquet,0.999827,0.999482,0.0,0,0
BLURUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BLURUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BNBUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BNBUSDT\part.parquet,0.99951,0.999217,0.99951,0,0
BNTUSDT,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BNTUSDT\part.parquet,0.99951,0.999217,0.0,0,0
BOMEUSDT,18624,2024-03-16 00:00:00+00:00,2026-04-30 23:00:00+00:00,G:\AlphaFactory_CryptoData\gold\features\binance_universe300_market_metrics_agg_overlay_1h_v1_20260525\symbol=BOMEUSDT\part.parquet,0.999356,0.999087,0.0,0,0
