symbol,missing_rate_mean,market_counts_complete_rate,metrics_5m_complete_rate,agg_overlay_available_rate
STXUSDT,0.057218,0.978212,0.999217,0.0
SUIUSDT,0.021584,0.978212,0.999217,0.99951
SUNUSDT,0.049442,0.972177,0.998784,0.0
SUPERUSDT,0.044832,0.978212,0.999217,0.0
SUSDT,0.048964,0.968681,0.999556,0.0
SUSHIUSDT,0.057218,0.977526,0.999168,0.0
SWARMSUSDT,0.049005,0.967177,0.999478,0.0
SYNUSDT,0.049377,0.972512,0.998863,0.0
TAOUSDT,0.04897,0.976095,0.999611,0.0
THETAUSDT,0.057218,0.975421,0.999217,0.0
THEUSDT,0.048998,0.969607,0.999439,0.0
TIAUSDT,0.049066,0.978212,0.999217,0.0
TLMUSDT,0.056577,0.978163,0.999217,0.0
TNSRUSDT,0.046096,0.976185,0.999668,0.0
TONUSDT,0.049036,0.976814,0.99942,0.0
TRBUSDT,0.049066,0.977429,0.999217,0.0
TRUMPUSDT,0.049006,0.96863,0.999465,0.0
TRXUSDT,0.057218,0.969741,0.999217,0.0
TSTUSDT,0.048968,0.967826,0.999532,0.0
TURBOUSDT,0.049362,0.975015,0.998156,0.0
TUSDT,0.05347,0.978212,0.999168,0.0
TWTUSDT,0.049066,0.978212,0.999168,0.0
UMAUSDT,0.049248,0.978212,0.999217,0.0
UNIUSDT,0.057218,0.977869,0.999217,0.0
USDCUSDT,0.057214,0.978212,0.986829,0.0
USTCUSDT,0.054952,0.942421,0.997993,0.0
USUALUSDT,0.049,0.96916,0.999499,0.0
VANAUSDT,0.048962,0.969197,0.9995,0.0
VANRYUSDT,0.049433,0.975824,0.998823,0.0
VELODROMEUSDT,0.049181,0.968727,0.99909,0.0
VETUSDT,0.057561,0.974442,0.997993,0.0
VIRTUALUSDT,0.048963,0.969318,0.999589,0.0
VTHOUSDT,0.049409,0.968121,0.998833,0.0
VVVUSDT,0.049003,0.968436,0.999361,0.0
WAXPUSDT,0.048932,0.978212,0.999168,0.0
WIFUSDT,0.049206,0.977409,0.99885,0.0
WLDUSDT,0.057218,0.978212,0.999217,0.0
WOOUSDT,0.057218,0.978163,0.999217,0.0
WUSDT,0.048968,0.976291,0.999615,0.0
XAIUSDT,0.049159,0.977747,0.998962,0.0
XLMUSDT,0.057561,0.970525,0.997993,0.0
XMRUSDT,0.057218,0.971161,0.999217,0.0
XRPUSDT,0.021584,0.968468,0.999217,0.99951
XTZUSDT,0.054367,0.97263,0.998972,0.0
XVGUSDT,0.057218,0.977869,0.999217,0.0
XVSUSDT,0.057218,0.978212,0.999168,0.0
YFIUSDT,0.057218,0.97738,0.999217,0.0
YGGUSDT,0.049064,0.978212,0.999217,0.0
ZECUSDT,0.057218,0.972092,0.999217,0.0
ZENUSDT,0.057218,0.978016,0.999217,0.0
ZEREBROUSDT,0.049001,0.968632,0.999483,0.0
ZETAUSDT,0.049118,0.977405,0.998931,0.0
ZILUSDT,0.055845,0.975911,0.999217,0.0
ZKUSDT,0.048768,0.974545,0.999634,0.0
ZROUSDT,0.048948,0.974428,0.999632,0.0
ZRXUSDT,0.055631,0.976204,0.999168,0.0
