blueprint_id,a7ls_arm,semantic_pair,motif,skeleton_key,production_key,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,materialization_shard,materialization_score,a7input_queue,core58_queue,company_shard
a7ls1_00ac1ef42ba0e8ce,A7LS_A,basis_premium_like,gated_sign,skel_3afee12eb6a9078f,prod_9577d25f06cebc9b,"Mul(Decay(mark_index_basis_bps,24),Sign(Mean(mark_trade_basis_bps,48)))",True,0.9974524375743165,1.0,True,-472.317512511393,334.5579678524323,7.808859749264753,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_07ad52f39c71f9d7,A7LS_A,basis_premium_like,gated_sign,skel_f4061a64df347a31,prod_280f3e97d2b22db4,"Mul(Abs(ZScore(Mean(mark_index_basis_bps,24))),Sign(ZScore(Mean(mark_trade_basis_bps,48))))",True,0.9974524375743165,1.0,True,-9.469844385594651,9.671195301384698,0.9920885594021256,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0945299ba43053da,A7LS_A,basis_premium_like,gated_sign,skel_af8c1327eb17d836,prod_d8bf8851d5cfaee2,"Mul(ZScore(Mean(mark_index_basis_bps,24)),Sign(ZScore(Mean(mark_trade_basis_bps,72))))",True,0.9974524375743165,1.0,True,-9.671195301384698,9.470575832333695,0.9462244064232134,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_0f5b7771963b91fc,A7LS_A,basis_premium_like,gated_sign,skel_af8c1327eb17d836,prod_b6e59a344598d372,"Mul(ZScore(Mean(mark_index_basis_bps,24)),Sign(ZScore(Mean(mark_trade_basis_bps,168))))",True,0.9974524375743165,1.0,True,-9.671195301384698,9.470575832333695,0.9486341147592812,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_16b06f478ac64a5d,A7LS_A,basis_premium_like,gated_sign,skel_bcb165b7818f5d85,prod_c063308116f425dc,"Mul(ZScore(Mean(mark_index_basis_bps,24)),Sign(Decay(mark_trade_basis_bps,24)))",True,0.9974524375743165,1.0,True,-9.671195301384698,9.469844385594651,0.9688830574899312,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_186cf81cdab6623a,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_e6266ba73bf4e806,"Mul(Decay(mark_index_basis_bps,24),Sign(ZScore(Mean(mark_trade_basis_bps,4))))",True,0.9974524375743165,1.0,True,-472.317512511393,417.1641799057671,10.249341678690488,,a7ls_a_materialization_s000,0.9984714625445898,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_088bf41f0993480f,A7LS_A,basis_premium_like,gated_sign,skel_156d0fafafecde17,prod_a28c556525876af2,"Mul(Delta(mark_index_basis_bps,2),Sign(ZScore(Mean(premium_close_bps,4))))",True,0.998049940546968,0.9990880948976998,True,-2135.053964647328,2234.93166509676,12.530051324175234,,a7ls_a_materialization_s000,0.9984652022872608,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_1896dd39fb4e32d6,A7LS_B,liquidity_like,single,skel_f6a3f0b03e9258f2,prod_572e4e03b6c2b273,CSRank(trade_quote_volume),True,0.9992944906856916,1.0,True,0.0104166666666666,1.0,0.2886525827094914,,a7ls_b_materialization_s020,0.999576694411415,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_3a95ba1db098e64e,A7LS_B,liquidity_like,single,skel_f6a3f0b03e9258f2,prod_84efcf3db95c6f74,CSRank(trade_count),True,0.9992944906856916,1.0,True,0.0104166666666666,1.0,0.2886521674312408,,a7ls_b_materialization_s020,0.999576694411415,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
a7ls1_4a34282f0cb13dbe,A7LS_B,liquidity_like,single,skel_f6a3f0b03e9258f2,prod_8d36a4916855dfb2,CSRank(trade_volume),True,0.9992944906856916,1.0,True,0.0104166666666666,1.0,0.2886525823367468,,a7ls_b_materialization_s020,0.999576694411415,a7ls3_materialized_numeric_checkpoint,a7ls3_materialized_numeric_checkpoint,a7ls3_numeric_s000
