candidate_id,arm,family,expression,pass_cost20_validation_nonnegative,pass_cost20_recent_nonnegative,pass_lag1_validation_nonnegative,pass_lag1_recent_nonnegative,a7k_preselection_pass,first_a7k_preselection_fail
i0_basis_premium_025,I0_basis_premium,basis_premium,Rank(realized_vol_12),False,False,False,True,False,raw_validation_positive
i2_microstructure_lite_009,I2_microstructure_lite,microstructure_lite,realized_vol_12,False,False,False,True,False,raw_validation_positive
i2_microstructure_lite_011,I2_microstructure_lite,microstructure_lite,ZScore(realized_vol_12),False,False,False,True,False,raw_validation_positive
i2_microstructure_lite_138,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),ZScore(ret_12))",False,False,True,False,False,raw_validation_positive
i2_microstructure_lite_110,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_012,I2_microstructure_lite,microstructure_lite,realized_vol_24,False,True,False,True,False,raw_validation_positive
i2_microstructure_lite_014,I2_microstructure_lite,microstructure_lite,ZScore(realized_vol_24),False,True,False,True,False,raw_validation_positive
i1_flow_liquidity_218,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_133,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_007,I2_microstructure_lite,microstructure_lite,Rank(realized_vol_6),False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_114,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(quote_volume_mean_12))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_096,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_148,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_077,I0_basis_premium,basis_premium,"Mul(Rank(mark_minus_index),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_238,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),ZScore(quote_volume_mean_6))",True,False,True,False,False,raw_recent_positive
i2_microstructure_lite_207,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_234,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_022,I0_basis_premium,basis_premium,Rank(ret_12),False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_030,I1_flow_liquidity,flow_liquidity,ret_12,False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_032,I1_flow_liquidity,flow_liquidity,ZScore(ret_12),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_024,I2_microstructure_lite,microstructure_lite,ret_12,False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_026,I2_microstructure_lite,microstructure_lite,ZScore(ret_12),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_054,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_225,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),ZScore(quote_volume_mean_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_099,I0_basis_premium,basis_premium,"Mul(Rank(premium_index),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_185,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_1),ZScore(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_136,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_074,I0_basis_premium,basis_premium,"Mul(Rank(mark_minus_index),Rank(ret_12))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_156,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_239,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),Rank(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_177,I1_flow_liquidity,flow_liquidity,"Mul(Rank(avg_trade_size_quote),Rank(volume))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_234,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(avg_trade_size_quote))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_150,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_075,I0_basis_premium,basis_premium,"Mul(Rank(mark_minus_index),Rank(ret_6))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_006,I2_microstructure_lite,microstructure_lite,realized_vol_6,False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_008,I2_microstructure_lite,microstructure_lite,ZScore(realized_vol_6),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_092,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(realized_vol_6),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_222,I0_basis_premium,basis_premium,"Mul(Rank(ret_6),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_238,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_211,I0_basis_premium,basis_premium,"Mul(ZScore(ret_6),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_235,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(ret_6),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_158,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(realized_vol_24),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_033,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),Rank(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_202,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(avg_trade_size_quote))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_013,I1_flow_liquidity,flow_liquidity,Rank(avg_trade_size_quote),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_035,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i3_placebo_random_047,I3_placebo_random,placebo_random,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i3_placebo_random_097,I3_placebo_random,placebo_random,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i3_placebo_random_147,I3_placebo_random,placebo_random,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i3_placebo_random_197,I3_placebo_random,placebo_random,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i3_placebo_random_247,I3_placebo_random,placebo_random,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_179,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_1),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_055,I1_flow_liquidity,flow_liquidity,"Mul(Rank(taker_imbalance),ZScore(volume))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_222,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_189,I0_basis_premium,basis_premium,"Mul(Rank(ret_3),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_063,I2_microstructure_lite,microstructure_lite,"Mul(Rank(abs_ret_1),ZScore(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_027,I0_basis_premium,basis_premium,hl_range,False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_001,I2_microstructure_lite,microstructure_lite,Rank(hl_range),False,False,False,False,False,raw_validation_positive
i0_basis_premium_029,I0_basis_premium,basis_premium,ZScore(hl_range),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_082,I2_microstructure_lite,microstructure_lite,"Mul(Rank(abs_ret_1),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_247,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_039,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(hl_range),Rank(ret_12))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_106,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(avg_trade_size_quote))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_164,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(quote_asset_volume))",False,False,True,False,False,raw_recent_positive
i1_flow_liquidity_123,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_124,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_152,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i3_placebo_random_048,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_098,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_148,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_198,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i3_placebo_random_248,I3_placebo_random,placebo_random,Rank(avg_trade_size_quote),False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_145,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(abs_ret_1))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_153,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_057,I0_basis_premium,basis_premium,"Mul(Rank(mark_index_ratio),ZScore(hl_range))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_053,I1_flow_liquidity,flow_liquidity,"Mul(Rank(taker_imbalance),Rank(volume))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_225,I0_basis_premium,basis_premium,"Mul(Rank(ret_6),ZScore(hl_range))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_214,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),ZScore(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_103,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(ret_3))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_205,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),Rank(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_223,I0_basis_premium,basis_premium,"Mul(Rank(ret_6),Rank(hl_range))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_194,I0_basis_premium,basis_premium,"Mul(Rank(ret_3),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_210,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_3),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_197,I0_basis_premium,basis_premium,"Mul(Rank(ret_3),ZScore(hl_range))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_094,I1_flow_liquidity,flow_liquidity,"Mul(Rank(taker_buy_ratio),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_185,I1_flow_liquidity,flow_liquidity,"Mul(Rank(avg_trade_size_quote),ZScore(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_126,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),ZScore(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_113,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),ZScore(quote_volume_mean_12))",False,False,True,True,False,cost20_validation_nonnegative
i0_basis_premium_083,I0_basis_premium,basis_premium,"Mul(Rank(mark_minus_index),Rank(hl_range))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_103,I0_basis_premium,basis_premium,"Mul(Rank(premium_index),Rank(ret_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_205,I0_basis_premium,basis_premium,"Mul(Rank(ret_6),Rank(premium_index))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_086,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(hl_range))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_154,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_159,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(ret_3))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_165,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(realized_vol_24),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_098,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),ZScore(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_055,I0_basis_premium,basis_premium,"Mul(Rank(mark_index_ratio),Rank(hl_range))",False,False,True,False,False,raw_recent_positive
i2_microstructure_lite_194,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_1),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_024,I0_basis_premium,basis_premium,realized_vol_12,False,False,False,False,False,raw_validation_positive
i0_basis_premium_026,I0_basis_premium,basis_premium,ZScore(realized_vol_12),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_010,I2_microstructure_lite,microstructure_lite,Rank(realized_vol_12),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_083,I2_microstructure_lite,microstructure_lite,"Mul(Rank(abs_ret_1),Rank(quote_volume_mean_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_195,I0_basis_premium,basis_premium,"Mul(Rank(ret_3),Rank(hl_range))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_057,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),ZScore(quote_volume_mean_12))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_073,I0_basis_premium,basis_premium,"Mul(Rank(mark_minus_index),ZScore(ret_3))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_137,I2_microstructure_lite,microstructure_lite,"Mul(ZScore(realized_vol_12),ZScore(ret_12))",False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_012,I1_flow_liquidity,flow_liquidity,avg_trade_size_quote,False,False,False,False,False,raw_validation_positive
i1_flow_liquidity_014,I1_flow_liquidity,flow_liquidity,ZScore(avg_trade_size_quote),False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_040,I2_microstructure_lite,microstructure_lite,"Mul(Rank(hl_range),Rank(realized_vol_24))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_142,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(hl_range))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_113,I0_basis_premium,basis_premium,"Mul(Rank(premium_index),ZScore(hl_range))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_220,I0_basis_premium,basis_premium,"Mul(Rank(ret_6),Rank(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_236,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),Rank(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_095,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),ZScore(realized_vol_12))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_106,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(ret_6))",False,False,False,False,False,raw_validation_positive
i2_microstructure_lite_232,I2_microstructure_lite,microstructure_lite,"Mul(Rank(ret_6),Rank(realized_vol_6))",False,False,False,False,False,raw_validation_positive
i0_basis_premium_169,I0_basis_premium,basis_premium,"Mul(Rank(ret_1),ZScore(hl_range))",False,False,False,False,False,raw_validation_positive
