mutation_kind,mutation_detail,queue_rows
window_grid,window_504_to_96,8
window_grid,window_504_to_4,8
window_grid,window_504_to_48,8
window_grid,window_120_to_4,7
window_grid,window_120_to_36,7
window_grid,window_120_to_3,7
window_grid,window_336_to_24,7
window_grid,window_336_to_12,7
window_grid,window_336_to_120,7
window_grid,window_336_to_16,7
window_grid,window_120_to_168,7
window_grid,window_120_to_24,7
window_grid,window_120_to_336,7
window_grid,window_120_to_720,7
window_grid,window_120_to_96,7
window_grid,window_120_to_8,7
window_grid,window_120_to_16,7
window_grid,window_120_to_12,7
window_grid,window_120_to_72,7
window_grid,window_120_to_6,7
window_grid,window_120_to_504,7
window_grid,window_120_to_48,7
window_grid,window_504_to_120,7
window_grid,window_336_to_36,7
window_grid,window_72_to_504,7
window_grid,window_336_to_720,7
window_grid,window_336_to_504,7
window_grid,window_336_to_8,7
window_grid,window_336_to_4,7
window_grid,window_336_to_3,7
window_grid,window_336_to_6,7
window_grid,window_120_to_240,6
window_grid,window_336_to_48,6
window_grid,window_336_to_168,5
window_grid,window_336_to_72,5
window_grid,window_336_to_240,5
window_grid,window_12_to_336,4
window_grid,window_12_to_168,4
window_grid,window_12_to_4,4
window_grid,window_12_to_24,4
window_grid,window_12_to_16,4
window_grid,window_12_to_3,4
window_grid,window_12_to_120,4
window_grid,window_336_to_96,4
window_grid,window_240_to_336,4
window_grid,window_240_to_16,4
window_grid,window_240_to_72,4
window_grid,window_240_to_12,4
window_grid,window_12_to_36,4
window_grid,window_240_to_3,4
window_grid,window_240_to_36,4
window_grid,window_240_to_720,4
window_grid,window_240_to_6,4
window_grid,window_240_to_4,4
window_grid,window_12_to_6,4
window_grid,window_12_to_504,4
window_grid,window_12_to_720,4
window_grid,window_12_to_8,4
window_grid,window_12_to_240,3
window_grid,window_240_to_168,3
window_grid,window_240_to_24,3
window_grid,window_240_to_120,3
window_grid,window_12_to_72,3
window_grid,window_12_to_48,3
window_grid,window_240_to_504,3
window_grid,window_240_to_8,3
window_grid,window_12_to_96,3
window_grid,window_240_to_48,2
window_grid,window_240_to_96,2
window_grid,window_16_to_120,1
window_grid,window_16_to_720,1
window_grid,window_16_to_72,1
window_grid,window_16_to_6,1
window_grid,window_16_to_504,1
window_grid,window_16_to_48,1
window_grid,window_16_to_4,1
window_grid,window_16_to_36,1
window_grid,window_16_to_336,1
window_grid,window_16_to_3,1
window_grid,window_16_to_240,1
window_grid,window_16_to_24,1
window_grid,window_16_to_168,1
window_grid,window_16_to_96,1
window_grid,window_16_to_8,1
window_grid,window_16_to_12,1
same_type_field_swap,field_swap_listing_age_to_age_percentile_active_universe,1
