split,rows,active_hours,mean_ic,net_sum_10bps,net_mean_10bps,turnover_mean,gross_exposure_mean,candidate_id,base_candidate_id,object_type,control_mode,production_family,expression,horizon,orientation,base_train_ic_for_orientation,variant_train_ic,net_sum_20bps
train_2024,8784,8781,0.08068557111946296,-0.15526668574808855,-1.7676079889354343e-05,0.003870673952641166,0.9996584699453552,a7v3_rolling_self_reproduction_12_566291daed88,a7v3_rolling_self_reproduction_12_566291daed88,candidate,original,rolling_self_reproduction,"Decay(agg_avg_agg_trade_notional,4)",12,1.0,0.08068557111946296,0.08068557111946296,-0.18926668574808858
validation_2025H1,4344,4344,0.06342081031307595,2.554389642416489,0.0005880270815875895,0.036256906077348064,1.0,a7v3_rolling_self_reproduction_12_566291daed88,a7v3_rolling_self_reproduction_12_566291daed88,candidate,original,rolling_self_reproduction,"Decay(agg_avg_agg_trade_notional,4)",12,1.0,0.08068557111946296,0.08068557111946296,2.3968896424164883
recent_oos_2025H2_2026Apr,7296,7296,0.01816063596491278,-0.37209075787918694,-5.0999281507564e-05,0.12397203947368421,1.0,a7v3_rolling_self_reproduction_12_566291daed88,a7v3_rolling_self_reproduction_12_566291daed88,candidate,original,rolling_self_reproduction,"Decay(agg_avg_agg_trade_notional,4)",12,1.0,0.08068557111946296,0.08068557111946296,-1.276590757879188
fresh_may_2026,505,480,0.06562500000000054,-0.2495671152996548,-0.0004941923075240689,0.1405940594059406,0.9504950495049505,a7v3_rolling_self_reproduction_12_566291daed88,a7v3_rolling_self_reproduction_12_566291daed88,candidate,original,rolling_self_reproduction,"Decay(agg_avg_agg_trade_notional,4)",12,1.0,0.08068557111946296,0.08068557111946296,-0.320567115299655
train_2024,8784,8781,0.08415897961507851,0.3687901791060766,4.198431000752238e-05,0.011384335154826957,0.9996584699453552,a7v3_rolling_self_reproduction_12_59b35b375ae9,a7v3_rolling_self_reproduction_12_59b35b375ae9,candidate,original,rolling_self_reproduction,"Decay(agg_avg_underlying_trade_notional,4)",12,1.0,0.08415897961507851,0.08415897961507851,0.2687901791060767
validation_2025H1,4344,4344,0.06445672191528606,1.1160088974138038,0.0002569081255556639,0.031652854511970537,1.0,a7v3_rolling_self_reproduction_12_59b35b375ae9,a7v3_rolling_self_reproduction_12_59b35b375ae9,candidate,original,rolling_self_reproduction,"Decay(agg_avg_underlying_trade_notional,4)",12,1.0,0.08415897961507851,0.08415897961507851,0.9785088974138036
recent_oos_2025H2_2026Apr,7296,7296,0.04838267543859718,0.8529620602870613,0.00011690817712267837,0.005482456140350877,1.0,a7v3_rolling_self_reproduction_12_59b35b375ae9,a7v3_rolling_self_reproduction_12_59b35b375ae9,candidate,original,rolling_self_reproduction,"Decay(agg_avg_underlying_trade_notional,4)",12,1.0,0.08415897961507851,0.08415897961507851,0.8129620602870615
fresh_may_2026,505,480,0.12291666666666722,-0.14416626810677557,-0.00028547775862727836,0.0029702970297029703,0.9504950495049505,a7v3_rolling_self_reproduction_12_59b35b375ae9,a7v3_rolling_self_reproduction_12_59b35b375ae9,candidate,original,rolling_self_reproduction,"Decay(agg_avg_underlying_trade_notional,4)",12,1.0,0.08415897961507851,0.08415897961507851,-0.14566626810677558
train_2024,8784,8781,0.07874957294157874,2.9801191478456555,0.0003392667518039225,0.04086976320582878,0.9996584699453552,a7v3_rolling_self_reproduction_12_69861a81fba7,a7v3_rolling_self_reproduction_12_69861a81fba7,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_100_1k,4)",12,1.0,0.07874957294157874,0.07874957294157874,2.621119147845656
validation_2025H1,4344,4344,0.06526243093922716,1.0457809972106145,0.0002407414818624803,0.0108195211786372,1.0,a7v3_rolling_self_reproduction_12_69861a81fba7,a7v3_rolling_self_reproduction_12_69861a81fba7,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_100_1k,4)",12,1.0,0.07874957294157874,0.07874957294157874,0.9987809972106143
recent_oos_2025H2_2026Apr,7296,7296,0.0730537280701761,3.4108150439483884,0.00046749109703239975,0.017269736842105265,1.0,a7v3_rolling_self_reproduction_12_69861a81fba7,a7v3_rolling_self_reproduction_12_69861a81fba7,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_100_1k,4)",12,1.0,0.07874957294157874,0.07874957294157874,3.284815043948389
fresh_may_2026,505,480,0.11250000000000053,-0.16917484254206844,-0.00033499968820211573,0.0029702970297029703,0.9504950495049505,a7v3_rolling_self_reproduction_12_69861a81fba7,a7v3_rolling_self_reproduction_12_69861a81fba7,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_100_1k,4)",12,1.0,0.07874957294157874,0.07874957294157874,-0.17067484254206855
train_2024,8784,8781,0.07129028584443724,0.7154093463082913,8.144459771269255e-05,0.09727914389799636,0.9996584699453552,a7v3_rolling_self_reproduction_12_9fa317374c73,a7v3_rolling_self_reproduction_12_9fa317374c73,candidate,original,rolling_self_reproduction,"Decay(agg_notional_1k_10k,4)",12,1.0,0.07129028584443724,0.07129028584443724,-0.13909065369170936
validation_2025H1,4344,4344,0.050874769797422344,1.1622638662515514,0.0002675561386398599,0.053982504604051566,1.0,a7v3_rolling_self_reproduction_12_9fa317374c73,a7v3_rolling_self_reproduction_12_9fa317374c73,candidate,original,rolling_self_reproduction,"Decay(agg_notional_1k_10k,4)",12,1.0,0.07129028584443724,0.07129028584443724,0.927763866251551
recent_oos_2025H2_2026Apr,7296,7296,0.03563596491228135,0.9325566902267349,0.00012781752881397136,0.04824561403508772,1.0,a7v3_rolling_self_reproduction_12_9fa317374c73,a7v3_rolling_self_reproduction_12_9fa317374c73,candidate,original,rolling_self_reproduction,"Decay(agg_notional_1k_10k,4)",12,1.0,0.07129028584443724,0.07129028584443724,0.5805566902267347
fresh_may_2026,505,480,0.09062500000000055,-0.2471423530460965,-0.0004893907981110821,0.06831683168316832,0.9504950495049505,a7v3_rolling_self_reproduction_12_9fa317374c73,a7v3_rolling_self_reproduction_12_9fa317374c73,candidate,original,rolling_self_reproduction,"Decay(agg_notional_1k_10k,4)",12,1.0,0.07129028584443724,0.07129028584443724,-0.2816423530460965
train_2024,8784,8781,0.07943286641612626,-0.19938646047366082,-2.2698822913668125e-05,0.014287340619307833,0.9996584699453552,a7v3_rolling_self_reproduction_12_b26d29c81a80,a7v3_rolling_self_reproduction_12_b26d29c81a80,candidate,original,rolling_self_reproduction,"Decay(agg_notional,4)",12,1.0,0.07943286641612626,0.07943286641612626,-0.3248864604736612
validation_2025H1,4344,4344,0.05294659300184227,0.8294957145814266,0.0001909520521596286,0.03924953959484346,1.0,a7v3_rolling_self_reproduction_12_b26d29c81a80,a7v3_rolling_self_reproduction_12_b26d29c81a80,candidate,original,rolling_self_reproduction,"Decay(agg_notional,4)",12,1.0,0.07943286641612626,0.07943286641612626,0.6589957145814263
recent_oos_2025H2_2026Apr,7296,7296,0.049547697368421705,1.3868770139834026,0.00019008731003061988,0.06229440789473684,1.0,a7v3_rolling_self_reproduction_12_b26d29c81a80,a7v3_rolling_self_reproduction_12_b26d29c81a80,candidate,original,rolling_self_reproduction,"Decay(agg_notional,4)",12,1.0,0.07943286641612626,0.07943286641612626,0.9323770139834017
fresh_may_2026,505,480,0.09687500000000054,-0.2139440879111582,-0.00042365165923001627,0.04257425742574258,0.9504950495049505,a7v3_rolling_self_reproduction_12_b26d29c81a80,a7v3_rolling_self_reproduction_12_b26d29c81a80,candidate,original,rolling_self_reproduction,"Decay(agg_notional,4)",12,1.0,0.07943286641612626,0.07943286641612626,-0.23544408791115823
train_2024,8784,8781,0.06975287552670592,-1.0653765072325347,-0.00012128603224414102,0.06073542805100182,0.9996584699453552,a7v3_rolling_self_reproduction_12_b28d7ce95edf,a7v3_rolling_self_reproduction_12_b28d7ce95edf,candidate,original,rolling_self_reproduction,"Decay(agg_max_trade_notional,4)",12,1.0,0.06975287552670592,0.06975287552670592,-1.5988765072325344
validation_2025H1,4344,4344,0.05939226519337079,0.17904411933935377,4.121641789579967e-05,0.08045580110497237,1.0,a7v3_rolling_self_reproduction_12_b28d7ce95edf,a7v3_rolling_self_reproduction_12_b28d7ce95edf,candidate,original,rolling_self_reproduction,"Decay(agg_max_trade_notional,4)",12,1.0,0.06975287552670592,0.06975287552670592,-0.17045588066064649
recent_oos_2025H2_2026Apr,7296,7296,0.040501644736842785,0.17919824901528025,2.456116351634872e-05,0.10663377192982457,1.0,a7v3_rolling_self_reproduction_12_b28d7ce95edf,a7v3_rolling_self_reproduction_12_b28d7ce95edf,candidate,original,rolling_self_reproduction,"Decay(agg_max_trade_notional,4)",12,1.0,0.06975287552670592,0.06975287552670592,-0.5988017509847208
fresh_may_2026,505,480,0.07291666666666724,-0.2802964026670113,-0.0005550423815188343,0.11089108910891089,0.9504950495049505,a7v3_rolling_self_reproduction_12_b28d7ce95edf,a7v3_rolling_self_reproduction_12_b28d7ce95edf,candidate,original,rolling_self_reproduction,"Decay(agg_max_trade_notional,4)",12,1.0,0.06975287552670592,0.06975287552670592,-0.33629640266701133
train_2024,8784,8784,0.07392474210767801,-2.1960080226355183,-0.00025000091332371565,0.21294398907103826,1.0,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_gt_1m),12,1.0,0.07392474210767801,0.07392474210767801,-4.066508022635519
validation_2025H1,4344,4344,0.058552666045144516,-0.1421583503677133,-3.27252187770979e-05,0.17760128913443832,1.0,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,a7v3_cross_symbol_self_reproduction_core3_12_203b97132bb6,candidate,original,cross_symbol_self_reproduction_core3,CrossSymbolRank(agg_notional_gt_1m),12,1.0,0.07392474210767801,0.07392474210767801,-0.9136583503677137
