field_id,surface_role,prior_max_redundancy_spearman,prior_redundancy_cluster_id,selection_samples,selection_normalized_value_entropy,selection_target_entropy,selection_target_conditional_entropy,selection_target_mutual_information,selection_target_null_q95,selection_target_mi_excess_q95,selection_residual_entropy,selection_residual_conditional_entropy,selection_residual_mutual_information,selection_residual_null_q95,selection_residual_mi_excess_q95,selection_positive_month_ratio,selection_residual_positive_month_ratio,stability_samples,stability_normalized_value_entropy,stability_target_entropy,stability_target_conditional_entropy,stability_target_mutual_information,stability_target_null_q95,stability_target_mi_excess_q95,stability_residual_entropy,stability_residual_conditional_entropy,stability_residual_mutual_information,stability_residual_null_q95,stability_residual_mi_excess_q95,stability_positive_month_ratio,stability_residual_positive_month_ratio,stable_target_information,stable_residual_information
global_long_short_account_ratio_mean,ADDED,0.9982284046590113,BROAD_PANEL_BASELINE:global_long_short_account_ratio_last,200000,0.8920698492117103,2.672394396271941,2.6678189664708687,0.0045754298010723445,0.0067968049072908284,-0.002221375106218484,2.671057045290728,2.6661115934375044,0.004945451853223259,0.0070209554276340555,-0.002075503574410796,0.0,0.0,200000,0.9840494424220542,2.7606991101528813,2.754633538591883,0.006065571560998088,0.008815099608793585,-0.002749528047795497,2.7585876373395686,2.7518553829720536,0.0067322543675148155,0.009187679526277298,-0.002455425158762483,0.0,0.0,False,False
premium_high,ADDED,0.731855897473545,BROAD_PANEL_BASELINE:premium_high,200000,0.912242326414801,2.672394396271941,2.6548933788952933,0.01750101737664797,0.015644333275750814,0.001856684100897156,2.671057045290728,2.65245428665667,0.018602758634057935,0.01672770815974424,0.0018750504743136956,0.5,0.5,200000,0.9623375030823097,2.7605506481668667,2.7470704520136544,0.01348019615321222,0.012326071195778976,0.001154124957433245,2.7584730343242225,2.743086179938737,0.01538685438548535,0.014125571780127641,0.0012612826053577091,0.5,0.5,True,True
active_universe_size,ADDED,0.8369444820043631,BROAD_PANEL_BASELINE:active_universe_size,200000,-0.0,2.672394396271941,2.672394396271941,0.0,0.0,0.0,2.671057045290728,2.671057045290728,0.0,1.7763568394002498e-16,-1.7763568394002498e-16,0.0,0.0,200000,-0.0,2.7605506481668667,2.7605506481668667,0.0,1.7763568394002498e-16,-1.7763568394002498e-16,2.7584730343242225,2.7584730343242225,0.0,0.0,0.0,0.5,0.0,False,False
listing_age_days,ADDED,0.7489525212884874,BROAD_PANEL_BASELINE:listing_age_days,200000,0.4279813379989398,2.672394396271941,2.668653419934189,0.0037409763377521162,0.004165289680249526,-0.0004243133424974097,2.671057045290728,2.6672577230888943,0.0037993222018335047,0.0038959427757361154,-9.662057390261072e-05,0.0,0.0,200000,0.32673372767582254,2.7605506481668667,2.751751027956092,0.008799620210774519,0.00937712555077033,-0.0005775053399958117,2.7584730343242225,2.749698868527301,0.008774165796921297,0.008711396678274204,6.276911864709286e-05,0.5,1.0,False,False
open_interest_last_change_1h,ADDED,0.7025101102970588,BROAD_PANEL_BASELINE:open_interest_last_change_1h,200000,0.9998847216764654,2.672797754073229,2.667886065712655,0.004911688360573618,0.0034002047598955887,0.0015114836006780291,2.6715582445040083,2.666559426868229,0.0049988176357790015,0.0033727071383163713,0.0016261104974626302,1.0,1.0,200000,0.9975372017323462,2.760603611344198,2.7551977439987625,0.005405867345435361,0.0042630666972233,0.0011428006482120607,2.7585310130840694,2.753071150890593,0.005459862193476144,0.004230040907093856,0.0012298212863822884,1.0,1.0,True,True
open_interest_value_last_change_1h,ADDED,0.7025101102970588,BROAD_PANEL_BASELINE:open_interest_value_last_change_1h,200000,0.9910107369807182,2.672797754073229,2.664277440807442,0.008520313265786773,0.005854776674839288,0.002665536590947485,2.6715582445040083,2.6630045735923793,0.008553670911629055,0.005873541987144559,0.0026801289244844954,0.5,0.5,200000,0.9993714788977207,2.760603611344198,2.7521349229653933,0.008468688378804799,0.005877637056720567,0.0025910513220842313,2.7585310130840694,2.7500461598282864,0.008484853255783149,0.005877007163437749,0.0026078460923454,1.0,1.0,True,True
top_long_short_position_ratio_mean,ADDED,0.9996422853794301,BROAD_PANEL_BASELINE:top_long_short_position_ratio_last,200000,0.6508815002409344,2.672394396271941,2.670314092027413,0.0020803042445280443,0.004398514004884921,-0.0023182097603568763,2.671057045290728,2.668705981606547,0.0023510636841811666,0.005017293645471356,-0.0026662299612901894,0.0,0.0,200000,0.7939451655300164,2.7606991101528813,2.759283056820565,0.001416053332316289,0.002229784218972275,-0.000813730886655986,2.7585876373395686,2.7568364612140335,0.001751176125535268,0.0023173329999276217,-0.0005661568743923536,0.0,0.0,False,False
index_open,ADDED,0.9999915487649743,BROAD_PANEL_BASELINE:index_high,200000,0.9673507583738028,2.6731738077380256,2.6673755956935663,0.0057982120444591174,0.006045699588745727,-0.00024748754428660993,2.671839394445932,2.6653908266615365,0.006448567784395712,0.006652352298776553,-0.00020378451438084113,0.0,0.0,200000,0.9811882877990972,2.7605506481668667,2.7538673864018284,0.006683261765038383,0.0068549082640576315,-0.0001716464990192488,2.7584730343242225,2.751176664021867,0.007296370302355463,0.007206404927685344,8.996537467011873e-05,0.0,0.0,False,False
trade_return_1h,ADDED,0.6731798701044838,BROAD_PANEL_BASELINE:trade_return_1h,200000,0.9635585625119599,2.672394396271941,2.661333050462318,0.011061345809623509,0.009018986586916687,0.0020423592227068223,2.671057045290728,2.6593344998151527,0.011722545475575191,0.009480905904550037,0.0022416395710251544,0.5,0.5,200000,0.9966389217800862,2.7605506481668667,2.748098725401042,0.01245192276582445,0.008722932359988627,0.003728990405835823,2.7584730343242225,2.7454489681592964,0.013024066164926337,0.009287622823553571,0.003736443341372766,1.0,1.0,True,True
trade_count,ADDED,0.9416448561318038,BROAD_PANEL_BASELINE:trade_count,200000,0.8977478316323079,2.672394396271941,2.649523542799412,0.022870853472529224,0.02071874081712694,0.0021521126554022857,2.671057045290728,2.6467156159163228,0.024341429374405255,0.021823937317323374,0.0025174920570818805,1.0,1.0,200000,0.9950517310680388,2.7605506481668667,2.7409860360137763,0.01956461215309037,0.017512277278848548,0.0020523348742418207,2.7584730343242225,2.7380906182008613,0.020382416123361398,0.01829246443350025,0.002089951689861147,1.0,1.0,True,True
top_long_short_account_ratio_mean,ADDED,0.9981880579901743,BROAD_PANEL_BASELINE:top_long_short_account_ratio_last,200000,0.8352277334627639,2.672394396271941,2.667662561571758,0.0047318347001830165,0.006847383954850233,-0.0021155492546672166,2.671057045290728,2.6661303056103134,0.004926739680414559,0.0070067856343652,-0.0020800459539506407,0.0,0.0,200000,0.9484792626062118,2.7606991101528813,2.7528755248292156,0.007823585323665887,0.009676325275153327,-0.00185273995148744,2.7585876373395686,2.749880335733823,0.008707301605745364,0.010545007649191031,-0.001837706043445667,0.0,0.0,False,False
premium_open,ADDED,0.7279071294513969,BROAD_PANEL_BASELINE:premium_open,200000,0.8951053769276998,2.672394396271941,2.668297448554486,0.004096947717455441,0.007334373332741315,-0.0032374256152858747,2.671057045290728,2.666582200346279,0.004474844944448561,0.00792043623563885,-0.0034455912911902885,0.0,0.0,200000,0.8845370732039927,2.7605506481668667,2.758426564125216,0.002124084041650746,0.0026677217159382437,-0.0005436376742874978,2.7584730343242225,2.7558038248891616,0.0026692094350609296,0.0029922679767926856,-0.000323058541731756,0.0,0.0,False,False
history_length_hours,ADDED,0.716143356976472,BROAD_PANEL_BASELINE:history_length_hours,200000,0.07004169547286976,2.672394396271941,2.6708136408293095,0.0015807554426317736,0.0021372323490011363,-0.0005564769063693628,2.671057045290728,2.669498323920194,0.0015587213705335898,0.0015895690318947333,-3.084766136114345e-05,0.0,0.0,200000,0.03279119099468911,2.7605506481668667,2.7576434268877366,0.002907221279130235,0.0032115840612366893,-0.0003043627821064541,2.7584730343242225,2.755659232113667,0.0028138022105555554,0.0025152361150935325,0.00029856609546202294,0.5,1.0,False,False
