seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status
a7ffcore48se_0507,price_like|volatility_like,WinsorZ,medium,8,0,1.0119769561640166,1.0857826320949806,-1.7643949783005035e-05,-0.00024091873327764998,-0.6198569466970505,0,0,rejected
a7ffcore48se_0265,volatility_like|volatility_like,AbsDelta,high,8,0,0.9962539462798734,1.08681262313367,-1.969798955271396e-05,-5.637336972938838e-05,-0.5297534874213755,0,0,rejected
a7ffcore48se_0213,price_like,SignedRankDelta,medium,8,0,1.000059290927555,1.0871235996258313,0.0001334484938955,-9.830655086985039e-05,0.9414476714478608,0,0,rejected
a7ffcore48se_0339,funding_like,SignedRankDelta,medium,8,0,1.0455241128090915,1.0931835955129587,0.0012975032464812,0.0004925915548425999,2.040394424239675,0,0,rejected
a7ffcore48se_1688,funding_like|generic_numeric,SignedRankDelta,medium,8,0,1.0455241128090915,1.0931835955129587,0.0012975032464812,0.0004925915548425999,2.040394424239675,0,0,rejected
a7ffcore48se_0341,funding_like,WinsorZ,medium,8,0,1.0457260917625253,1.0935894143719174,0.0012975131029708,0.0004921618428376,2.0404293636724344,0,0,rejected
a7ffcore48se_1690,funding_like|generic_numeric,WinsorZ,medium,8,0,1.0457260917625253,1.0935894143719174,0.0012975131029708,0.0004921618428376,2.0404293636724344,0,0,rejected
a7ffcore48se_1463,funding_like|state_or_taxonomy,WinsorZ,medium,8,0,1.0527794352132391,1.103590720939127,0.0007132282864437,0.00040334012836350003,1.9361658861796045,0,0,rejected
a7ffcore48se_1461,funding_like|state_or_taxonomy,SignedRankDelta,medium,8,0,1.0538894660932794,1.1044524946789842,0.0007126319962914,0.00040289264484805003,1.9349781815450748,0,0,rejected
a7ffcore48se_0582,basis_premium_like|positioning_like,SignedRankDelta,high,8,0,1.0,1.1080937711190075,-1.750548755124819e-05,-0.00010891979618690767,-0.6663290229178577,0,0,rejected
a7ffcore48se_1483,generic_numeric|volatility_like,AbsDelta,medium,8,0,1.0234738600527766,1.1173493936932468,0.0002051534448915,-7.602356451876629e-05,1.4869550577235509,0,0,rejected
a7ffcore48se_0613,funding_like|funding_like,AbsDelta,medium,8,0,1.0168871676425708,1.1180925005639935,-2.9922110341515844e-05,-0.0007004628119552,-0.2411630711886033,0,0,rejected
a7ffcore48se_0806,volatility_like,WinsorZ,high,8,0,0.9985981818087752,1.1206403213944753,-2.467050794210957e-05,-4.0872685835510024e-05,-0.4622464476317217,0,0,rejected
a7ffcore48se_1197,funding_like|volatility_like,Delta,high,8,0,1.0101736587117964,1.1241842130728248,-0.0001044293474652,-0.00061456268005835,-2.352277213234387,0,0,rejected
