shard_id,start_row,end_row_exclusive,rows,source_path,checkpoint_path
a7ls15_mat_s052,52000,53000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s052.json
a7ls15_mat_s053,53000,54000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s053.json
a7ls15_mat_s054,54000,55000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s054.json
a7ls15_mat_s055,55000,56000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s055.json
a7ls15_mat_s056,56000,57000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s056.json
a7ls15_mat_s057,57000,58000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s057.json
a7ls15_mat_s058,58000,59000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s058.json
a7ls15_mat_s059,59000,60000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s059.json
a7ls15_mat_s060,60000,61000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s060.json
a7ls15_mat_s061,61000,62000,1000,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/a7ls15_materialization_queue_100k.csv,G:/AlphaFactory_CryptoData/research_runtime/a7ls15_million_scale_blueprint_generation_20260606/checkpoints/a7ls15_mat_s061.json
