event_id,venue,instrument,funding_time_utc,observable_time_utc,funding_rate,payer_side,receiver_side,source_record_id
funding-b6c8710e365935ccd4f9,BINANCE_UM,ADAUSDT,2024-01-05 00:00:00.001000+00:00,2024-01-05 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:12
funding-93ecf941f72353d38410,BINANCE_UM,ADAUSDT,2024-01-05 08:00:00+00:00,2024-01-05 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:13
funding-66556daf2f9274c0a68d,BINANCE_UM,ADAUSDT,2024-01-05 16:00:00+00:00,2024-01-05 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:14
funding-80bfa61636ede698f3a2,BINANCE_UM,ADAUSDT,2024-01-06 00:00:00+00:00,2024-01-06 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:15
funding-ca2c35dc18aa16239f34,BINANCE_UM,ADAUSDT,2024-01-06 08:00:00+00:00,2024-01-06 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:16
funding-589b23ad6606adbe187c,BINANCE_UM,ADAUSDT,2024-01-06 16:00:00+00:00,2024-01-06 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:17
funding-7c687a901f8163bd7cc9,BINANCE_UM,ADAUSDT,2024-01-07 00:00:00+00:00,2024-01-07 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:18
funding-f88b66e43516047fcdd8,BINANCE_UM,ADAUSDT,2024-01-07 08:00:00.001000+00:00,2024-01-07 09:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:19
funding-fc9c8e694f5cc3c4fa90,BINANCE_UM,ADAUSDT,2024-01-07 16:00:00.001000+00:00,2024-01-07 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:20
funding-5b770656a3e99a91b677,BINANCE_UM,ADAUSDT,2024-01-08 00:00:00+00:00,2024-01-08 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:21
funding-af875272e184f9f213e2,BINANCE_UM,ADAUSDT,2024-01-08 08:00:00+00:00,2024-01-08 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:22
funding-224644eef4727ea558c0,BINANCE_UM,ADAUSDT,2024-01-08 16:00:00+00:00,2024-01-08 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:23
funding-edd4038cf6e1b2d0c415,BINANCE_UM,ADAUSDT,2024-01-09 00:00:00.001000+00:00,2024-01-09 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:24
funding-9f853c2d15c24f3899d7,BINANCE_UM,ADAUSDT,2024-01-09 08:00:00+00:00,2024-01-09 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:25
funding-b180570998bbc2899693,BINANCE_UM,ADAUSDT,2024-01-09 16:00:00+00:00,2024-01-09 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:26
funding-c0fca7eb0caaa225a7a1,BINANCE_UM,ADAUSDT,2024-01-10 00:00:00+00:00,2024-01-10 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:27
funding-d2e92cda4d83745f07ea,BINANCE_UM,ADAUSDT,2024-01-10 08:00:00+00:00,2024-01-10 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:28
funding-dd9a4ad446eb62afdc84,BINANCE_UM,ADAUSDT,2024-01-10 16:00:00+00:00,2024-01-10 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:29
funding-48edbba23e96c690338d,BINANCE_UM,ADAUSDT,2024-01-11 00:00:00+00:00,2024-01-11 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:30
funding-b0dbd9166d672357104c,BINANCE_UM,ADAUSDT,2024-01-11 08:00:00+00:00,2024-01-11 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:31
funding-56d800b19869eb83b670,BINANCE_UM,ADAUSDT,2024-01-11 16:00:00+00:00,2024-01-11 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:32
funding-1b2a70b2fe568e66e388,BINANCE_UM,ADAUSDT,2024-01-12 00:00:00.001000+00:00,2024-01-12 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:33
funding-355fe7f18719a81c94fa,BINANCE_UM,ADAUSDT,2024-01-12 08:00:00+00:00,2024-01-12 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:34
funding-327ce128fb78b11508d0,BINANCE_UM,ADAUSDT,2024-01-12 16:00:00+00:00,2024-01-12 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:35
funding-3faa746ccf41c9d342a7,BINANCE_UM,ADAUSDT,2024-01-13 00:00:00+00:00,2024-01-13 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:36
funding-013064a90808de4de371,BINANCE_UM,ADAUSDT,2024-01-13 08:00:00+00:00,2024-01-13 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:37
funding-c8bbae082fc5c7f6de48,BINANCE_UM,ADAUSDT,2024-01-13 16:00:00.001000+00:00,2024-01-13 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:38
funding-12f26a872e0ca10a0023,BINANCE_UM,ADAUSDT,2024-01-14 00:00:00+00:00,2024-01-14 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:39
funding-a3dd45fc1af2b8cfb141,BINANCE_UM,ADAUSDT,2024-01-14 08:00:00+00:00,2024-01-14 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:40
funding-4ca8fb07d6f0dd2f3549,BINANCE_UM,ADAUSDT,2024-01-14 16:00:00.001000+00:00,2024-01-14 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:41
funding-c26551eecfc29f7ef602,BINANCE_UM,ADAUSDT,2024-01-15 00:00:00+00:00,2024-01-15 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:42
funding-c3adbbf18a99267de83a,BINANCE_UM,ADAUSDT,2024-01-15 08:00:00+00:00,2024-01-15 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:43
funding-ce23b9c18a2fe4bf99ec,BINANCE_UM,ADAUSDT,2024-01-15 16:00:00+00:00,2024-01-15 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:44
funding-26585aab8b0116eddbac,BINANCE_UM,ADAUSDT,2024-01-16 00:00:00+00:00,2024-01-16 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:45
funding-1b38abb71558ad1b51e8,BINANCE_UM,ADAUSDT,2024-01-16 08:00:00+00:00,2024-01-16 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:46
funding-c42ac81eacc044c163fd,BINANCE_UM,ADAUSDT,2024-01-16 16:00:00.001000+00:00,2024-01-16 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:47
funding-503f204d3d09fbfdb52b,BINANCE_UM,ADAUSDT,2024-01-17 00:00:00+00:00,2024-01-17 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:48
funding-c2a7e97ee24ca75496e4,BINANCE_UM,ADAUSDT,2024-01-17 08:00:00+00:00,2024-01-17 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:49
funding-8d5362ae696bc30b429d,BINANCE_UM,ADAUSDT,2024-01-17 16:00:00+00:00,2024-01-17 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:50
funding-f0511eef5d1f6dc74945,BINANCE_UM,ADAUSDT,2024-01-18 00:00:00.001000+00:00,2024-01-18 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:51
funding-9921efbfdc38458ea3a7,BINANCE_UM,ADAUSDT,2024-01-18 08:00:00+00:00,2024-01-18 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:52
funding-b55347b579f09d244d14,BINANCE_UM,ADAUSDT,2024-01-18 16:00:00+00:00,2024-01-18 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:53
funding-2ad5dc069c1726c975f5,BINANCE_UM,ADAUSDT,2024-01-19 00:00:00+00:00,2024-01-19 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:54
funding-0060b33fc04c3d1c8704,BINANCE_UM,ADAUSDT,2024-01-19 08:00:00+00:00,2024-01-19 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:55
funding-069bb362af9ee8479a60,BINANCE_UM,ADAUSDT,2024-01-19 16:00:00.002000+00:00,2024-01-19 17:00:00.002000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:56
funding-32d12618a9e7f5720c59,BINANCE_UM,ADAUSDT,2024-01-20 00:00:00+00:00,2024-01-20 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:57
funding-92be430e6c61bed058b0,BINANCE_UM,ADAUSDT,2024-01-20 08:00:00.003000+00:00,2024-01-20 09:00:00.003000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:58
funding-b7380d8b2148a5f33060,BINANCE_UM,ADAUSDT,2024-01-20 16:00:00+00:00,2024-01-20 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:59
funding-db3c6853c22692a3f118,BINANCE_UM,ADAUSDT,2024-01-21 00:00:00+00:00,2024-01-21 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:60
funding-e644b7a3f87818f4b827,BINANCE_UM,ADAUSDT,2024-01-21 08:00:00+00:00,2024-01-21 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:61
funding-1c4dffdfd826f85f63aa,BINANCE_UM,ADAUSDT,2024-01-21 16:00:00+00:00,2024-01-21 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:62
funding-195d37bda74595e3a933,BINANCE_UM,ADAUSDT,2024-01-22 00:00:00+00:00,2024-01-22 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:63
funding-1ba3e16cea5c7d211934,BINANCE_UM,ADAUSDT,2024-01-22 08:00:00+00:00,2024-01-22 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:64
funding-ca1aea70d87207b061ef,BINANCE_UM,ADAUSDT,2024-01-22 16:00:00+00:00,2024-01-22 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:65
funding-84ddfdffaeb1dc87cdda,BINANCE_UM,ADAUSDT,2024-01-23 00:00:00+00:00,2024-01-23 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:66
funding-c9aad096ba4f2ab4cd2e,BINANCE_UM,ADAUSDT,2024-01-23 08:00:00+00:00,2024-01-23 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:67
funding-e42ee7b1ca7e011ef304,BINANCE_UM,ADAUSDT,2024-01-23 16:00:00+00:00,2024-01-23 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:68
funding-44fa67abe6916d65479a,BINANCE_UM,ADAUSDT,2024-01-24 00:00:00+00:00,2024-01-24 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:69
funding-dfbc3b45d4819f293c8f,BINANCE_UM,ADAUSDT,2024-01-24 08:00:00+00:00,2024-01-24 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:70
funding-66b32d30e77f6148b989,BINANCE_UM,ADAUSDT,2024-01-24 16:00:00+00:00,2024-01-24 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:71
funding-6e35ade383ea1a145606,BINANCE_UM,ADAUSDT,2024-01-25 00:00:00+00:00,2024-01-25 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:72
funding-9778487151fc6b2841ae,BINANCE_UM,ADAUSDT,2024-01-25 08:00:00.001000+00:00,2024-01-25 09:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:73
funding-dab4679a5e91e08b5489,BINANCE_UM,ADAUSDT,2024-01-25 16:00:00+00:00,2024-01-25 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:74
funding-e09e74ea6e6ae7dc844b,BINANCE_UM,ADAUSDT,2024-01-26 00:00:00.001000+00:00,2024-01-26 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:75
funding-e5e7a5520678a0d13b49,BINANCE_UM,ADAUSDT,2024-01-26 08:00:00+00:00,2024-01-26 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:76
funding-44e0ee3990a7d42c35c9,BINANCE_UM,ADAUSDT,2024-01-26 16:00:00+00:00,2024-01-26 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:77
funding-f9b723130ebc773c616b,BINANCE_UM,ADAUSDT,2024-01-27 00:00:00+00:00,2024-01-27 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:78
funding-451f73cfd9e8058d19ef,BINANCE_UM,ADAUSDT,2024-01-27 08:00:00+00:00,2024-01-27 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:79
funding-6fd9c87e8a0209a68854,BINANCE_UM,ADAUSDT,2024-01-27 16:00:00+00:00,2024-01-27 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:80
funding-97f830b7e834622abe5b,BINANCE_UM,ADAUSDT,2024-01-28 00:00:00+00:00,2024-01-28 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:81
funding-a7091bbc1be5c71a9721,BINANCE_UM,ADAUSDT,2024-01-28 08:00:00+00:00,2024-01-28 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:82
funding-e448276caebed82f64e5,BINANCE_UM,ADAUSDT,2024-01-28 16:00:00+00:00,2024-01-28 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:83
funding-0d00e299fdef7df9f460,BINANCE_UM,ADAUSDT,2024-01-29 00:00:00+00:00,2024-01-29 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:84
funding-20c2867482f6e0c6aaa4,BINANCE_UM,ADAUSDT,2024-01-29 08:00:00.001000+00:00,2024-01-29 09:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:85
funding-6f013f9b07031229a68b,BINANCE_UM,ADAUSDT,2024-01-29 16:00:00+00:00,2024-01-29 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:86
funding-fc6d648cc980960afae5,BINANCE_UM,ADAUSDT,2024-01-30 00:00:00+00:00,2024-01-30 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:87
funding-51f62746d18ec5fc48a1,BINANCE_UM,ADAUSDT,2024-01-30 08:00:00+00:00,2024-01-30 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:88
funding-770c026d0aa00d60b237,BINANCE_UM,ADAUSDT,2024-01-30 16:00:00.001000+00:00,2024-01-30 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:89
funding-ff2d80607d253c7d5de1,BINANCE_UM,ADAUSDT,2024-01-31 00:00:00+00:00,2024-01-31 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:90
funding-43396241b0666df740f4,BINANCE_UM,ADAUSDT,2024-01-31 08:00:00+00:00,2024-01-31 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:91
funding-b857bba8494edd1499b5,BINANCE_UM,ADAUSDT,2024-01-31 16:00:00+00:00,2024-01-31 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:92
funding-0db057491768db859a71,BINANCE_UM,ADAUSDT,2024-02-01 00:00:00+00:00,2024-02-01 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:93
funding-839adf0d3662c0a9c2a1,BINANCE_UM,ADAUSDT,2024-02-01 08:00:00+00:00,2024-02-01 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:94
funding-9d2961493519b85e149a,BINANCE_UM,ADAUSDT,2024-02-01 16:00:00.002000+00:00,2024-02-01 17:00:00.002000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:95
funding-db77b7868941dedf3d66,BINANCE_UM,ADAUSDT,2024-02-02 00:00:00+00:00,2024-02-02 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:96
funding-3ba1533788336500dd88,BINANCE_UM,ADAUSDT,2024-02-02 08:00:00+00:00,2024-02-02 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:97
funding-a5c925d0fea2cdaa5dd3,BINANCE_UM,ADAUSDT,2024-02-02 16:00:00+00:00,2024-02-02 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:98
funding-485869fdd99e8720832a,BINANCE_UM,ADAUSDT,2024-02-03 00:00:00+00:00,2024-02-03 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:99
funding-189b9c4524057cdc5669,BINANCE_UM,ADAUSDT,2024-02-03 08:00:00+00:00,2024-02-03 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:100
funding-a67bc3f897ac2a409737,BINANCE_UM,ADAUSDT,2024-02-03 16:00:00.001000+00:00,2024-02-03 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:101
funding-a8e9c42f127ef02ca09a,BINANCE_UM,ADAUSDT,2024-02-04 00:00:00+00:00,2024-02-04 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:102
funding-ffbfa2cad83ce6a0598e,BINANCE_UM,ADAUSDT,2024-02-04 08:00:00.004000+00:00,2024-02-04 09:00:00.004000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:103
funding-03eaa69a5eb24c6b72b4,BINANCE_UM,ADAUSDT,2024-02-04 16:00:00+00:00,2024-02-04 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:104
funding-36df4ba6ce799a4cec27,BINANCE_UM,ADAUSDT,2024-02-05 00:00:00+00:00,2024-02-05 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:105
funding-ec7151ae4d59ff882d56,BINANCE_UM,ADAUSDT,2024-02-05 08:00:00+00:00,2024-02-05 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:106
funding-f7555c275a1dfda63dae,BINANCE_UM,ADAUSDT,2024-02-05 16:00:00+00:00,2024-02-05 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:107
funding-7bcf94e6a97e0b2634b3,BINANCE_UM,ADAUSDT,2024-02-06 00:00:00+00:00,2024-02-06 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:108
funding-796674a2c8a612644094,BINANCE_UM,ADAUSDT,2024-02-06 08:00:00.001000+00:00,2024-02-06 09:00:00.001000+00:00,8.992e-05,LONG,SHORT,ADAUSDT_fundingRate.csv:109
funding-366003a2dc761b61ff75,BINANCE_UM,ADAUSDT,2024-02-06 16:00:00+00:00,2024-02-06 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:110
funding-6f910243643509d27378,BINANCE_UM,ADAUSDT,2024-02-07 00:00:00+00:00,2024-02-07 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:111
funding-9f1dd2244dbb061492a0,BINANCE_UM,ADAUSDT,2024-02-07 08:00:00+00:00,2024-02-07 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:112
funding-ffde9a6c7eb53446ee66,BINANCE_UM,ADAUSDT,2024-02-07 16:00:00+00:00,2024-02-07 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:113
funding-24fa3025ea9064866da0,BINANCE_UM,ADAUSDT,2024-02-08 00:00:00+00:00,2024-02-08 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:114
funding-03b208d125099e39c132,BINANCE_UM,ADAUSDT,2024-02-08 08:00:00+00:00,2024-02-08 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:115
funding-ef0840fd09fe78b72e8c,BINANCE_UM,ADAUSDT,2024-02-08 16:00:00+00:00,2024-02-08 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:116
funding-8feb97583bd7dde4a3bc,BINANCE_UM,ADAUSDT,2024-02-09 00:00:00+00:00,2024-02-09 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:117
funding-5ca94517d93f4c844bce,BINANCE_UM,ADAUSDT,2024-02-09 08:00:00+00:00,2024-02-09 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:118
funding-1f569eda499f1a3e7a81,BINANCE_UM,ADAUSDT,2024-02-09 16:00:00.001000+00:00,2024-02-09 17:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:119
funding-06a64c7de51e398b9561,BINANCE_UM,ADAUSDT,2024-02-10 00:00:00.001000+00:00,2024-02-10 01:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:120
funding-93b4ddd0255773a3df39,BINANCE_UM,ADAUSDT,2024-02-10 08:00:00+00:00,2024-02-10 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:121
funding-5b309021c417f41ffd4d,BINANCE_UM,ADAUSDT,2024-02-10 16:00:00+00:00,2024-02-10 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:122
funding-f2de1474985387aee4fb,BINANCE_UM,ADAUSDT,2024-02-11 00:00:00+00:00,2024-02-11 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:123
funding-ac7ebc72c0719ab067b8,BINANCE_UM,ADAUSDT,2024-02-11 08:00:00.001000+00:00,2024-02-11 09:00:00.001000+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:124
funding-973e38f3912c9fbec058,BINANCE_UM,ADAUSDT,2024-02-11 16:00:00+00:00,2024-02-11 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:125
funding-c2acef418e2054cb62c2,BINANCE_UM,ADAUSDT,2024-02-12 00:00:00+00:00,2024-02-12 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:126
funding-62a5eaeeab108c12c376,BINANCE_UM,ADAUSDT,2024-02-12 08:00:00+00:00,2024-02-12 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:127
funding-e9d369f14e7abaa7309a,BINANCE_UM,ADAUSDT,2024-02-12 16:00:00+00:00,2024-02-12 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:128
funding-58a990ed63a6dfd3a45a,BINANCE_UM,ADAUSDT,2024-02-13 00:00:00+00:00,2024-02-13 01:00:00+00:00,0.00018628,LONG,SHORT,ADAUSDT_fundingRate.csv:129
funding-46e51506109b03f052a3,BINANCE_UM,ADAUSDT,2024-02-13 08:00:00+00:00,2024-02-13 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:130
funding-c4e826362f4bd7f7517c,BINANCE_UM,ADAUSDT,2024-02-13 16:00:00+00:00,2024-02-13 17:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:131
funding-7a93e4423f07427ec395,BINANCE_UM,ADAUSDT,2024-02-14 00:00:00+00:00,2024-02-14 01:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:132
funding-a97952c910ab82e8ddfb,BINANCE_UM,ADAUSDT,2024-02-14 08:00:00+00:00,2024-02-14 09:00:00+00:00,0.0001,LONG,SHORT,ADAUSDT_fundingRate.csv:133
funding-669405be71f41e88d289,BINANCE_UM,ADAUSDT,2024-02-14 16:00:00+00:00,2024-02-14 17:00:00+00:00,0.000418,LONG,SHORT,ADAUSDT_fundingRate.csv:134
