expected_index,detected_index,venue,instrument,expected_time_utc,detected_time_utc,timing_error_seconds,expected_funding_rate,detected_funding_rate,funding_rate_abs_error,observable_time_error_seconds,month_utc
6204,6204,BINANCE_UM,BCHUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-01
6297,6297,BINANCE_UM,BCHUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-02
6381,6381,BINANCE_UM,BCHUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-03
6474,6474,BINANCE_UM,BCHUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,-0.00013161,-0.00013161,0.0,0.0,2025-04
6564,6564,BINANCE_UM,BCHUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,-7.32e-06,-7.32e-06,0.0,0.0,2025-05
6657,6657,BINANCE_UM,BCHUSDT,2025-06-01 00:00:00.001000+00:00,2025-06-01 00:00:00.001000+00:00,0.0,3.466e-05,3.466e-05,0.0,0.0,2025-06
6747,6747,BINANCE_UM,BCHUSDT,2025-07-01 00:00:00.007000+00:00,2025-07-01 00:00:00.007000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-07
6840,6840,BINANCE_UM,BCHUSDT,2025-08-01 00:00:00.001000+00:00,2025-08-01 00:00:00.001000+00:00,0.0,-3.264e-05,-3.264e-05,0.0,0.0,2025-08
6933,6933,BINANCE_UM,BCHUSDT,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-09
7023,7023,BINANCE_UM,BCHUSDT,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-10
7116,7116,BINANCE_UM,BCHUSDT,2025-11-01 00:00:00.001000+00:00,2025-11-01 00:00:00.001000+00:00,0.0,-0.00012172,-0.00012172,0.0,0.0,2025-11
7206,7206,BINANCE_UM,BCHUSDT,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.0,1.256e-05,1.256e-05,0.0,0.0,2025-12
7299,7299,BINANCE_UM,BCHUSDT,2026-01-01 00:00:00.008000+00:00,2026-01-01 00:00:00.008000+00:00,0.0,-6.775e-05,-6.775e-05,0.0,0.0,2026-01
7392,7392,BINANCE_UM,BCHUSDT,2026-02-01 00:00:00.001000+00:00,2026-02-01 00:00:00.001000+00:00,0.0,-4.215e-05,-4.215e-05,0.0,0.0,2026-02
7476,7476,BINANCE_UM,BCHUSDT,2026-03-01 00:00:00.005000+00:00,2026-03-01 00:00:00.005000+00:00,0.0,-0.00034494,-0.00034494,0.0,0.0,2026-03
7569,7569,BINANCE_UM,BCHUSDT,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2026-04
7659,7659,BINANCE_UM,BNBUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,-0.00115565,-0.00115565,0.0,0.0,2024-01
7752,7752,BINANCE_UM,BNBUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-02
7839,7839,BINANCE_UM,BNBUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.0002258,0.0002258,0.0,0.0,2024-03
7932,7932,BINANCE_UM,BNBUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-04
8022,8022,BINANCE_UM,BNBUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,-0.00022922,-0.00022922,0.0,0.0,2024-05
8115,8115,BINANCE_UM,BNBUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,0.00019589,0.00019589,0.0,0.0,2024-06
8205,8205,BINANCE_UM,BNBUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-07
8298,8298,BINANCE_UM,BNBUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,2.4e-07,2.4e-07,0.0,0.0,2024-08
8391,8391,BINANCE_UM,BNBUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-09
8481,8481,BINANCE_UM,BNBUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-10
8574,8574,BINANCE_UM,BNBUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2024-11
8664,8664,BINANCE_UM,BNBUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.00020315,0.00020315,0.0,0.0,2024-12
8757,8757,BINANCE_UM,BNBUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,0.0,0.0,0.0,0.0,2025-01
8850,8850,BINANCE_UM,BNBUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-02
8934,8934,BINANCE_UM,BNBUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-03
9027,9027,BINANCE_UM,BNBUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-04
9117,9117,BINANCE_UM,BNBUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,-0.0004973,-0.0004973,0.0,0.0,2025-05
9210,9210,BINANCE_UM,BNBUSDT,2025-06-01 00:00:00.001000+00:00,2025-06-01 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,0.0,2025-06
9300,9300,BINANCE_UM,BNBUSDT,2025-07-01 00:00:00.007000+00:00,2025-07-01 00:00:00.007000+00:00,0.0,0.0,0.0,0.0,0.0,2025-07
9393,9393,BINANCE_UM,BNBUSDT,2025-08-01 00:00:00.001000+00:00,2025-08-01 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,0.0,2025-08
9486,9486,BINANCE_UM,BNBUSDT,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-09
9576,9576,BINANCE_UM,BNBUSDT,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-10
9669,9669,BINANCE_UM,BNBUSDT,2025-11-01 00:00:00.001000+00:00,2025-11-01 00:00:00.001000+00:00,0.0,-9.114e-05,-9.114e-05,0.0,0.0,2025-11
9759,9759,BINANCE_UM,BNBUSDT,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2025-12
9852,9852,BINANCE_UM,BNBUSDT,2026-01-01 00:00:00.008000+00:00,2026-01-01 00:00:00.008000+00:00,0.0,6.523e-05,6.523e-05,0.0,0.0,2026-01
9945,9945,BINANCE_UM,BNBUSDT,2026-02-01 00:00:00.001000+00:00,2026-02-01 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,0.0,2026-02
10029,10029,BINANCE_UM,BNBUSDT,2026-03-01 00:00:00.005000+00:00,2026-03-01 00:00:00.005000+00:00,0.0,0.0,0.0,0.0,0.0,2026-03
10122,10122,BINANCE_UM,BNBUSDT,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2026-04
10212,10212,BINANCE_UM,BTCUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,0.00037409,0.00037409,0.0,0.0,2024-01
10305,10305,BINANCE_UM,BTCUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-02
10392,10392,BINANCE_UM,BTCUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.00053322,0.00053322,0.0,0.0,2024-03
10485,10485,BINANCE_UM,BTCUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.00070161,0.00070161,0.0,0.0,2024-04
10575,10575,BINANCE_UM,BTCUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-05
10668,10668,BINANCE_UM,BTCUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-06
10758,10758,BINANCE_UM,BTCUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-07
10851,10851,BINANCE_UM,BTCUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,8.208e-05,8.208e-05,0.0,0.0,2024-08
10944,10944,BINANCE_UM,BTCUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,4.113e-05,4.113e-05,0.0,0.0,2024-09
11034,11034,BINANCE_UM,BTCUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-10
11127,11127,BINANCE_UM,BTCUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-11
11217,11217,BINANCE_UM,BTCUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.00015901,0.00015901,0.0,0.0,2024-12
11310,11310,BINANCE_UM,BTCUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-01
11403,11403,BINANCE_UM,BTCUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,8.098e-05,8.098e-05,0.0,0.0,2025-02
11487,11487,BINANCE_UM,BTCUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,-1.4e-07,-1.4e-07,0.0,0.0,2025-03
11580,11580,BINANCE_UM,BTCUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,3.961e-05,3.961e-05,0.0,0.0,2025-04
11670,11670,BINANCE_UM,BTCUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,3.519e-05,3.519e-05,0.0,0.0,2025-05
11763,11763,BINANCE_UM,BTCUSDT,2025-06-01 00:00:00.001000+00:00,2025-06-01 00:00:00.001000+00:00,0.0,-5.82e-06,-5.82e-06,0.0,0.0,2025-06
11853,11853,BINANCE_UM,BTCUSDT,2025-07-01 00:00:00.007000+00:00,2025-07-01 00:00:00.007000+00:00,0.0,1.053e-05,1.053e-05,0.0,0.0,2025-07
11946,11946,BINANCE_UM,BTCUSDT,2025-08-01 00:00:00.001000+00:00,2025-08-01 00:00:00.001000+00:00,0.0,-1.408e-05,-1.408e-05,0.0,0.0,2025-08
12039,12039,BINANCE_UM,BTCUSDT,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.0,4.66e-05,4.66e-05,0.0,0.0,2025-09
12129,12129,BINANCE_UM,BTCUSDT,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.0,3.355e-05,3.355e-05,0.0,0.0,2025-10
12222,12222,BINANCE_UM,BTCUSDT,2025-11-01 00:00:00.001000+00:00,2025-11-01 00:00:00.001000+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-11
12312,12312,BINANCE_UM,BTCUSDT,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.0,3.593e-05,3.593e-05,0.0,0.0,2025-12
12405,12405,BINANCE_UM,BTCUSDT,2026-01-01 00:00:00.008000+00:00,2026-01-01 00:00:00.008000+00:00,0.0,0.0001,0.0001,0.0,0.0,2026-01
12498,12498,BINANCE_UM,BTCUSDT,2026-02-01 00:00:00.001000+00:00,2026-02-01 00:00:00.001000+00:00,0.0,-3.267e-05,-3.267e-05,0.0,0.0,2026-02
12582,12582,BINANCE_UM,BTCUSDT,2026-03-01 00:00:00.005000+00:00,2026-03-01 00:00:00.005000+00:00,0.0,-6.88e-06,-6.88e-06,0.0,0.0,2026-03
12675,12675,BINANCE_UM,BTCUSDT,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.0,-3.449e-05,-3.449e-05,0.0,0.0,2026-04
12765,12765,BINANCE_UM,DOGEUSDT,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0,0.00022291,0.00022291,0.0,0.0,2024-01
12858,12858,BINANCE_UM,DOGEUSDT,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-02
12945,12945,BINANCE_UM,DOGEUSDT,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.0,0.00069545,0.00069545,0.0,0.0,2024-03
13038,13038,BINANCE_UM,DOGEUSDT,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.0,0.00079016,0.00079016,0.0,0.0,2024-04
13128,13128,BINANCE_UM,DOGEUSDT,2024-05-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.0,-7.32e-05,-7.32e-05,0.0,0.0,2024-05
13221,13221,BINANCE_UM,DOGEUSDT,2024-06-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-06
13311,13311,BINANCE_UM,DOGEUSDT,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-07
13404,13404,BINANCE_UM,DOGEUSDT,2024-08-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.0,3.949e-05,3.949e-05,0.0,0.0,2024-08
13497,13497,BINANCE_UM,DOGEUSDT,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.0,9.18e-05,9.18e-05,0.0,0.0,2024-09
13587,13587,BINANCE_UM,DOGEUSDT,2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0,9.6e-05,9.6e-05,0.0,0.0,2024-10
13680,13680,BINANCE_UM,DOGEUSDT,2024-11-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2024-11
13770,13770,BINANCE_UM,DOGEUSDT,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0,0.00025873,0.00025873,0.0,0.0,2024-12
13863,13863,BINANCE_UM,DOGEUSDT,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,0.0,6.602e-05,6.602e-05,0.0,0.0,2025-01
13956,13956,BINANCE_UM,DOGEUSDT,2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.0,-7.1e-06,-7.1e-06,0.0,0.0,2025-02
14040,14040,BINANCE_UM,DOGEUSDT,2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0,0.0001,0.0001,0.0,0.0,2025-03
14133,14133,BINANCE_UM,DOGEUSDT,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,4.656e-05,4.656e-05,0.0,0.0,2025-04
14223,14223,BINANCE_UM,DOGEUSDT,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.0,1.67e-05,1.67e-05,0.0,0.0,2025-05
