blueprint_id,expression,clue_rows,label_family_count,label_families,horizon_count,horizons,source_info_axis,next_wave_family,semantic_pair,motif,skeleton_key,production_key,min_control_ratio,median_control_ratio,max_robust_min_tstat,median_robust_min_tstat,max_lag_recent,max_cost10_recent,shortlist_best_score,candidate_score,consolidation_status,a7ls13_packet_rank,a7ls13_packet_role
a7ls9_b627111b0d3434a7,"Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12))))",3,3,L0_raw_forward_return;L1_cross_sectional_relative_return;L3_liquidity_tier_relative_return,1,24,vol_liquidity_x_basis,basis_context_interaction,basis_premium_like|age_x_volatility,basis_abs_gate,skel_a48d4f61289851a6,prod_1d3d331b6d9d96e0,0.7055673674546653,0.9196256552053048,2.485606869547232,2.11741373020092,0.0049491238536739,0.0030205751054769,48.26764812132923,379.9230666580538,multi_label_control_clean,11,consolidated_replay_candidate
a7ls9_b45bcf9f12dbe4c1,"Mul(ZScore(Mean(age_x_volatility,24)),Abs(ZScore(Mean(volume_volatility_ratio_168h,24))))",12,2,L0_raw_forward_return;L1_cross_sectional_relative_return,3,4;8;24,listing_x_basis_regime,listing_state_interaction,listing_age_like|regime_state,age_abs_state,skel_9fb718a977715a65,prod_7ec4a2088025a5e7,0.7032169552542572,0.7962681484606808,2.3100724142904983,2.237916427488312,0.0060577858899953,0.0041530160534505,51.07868855546164,318.90797766737006,multi_label_control_clean,12,consolidated_replay_candidate
a7ls9_606d17a2011da024,"Mul(Abs(ZScore(Mean(realized_vol_168h,48))),ZScore(Mean(volume_volatility_ratio_168h,48)))",18,2,L0_raw_forward_return;L1_cross_sectional_relative_return,3,4;8;24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|volume_volatility_ratio_168h,abs_state_interaction,skel_36361938b93ad534,prod_9f523759381bf7f4,0.6868230671593634,0.7325069433880669,2.023050931779011,1.85695288239556,0.0052996752953244,0.0034578554690366,42.97280108493496,316.7212357867834,multi_label_control_clean,13,consolidated_replay_candidate
a7ls9_a2eab9873da00d14,"Mul(Abs(ZScore(Mean(premium_close_bps,168))),ZScore(Mean(open_interest_value_last,168)))",6,2,L0_raw_forward_return;L1_cross_sectional_relative_return,3,4;8;24,raw_multi_axis,raw_multi_axis_probe,basis_premium|positioning_flow,raw_abs_state,skel_d4119fc6bdbc48c8,prod_4787877d77b442e2,0.740639931763316,0.7839069998323208,1.192049527292047,0.870423893860168,0.0030579952499341,0.0011387083214702,0.0,298.27617245372926,multi_label_control_clean,14,consolidated_replay_candidate
a7ls9_516eed52d75aa727,"ZScore(Mean(volume_volatility_ratio_168h,48))",12,2,L0_raw_forward_return;L1_cross_sectional_relative_return,3,4;8;24,vol_liquidity_x_basis,vol_liquidity_deep,volatility_like,zmean,skel_ea729d0f96c7cddd,prod_dd24431343cf82ed,0.8017266210845478,0.8405585798182593,1.647353733327933,1.438936637707025,0.0041485797184919,0.0021969862000591,0.0,296.9354318166796,candidate_level_clue,15,consolidated_replay_candidate
a7ls9_37dceefef1275afb,"ZScore(Mean(volume_volatility_ratio_168h,24))",8,2,L0_raw_forward_return;L1_cross_sectional_relative_return,2,8;24,vol_liquidity_x_basis,vol_liquidity_deep,volatility_like,zmean,skel_ea729d0f96c7cddd,prod_142b4f8e32465516,0.6899801740713393,0.7889037668074104,1.6835011272742628,1.5714901624492266,0.004543334192276,0.0026624666699246,45.50517944318762,293.1080918961475,multi_label_control_clean,16,consolidated_replay_candidate
a7ls9_027c5a5ab9db998a,"Mul(Abs(ZScore(Mean(volume_volatility_ratio_168h,12))),ZScore(Mean(volume_volatility_ratio_168h,12)))",2,2,L0_raw_forward_return;L1_cross_sectional_relative_return,1,24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|volume_volatility_ratio_168h,abs_state_interaction,skel_f8c8789296a6522e,prod_0395b750b6f41e0c,0.6178019976622768,0.6178019976622768,1.5439228475311595,1.5439228475311593,0.0053901083178563,0.0035228317781954,54.85235456747981,280.0355581754371,multi_label_control_clean,17,consolidated_replay_candidate
a7ls9_5643d6073296ae92,"Mul(Abs(ZScore(Mean(realized_vol_168h,12))),ZScore(Mean(volume_volatility_ratio_168h,12)))",2,2,L0_raw_forward_return;L1_cross_sectional_relative_return,1,24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|volume_volatility_ratio_168h,abs_state_interaction,skel_36361938b93ad534,prod_712202f6c13d7920,0.6342197611975552,0.635850137954318,1.4562265841828796,1.4562265841828794,0.0066051055574684,0.0047605600406832,55.22482239931048,277.79933852181944,multi_label_control_clean,18,consolidated_replay_candidate
a7ls9_b0eee4793300a610,"Mul(ZScore(Mean(top_long_short_account_ratio_last,24)),Sign(ZScore(Mean(liquidity_rank_active_universe,24))))",1,1,L5_vol_adjusted_return,1,24,positioning_x_basis,positioning_context_interaction,open_interest_like|liquidity_rank_active_universe,typed_gate,skel_2adc66d652e998b2,prod_b3a8d9aee2d51ffc,0.9684782115962584,0.9684782115962584,0.9302312753748792,0.9302312753748792,0.3301231955874995,0.3441163514528041,682.0428822575522,268.08273452390847,candidate_level_clue,19,consolidated_replay_candidate
a7ls9_f39b206ab8e2b215,"Mul(Abs(ZScore(Mean(premium_close_bps,72))),Sign(ZScore(Mean(age_x_volatility,72))))",4,2,L0_raw_forward_return;L1_cross_sectional_relative_return,1,24,vol_liquidity_x_basis,basis_context_interaction,basis_premium_like|age_x_volatility,basis_abs_gate,skel_44b0788ab15d393d,prod_ac1812caf8d5cbba,0.8564334710855543,0.8792621822819384,1.7241702072453189,1.7241702072453189,0.0027670023155423,0.0008744673790423,0.0,251.9625019333562,candidate_level_clue,20,consolidated_replay_candidate
a7ls9_af5e4ea972785e6c,"Mul(Delta(realized_vol_72h,336),ZScore(Mean(liquidity_rank_active_universe,336)))",5,2,L0_raw_forward_return;L1_cross_sectional_relative_return,1,4,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|liquidity_rank_active_universe,typed_interaction,skel_3ff54a6654b242d3,prod_f09e712ca3655021,0.9981347029088898,0.9981347029088898,0.550659369201652,0.550659369201652,0.0011976535411996,-0.000722815622015,0.0,225.81288875524749,candidate_level_clue,21,consolidated_replay_candidate
a7ls9_877419e7f0b8bf0e,"ZScore(Mean(taker_buy_sell_volume_ratio_last,48))",1,1,L3_liquidity_tier_relative_return,1,24,positioning_x_basis,positioning_flow_recovery,open_interest_like|positioning_like,zmean,skel_c26f9f7bc4bee1be,prod_2b535a1c4f2121b0,0.2059462622720498,0.2059462622720498,0.4569555442635918,0.4569555442635918,0.0028977785123218,0.0008888933874868,85.47682339392159,212.901278744804,candidate_level_clue,22,consolidated_replay_candidate
a7ls9_ffe3eb90cbdae18a,"Mul(Delta(premium_close_bps,12),ZScore(Mean(open_interest_value_last,12)))",1,1,L5_vol_adjusted_return,1,1,raw_multi_axis,raw_multi_axis_probe,basis_premium|positioning_flow,raw_delta_state,skel_b3bb0d70da3b9e3c,prod_aaa2921510160612,0.5564565227397085,0.5564565227397085,2.766526946146673,2.766526946146673,0.0096270384320427,0.032055003439884,99.86902432868922,206.17472380755748,candidate_level_clue,23,consolidated_replay_candidate
a7ls9_1920f31cd91f269e,"Mul(Delta(realized_vol_168h,336),ZScore(Mean(liquidity_rank_active_universe,336)))",2,1,L3_liquidity_tier_relative_return,1,24,vol_liquidity_x_basis,vol_liquidity_interaction,volatility_like|liquidity_rank_active_universe,typed_interaction,skel_80f4102c9447249d,prod_d42183609b7bc5f4,0.6138803774657297,0.6408765189765919,0.5202863829035984,0.5202863829035984,0.0040392702647409,0.0022610847734885,47.51374920617442,169.1962365069034,candidate_level_clue,24,consolidated_replay_candidate
a7ls9_982bcce5eed1ffc6,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,8))),ZScore(Mean(age_x_liquidity,8)))",1,1,L3_liquidity_tier_relative_return,1,24,positioning_x_basis,positioning_context_interaction,open_interest_like|age_x_liquidity,positioning_abs_state,skel_35c4090d2366a15a,prod_ea6f629f3ac7f8ed,0.7816033978000443,0.7816033978000443,2.0228388187578945,2.0228388187578945,0.0019844698458373,2.5090034674998297e-05,33.96341419429734,165.6653458150555,candidate_level_clue,25,consolidated_replay_candidate
