core14se_rank,candidate_id,semantic_bucket,motif_bucket,generation_mode,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,median_control_ratio,median_spread,proposed_subgraph_id,expression,raw_inputs,outside_old_packet,repair_score
19,a7ffcore11e_5ba23f43a8b1fe6632,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,6,2,3,0.0424770735526936,0.0424770735526936,0.4336467235530571,0.5249576286127773,0.00014506201504576075,sgx_16acb619e04bbb247b,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),4)),Delta(mark_index_basis_bps,4))",mark_index_basis_bps;taker_buy_quote_volume,False,11.482248023947758
20,a7ffcore11e_7f4ddd6ba1891e3a2c,liquidity_like,single,seed_field_mul_delta,3,2,3,0.0124193100539067,0.1093366270246046,0.3816577689764729,0.5251102092242327,-0.001849230546808,sgx_90ef35bd370bf56c29,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,16))",trade_volume,False,11.423417002539145
21,a7ffcore11e_0dd21d80949fec5fb7,liquidity_like,single,seed_field_mul_delta,3,2,3,0.0124414884001383,0.1081345182230059,0.3791012956707527,0.5195988833041247,-0.0019487418827797,sgx_6d38c3f41175d91973,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,16))",trade_volume,False,11.404487773118614
22,a7ffcore11e_123c59e7517b7ef3c6,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,2,3,0.0526015623299985,0.0526015623299985,0.3354163528644105,0.4398977257325818,-0.0003897844412386,sgx_31928ce583ba1db258,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,6))",mark_index_basis_bps;taker_buy_quote_volume,False,11.38119854087115
23,a7ffcore11e_7036d028e1478c3480,liquidity_like,single,seed_field_mul_delta,3,2,3,0.0124688443956682,0.1035265044708179,0.3781119353763701,0.605860754621168,-0.0017157231558971,sgx_87fa9f70a8fc2edbe9,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,16))",trade_volume,False,11.314306218663619
24,a7ffcore11e_0dc6c3e8b869e22675,liquidity_like,single,seed_field_rank_spread,1,1,1,0.0253648732830968,0.2554192507265264,0.2066673797987886,0.2066673797987886,0.2554192507265264,sgx_b92c399568e84347d5,"Sub(TSRank(Mean(trade_volume,4),2),TSRank(trade_volume,2))",trade_volume,True,11.195050254932951
25,a7ffcore11e_0e0f0e07398f95176c,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,5,2,3,0.0465748680968588,0.0465748680968588,0.4339637322084959,0.5100930863297866,-7.34569070431155e-05,sgx_5025e56f93f0c5fd74,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),3)),Delta(mark_index_basis_bps,4))",mark_index_basis_bps;taker_buy_quote_volume,False,11.063569897520184
26,a7ffcore11e_cfcfbc2592d847facd,liquidity_like,single,seed_field_mul_delta,5,2,3,0.0183586681932651,0.0183586681932651,0.2168543848021346,0.4153749416416809,-0.0001226789166128,sgx_def5be8772255d3598,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,24))",trade_volume,False,10.933464594261032
27,a7ffcore11e_94fc8621dfeb133185,liquidity_like,single,seed_field_mul_delta,5,2,3,0.0180613177131051,0.0180613177131051,0.2254105922137263,0.4268197377713871,-6.712801783375212e-05,sgx_34c36cb33fc007173c,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,24))",trade_volume,False,10.91040516983465
28,a7ffcore11e_1c294ee13a07d9e36a,liquidity_like,single,seed_field_mul_delta,5,2,3,0.0177321921261381,0.0177321921261381,0.2341736381994437,0.4390726114454555,-4.581724257258927e-05,sgx_3c8b93e2f6fa8e9d5b,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,24))",trade_volume,False,10.886296566123875
29,a7ffcore11e_6dfea25769981420cd,liquidity_like,single,seed_field_mul_delta,4,2,3,0.0118153601926321,0.0488773822287025,0.3257058563587204,0.6299955049506785,0.0020664029840742,sgx_9fc7469f5ded4460cf,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,96))",trade_volume,False,10.82613593185661
30,a7ffcore11e_b50799eaf4f797bc7c,liquidity_like,single,seed_field_mul_delta,4,2,3,0.0115658489333795,0.042433495873841,0.330307013346887,0.6743769165574458,0.0018419901684520999,sgx_7d8c802fb97c2a49d9,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,96))",trade_volume,False,10.688055890783046
31,a7ffcore11e_53398432f11d66ec78,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,2,0.0174583051324978,0.0174583051324978,0.4264392502298615,0.6239134953658935,-0.0001572167366566,sgx_a9065eb5e6dbd0155d,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24)))),3)),Delta(trade_count,16))",trade_count;trade_low,True,10.496287602190232
32,a7ffcore11e_72b29b5706d6db936b,taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,1,1,1,0.0046211636264994,0.2745959332241619,0.7599504702391644,0.7599504702391644,0.2745959332241619,sgx_b02933b82a062645b9,"Mul(ZScore(Mean(Mul(ZScore(Delta(taker_buy_quote_volume,24)),Delta(Mean(open_interest_mean,8),24)),4)),Delta(open_interest_mean,72))",open_interest_mean;taker_buy_quote_volume,True,10.47201772400491
33,a7ffcore11e_a48ad1e36a600830e7,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,2,2,0.0158542640667193,0.0158542640667193,0.4878181783084518,0.6436670361602183,0.0003233396451719,sgx_cc9660e7e33ee308fd,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),4)),Delta(open_interest_last,16))",open_interest_last;top_long_short_account_ratio_last,True,10.341448924717483
34,a7ffcore11e_209eed7b9edd873a00,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,2,0.0087606009404006,0.0087606009404006,0.444964295080958,0.5824326844930741,0.0005255415012831,sgx_8f690fa555fd18f57b,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,8)))),3)),Delta(trade_count,2))",trade_count;trade_high,True,10.285283428646096
35,a7ffcore11e_4818a1b365e426cb4f,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,2,0.011383810084,0.011383810084,0.4772153355232762,0.4857444773955717,-0.0001826237763425,sgx_5762b9fcfdf2923a1c,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,8)))),4)),Delta(trade_count,32))",trade_count;trade_high,True,10.273245530633448
36,a7ffcore11e_8591d2d9607675777e,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0109520187495587,0.0109520187495587,0.2688611885105121,0.4205219986343248,0.0001787997559516,sgx_77b35c1d9fde669e31,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),3)),Delta(open_interest_last,8))",open_interest_last;top_long_short_account_ratio_last,True,10.18131799797015
37,a7ffcore11e_c30d25ca3e543dc63a,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0111012999353765,0.0111012999353765,0.2831675976618348,0.3865273175664935,0.0003683850131491,sgx_b630415009a2cc7f67,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,8))",open_interest_last;top_long_short_account_ratio_last,True,10.155690803383859
38,a7ffcore11e_4ee210eb705472cf94,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,2,0.0036408326990531,0.0036408326990531,0.5079571838945104,0.6177739157100803,-9.563566739555449e-05,sgx_929856bfb0ef8a9d67,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,24)),24),Abs(ZScore(Delta(trade_low,24)))),2)),Delta(trade_count,3))",trade_count;trade_low,True,10.056902286192042
39,a7ffcore11e_569efbd1f4836d446c,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0084440108226703,0.0084440108226703,0.3184835519112582,0.3399102720209628,0.0003496879924963,sgx_ee3b2dd79402527e18,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,6))",open_interest_last;top_long_short_account_ratio_last,True,10.031913112630889
40,a7ffcore11e_0e361fe8b6d1b5a25e,liquidity_like,single,seed_field_rank_spread,2,1,2,0.0224931779131641,0.1502685883706677,0.7420515941645321,0.744273380224421,0.046547233759059795,sgx_a3e4694be192086fa7,"Sub(TSRank(Mean(trade_volume,4),2),TSRank(trade_volume,6))",trade_volume,True,10.021268579084289
41,a7ffcore11e_ef8ceadfa18fba4a43,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.008404511403944,0.008404511403944,0.3414533390693502,0.4160163824822057,0.0001628839599181,sgx_dcb4a486a56cd57b0a,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),3)),Delta(open_interest_last,6))",open_interest_last;top_long_short_account_ratio_last,True,9.985183549940178
42,a7ffcore11e_55b15e2549d259e1de,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0105350549269148,0.0105350549269148,0.3702556213989812,0.4952432736068117,0.0001351991382247,sgx_54e46cefebc20cc382,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),4)),Delta(open_interest_last,8))",open_interest_last;top_long_short_account_ratio_last,True,9.970189855740333
43,a7ffcore11e_0479a53abe29d8b423,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0090219914463214,0.0090219914463214,0.3822584485758512,0.5222954591495426,0.0005469824873553,sgx_2e35dc5549853adac0,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,72))",open_interest_last;top_long_short_account_ratio_last,True,9.915922931774725
44,a7ffcore11e_5eeb3173819f50e614,taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,2,1,2,0.0033722267480137,0.1350542481964715,0.6576903608941038,0.7074999376968625,-0.0825795434129924,sgx_802dce27b826cedef7,"Mul(ZScore(Mean(Mul(ZScore(Delta(taker_buy_quote_volume,4)),Delta(Delta(open_interest_last,4),24)),4)),Delta(open_interest_last,4))",open_interest_last;taker_buy_quote_volume,True,9.885704242141223
45,a7ffcore11e_ceecd13760f1f015e9,liquidity_like,single,seed_field_mul_delta,4,2,3,0.0092211516152234,0.0092211516152234,0.4419641157056352,0.5838929958192443,0.0005307988926669134,sgx_6568fc64bfd78f6656,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,48))",trade_volume,False,9.800494800893198
46,a7ffcore11e_72425732c25c5581c6,liquidity_like,single,seed_field_mul_delta,4,2,3,0.0090346962285992,0.0090346962285992,0.4451156559055419,0.5847167195275138,0.0006862119283787018,sgx_c9fbb6c0f757591a3f,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,48))",trade_volume,False,9.7904626127609
47,a7ffcore11e_a4af4b33c8e3583f45,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,3,1,3,0.0082107083838015,0.0082107083838015,0.4440597499155435,0.4521858579080128,0.0001012077978469,sgx_b4155228846868cd49,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),4)),Delta(open_interest_last,6))",open_interest_last;top_long_short_account_ratio_last,True,9.776094667844944
48,a7ffcore11e_128fbfeb466690f7c9,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,2,2,2,0.0056905067339724,0.0384852834512313,0.7829066093318466,0.788207023885984,0.0194819762267835,sgx_f9918771c511f70108,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,4)))),3)),Delta(trade_count,96))",trade_count;trade_high,True,9.703892450360932
49,a7ffcore11e_dbe18bd5192060448c,liquidity_like,single,seed_field_mul_delta,4,2,3,0.0091270917963698,0.0091270917963698,0.4912437102560571,0.5861328001244941,0.0006237251461335144,sgx_909a2e519723397894,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,48))",trade_volume,False,9.70005441541528
50,a7ffcore11e_304ee6a37c57dbed99,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,3,2,2,0.0076662077719243,0.0076662077719243,0.746897751588833,0.773895175026478,0.0003404372946373,sgx_15c637e953892c7d81,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,8)))),3)),Delta(trade_count,96))",trade_count;trade_high,True,9.659528652260821
51,a7ffcore11e_75b2088e35389d3ce8,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,2,2,2,0.0062044693897993,0.0219295991489743,0.7233841757008547,0.7374371851509918,0.0112254875239594,sgx_acfea0bda00315a54b,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),3)),Delta(global_long_short_account_ratio_mean,96))",global_long_short_account_ratio_mean;open_interest_last,True,9.491823631577777
52,a7ffcore11e_1318fb133c8f705c5b,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,1,1,1,0.0040187169081614,0.1998836206762764,0.542672316978854,0.542672316978854,0.1998836206762764,sgx_fb31ef9e8575e5e15b,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),4)),Delta(trade_count,24))",trade_count;trade_high,True,9.412327779567821
53,a7ffcore11e_548540ad19aff09f23,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,2,2,2,0.0067111371926659,0.0067111371926659,0.6274608467778283,0.6482524265445753,0.00031249906472445,sgx_9065047f97f71f4932,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),4)),Delta(trade_count,4))",trade_count;trade_high,True,9.379301050297661
54,a7ffcore11e_3170d54fa686383546,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,2,2,2,0.009576204444802,0.009576204444802,0.6878970825847053,0.6937181831617363,-8.217726816999715e-05,sgx_b8f944a5774e3689f6,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24)))),3)),Delta(trade_count,72))",trade_count;trade_low,True,9.315729923726629
55,a7ffcore11e_3f9b525882214df808,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,1,1,1,0.0037917072237803,0.1767261417752982,0.4515547463001098,0.4515547463001098,0.1767261417752982,sgx_d7b2db241098f05129,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),3)),Delta(trade_count,24))",trade_count;trade_high,True,9.131413342905745
56,a7ffcore11e_54790864840dc185ed,taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,1,1,1,0.0011724546461982,0.1796422842056032,0.7378237403736365,0.7378237403736365,-0.1796422842056032,sgx_d35083fc6fb35b818c,"Mul(ZScore(Mean(Mul(ZScore(Delta(taker_buy_quote_volume,4)),Delta(Delta(open_interest_last,4),24)),4)),Delta(open_interest_last,12))",open_interest_last;taker_buy_quote_volume,True,8.61719820336479
57,a7ffcore11e_1f4cb6abf09e6f74da,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,2,2,1,0.0105511847912051,0.0105511847912051,0.3096208464912698,0.4029472134255112,-0.00019586055542795,sgx_2032f80f21379bf9ef,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,8)))),3)),Delta(trade_count,72))",trade_count;trade_high,True,8.591782002841562
58,a7ffcore11e_5232b14de4a03ae851,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,1,1,1,0.0031964232389223,0.1538369271469759,0.5063077964980324,0.5063077964980324,0.1538369271469759,sgx_7595f02acbf53ba455,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24)))),2)),Delta(trade_count,24))",trade_count;trade_low,True,8.564122949943453
59,a7ffcore11e_49f6cb873f83ad1d4b,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,1,1,1,0.0044698119533878,0.1407455928077668,0.4462298424458287,0.4462298424458287,0.1407455928077668,sgx_f41f9034b3bb73aabf,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_low,24)))),2)),Delta(trade_count,6))",trade_count;trade_low,True,8.422452171263679
60,a7ffcore11e_bd0ecbd08308313888,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,2,2,1,0.0106777549170919,0.0330202104966227,0.6262888182669345,0.7046148642075158,0.01657628252662775,sgx_63108700d5179c2bc3,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),2)),Delta(global_long_short_account_ratio_mean,48))",global_long_short_account_ratio_mean;open_interest_last,True,8.407826573398586
61,a7ffcore11e_af11f81ccebb87b897,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,2,2,1,0.0068189030592555,0.0068189030592555,0.3688054483273865,0.37634248870837744,0.00019804906750145001,sgx_9ff89087511f556904,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),2)),Delta(global_long_short_account_ratio_mean,32))",global_long_short_account_ratio_mean;open_interest_last,True,8.398767164530337
62,a7ffcore11e_51a74f307e719e43d3,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,1,1,1,0.0053276942264116,0.1346970562770363,0.3975990263194894,0.3975990263194894,-0.1346970562770363,sgx_c3298926fd7b2be31d,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),3)),Delta(trade_count,12))",trade_count;trade_high,True,8.398743072901748
63,a7ffcore11e_232dfcce9285c35713,taker_flow_like|basis_premium_like,gated_sign,seed_field_safe_div,1,1,1,0.0077939493150133,0.1398003125233148,0.4488122625849564,0.4488122625849564,-0.1398003125233148,sgx_beced02b8838895a86,"SafeDiv(Delta(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),3),Abs(Delta(mark_index_basis_bps,2)))",mark_index_basis_bps;taker_buy_quote_volume,True,8.398381725296383
64,a7ffcore11e_a01a8daf0ec6df52a7,taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,1,1,1,0.0011754359665193,0.1389732343188548,0.4472970788748746,0.4472970788748746,-0.1389732343188548,sgx_f8d900453faa817b9f,"Mul(ZScore(Mean(Mul(ZScore(Delta(taker_buy_quote_volume,4)),Delta(Delta(open_interest_mean,4),24)),2)),Delta(open_interest_mean,8))",open_interest_mean;taker_buy_quote_volume,True,8.384870528627347
