symbol,rows,contract_unit_multiplier,price_scale_repair_applied,pre_mark_extreme_rows,post_mark_extreme_rows,pre_index_extreme_rows,post_index_extreme_rows,pre_mark_min,pre_mark_max,post_mark_min,post_mark_max,pre_index_min,pre_index_max,post_index_min,post_index_max
CHZUSDT,103,1,False,0,0,0,0,-7.610111895001159,5.517102906462679,-7.610111895001159,5.517102906462679,-11.910250957208879,5.728364080330728,-11.910250957208879,5.728364080330728
COAIUSDT,103,1,False,0,0,0,0,-18.187329493787317,41.8000205221869,-18.187329493787317,41.8000205221869,-18.918854491377644,26.451008223304928,-18.918854491377644,26.451008223304928
COMPUSDT,103,1,False,0,0,0,0,-16.87051876845147,4.508566275924775,-16.87051876845147,4.508566275924775,-16.917418926611916,3.0690052508264287,-16.917418926611916,3.0690052508264287
CRVUSDT,103,1,False,0,0,0,0,-19.67190908279237,21.76621665257228,-19.67190908279237,21.76621665257228,-10.408509842969593,6.982325466085015,-10.408509842969593,6.982325466085015
CVXUSDT,103,1,False,0,0,0,0,-9.558043140913686,29.673070757816333,-9.558043140913686,29.673070757816333,-32.15262786365858,27.04684343927566,-32.15262786365858,27.04684343927566
DASHUSDT,103,1,False,0,0,0,0,-11.829123830043864,4.4976178317623905,-11.829123830043864,4.4976178317623905,-13.594539536276873,4.259548487859366,-13.594539536276873,4.259548487859366
DOGEUSDT,103,1,False,0,0,0,0,-6.482440213422258,3.421414177695592,-6.482440213422258,3.421414177695592,-2.5967882219690708,5.545001122984061,-2.5967882219690708,5.545001122984061
DOODUSDT,103,1,False,0,0,0,0,-24.003097173829204,12.467117232659586,-24.003097173829204,12.467117232659586,-28.093364025641996,15.310226175206942,-28.093364025641996,15.310226175206942
DOTUSDT,103,1,False,0,0,0,0,-23.778636405944464,-0.48433362531352664,-23.778636405944464,-0.48433362531352664,-9.963434901367751,5.453251504001777,-9.963434901367751,5.453251504001777
DYDXUSDT,103,1,False,0,0,0,0,-8.370895041853732,8.8102142228208,-8.370895041853732,8.8102142228208,-9.09405169299049,8.385744498708991,-9.09405169299049,8.385744498708991
EDENUSDT,103,1,False,0,0,0,0,-9.48747406120165,19.0839694656475,-9.48747406120165,19.0839694656475,-28.463040396564665,18.773429333975855,-28.463040396564665,18.773429333975855
EGLDUSDT,103,1,False,0,0,0,0,-13.051565376520635,9.73126687616288,-13.051565376520635,9.73126687616288,-13.307202933841022,8.488873764844751,-13.307202933841022,8.488873764844751
EIGENUSDT,103,1,False,0,0,0,0,-17.016449234260598,5.446623093681158,-17.016449234260598,5.446623093681158,-32.59128709143244,15.188695659291707,-32.59128709143244,15.188695659291707
ENAUSDT,103,1,False,0,0,0,0,-12.222662294847364,3.739366177433201,-12.222662294847364,3.739366177433201,-6.37376105410814,5.531413349404435,-6.37376105410814,5.531413349404435
ENJUSDT,103,1,False,0,0,0,0,-3.535272814296775,19.588638589618235,-3.535272814296775,19.588638589618235,-11.3029542551224,10.56966121528724,-11.3029542551224,10.56966121528724
ENSOUSDT,101,1,False,0,0,0,0,-9.927917730769842,53.769000103403016,-9.927917730769842,53.769000103403016,-37.73600411310585,11.895298244002372,-37.73600411310585,11.895298244002372
ENSUSDT,103,1,False,0,0,0,0,-18.098927424884394,4.846509827240997,-18.098927424884394,4.846509827240997,-9.949805519910981,8.537415419169747,-9.949805519910981,8.537415419169747
ETCUSDT,103,1,False,0,0,0,0,-8.090426529955286,5.113057205621274,-8.090426529955286,5.113057205621274,-5.330163877946825,6.7274926276494895,-5.330163877946825,6.7274926276494895
ETHFIUSDT,103,1,False,0,0,0,0,-9.383476486652942,7.289326594448475,-9.383476486652942,7.289326594448475,-7.638646891894307,16.0712722356271,-7.638646891894307,16.0712722356271
ETHUSDT,103,1,False,0,0,0,0,-2.8365909355254626,5.390670196168124,-2.8365909355254626,5.390670196168124,-1.8560805690237547,5.028245407316945,-1.8560805690237547,5.028245407316945
ETHWUSDT,103,1,False,0,0,0,0,-11.055297803410635,19.05972045743276,-11.055297803410635,19.05972045743276,-17.74263695806244,32.7466760067785,-17.74263695806244,32.7466760067785
FARTCOINUSDT,103,1,False,0,0,0,0,-12.130931499176878,11.617490973234723,-12.130931499176878,11.617490973234723,-14.416499880097744,18.353563346209523,-14.416499880097744,18.353563346209523
FILUSDT,103,1,False,0,0,0,0,-11.486480601708982,12.313982741984919,-11.486480601708982,12.313982741984919,-5.333106316435243,6.39365314236251,-5.333106316435243,6.39365314236251
FLOWUSDT,103,1,False,0,0,0,0,-15.182298811368122,23.24569814268207,-15.182298811368122,23.24569814268207,-19.51625451485861,28.143344838806872,-19.51625451485861,28.143344838806872
FOGOUSDT,103,1,False,0,0,0,0,-19.196323211068123,9.005220258686553,-19.196323211068123,9.005220258686553,-9.566089313535198,2.9102184724183466,-9.566089313535198,2.9102184724183466
FUSDT,103,1,False,0,0,0,0,-2.8350169354951493,23.340010659218535,-2.8350169354951493,23.340010659218535,-13.166372524302528,8.563000361390127,-13.166372524302528,8.563000361390127
GALAUSDT,103,1,False,0,0,0,0,-25.18279936739365,16.479014020669425,-25.18279936739365,16.479014020669425,-16.28717838777827,10.673691283549225,-16.28717838777827,10.673691283549225
GASUSDT,103,1,False,0,0,0,0,-12.09921355111887,9.088155104512996,-12.09921355111887,9.088155104512996,-23.73887240356032,16.288034628306747,-23.73887240356032,16.288034628306747
GIGGLEUSDT,103,1,False,0,0,0,0,-6.974305673883574,18.691588785044733,-6.974305673883574,18.691588785044733,-26.169972095954066,5.9628499525121725,-26.169972095954066,5.9628499525121725
GLMUSDT,103,1,False,0,0,0,0,-12.769903988704145,13.565659986432,-12.769903988704145,13.565659986432,-25.398277870009032,19.003476245653683,-25.398277870009032,19.003476245653683
GMTUSDT,101,1,False,0,0,0,0,-12.1212121212122,9.778460050258175,-12.1212121212122,9.778460050258175,-13.882696650391324,8.435173161038811,-13.882696650391324,8.435173161038811
GMXUSDT,103,1,False,0,0,0,0,-18.91486056775582,0.29371086614160546,-18.91486056775582,0.29371086614160546,-39.51228611643431,25.50428935775617,-39.51228611643431,25.50428935775617
GPSUSDT,103,1,False,0,0,0,0,-38.613377143797976,37.56875584072006,-38.613377143797976,37.56875584072006,-35.09584071225147,5.632356820499673,-35.09584071225147,5.632356820499673
GRASSUSDT,103,1,False,0,0,0,0,-20.57619819345824,113.55228427765596,-20.57619819345824,113.55228427765596,-25.119890385933985,112.68419531927032,-25.119890385933985,112.68419531927032
GRTUSDT,103,1,False,0,0,0,0,-14.476561553533607,4.113533525298418,-14.476561553533607,4.113533525298418,-17.89628281408273,7.056736075170544,-17.89628281408273,7.056736075170544
HBARUSDT,103,1,False,0,0,0,0,-6.029018609988723,3.1554411921597136,-6.029018609988723,3.1554411921597136,-2.407180866061953,2.892558946157031,-2.407180866061953,2.892558946157031
HMSTRUSDT,103,1,False,0,0,0,0,-22.823606129767082,13.029315960912946,-22.823606129767082,13.029315960912946,-19.681290076820623,2.6888948642112,-19.681290076820623,2.6888948642112
HOMEUSDT,103,1,False,0,0,0,0,0.6696318214061137,26.47253474520106,0.6696318214061137,26.47253474520106,-25.84426499460335,8.890131953531721,-25.84426499460335,8.890131953531721
HUMAUSDT,103,1,False,0,0,0,0,-6.380154951410866,22.846690941977776,-6.380154951410866,22.846690941977776,-9.170818800311453,12.450782028905483,-9.170818800311453,12.450782028905483
HUSDT,103,1,False,0,0,0,0,-21.93583767480134,16.1343586142082,-21.93583767480134,16.1343586142082,-25.237979072098014,16.34389751737242,-25.237979072098014,16.34389751737242
HYPEUSDT,103,1,False,0,0,0,0,-11.744880763927545,4.025764895330131,-11.744880763927545,4.025764895330131,-10.720423046196581,7.18951229971676,-10.720423046196581,7.18951229971676
ICXUSDT,103,1,False,0,0,0,0,-26.455026455026733,20.75226977950706,-26.455026455026733,20.75226977950706,-16.585837416976943,20.234083065036046,-16.585837416976943,20.234083065036046
IMXUSDT,103,1,False,0,0,0,0,-18.292682926829286,8.677379622907821,-18.292682926829286,8.677379622907821,-15.400506213285592,10.025895448697586,-15.400506213285592,10.025895448697586
INITUSDT,103,1,False,0,0,0,0,-4.697163152110884,19.469725605187893,-4.697163152110884,19.469725605187893,-32.05485324345836,11.864207141292216,-32.05485324345836,11.864207141292216
INJUSDT,103,1,False,0,0,0,0,-19.99960091028985,0.0,-19.99960091028985,0.0,-9.02781295901045,3.7741837655302923,-9.02781295901045,3.7741837655302923
IOSTUSDT,103,1,False,0,0,0,0,-27.73741909919525,6.910850034553828,-27.73741909919525,6.910850034553828,-25.36245599424558,11.647900604581096,-25.36245599424558,11.647900604581096
IOTAUSDT,103,1,False,0,0,0,0,-19.642857142856407,25.929127052723988,-19.642857142856407,25.929127052723988,-9.186577966053822,9.906391330407605,-9.186577966053822,9.906391330407605
IPUSDT,103,1,False,0,0,0,0,-9.169936545603274,9.759617809474985,-9.169936545603274,9.759617809474985,-7.309251391868221,3.818108487696481,-7.309251391868221,3.818108487696481
JELLYJELLYUSDT,103,1,False,0,0,0,0,-10.114387535090641,10.804495112601842,-10.114387535090641,10.804495112601842,-13.3027434498445,18.485833029180387,-13.3027434498445,18.485833029180387
JTOUSDT,103,1,False,0,0,0,0,-3.4461339607649855,8.995502248874132,-3.4461339607649855,8.995502248874132,-13.895907766251492,13.304693242379706,-13.895907766251492,13.304693242379706
JUPUSDT,103,1,False,0,0,0,0,-21.217570737146474,5.241090146750338,-21.217570737146474,5.241090146750338,-11.34591114339667,5.056939989422915,-11.34591114339667,5.056939989422915
KAITOUSDT,103,1,False,0,0,0,0,-9.750322628456765,10.084200293092316,-9.750322628456765,10.084200293092316,-19.003835493822674,16.219307071441147,-19.003835493822674,16.219307071441147
KGENUSDT,103,1,False,0,0,0,0,-22.7886271965938,18.424880449565695,-22.7886271965938,18.424880449565695,-19.76092060974821,31.938683356418363,-19.76092060974821,31.938683356418363
KITEUSDT,103,1,False,0,0,0,0,-17.848879487009086,5.319807226102924,-17.848879487009086,5.319807226102924,-8.841107613962729,9.07956696520662,-8.841107613962729,9.07956696520662
KMNOUSDT,103,1,False,0,0,0,0,-7.700176730929265,19.83143282102029,-7.700176730929265,19.83143282102029,-17.99727337240986,12.694412755709372,-17.99727337240986,12.694412755709372
KSMUSDT,103,1,False,0,0,0,0,-11.135668028855461,12.674271229404788,-11.135668028855461,12.674271229404788,-13.707392853880007,10.37094049428422,-13.707392853880007,10.37094049428422
LABUSDT,103,1,False,0,0,0,0,-26.013771996938885,25.257532073912348,-26.013771996938885,25.257532073912348,-31.44777944252164,37.331358875802856,-31.44777944252164,37.331358875802856
LAUSDT,103,1,False,0,0,0,0,-8.984387862139842,17.373981751314105,-8.984387862139842,17.373981751314105,-24.50712420595691,22.239626455609063,-24.50712420595691,22.239626455609063
LAYERUSDT,103,1,False,0,0,0,0,-6.175334564300083,16.6409128729339,-6.175334564300083,16.6409128729339,-16.12404480586416,14.739199702373806,-16.12404480586416,14.739199702373806
LIGHTUSDT,103,1,False,0,0,0,0,-16.210654656856338,24.20053390191912,-16.210654656856338,24.20053390191912,-14.70861369854859,51.63888654879045,-14.70861369854859,51.63888654879045
LINEAUSDT,103,1,False,0,0,0,0,-14.506506113456386,13.646288209605562,-14.506506113456386,13.646288209605562,-9.087700478285221,9.955405239543413,-9.087700478285221,9.955405239543413
LINKUSDT,103,1,False,0,0,0,0,-7.4806487122680565,1.3969073473418803,-7.4806487122680565,1.3969073473418803,-3.3494824029833836,5.870359076618481,-3.3494824029833836,5.870359076618481
LITUSDT,103,1,False,0,0,0,0,-33.36445059359261,13.648726562720537,-33.36445059359261,13.648726562720537,-19.037135948608565,15.734288849809097,-19.037135948608565,15.734288849809097
LPTUSDT,103,1,False,0,0,0,0,-10.217968670983568,9.276437847864916,-10.217968670983568,9.276437847864916,-19.040038671341854,7.297303898625707,-19.040038671341854,7.297303898625707
LQTYUSDT,103,1,False,0,0,0,0,-25.43111863890557,14.992503748125774,-25.43111863890557,14.992503748125774,-21.92322503718369,18.55999086423088,-21.92322503718369,18.55999086423088
LTCUSDT,103,1,False,0,0,0,0,-5.4102795311095075,0.8291132421733849,-5.4102795311095075,0.8291132421733849,-3.1341465825185377,0.9058791557214896,-3.1341465825185377,0.9058791557214896
MAGICUSDT,103,1,False,0,0,0,0,-10.454002389486128,7.726781023025264,-10.454002389486128,7.726781023025264,-29.196794582482255,20.49520612557476,-29.196794582482255,20.49520612557476
MANAUSDT,103,1,False,0,0,0,0,-16.611295681064895,7.860752386299463,-16.611295681064895,7.860752386299463,-15.125739541923533,6.802489484178942,-15.125739541923533,6.802489484178942
MASKUSDT,103,1,False,0,0,0,0,-8.663981925719488,10.653409090908283,-8.663981925719488,10.653409090908283,-10.370510040538239,13.77308734859417,-10.370510040538239,13.77308734859417
MEMEUSDT,103,1,False,0,0,0,0,-11.71542175518292,12.57104410488985,-11.71542175518292,12.57104410488985,-7.914871163486881,10.735845403826438,-7.914871163486881,10.735845403826438
MERLUSDT,103,1,False,0,0,0,0,0.0,25.96749976520707,0.0,25.96749976520707,-5.645432151195617,24.339612268955424,-5.645432151195617,24.339612268955424
METISUSDT,102,1,False,0,0,0,0,-13.18734152299994,23.310386453003762,-13.18734152299994,23.310386453003762,-34.3214235829159,26.359385129359758,-34.3214235829159,26.359385129359758
METUSDT,102,1,False,0,0,0,0,-16.22116936739415,6.631299734749518,-16.22116936739415,6.631299734749518,-28.429230237032588,15.826352508476749,-28.429230237032588,15.826352508476749
MEUSDT,102,1,False,0,0,0,0,-13.643809656317396,8.509844607906825,-13.643809656317396,8.509844607906825,-12.009722881538565,7.516181453905979,-12.009722881538565,7.516181453905979
MEWUSDT,102,1,False,0,0,0,0,-14.859354481995268,8.632509013355438,-14.859354481995268,8.632509013355438,-11.151285777043496,8.262755629002694,-11.151285777043496,8.262755629002694
MINAUSDT,102,1,False,0,0,0,0,-18.791664874965306,12.391573729864103,-18.791664874965306,12.391573729864103,-10.259733246934521,9.110814146120472,-10.259733246934521,9.110814146120472
MMTUSDT,102,1,False,0,0,0,0,-19.135093761959432,26.405130139568467,-19.135093761959432,26.405130139568467,-23.977330523867746,17.875480165825408,-23.977330523867746,17.875480165825408
MONUSDT,102,1,False,0,0,0,0,-18.04036110602647,10.921004732435957,-18.04036110602647,10.921004732435957,-16.637885092259943,7.966165158457272,-16.637885092259943,7.966165158457272
MOODENGUSDT,102,1,False,0,0,0,0,-13.21023152231926,23.07200685420341,-13.21023152231926,23.07200685420341,-13.995668862759603,14.543654951788554,-13.995668862759603,14.543654951788554
MORPHOUSDT,102,1,False,0,0,0,0,-23.379060810743148,17.43947476405383,-23.379060810743148,17.43947476405383,-16.798504396057233,16.98440915236965,-16.798504396057233,16.98440915236965
MOVEUSDT,102,1,False,0,0,0,0,-28.50654524192531,8.942901645847545,-28.50654524192531,8.942901645847545,-37.418816790826256,26.8840861539843,-37.418816790826256,26.8840861539843
MUBARAKUSDT,102,1,False,0,0,0,0,-14.958863126401933,20.211416201278976,-14.958863126401933,20.211416201278976,-23.193879916997282,6.822500783270069,-23.193879916997282,6.822500783270069
NEARUSDT,102,1,False,0,0,0,0,-15.256168694770533,5.145451172312576,-15.256168694770533,5.145451172312576,-4.657683927206113,7.8341998433173465,-4.657683927206113,7.8341998433173465
NEIROUSDT,102,1,False,0,0,0,0,-7.958162801273705,7.83348254252525,-7.958162801273705,7.83348254252525,-10.222626079056107,12.200532386867913,-10.222626079056107,12.200532386867913
NEOUSDT,102,1,False,0,0,0,0,-10.74646543356983,5.13962652047395,-10.74646543356983,5.13962652047395,-10.73407960743955,10.416070508785236,-10.73407960743955,10.416070508785236
NIGHTUSDT,102,1,False,0,0,0,0,-6.136851795028875,14.471780028944004,-6.136851795028875,14.471780028944004,-8.217339139825475,5.1368436778131965,-8.217339139825475,5.1368436778131965
NMRUSDT,102,1,False,0,0,0,0,-2.840747684790257,19.821637610730747,-2.840747684790257,19.821637610730747,-19.357876837774455,14.090780409161674,-19.357876837774455,14.090780409161674
NOTUSDT,102,1,False,0,0,0,0,-58.556773653853924,12.784454103809129,-58.556773653853924,12.784454103809129,-56.76011383468848,7.917264585086681,-56.76011383468848,7.917264585086681
ONDOUSDT,102,1,False,0,0,0,0,-8.968693219575385,7.558578987150177,-8.968693219575385,7.558578987150177,-5.959492240068531,5.118853681809199,-5.959492240068531,5.118853681809199
ONEUSDT,102,1,False,0,0,0,0,-22.420561630774884,21.10624640234482,-22.420561630774884,21.10624640234482,-30.150407955235046,25.85914168545811,-30.150407955235046,25.85914168545811
ONTUSDT,102,1,False,0,0,0,0,-16.901408450703535,17.723772192117515,-16.901408450703535,17.723772192117515,-11.902518206099444,12.25708826935401,-11.902518206099444,12.25708826935401
OPUSDT,102,1,False,0,0,0,0,-24.610336341263086,0.0,-24.610336341263086,0.0,-25.742651465898714,8.452117716117868,-25.742651465898714,8.452117716117868
ORDERUSDT,102,1,False,0,0,0,0,-0.3376269768018414,26.4039899362567,-0.3376269768018414,26.4039899362567,-28.164417874115834,32.06668638985999,-28.164417874115834,32.06668638985999
PARTIUSDT,102,1,False,0,0,0,0,-16.320452187456034,9.921922609004152,-16.320452187456034,9.921922609004152,-19.386680766070306,9.60883347979724,-19.386680766070306,9.60883347979724
PENDLEUSDT,102,1,False,0,0,0,0,-23.017528002692302,-2.282583884957168,-23.017528002692302,-2.282583884957168,-22.48802457171406,16.996991172397724,-22.48802457171406,16.996991172397724
PENGUUSDT,102,1,False,0,0,0,0,-14.649856407358275,6.376195536663687,-14.649856407358275,6.376195536663687,-7.309053467617899,5.512005870977887,-7.309053467617899,5.512005870977887
PEOPLEUSDT,102,1,False,0,0,0,0,-15.645371577575062,20.460769439434312,-15.645371577575062,20.460769439434312,-14.257753068472878,11.983108302948686,-14.257753068472878,11.983108302948686
PIEVERSEUSDT,102,1,False,0,0,0,0,-32.88982245907235,6.187198172669106,-32.88982245907235,6.187198172669106,-28.797812605666493,19.26776162024968,-28.797812605666493,19.26776162024968
PIPPINUSDT,102,1,False,0,0,0,0,-24.900219373183987,31.373732070421045,-24.900219373183987,31.373732070421045,-34.639890328785896,40.35280184408574,-34.639890328785896,40.35280184408574
PLUMEUSDT,102,1,False,0,0,0,0,-10.097150315665493,11.254019292603612,-10.097150315665493,11.254019292603612,-21.23004933197281,9.886608147247067,-21.23004933197281,9.886608147247067
PNUTUSDT,102,1,False,0,0,0,0,-11.909016196441913,24.70585261010738,-11.909016196441913,24.70585261010738,-7.470613850396601,18.9758758320413,-7.470613850396601,18.9758758320413
POLUSDT,102,1,False,0,0,0,0,-10.01128025580389,4.237913947118255,-10.01128025580389,4.237913947118255,-4.0280177016516205,15.007988122710536,-4.0280177016516205,15.007988122710536
POPCATUSDT,102,1,False,0,0,0,0,-12.291894467568731,5.1384453073910485,-12.291894467568731,5.1384453073910485,-17.039760714412377,6.927623896237911,-17.039760714412377,6.927623896237911
