cluster_key,family_id,motif,operator,primary_field,partner_field,clue_count,best_quality_score,best_ic,median_control_ratio,best_clean_label_count
F1a_aggtrades_flow_microstructure|large_trade_shock|TSRank|agg_large_notional_ratio_100k_plus|funding_rate,F1a_aggtrades_flow_microstructure,large_trade_shock,TSRank,agg_large_notional_ratio_100k_plus,funding_rate,1,64.97253500201961,0.0146281129784652,0.2980552591653826,6
F1a_aggtrades_flow_microstructure|flow_reversal|Delta|agg_signed_aggressor_notional|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_reversal,Delta,agg_signed_aggressor_notional,premium_index_bps,1,64.95932694264725,0.0089804343537229,0.1877432985450061,6
F1a_aggtrades_flow_microstructure|flow_x_dislocation|Delta|agg_large_notional_ratio_100k_plus|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_dislocation,Delta,agg_large_notional_ratio_100k_plus,funding_rate,1,64.9453601803568,0.0069062730014258,0.1490534239571562,6
F2a_basis_funding_independent|basis_delta_x_funding|WinsorZ|funding_rate|trade_quote_volume,F2a_basis_funding_independent,basis_delta_x_funding,WinsorZ,funding_rate,trade_quote_volume,1,64.79217517819909,0.0123920624503711,0.2894062133676051,6
F2a_basis_funding_independent|H8_H24_dislocation|TSRank|mark_index_basis_bps|trade_volume,F2a_basis_funding_independent,H8_H24_dislocation,TSRank,mark_index_basis_bps,trade_volume,1,64.78701905011306,0.0061634359431955,0.1658649088412983,6
F1b_taker_flow_market_panel|taker_flow_x_basis|WinsorZ|taker_buy_quote_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_basis,WinsorZ,taker_buy_quote_volume,funding_rate,1,64.62702081956057,0.0196400993740138,0.4673978235681605,6
F2a_basis_funding_independent|H8_H24_dislocation|ZScore|premium_close|trade_quote_volume,F2a_basis_funding_independent,H8_H24_dislocation,ZScore,premium_close,trade_quote_volume,1,64.53478326403904,0.0058131080653433,0.2093055084990587,6
F2a_basis_funding_independent|basis_delta_x_funding|ZScore|premium_close_bps|trade_quote_volume,F2a_basis_funding_independent,basis_delta_x_funding,ZScore,premium_close_bps,trade_quote_volume,1,64.53478326403904,0.0058131080653433,0.2093055084990587,6
F1b_taker_flow_market_panel|taker_flow_x_vol|Delta|taker_buy_quote_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_vol,Delta,taker_buy_quote_volume,funding_rate,1,64.52528923784092,0.0158938044620552,0.4128182416729188,6
F1b_taker_flow_market_panel|taker_flow_x_liquidity|Delta|kline_taker_buy_quote_share|premium_close_bps,F1b_taker_flow_market_panel,taker_flow_x_liquidity,Delta,kline_taker_buy_quote_share,premium_close_bps,1,64.34859282488412,0.0053999306507278,0.2382800480377311,6
F1b_taker_flow_market_panel|taker_flow_x_vol|ZScore|trade_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_vol,ZScore,trade_volume,funding_rate,1,64.33916281038098,0.0114871042148976,0.3619095222217551,6
F1b_taker_flow_market_panel|low_turnover_flow_state|ZScore|trade_quote_volume|funding_rate,F1b_taker_flow_market_panel,low_turnover_flow_state,ZScore,trade_quote_volume,funding_rate,1,64.29380275927466,0.0168088121930625,0.4774156920063198,6
F2a_basis_funding_independent|basis_x_flow|WinsorZ|premium_close_bps|kline_taker_buy_quote_share,F2a_basis_funding_independent,basis_x_flow,WinsorZ,premium_close_bps,kline_taker_buy_quote_share,1,64.23842592639004,0.007329527206761,0.2989053588572128,6
F2a_basis_funding_independent|basis_delta_x_funding|WinsorZ|mark_index_basis_bps|taker_buy_quote_volume,F2a_basis_funding_independent,basis_delta_x_funding,WinsorZ,mark_index_basis_bps,taker_buy_quote_volume,1,64.17268877104308,0.0104927789773816,0.3753178253390137,6
F1a_aggtrades_flow_microstructure|flow_reversal|TSRank|agg_large_notional_ratio_100k_plus|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,TSRank,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,1,63.89549144449213,0.0178916286484783,0.5787342840711407,6
F1b_taker_flow_market_panel|taker_flow_x_liquidity|ZScore|trade_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_liquidity,ZScore,trade_volume,funding_rate,1,63.72245891731726,0.0071630237768078,0.3987686920727044,6
F2a_basis_funding_independent|basis_delta_x_funding|TSRank|funding_rate|taker_buy_quote_volume,F2a_basis_funding_independent,basis_delta_x_funding,TSRank,funding_rate,taker_buy_quote_volume,1,63.655141262483156,0.010227589219211,0.4735235318875898,6
F2a_basis_funding_independent|basis_delta_x_funding|ZScore|funding_rate|kline_taker_buy_quote_share,F2a_basis_funding_independent,basis_delta_x_funding,ZScore,funding_rate,kline_taker_buy_quote_share,1,63.377075577438056,0.0091605629874137,0.5077961442606621,6
F2a_basis_funding_independent|H8_H24_dislocation|WinsorZ|funding_rate|taker_buy_quote_volume,F2a_basis_funding_independent,H8_H24_dislocation,WinsorZ,funding_rate,taker_buy_quote_volume,1,63.32491325142612,0.0142949055360251,0.6209154604352785,6
F1a_aggtrades_flow_microstructure|flow_x_dislocation|ZScore|agg_signed_aggressor_notional|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,ZScore,agg_signed_aggressor_notional,premium_index_bps,1,63.306404403173374,0.0093036505200669,0.5247921297666631,6
F2a_basis_funding_independent|funding_persistence_low_turnover|WinsorZ|premium_close|trade_volume,F2a_basis_funding_independent,funding_persistence_low_turnover,WinsorZ,premium_close,trade_volume,1,63.18562090769413,0.0092088290678994,0.5470523998191622,6
F2a_basis_funding_independent|basis_x_flow|ZScore|premium_close|taker_buy_quote_volume,F2a_basis_funding_independent,basis_x_flow,ZScore,premium_close,taker_buy_quote_volume,1,63.063300170525785,0.0071372453057594,0.5300848720100302,6
F2a_basis_funding_independent|funding_persistence_low_turnover|ZScore|premium_close_bps|taker_buy_quote_volume,F2a_basis_funding_independent,funding_persistence_low_turnover,ZScore,premium_close_bps,taker_buy_quote_volume,1,63.063300170525785,0.0071372453057594,0.5300848720100302,6
F2a_basis_funding_independent|funding_persistence_low_turnover|Delta|premium_close|trade_quote_volume,F2a_basis_funding_independent,funding_persistence_low_turnover,Delta,premium_close,trade_quote_volume,1,62.259065641945334,0.0078023503647239,0.7042338789054113,6
F1b_taker_flow_market_panel|taker_flow_x_basis|WinsorZ|kline_taker_buy_quote_share|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_basis,WinsorZ,kline_taker_buy_quote_share,funding_rate,1,62.21837117660286,0.0119985166704039,0.7962960980875067,6
F1a_aggtrades_flow_microstructure|flow_x_dislocation|SpreadShortLong|agg_volume_imbalance|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,SpreadShortLong,agg_volume_imbalance,mark_index_basis_bps,1,38.198694233115376,0.0325971453375651,0.0122040601282271,3
F1b_taker_flow_market_panel|taker_flow_x_vol|WinsorZ|trade_volume|trade_quote_volume,F1b_taker_flow_market_panel,taker_flow_x_vol,WinsorZ,trade_volume,trade_quote_volume,1,37.72946931118337,0.0406460059130801,0.2670262560249273,3
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|TSRank|agg_max_trade_notional|agg_price_range_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,TSRank,agg_max_trade_notional,agg_price_range_bps,1,36.34884647457699,0.018649071134371,0.1032121277720217,3
F2a_basis_funding_independent|basis_x_flow|Delta|funding_rate|trade_quote_volume,F2a_basis_funding_independent,basis_x_flow,Delta,funding_rate,trade_quote_volume,1,36.23210698679893,0.0164739008648513,0.0830566199372403,3
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|SpreadShortLong|agg_signed_aggressor_notional|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,SpreadShortLong,agg_signed_aggressor_notional,funding_rate,1,36.113946437028844,0.0203298787769313,0.1838082881328575,3
F1a_aggtrades_flow_microstructure|flow_reversal|ZScore|agg_max_trade_notional|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_reversal,ZScore,agg_max_trade_notional,premium_index_bps,1,35.59622589362909,0.0241652323667673,0.3640594686095285,3
F1b_taker_flow_market_panel|taker_flow_x_basis|ZScore|trade_volume|mark_index_basis_bps,F1b_taker_flow_market_panel,taker_flow_x_basis,ZScore,trade_volume,mark_index_basis_bps,1,35.49701230264732,0.0119225667950964,0.1390488753724641,3
F1a_aggtrades_flow_microstructure|flow_x_dislocation|ZScore|agg_large_notional_ratio_100k_plus|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,ZScore,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,1,35.47482170182205,0.0191829437152391,0.2886945339403713,3
F1a_aggtrades_flow_microstructure|flow_reversal|WinsorZ|agg_volume_imbalance|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,WinsorZ,agg_volume_imbalance,mark_index_basis_bps,1,35.42893718515758,0.0227032557073595,0.3682776771156734,3
F1a_aggtrades_flow_microstructure|flow_x_dislocation|Delta|agg_volume_imbalance|funding_rate,F1a_aggtrades_flow_microstructure,flow_x_dislocation,Delta,agg_volume_imbalance,funding_rate,1,35.26681154862157,0.0154940322170279,0.2565183346162443,3
F1a_aggtrades_flow_microstructure|large_trade_shock|WinsorZ|agg_large_notional_ratio_100k_plus|agg_price_range_bps,F1a_aggtrades_flow_microstructure,large_trade_shock,WinsorZ,agg_large_notional_ratio_100k_plus,agg_price_range_bps,1,35.15765686231078,0.0163757851679136,0.2959843308961164,3
F1a_aggtrades_flow_microstructure|flow_x_dislocation|TSRank|agg_max_trade_notional|agg_price_range_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,TSRank,agg_max_trade_notional,agg_price_range_bps,1,35.13710113785236,0.0257506769759298,0.4875933119481236,3
F1a_aggtrades_flow_microstructure|flow_x_dislocation|WinsorZ|agg_large_notional_ratio_100k_plus|agg_price_range_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,WinsorZ,agg_large_notional_ratio_100k_plus,agg_price_range_bps,1,35.09399834194532,0.0081383561327414,0.1439674542657635,3
F1a_aggtrades_flow_microstructure|flow_x_dislocation|ZScore|agg_max_trade_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,ZScore,agg_max_trade_notional,mark_index_basis_bps,1,34.75864906535911,0.0206317167104866,0.4609045211379096,3
F2a_basis_funding_independent|basis_x_flow|TSRank|funding_rate|trade_quote_volume,F2a_basis_funding_independent,basis_x_flow,TSRank,funding_rate,trade_quote_volume,1,34.705994005477706,0.0053807177247862,0.1664155534001827,3
F1b_taker_flow_market_panel|taker_flow_x_vol|Delta|trade_quote_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_vol,Delta,trade_quote_volume,funding_rate,1,34.534059547612344,0.010252089095321,0.2982298723839521,3
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|SpreadShortLong|agg_large_notional_ratio_100k_plus|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,SpreadShortLong,agg_large_notional_ratio_100k_plus,premium_index_bps,1,34.50497240400167,0.021145428532373,0.5219140898471268,3
