cell_id,candidate_decision,count
C0306,NEGATIVE_CONTROL,3
C0307,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0307,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0307,A7O_PILOT_REJECTED,1
C0308,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0309,A7O_PILOT_RESEARCH_CANDIDATE,3
C0310,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0311,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0312,NEGATIVE_CONTROL,3
C0314,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0316,A7O_PILOT_MAY_VETOED_NEAR_MISS,5
C0317,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0318,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0319,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0319,A7O_PILOT_REJECTED,2
