candidate_id,interval,horizon,motif_family,priority,expression,source_features,feature_families,availability_mask,decision
crypto_a1_1h_1_price_basis_confirmation_e46bae96309e,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_6),Rank(premium_index))","[""ret_6"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_basis_confirmation_bdae62c87774,1h,1,price_basis_confirmation,medium,"Mul(Rank(ret_6),Rank(mark_minus_index))","[""ret_6"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_1281e210fe56,1h,1,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(latest_known_funding_rate))","[""ret_3"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_454007b64299,1h,1,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(funding_rate_persistence_3))","[""ret_3"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_15ee2a8dd6cf,1h,1,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))","[""ret_24"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_8527c10ad952,1h,1,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))","[""ret_24"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_3410f1bc0853,1h,1,price_funding_state,medium,"Mul(Rank(ret_6),ZScore(latest_known_funding_rate))","[""ret_6"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_price_funding_state_23dc0eed885a,1h,1,price_funding_state,medium,"Mul(Rank(ret_6),ZScore(funding_rate_persistence_3))","[""ret_6"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_funding_state_abcb8cc3fd10,1h,1,basis_funding_state,medium,"Mul(Rank(premium_index),ZScore(latest_known_funding_rate))","[""premium_index"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_funding_state_22dbf13869c1,1h,1,basis_funding_state,medium,"Mul(Rank(premium_index),ZScore(funding_rate_persistence_3))","[""premium_index"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_funding_state_34d2888cadd0,1h,1,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(latest_known_funding_rate))","[""mark_minus_index"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_basis_funding_state_bcb9a54219dd,1h,1,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))","[""mark_minus_index"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_volatility_state_95bc2d17ca8e,1h,1,momentum_volatility_state,low,"Mul(Rank(ret_3),ZScore(realized_vol_6))","[""ret_3"", ""realized_vol_6""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_volatility_state_a7e28ba60f6c,1h,1,momentum_volatility_state,low,"Mul(Rank(ret_3),ZScore(realized_vol_12))","[""ret_3"", ""realized_vol_12""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_volatility_state_cf6bee74a8a0,1h,1,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_6))","[""ret_24"", ""realized_vol_6""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_volatility_state_e668b5eab14d,1h,1,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_12))","[""ret_24"", ""realized_vol_12""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_liquidity_state_958787c30f6b,1h,1,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_3),ZScore(avg_trade_size_quote))","[""ret_3"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_1_momentum_liquidity_state_d2c9c91e3857,1h,1,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_24),ZScore(avg_trade_size_quote))","[""ret_24"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_momentum_continuation_c05eb1ea9459,1h,3,price_momentum_continuation,medium,Rank(ret_24),"[""ret_24""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_momentum_continuation_93f1dc10428c,1h,3,price_momentum_continuation,medium,Rank(ret_3),"[""ret_3""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_momentum_continuation_00ef00d483ba,1h,3,price_momentum_continuation,medium,Rank(ret_12),"[""ret_12""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_momentum_continuation_21296a630ab9,1h,3,price_momentum_continuation,medium,Rank(ret_1),"[""ret_1""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_premium_continuation_35b73d88973f,1h,3,basis_premium_continuation,medium,Rank(mark_minus_index),"[""mark_minus_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_premium_continuation_50c98990a977,1h,3,basis_premium_continuation,medium,Rank(mark_index_ratio),"[""mark_index_ratio""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_premium_continuation_17cf62513d37,1h,3,basis_premium_continuation,medium,Rank(premium_index),"[""premium_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_74b849f0c9c9,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_minus_index))","[""ret_24"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_38918c5ce65c,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_index_ratio))","[""ret_24"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_a97873f83b4a,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(mark_minus_index))","[""ret_3"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_86ebbc21172b,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(mark_index_ratio))","[""ret_3"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_e214c9f23d7a,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_12),Rank(mark_minus_index))","[""ret_12"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_basis_confirmation_e7abe58d387b,1h,3,price_basis_confirmation,medium,"Mul(Rank(ret_12),Rank(mark_index_ratio))","[""ret_12"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_d00f0ac71fa4,1h,3,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))","[""ret_24"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_5ef9d34d8240,1h,3,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))","[""ret_24"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_cb04ff909481,1h,3,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(latest_known_funding_rate))","[""ret_3"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_16ae17acb8d0,1h,3,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(funding_rate_persistence_3))","[""ret_3"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_8a876a361e3a,1h,3,price_funding_state,medium,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))","[""ret_12"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_price_funding_state_54ab1649533d,1h,3,price_funding_state,medium,"Mul(Rank(ret_12),ZScore(funding_rate_persistence_3))","[""ret_12"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_funding_state_6f31eb328f68,1h,3,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(latest_known_funding_rate))","[""mark_minus_index"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_funding_state_80a801adcdf7,1h,3,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))","[""mark_minus_index"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_funding_state_81bd0d894999,1h,3,basis_funding_state,medium,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))","[""mark_index_ratio"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_basis_funding_state_31416b6f7871,1h,3,basis_funding_state,medium,"Mul(Rank(mark_index_ratio),ZScore(funding_rate_persistence_3))","[""mark_index_ratio"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_volatility_state_9b5f05629619,1h,3,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_12))","[""ret_24"", ""realized_vol_12""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_volatility_state_de8827677208,1h,3,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_24))","[""ret_24"", ""realized_vol_24""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_volatility_state_3feadf1c32b8,1h,3,momentum_volatility_state,low,"Mul(Rank(ret_3),ZScore(realized_vol_12))","[""ret_3"", ""realized_vol_12""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_volatility_state_671d05e7b5d7,1h,3,momentum_volatility_state,low,"Mul(Rank(ret_3),ZScore(realized_vol_24))","[""ret_3"", ""realized_vol_24""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_liquidity_state_a18f64638380,1h,3,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_24),ZScore(avg_trade_size_quote))","[""ret_24"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_liquidity_state_880c2eb47da3,1h,3,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_3),ZScore(avg_trade_size_quote))","[""ret_3"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_taker_flow_diagnostic_3b22200e56a6,1h,3,momentum_taker_flow_diagnostic,diagnostic,"Mul(Rank(ret_24),ZScore(taker_buy_ratio))","[""ret_24"", ""taker_buy_ratio""]","[""price"", ""taker_flow""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_3_momentum_taker_flow_diagnostic_87e3efa146b4,1h,3,momentum_taker_flow_diagnostic,diagnostic,"Mul(Rank(ret_3),ZScore(taker_buy_ratio))","[""ret_3"", ""taker_buy_ratio""]","[""price"", ""taker_flow""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_momentum_continuation_2cc2f7849078,1h,6,price_momentum_continuation,medium,Rank(ret_24),"[""ret_24""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_momentum_continuation_2686f818bffc,1h,6,price_momentum_continuation,medium,Rank(ret_12),"[""ret_12""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_momentum_continuation_7580f8ad7eaa,1h,6,price_momentum_continuation,medium,Rank(hl_range),"[""hl_range""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_momentum_continuation_7daf51e74321,1h,6,price_momentum_continuation,medium,Rank(ret_1),"[""ret_1""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_premium_continuation_ba15d433b3af,1h,6,basis_premium_continuation,medium,Rank(mark_index_ratio),"[""mark_index_ratio""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_premium_continuation_1f90c0032da7,1h,6,basis_premium_continuation,medium,Rank(mark_minus_index),"[""mark_minus_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_premium_continuation_b9a00eaaff29,1h,6,basis_premium_continuation,medium,Rank(premium_index),"[""premium_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_5ff93c391fe0,1h,6,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_index_ratio))","[""ret_24"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_b6a7f930c89b,1h,6,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_minus_index))","[""ret_24"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_fac6cde83bb1,1h,6,price_basis_confirmation,medium,"Mul(Rank(ret_12),Rank(mark_index_ratio))","[""ret_12"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_c1c9e5368605,1h,6,price_basis_confirmation,medium,"Mul(Rank(ret_12),Rank(mark_minus_index))","[""ret_12"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_e425c352d0e0,1h,6,price_basis_confirmation,medium,"Mul(Rank(hl_range),Rank(mark_index_ratio))","[""hl_range"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_basis_confirmation_4f4039129e74,1h,6,price_basis_confirmation,medium,"Mul(Rank(hl_range),Rank(mark_minus_index))","[""hl_range"", ""mark_minus_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_6108cc3017ea,1h,6,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))","[""ret_24"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_5654e7f99c44,1h,6,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))","[""ret_24"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_9a00b8ca89fa,1h,6,price_funding_state,medium,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))","[""ret_12"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_de2cab5e2f2b,1h,6,price_funding_state,medium,"Mul(Rank(ret_12),ZScore(funding_rate_persistence_3))","[""ret_12"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_c8009f9961e8,1h,6,price_funding_state,medium,"Mul(Rank(hl_range),ZScore(latest_known_funding_rate))","[""hl_range"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_price_funding_state_eb768fc8185e,1h,6,price_funding_state,medium,"Mul(Rank(hl_range),ZScore(funding_rate_persistence_3))","[""hl_range"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_funding_state_1713bf7671e4,1h,6,basis_funding_state,medium,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))","[""mark_index_ratio"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_funding_state_d529e4332c94,1h,6,basis_funding_state,medium,"Mul(Rank(mark_index_ratio),ZScore(funding_rate_persistence_3))","[""mark_index_ratio"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_funding_state_c76816e530ca,1h,6,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(latest_known_funding_rate))","[""mark_minus_index"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_basis_funding_state_aa00f3501663,1h,6,basis_funding_state,medium,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))","[""mark_minus_index"", ""funding_rate_persistence_3""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_volatility_state_231c7bb6b71b,1h,6,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_24))","[""ret_24"", ""realized_vol_24""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_volatility_state_b3a0691eafb7,1h,6,momentum_volatility_state,low,"Mul(Rank(ret_24),ZScore(realized_vol_6))","[""ret_24"", ""realized_vol_6""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_volatility_state_092a5f3ff39d,1h,6,momentum_volatility_state,low,"Mul(Rank(ret_12),ZScore(realized_vol_24))","[""ret_12"", ""realized_vol_24""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_volatility_state_45e571dff51d,1h,6,momentum_volatility_state,low,"Mul(Rank(ret_12),ZScore(realized_vol_6))","[""ret_12"", ""realized_vol_6""]","[""price"", ""volatility""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_liquidity_state_67cddcbb35df,1h,6,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_24),ZScore(avg_trade_size_quote))","[""ret_24"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_liquidity_state_41d14a80434c,1h,6,momentum_liquidity_state,diagnostic,"Mul(Rank(ret_12),ZScore(avg_trade_size_quote))","[""ret_12"", ""avg_trade_size_quote""]","[""liquidity"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_taker_flow_diagnostic_e778bf43034a,1h,6,momentum_taker_flow_diagnostic,diagnostic,"Mul(Rank(ret_24),ZScore(taker_buy_ratio))","[""ret_24"", ""taker_buy_ratio""]","[""price"", ""taker_flow""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_6_momentum_taker_flow_diagnostic_46f1287e5534,1h,6,momentum_taker_flow_diagnostic,diagnostic,"Mul(Rank(ret_12),ZScore(taker_buy_ratio))","[""ret_12"", ""taker_buy_ratio""]","[""price"", ""taker_flow""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_momentum_continuation_b1bbef70a917,1h,12,price_momentum_continuation,medium,Rank(ret_24),"[""ret_24""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_momentum_continuation_221f03fc48c4,1h,12,price_momentum_continuation,medium,Rank(hl_range),"[""hl_range""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_momentum_continuation_c4875d2a2f45,1h,12,price_momentum_continuation,medium,Rank(ret_3),"[""ret_3""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_momentum_continuation_a17e33e61990,1h,12,price_momentum_continuation,medium,Rank(abs_ret_1),"[""abs_ret_1""]","[""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_basis_premium_continuation_30d4777ce92b,1h,12,basis_premium_continuation,medium,Rank(mark_index_ratio),"[""mark_index_ratio""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_basis_premium_continuation_79662122add0,1h,12,basis_premium_continuation,medium,Rank(premium_index),"[""premium_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_basis_premium_continuation_0249840a0ac4,1h,12,basis_premium_continuation,medium,Rank(mark_minus_index),"[""mark_minus_index""]","[""basis""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_a8a1e24559bf,1h,12,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(mark_index_ratio))","[""ret_24"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_d8d8183e1cbb,1h,12,price_basis_confirmation,medium,"Mul(Rank(ret_24),Rank(premium_index))","[""ret_24"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_2ba5ad03263d,1h,12,price_basis_confirmation,medium,"Mul(Rank(hl_range),Rank(mark_index_ratio))","[""hl_range"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_569ea84b96cf,1h,12,price_basis_confirmation,medium,"Mul(Rank(hl_range),Rank(premium_index))","[""hl_range"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_88f5d8c0b510,1h,12,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(mark_index_ratio))","[""ret_3"", ""mark_index_ratio""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_basis_confirmation_2a01f62340a6,1h,12,price_basis_confirmation,medium,"Mul(Rank(ret_3),Rank(premium_index))","[""ret_3"", ""premium_index""]","[""basis"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_830c611c5c9c,1h,12,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(latest_known_funding_rate))","[""ret_24"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_d3a92fcdcb6c,1h,12,price_funding_state,medium,"Mul(Rank(ret_24),ZScore(funding_rate_persistence_3))","[""ret_24"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_07c3e440d74b,1h,12,price_funding_state,medium,"Mul(Rank(hl_range),ZScore(latest_known_funding_rate))","[""hl_range"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_076b6d10ef3a,1h,12,price_funding_state,medium,"Mul(Rank(hl_range),ZScore(funding_rate_persistence_3))","[""hl_range"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_587d316e0cde,1h,12,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(latest_known_funding_rate))","[""ret_3"", ""latest_known_funding_rate""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_price_funding_state_11cc6b0d747a,1h,12,price_funding_state,medium,"Mul(Rank(ret_3),ZScore(funding_rate_persistence_3))","[""ret_3"", ""funding_rate_persistence_3""]","[""funding"", ""price""]",core12,A1_DRY_RUN_CANDIDATE
crypto_a1_1h_12_basis_funding_state_ff70353aad8e,1h,12,basis_funding_state,medium,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))","[""mark_index_ratio"", ""latest_known_funding_rate""]","[""basis"", ""funding""]",core12,A1_DRY_RUN_CANDIDATE
