cell_id,generated,unique_expr,simplified_unique,unique_expr_ratio,simplified_unique_ratio,zero_activity_predicted,zero_activity_predicted_share,unsupported_operator_count,may_dependency_count,liquidity_volatility_motif_share,feature_family_combo_count,operator_motif_count,horizon_class_count,engine_mix_count
C0120,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0121,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0122,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0123,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0124,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0125,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0126,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0127,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0128,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0129,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0130,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0131,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0132,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0133,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0134,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0135,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0136,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0137,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0138,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0139,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0140,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0141,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0142,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0143,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0144,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0145,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0146,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0147,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0148,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0149,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0150,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0151,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0152,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0153,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0154,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0155,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0156,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0157,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0158,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0159,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0160,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0161,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0162,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0163,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0164,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0165,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0166,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0167,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0168,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0169,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0170,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0171,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0172,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0173,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0174,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0175,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0176,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0177,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0178,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0179,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0180,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0181,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0182,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0183,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0184,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0185,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0186,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0187,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0188,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0189,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0190,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0191,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0192,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0193,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0194,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0195,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0196,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0197,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0198,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0199,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0200,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0201,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0202,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0203,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0204,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0205,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0206,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0207,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0208,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0209,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0210,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0211,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0212,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0213,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0214,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0215,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0216,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0217,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0218,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0219,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0220,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0221,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0222,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0223,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0224,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0225,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0226,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0227,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0228,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0229,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0230,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0231,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0232,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0233,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0234,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0235,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0236,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0237,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0238,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0239,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0240,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0241,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0242,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0243,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0244,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0245,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0246,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0247,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0248,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0249,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0250,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0251,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0252,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0253,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0254,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0255,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0256,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0257,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0258,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0259,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0260,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0261,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0262,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0263,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0264,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0265,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0266,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0267,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0268,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0269,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0270,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0271,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0272,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0273,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0274,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0275,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0276,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0277,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0278,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0279,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0280,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0281,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0282,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0283,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0284,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0285,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0286,512,512,512,1.0,1.0,0,0.0,0,0,0.0,5,1,1,7
C0287,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0288,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0289,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0290,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0291,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0292,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0293,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0294,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0295,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0296,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0297,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0298,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0299,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0300,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0301,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0302,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0303,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0304,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0305,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0306,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0307,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0308,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0309,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0310,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0311,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0312,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0313,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0314,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0315,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0316,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0317,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0318,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0319,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0320,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0321,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0322,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0323,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0324,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0325,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0326,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0327,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0328,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0329,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0330,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0331,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0332,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0333,512,512,512,1.0,1.0,0,0.0,0,0,0.201171875,5,1,1,7
C0334,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0335,512,512,512,1.0,1.0,0,0.0,0,0,1.0,1,1,1,7
C0336,512,512,512,1.0,1.0,0,0.0,0,0,0.0,3,1,1,7
C0337,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0338,512,512,512,1.0,1.0,0,0.0,0,0,0.06640625,19,1,1,7
C0339,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
C0340,512,512,512,1.0,1.0,0,0.0,0,0,0.0,1,1,1,7
