base_field,semantic_type,seed_route,transform_name,formula_count,materialization_count,company_wave_count,levels,motifs,semantic_pairs,side
premium_high,basis_premium_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_high,basis_premium_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_high,basis_premium_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_high,basis_premium_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_high,basis_premium_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_12h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_low,basis_premium_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_12h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_1h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_24h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_2h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_4h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
premium_open,basis_premium_like,modifier_only_seed,zmean_8h,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,basis_premium_like|positioning_like,secondary
source_metrics,generic_numeric,modifier_only_seed,level,8,0,0,L4_factor_candidate_probe,gated_sign;mul;safe_div_abs;smooth_mul;spread_rank;sub,basis_premium_like|generic_numeric,secondary
source_trade_klines,generic_numeric,modifier_only_seed,level,8,0,0,L4_factor_candidate_probe,gated_sign;mul;safe_div_abs;smooth_mul;spread_rank;sub,basis_premium_like|generic_numeric,secondary
taker_buy_quote_volume,liquidity_like,modifier_only_seed,level,8,0,0,L4_factor_candidate_probe,mean_reversion_gate;signed_spread;smooth_mul;spread_rank,liquidity_like|volatility_like,primary
