interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,probe_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Mul_mark_index_basis_bps_zscore_168h,L0_raw_forward_return,24,1.0,0,False,5.510442555347393,-0.0016870590284706263,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,673,0.0003136271252418037,0.4668965289652198,0.23937032862438168,-1.875098500151838,0.512630014858841,696,-0.0011377387711576019,-2.3626432701922706,-0.4488611215501268,-3.4060541691694843,0.46839080459770116,696,-0.0012685926523487885,-1.8191872839216392,-0.3919401799955752,-2.1294172906061446,0.45977011494252873,696,-0.001626864421460889,-1.8890138514150987,-0.3486707079574237,-2.1148335579944937,0.4885057471264368,92.8,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Mul_mark_index_basis_bps_zscore_168h,L1_cross_sectional_relative_return,24,1.0,0,False,5.510442555347395,-0.0016870590284706265,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,673,0.0003136271252418043,0.4668965289652207,0.23937032862438165,-1.875098500151838,0.512630014858841,696,-0.0011377387711576017,-2.36264327019227,-0.4488611215501265,-3.4060541691694866,0.46839080459770116,696,-0.0012685926523487885,-1.8191872839216396,-0.391940179995575,-2.1294172906061446,0.45977011494252873,696,-0.0016268644214608885,-1.8890138514150987,-0.348670707957424,-2.1148335579944937,0.4885057471264368,92.8,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Mul_mark_index_basis_bps_zscore_168h,L3_liquidity_tier_relative_return,24,1.0,0,False,5.05394248977754,-0.001715298158844703,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,673,0.0003944297286186193,0.6311933641882971,0.3725100141338369,-1.8398458491162135,0.5141158989598811,696,-0.0010507138674190895,-2.2380178631814425,-0.47716469234320336,-2.650366787504608,0.47988505747126436,696,-0.0017291083590585488,-2.570195188430175,-0.4851846719410555,-2.445010140371247,0.4511494252873563,696,-0.0017592398446728966,-2.0665518921264048,-0.49645439306333583,-2.256866129055207,0.47844827586206895,92.8,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Mul_mark_index_basis_bps_zscore_168h,L5_vol_adjusted_return,24,1.0,1,False,21.699273149261103,0.06741849081219521,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,673,0.04416059091947005,1.049492360783998,0.310995306907182,-1.8877535546171023,0.5260029717682021,696,-0.14032590833126818,-2.882929992955502,-0.4974185936362591,-3.8396797388346995,0.4698275862068966,696,-0.20051948720068963,-2.6744567752476653,-0.581549308928856,-2.3399189918774104,0.45689655172413796,696,0.045017258121737104,0.530049504732907,-0.029493076833623105,-1.5975870213822947,0.5158045977011494,92.8,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L0_raw_forward_return,1,1.0,3,True,0.6533558714535477,0.0005932847057576487,True,True,False,A7FFCORE16GE_INTERACTION_PROBE_LAG_OK,696,0.0006266306383943696,3.570959796238021,3.570959796238021,3.570959796238021,0.5603448275862069,719,0.00038054223664948505,3.454555257221729,3.454555257221729,3.454555257221729,0.6119610570236439,719,0.0007157850072761644,4.965626794684164,4.965626794684164,4.965626794684164,0.6036161335187761,719,0.0011670633489089142,4.967523928413113,4.967523928413113,4.967523928413113,0.6119610570236439,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L1_cross_sectional_relative_return,1,1.0,3,True,0.6533558714535475,0.0005932847057576487,True,True,False,A7FFCORE16GE_INTERACTION_PROBE_LAG_OK,696,0.0006266306383943696,3.570959796238021,3.570959796238021,3.570959796238021,0.5603448275862069,719,0.00038054223664948505,3.454555257221729,3.454555257221729,3.454555257221729,0.6119610570236439,719,0.0007157850072761646,4.965626794684166,4.965626794684166,4.965626794684166,0.6036161335187761,719,0.001167063348908914,4.967523928413113,4.967523928413113,4.967523928413113,0.6119610570236439,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L3_liquidity_tier_relative_return,1,1.0,3,True,0.6157629272688451,0.0005530556444114925,True,True,False,A7FFCORE16GE_INTERACTION_PROBE_LAG_OK,696,0.0006401461767952238,3.8810879573612613,3.8810879573612613,3.8810879573612613,0.5617816091954023,719,0.0003713181254137969,3.5664140298578517,3.5664140298578517,3.5664140298578517,0.6147426981919333,719,0.0007171180994969869,5.093548083784757,5.093548083784757,5.093548083784757,0.6133518776077886,719,0.0011753283414340536,5.076854549708323,5.076854549708323,5.076854549708323,0.6022253129346314,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L5_vol_adjusted_return,1,1.0,3,True,0.636833456133982,0.044841299128124165,True,True,False,A7FFCORE16GE_INTERACTION_PROBE_LAG_OK,696,0.043401529690002716,4.07633131514324,4.07633131514324,4.07633131514324,0.5847701149425287,719,0.05310670934983296,4.679406945127979,4.679406945127979,4.679406945127979,0.6175243393602226,719,0.0796638335204113,5.8394364518880675,5.8394364518880675,5.8394364518880675,0.627260083449235,719,0.12265229682856994,6.627226329881808,6.627226329881808,6.627226329881808,0.6216968011126565,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L0_raw_forward_return,4,1.0,2,False,3.8010186688224823,0.001646255865970884,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,693,0.0012847720026920475,3.8454450288438244,1.8447668193735711,1.072294499109268,0.5598845598845599,716,-0.00015729164631325714,-0.6142853492608533,-0.21623718322327345,-1.2970875229883718,0.5460893854748603,716,0.0005965561838177076,2.109082118294559,1.0793201676277762,0.6833852658809335,0.5642458100558659,716,0.002541978735637747,6.143347423922841,3.163851648922779,1.7380629469685707,0.6145251396648045,95.46666666666667,
I3_positioning_divergence_x_price_or_basis,top_long_short_account_ratio_last,positioning,mark_index_basis_bps,basis_premium,zscore_168h,Sub,core16ge_I3_positioning_divergence_x_price_or_basis_top_long_short_account_ratio_last_Sub_mark_index_basis_bps_zscore_168h,L1_cross_sectional_relative_return,4,1.0,2,False,3.801018668822479,0.001646255865970884,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,693,0.0012847720026920475,3.8454450288438244,1.8447668193735711,1.0722944991092678,0.5598845598845599,716,-0.00015729164631325728,-0.6142853492608539,-0.21623718322327368,-1.2970875229883718,0.5460893854748603,716,0.0005965561838177076,2.109082118294559,1.0793201676277766,0.6833852658809333,0.5642458100558659,716,0.0025419787356377476,6.143347423922843,3.163851648922779,1.7380629469685707,0.6145251396648045,95.46666666666667,
