authorizes_alpha_proof,authorizes_bounded_reward_smoke,authorizes_full_reward_wave,authorizes_shadow_paper_live,candidate_cap,decision,eval_error_rows,generated_at,hours_per_split,metric_rows,near_miss_rows,output_selected_queue,proxy_control_variants,proxy_horizons,queue,queue_rows,reward_rows,runtime,selected_motif_count,selected_rows,selected_semantic_pair_count,selected_unique_blueprints,stage,strict_pass_rows,proxy_shard_id,source_file
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T04:35:35Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s010\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s010.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s010\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s010,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s010\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T04:35:44Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s011\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s011.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s011\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s011,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s011\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T04:34:42Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s012\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s012.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s012\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s012,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s012\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T04:35:03Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s013\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s013.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s013\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s013,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s013\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T04:35:07Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s014\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s014.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s014\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s014,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s014\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T07:28:54Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s015\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s015.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s015\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s015,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s015\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T07:28:36Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s016\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s016.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s016\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s016,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s016\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T07:28:35Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s017\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s017.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s017\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s017,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s017\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T10:25:11Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s018\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s018.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s018\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s018,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s018\proxy_runtime\a7v3s9_proxy_manifest.json
False,True,False,False,32,PASS_A7V3S9_PREREWARD_PROXY_SELECTED,0,2026-06-14T10:26:17Z,720,1280,1,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s019\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s019.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s019\proxy_runtime,1,1,1,1,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,1,a7v3s9_proxy_s019,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s019\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T10:25:24Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s020\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s020.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s020\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s020,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s020\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T13:05:04Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s021\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s021.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s021\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s021,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s021\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T13:05:31Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s022\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s022.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s022\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s022,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s022\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T13:06:00Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s023\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s023.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s023\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s023,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s023\proxy_runtime\a7v3s9_proxy_manifest.json
False,False,False,False,32,HOLD_A7V3S9_PREREWARD_PROXY_NO_SELECTABLE,0,2026-06-14T10:40:57Z,720,1280,0,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s024\proxy_runtime\a7v3s9_proxy_selected_for_reward.csv,"['one_bar_lag', 'stale_168h', 'time_shuffle']","[8, 24]",D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\queue_shards\a7v3s9_proxy_s024.csv,32,64,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s024\proxy_runtime,0,0,0,0,A7V3S9_PREREWARD_OOS_CONTROL_PROXY,0,a7v3s9_proxy_s024,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s9_prereward_oos_control_proxy_20260614\shards\a7v3s9_proxy_s024\proxy_runtime\a7v3s9_proxy_manifest.json
