symbol,rows_1h,min_timestamp,max_timestamp,age_days_min,age_days_max,active_universe_size_median,pre2024_first_observed_timestamp,pre2024_last_observed_timestamp,pre2024_rows_1h,pre2024_months,main_first_observed_timestamp,main_last_observed_timestamp,main_rows_1h,combined_first_observed_timestamp,listing_age_source
CAKEUSDT,1428,2023-11-02 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,59.427083333333336,169.0,2023-11-02 12:45:00+00:00,2023-12-31 23:59:00+00:00,1428,2,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-11-02 12:45:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CELOUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CELRUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CFXUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CHRUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CHZUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CKBUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
COMPUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
COTIUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CRVUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CTSIUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
CYBERUSDT,3180,2023-08-21 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,132.45833333333334,153.0,2023-08-21 12:00:00+00:00,2023-12-31 23:59:00+00:00,3180,5,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-08-21 12:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DASHUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DODOXUSDT,3492,2023-08-08 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,145.45833333333334,149.0,2023-08-08 12:00:00+00:00,2023-12-31 23:59:00+00:00,3492,5,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-08-08 12:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DOGEUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DOTUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DUSKUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
DYDXUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
EDUUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
EGLDUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ENJUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ENSUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ETCUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ETHUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
ETHWUSDT,804,2023-11-28 12:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,33.4375,171.0,2023-11-28 12:30:00+00:00,2023-12-31 23:59:00+00:00,804,2,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-11-28 12:30:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
FETUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
FILUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
FLOWUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
GALAUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
GASUSDT,1630,2023-10-25 02:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,67.84375,168.0,2023-10-25 02:45:00+00:00,2023-12-31 23:59:00+00:00,1630,3,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-10-25 02:45:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
GMTUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
GMXUSDT,4416,2023-07-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,0.0,183.95833333333334,147.0,2023-07-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,4416,6,2024-01-01 00:00:00+00:00,2026-05-26 00:00:00+00:00,21025,2023-07-01 00:00:00+00:00,observed_first_seen_lower_bound_pre2024_plus_main_panel
