candidate_id,expression,family,field_families,fields,operators,windows,cn_memory_payload_inherited,cn_reward_payload_inherited
crypto_fg2_2b9c738ec11bacea,"Mul(ZScore(Delta(open_interest_value_last,8)),ZScore(Delta(mark_close,48)))",oi_price_interaction,open_interest|price,mark_close|open_interest_value_last,Mul|ZScore|Delta|ZScore|Delta,8|48,False,False
crypto_fg2_18f056370a194b1f,"Mul(Rank(Mean(index_close,168)),Sign(Delta(mark_low,4)))",price_volatility_structure,price|volatility,index_close|mark_low,Mul|Rank|Mean|Sign|Delta,4|168,False,False
crypto_fg2_19a3f95b8076131b,"Mul(Sign(Delta(open_interest_value_mean,4)),Rank(Mean(trade_close,168)))",oi_price_interaction,open_interest|price,open_interest_value_mean|trade_close,Mul|Sign|Delta|Rank|Mean,4|168,False,False
crypto_fg2_da1bd27e9bf097c4,"Mul(Sign(Delta(top_long_short_account_ratio_last,720)),Neg(ZScore(Delta(trade_close,168))))",positioning_reversal,positioning|price,top_long_short_account_ratio_last|trade_close,Mul|Sign|Delta|Neg|ZScore|Delta,168|720,False,False
crypto_fg2_8cb495328f96ffa2,"Mul(ZScore(Mean(global_long_short_account_ratio_last,48)),Neg(ZScore(Delta(index_close,168))))",positioning_reversal,positioning|price,global_long_short_account_ratio_last|index_close,Mul|ZScore|Mean|Neg|ZScore|Delta,48|168,False,False
crypto_fg2_949d47bb2314fba0,"Mul(Sign(Delta(index_close,336)),Abs(ZScore(Mean(trade_low,72))))",price_volatility_structure,price|volatility,index_close|trade_low,Mul|Sign|Delta|Abs|ZScore|Mean,72|336,False,False
crypto_fg2_dbb32b46a59d2ebb,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,24))),Rank(Delta(trade_quote_volume,336)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Mul|Abs|ZScore|Mean|Rank|Delta,24|336,False,False
crypto_fg2_6bbfac8d113b744e,"Mul(Sign(Delta(premium_close_bps,336)),ZScore(Mean(funding_rate,96)))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Mul|Sign|Delta|ZScore|Mean,96|336,False,False
crypto_fg2_3fc51a4a11e40de1,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_mean,168)),ZScore(Delta(trade_quote_volume,504)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Sub|Rank|Delta|ZScore|Delta,168|504,False,False
crypto_fg2_fec05bf294df5b20,"Mul(Sign(Delta(trade_close,504)),Abs(ZScore(Mean(trade_high,72))))",price_volatility_structure,price|volatility,trade_close|trade_high,Mul|Sign|Delta|Abs|ZScore|Mean,72|504,False,False
crypto_fg2_c5f606caeae82b48,"Mul(ZScore(Delta(index_close,48)),ZScore(Mean(trade_high,720)))",price_volatility_structure,price|volatility,index_close|trade_high,Mul|ZScore|Delta|ZScore|Mean,48|720,False,False
crypto_fg2_c1dd4148ed5c0e1c,"Sub(Abs(ZScore(Mean(premium_close_bps,72))),Abs(ZScore(Mean(funding_rate,96))))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,72|96,False,False
crypto_fg2_6ffda5d890f30dcc,"Mul(Rank(Mean(index_close,720)),Sign(Delta(trade_low,48)))",price_volatility_structure,price|volatility,index_close|trade_low,Mul|Rank|Mean|Sign|Delta,48|720,False,False
crypto_fg2_81410f92936d55d7,"Sub(Abs(ZScore(Delta(mark_close,168))),Rank(Mean(trade_low,4)))",price_volatility_structure,price|volatility,mark_close|trade_low,Sub|Abs|ZScore|Delta|Rank|Mean,4|168,False,False
crypto_fg2_99785e6a83fd9ee3,"Sub(ZScore(Mean(taker_buy_quote_volume,96)),Rank(Mean(trade_high,336)))",liquidity_volatility_guarded,liquidity|volatility,taker_buy_quote_volume|trade_high,Sub|ZScore|Mean|Rank|Mean,96|336,False,False
crypto_fg2_f3ffa3b8cccb6ae4,"Sub(Abs(ZScore(Delta(index_close,48))),Rank(Mean(mark_high,720)))",price_volatility_structure,price|volatility,index_close|mark_high,Sub|Abs|ZScore|Delta|Rank|Mean,48|720,False,False
crypto_fg2_59f63f6226656f57,"Sub(ZScore(Delta(index_close,720)),ZScore(Delta(mark_high,4)))",price_volatility_structure,price|volatility,index_close|mark_high,Sub|ZScore|Delta|ZScore|Delta,4|720,False,False
crypto_fg2_5034c45f61f5ea51,"Mul(Sign(Delta(open_interest_mean,720)),Rank(Mean(mark_close,96)))",oi_price_interaction,open_interest|price,mark_close|open_interest_mean,Mul|Sign|Delta|Rank|Mean,96|720,False,False
crypto_fg2_ed198b8d6c57d771,"Add(ZScore(Delta(global_long_short_account_ratio_last,12)),Neg(Rank(Delta(trade_close,96))))",positioning_reversal,positioning|price,global_long_short_account_ratio_last|trade_close,Add|ZScore|Delta|Neg|Rank|Delta,12|96,False,False
crypto_fg2_b38f29c48c707b5c,"Sub(Abs(ZScore(Mean(premium_close_bps,336))),Abs(ZScore(Mean(funding_rate,48))))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,48|336,False,False
crypto_fg2_1ed3dccb9ce838ca,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,168))),Rank(Delta(trade_volume,12)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_volume,Mul|Abs|ZScore|Mean|Rank|Delta,12|168,False,False
crypto_fg2_7abaa1738f0e2520,"Mul(Sign(Delta(open_interest_value_mean,24)),Rank(Mean(index_close,168)))",oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|Sign|Delta|Rank|Mean,24|168,False,False
crypto_fg2_ab007d6a1c2e92c3,"Mul(ZScore(Delta(open_interest_value_mean,336)),ZScore(Delta(index_close,24)))",oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,24|336,False,False
crypto_fg2_3732514b95a26d8f,"Mul(Sign(Delta(top_long_short_account_ratio_mean,96)),Neg(ZScore(Delta(mark_close,168))))",positioning_reversal,positioning|price,mark_close|top_long_short_account_ratio_mean,Mul|Sign|Delta|Neg|ZScore|Delta,96|168,False,False
crypto_fg2_7f8b844fa0e2b354,"Mul(Rank(Mean(trade_count,48)),ZScore(Delta(mark_low,720)))",liquidity_volatility_guarded,liquidity|volatility,mark_low|trade_count,Mul|Rank|Mean|ZScore|Delta,48|720,False,False
crypto_fg2_ec39453d509abaf8,"Sub(ZScore(Mean(open_interest_value_mean,504)),Rank(Mean(mark_close,24)))",oi_price_interaction,open_interest|price,mark_close|open_interest_value_mean,Sub|ZScore|Mean|Rank|Mean,24|504,False,False
crypto_fg2_ed68227360068276,"Sub(ZScore(Mean(open_interest_mean,96)),Rank(Mean(index_close,72)))",oi_price_interaction,open_interest|price,index_close|open_interest_mean,Sub|ZScore|Mean|Rank|Mean,72|96,False,False
crypto_fg2_b070fa35497d9bc9,"Mul(ZScore(Delta(mark_close,72)),ZScore(Mean(mark_low,504)))",price_volatility_structure,price|volatility,mark_close|mark_low,Mul|ZScore|Delta|ZScore|Mean,72|504,False,False
crypto_fg2_249580542e4f5cb9,"Mul(Sign(Delta(top_long_short_position_ratio_last,504)),Neg(ZScore(Delta(index_close,24))))",positioning_reversal,positioning|price,index_close|top_long_short_position_ratio_last,Mul|Sign|Delta|Neg|ZScore|Delta,24|504,False,False
crypto_fg2_63b89c2c6cfee9d5,"Add(Rank(Delta(index_close,96)),Neg(Rank(Delta(mark_low,8))))",price_volatility_structure,price|volatility,index_close|mark_low,Add|Rank|Delta|Neg|Rank|Delta,8|96,False,False
crypto_fg2_90d8a2600b1cf58f,"Sub(Abs(ZScore(Mean(premium_close,72))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,72|720,False,False
crypto_fg2_6632835b1939e1b3,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,72)),ZScore(Mean(taker_buy_sell_volume_ratio_mean,720)))",taker_flow_state,liquidity|taker_ratio,taker_buy_quote_volume|taker_buy_sell_volume_ratio_mean,Sub|ZScore|Mean|ZScore|Mean,72|720,False,False
crypto_fg2_1dcaae771aedc541,"Add(ZScore(Delta(open_interest_last,336)),ZScore(Delta(mark_close,48)))",oi_price_interaction,open_interest|price,mark_close|open_interest_last,Add|ZScore|Delta|ZScore|Delta,48|336,False,False
crypto_fg2_413accdbe82945d8,"Add(Rank(Delta(mark_trade_basis_bps,96)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Add|Rank|Delta|ZScore|Mean,96|168,False,False
crypto_fg2_8992e401d54ab5c0,"Mul(Abs(ZScore(Delta(top_long_short_position_ratio_last,168))),Sign(Delta(index_close,12)))",positioning_reversal,positioning|price,index_close|top_long_short_position_ratio_last,Mul|Abs|ZScore|Delta|Sign|Delta,12|168,False,False
crypto_fg2_150304178dc0a275,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_last,720)),ZScore(Delta(taker_buy_quote_volume,168)))",taker_flow_state,liquidity|taker_ratio,taker_buy_quote_volume|taker_buy_sell_volume_ratio_last,Sub|Rank|Delta|ZScore|Delta,168|720,False,False
crypto_fg2_80f9ad40dcfdd668,"Sub(ZScore(Delta(mark_close,12)),ZScore(Delta(trade_high,24)))",price_volatility_structure,price|volatility,mark_close|trade_high,Sub|ZScore|Delta|ZScore|Delta,12|24,False,False
crypto_fg2_5867678edef93f9e,"Sub(Abs(ZScore(Mean(premium_close,504))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,504|720,False,False
crypto_fg2_b9b949a71fb12ea7,"Mul(Rank(Mean(open_interest_mean,72)),ZScore(Delta(trade_close,168)))",oi_price_interaction,open_interest|price,open_interest_mean|trade_close,Mul|Rank|Mean|ZScore|Delta,72|168,False,False
crypto_fg2_1beccf4ae2ec1b40,"Mul(Sign(Delta(premium_close_bps,72)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Mul|Sign|Delta|ZScore|Mean,72|168,False,False
crypto_fg2_b4ade21adee157d4,"Mul(ZScore(Delta(index_close,48)),ZScore(Mean(mark_low,336)))",price_volatility_structure,price|volatility,index_close|mark_low,Mul|ZScore|Delta|ZScore|Mean,48|336,False,False
crypto_fg2_158fdb2597093fc0,"Mul(Sign(Delta(premium_close_bps,4)),ZScore(Mean(funding_rate,8)))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Mul|Sign|Delta|ZScore|Mean,4|8,False,False
crypto_fg2_5986048c4b9e6233,"Sub(ZScore(Mean(open_interest_value_mean,336)),Rank(Mean(mark_close,336)))",oi_price_interaction,open_interest|price,mark_close|open_interest_value_mean,Sub|ZScore|Mean|Rank|Mean,336,False,False
crypto_fg2_a04284e4bb01b820,"Sub(ZScore(Delta(trade_close,72)),ZScore(Delta(mark_high,48)))",price_volatility_structure,price|volatility,mark_high|trade_close,Sub|ZScore|Delta|ZScore|Delta,48|72,False,False
crypto_fg2_1d76f27087a93812,"Sub(ZScore(Mean(open_interest_value_mean,72)),Rank(Mean(trade_close,96)))",oi_price_interaction,open_interest|price,open_interest_value_mean|trade_close,Sub|ZScore|Mean|Rank|Mean,72|96,False,False
crypto_fg2_4ed3c27c5bbdc079,"Mul(Sign(Delta(taker_buy_sell_volume_ratio_mean,336)),ZScore(Delta(trade_count,720)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_count,Mul|Sign|Delta|ZScore|Delta,336|720,False,False
crypto_fg2_b9a380c01fecc2f7,"Mul(Sign(Delta(taker_buy_sell_volume_ratio_last,504)),ZScore(Delta(trade_count,336)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_count,Mul|Sign|Delta|ZScore|Delta,336|504,False,False
crypto_fg2_3522cd90888d43d7,"Sub(ZScore(Mean(global_long_short_account_ratio_mean,12)),ZScore(Mean(global_long_short_account_ratio_mean,4)))",positioning_reversal,positioning|price,global_long_short_account_ratio_mean|index_close,Sub|ZScore|Mean|ZScore|Mean,4|12,False,False
crypto_fg2_f2895c88926ca8d0,"Mul(ZScore(premium_close),ZScore(Mean(funding_rate,12)))",basis_funding_crowding,basis|funding,funding_rate|premium_close,Mul|ZScore|ZScore|Mean,12,False,False
crypto_fg2_0324aca14580698c,"Mul(Sign(Delta(premium_close_bps,12)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Mul|Sign|Delta|ZScore|Mean,12|168,False,False
crypto_fg2_138cc4cbf37bf1a0,"Add(ZScore(Delta(open_interest_mean,24)),ZScore(Delta(mark_close,504)))",oi_price_interaction,open_interest|price,mark_close|open_interest_mean,Add|ZScore|Delta|ZScore|Delta,24|504,False,False
crypto_fg2_c5cc82da877ec5e9,"Add(Rank(Delta(mark_index_basis_bps,4)),ZScore(Mean(funding_rate,12)))",basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Add|Rank|Delta|ZScore|Mean,4|12,False,False
crypto_fg2_bc20a51e14e7ed41,"Mul(ZScore(Delta(open_interest_value_mean,12)),ZScore(Delta(index_close,24)))",oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,12|24,False,False
crypto_fg2_20093bcc6c6d04af,"Sub(ZScore(Delta(trade_close,504)),ZScore(Delta(mark_high,12)))",price_volatility_structure,price|volatility,mark_high|trade_close,Sub|ZScore|Delta|ZScore|Delta,12|504,False,False
crypto_fg2_d27acfc716487570,"Mul(ZScore(Delta(trade_close,720)),ZScore(Mean(mark_high,336)))",price_volatility_structure,price|volatility,mark_high|trade_close,Mul|ZScore|Delta|ZScore|Mean,336|720,False,False
crypto_fg2_f1fa88c72b8f9c4d,"Mul(ZScore(mark_index_basis_bps),ZScore(Mean(funding_rate,72)))",basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Mul|ZScore|ZScore|Mean,72,False,False
crypto_fg2_3355ddc9b79ba7e4,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,504))),Rank(Delta(trade_count,8)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_count,Mul|Abs|ZScore|Mean|Rank|Delta,8|504,False,False
crypto_fg2_d204661dee74cbb5,"Mul(Rank(Mean(open_interest_value_last,4)),ZScore(Delta(trade_close,336)))",oi_price_interaction,open_interest|price,open_interest_value_last|trade_close,Mul|Rank|Mean|ZScore|Delta,4|336,False,False
crypto_fg2_59eb7be56beb98b0,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_last,24)),ZScore(Delta(trade_volume,72)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_volume,Sub|Rank|Delta|ZScore|Delta,24|72,False,False
crypto_fg2_91a4c8462776b7dd,"Sub(Abs(ZScore(Mean(mark_index_basis_bps,24))),Abs(ZScore(Mean(funding_rate,168))))",basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,24|168,False,False
crypto_fg2_de383c1122c11ccc,"Sub(Abs(ZScore(Mean(premium_close,96))),Abs(ZScore(Mean(funding_rate,4))))",basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,4|96,False,False
crypto_fg2_aa3661f8eb8b5435,"Add(Rank(Delta(premium_close_bps,24)),ZScore(Mean(funding_rate,168)))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Add|Rank|Delta|ZScore|Mean,24|168,False,False
crypto_fg2_9f5e590d43a9aa7e,"Sub(Rank(Mean(top_long_short_position_ratio_last,12)),Rank(Mean(index_close,96)))",positioning_reversal,positioning|price,index_close|top_long_short_position_ratio_last,Sub|Rank|Mean|Rank|Mean,12|96,False,False
crypto_fg2_0d30503c609e1e2d,"Sub(ZScore(Mean(open_interest_last,24)),Rank(Mean(trade_close,720)))",oi_price_interaction,open_interest|price,open_interest_last|trade_close,Sub|ZScore|Mean|Rank|Mean,24|720,False,False
crypto_fg2_c649a241fed6a55f,"Sub(Abs(ZScore(Delta(trade_volume,72))),Abs(ZScore(Delta(mark_high,504))))",liquidity_volatility_guarded,liquidity|volatility,mark_high|trade_volume,Sub|Abs|ZScore|Delta|Abs|ZScore|Delta,72|504,False,False
crypto_fg2_4e9ba42b824279e6,"Mul(ZScore(Mean(top_long_short_position_ratio_last,96)),Neg(ZScore(Delta(mark_close,72))))",positioning_reversal,positioning|price,mark_close|top_long_short_position_ratio_last,Mul|ZScore|Mean|Neg|ZScore|Delta,72|96,False,False
crypto_fg2_9b238c3da842837e,"Mul(Rank(Mean(mark_trade_basis_bps,8)),Sign(Delta(funding_rate,72)))",basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Mul|Rank|Mean|Sign|Delta,8|72,False,False
crypto_fg2_eb88f043bd2757b0,"Mul(Sign(Delta(trade_close,336)),Abs(ZScore(Mean(trade_low,504))))",price_volatility_structure,price|volatility,trade_close|trade_low,Mul|Sign|Delta|Abs|ZScore|Mean,336|504,False,False
crypto_fg2_7beb67e1dff704b7,"Sub(Abs(ZScore(Delta(index_close,24))),Rank(Mean(mark_high,24)))",price_volatility_structure,price|volatility,index_close|mark_high,Sub|Abs|ZScore|Delta|Rank|Mean,24,False,False
crypto_fg2_a9552b89a15987d3,"Mul(Sign(Delta(open_interest_last,504)),Rank(Mean(index_close,24)))",oi_price_interaction,open_interest|price,index_close|open_interest_last,Mul|Sign|Delta|Rank|Mean,24|504,False,False
crypto_fg2_fdcc4a2b92b3cf1d,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,8)),Rank(Mean(trade_quote_volume,12)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Mul|ZScore|Mean|Rank|Mean,8|12,False,False
crypto_fg2_d706c92c89ac3da6,"Mul(ZScore(Mean(global_long_short_account_ratio_mean,72)),Neg(ZScore(Delta(trade_close,336))))",positioning_reversal,positioning|price,global_long_short_account_ratio_mean|trade_close,Mul|ZScore|Mean|Neg|ZScore|Delta,72|336,False,False
crypto_fg2_008fa371a191492e,"Mul(Rank(Mean(open_interest_value_mean,168)),ZScore(Delta(mark_close,48)))",oi_price_interaction,open_interest|price,mark_close|open_interest_value_mean,Mul|Rank|Mean|ZScore|Delta,48|168,False,False
crypto_fg2_9fee58a6425b98ac,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,8)),Rank(Mean(trade_volume,48)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_volume,Mul|ZScore|Mean|Rank|Mean,8|48,False,False
crypto_fg2_d7c3a5982c49e1cb,"Sub(Abs(ZScore(Mean(premium_close_bps,336))),Abs(ZScore(Mean(funding_rate,72))))",basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,72|336,False,False
crypto_fg2_20696f318b21a836,"Mul(Sign(Delta(global_long_short_account_ratio_last,48)),Neg(ZScore(Delta(mark_close,8))))",positioning_reversal,positioning|price,global_long_short_account_ratio_last|mark_close,Mul|Sign|Delta|Neg|ZScore|Delta,8|48,False,False
crypto_fg2_d0881b66a8dbe938,"Add(ZScore(Delta(taker_buy_sell_volume_ratio_mean,4)),Rank(Mean(trade_count,8)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_count,Add|ZScore|Delta|Rank|Mean,4|8,False,False
crypto_fg2_f9a6e78f750425f9,"Mul(Sign(Delta(index_close,504)),Abs(ZScore(Mean(trade_low,4))))",price_volatility_structure,price|volatility,index_close|trade_low,Mul|Sign|Delta|Abs|ZScore|Mean,4|504,False,False
crypto_fg2_ab72a4fe161fa416,"Sub(Abs(ZScore(Mean(mark_index_basis_bps,24))),Abs(ZScore(Mean(funding_rate,12))))",basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,12|24,False,False
crypto_fg2_51490d2fade86f3b,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,72))),Rank(Delta(trade_quote_volume,336)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_quote_volume,Mul|Abs|ZScore|Mean|Rank|Delta,72|336,False,False
crypto_fg2_ae4c843797708f38,"Sub(ZScore(Delta(trade_close,168)),ZScore(Delta(trade_low,48)))",price_volatility_structure,price|volatility,trade_close|trade_low,Sub|ZScore|Delta|ZScore|Delta,48|168,False,False
crypto_fg2_19dc36e900ebde39,"Mul(Sign(Delta(taker_buy_sell_volume_ratio_mean,72)),ZScore(Delta(taker_buy_quote_volume,4)))",taker_flow_state,liquidity|taker_ratio,taker_buy_quote_volume|taker_buy_sell_volume_ratio_mean,Mul|Sign|Delta|ZScore|Delta,4|72,False,False
crypto_fg2_ea1f06c7d34b47cf,"Add(Rank(Delta(index_close,4)),Neg(Rank(Delta(mark_high,504))))",price_volatility_structure,price|volatility,index_close|mark_high,Add|Rank|Delta|Neg|Rank|Delta,4|504,False,False
crypto_fg2_08dc2aa9c996931a,"Mul(Abs(ZScore(Delta(top_long_short_account_ratio_mean,336))),Sign(Delta(trade_close,24)))",positioning_reversal,positioning|price,top_long_short_account_ratio_mean|trade_close,Mul|Abs|ZScore|Delta|Sign|Delta,24|336,False,False
crypto_fg2_d251770a2d05ea55,"Sub(Rank(Delta(open_interest_last,24)),Rank(Delta(trade_close,4)))",oi_price_interaction,open_interest|price,open_interest_last|trade_close,Sub|Rank|Delta|Rank|Delta,4|24,False,False
crypto_fg2_aa9436d5151ba224,"Mul(Rank(Mean(mark_trade_basis_bps,12)),Sign(Delta(funding_rate,72)))",basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Mul|Rank|Mean|Sign|Delta,12|72,False,False
crypto_fg2_9ae7b3c6403ce05a,"Add(ZScore(Delta(open_interest_mean,720)),ZScore(Delta(index_close,504)))",oi_price_interaction,open_interest|price,index_close|open_interest_mean,Add|ZScore|Delta|ZScore|Delta,504|720,False,False
crypto_fg2_a58b52a1346188db,"Add(ZScore(Delta(taker_buy_sell_volume_ratio_last,48)),Rank(Mean(trade_volume,336)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_volume,Add|ZScore|Delta|Rank|Mean,48|336,False,False
crypto_fg2_8ffcf9e229c77416,"Mul(ZScore(mark_index_basis_bps),ZScore(Mean(funding_rate,48)))",basis_funding_crowding,basis|funding,funding_rate|mark_index_basis_bps,Mul|ZScore|ZScore|Mean,48,False,False
crypto_fg2_5b80d9b6c787b119,"Mul(Sign(Delta(open_interest_mean,48)),Rank(Mean(index_close,12)))",oi_price_interaction,open_interest|price,index_close|open_interest_mean,Mul|Sign|Delta|Rank|Mean,12|48,False,False
crypto_fg2_bec5c9a8f21748ed,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,96)),ZScore(Mean(taker_buy_sell_volume_ratio_mean,96)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Sub|ZScore|Mean|ZScore|Mean,96,False,False
crypto_fg2_708c35b814b33fab,"Sub(Abs(ZScore(Mean(premium_close,4))),Abs(ZScore(Mean(funding_rate,4))))",basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,4,False,False
crypto_fg2_e33f379c2097aaa8,"Sub(Rank(Delta(taker_buy_sell_volume_ratio_mean,24)),ZScore(Delta(trade_quote_volume,96)))",taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Sub|Rank|Delta|ZScore|Delta,24|96,False,False
