timestamp,funding_abs_mean,funding_mean,funding_dispersion,funding_positive_share,funding_negative_share,funding_persistence_abs_mean,basis_abs_mean,basis_minus_abs_mean,vol_ret12_abs_mean,vol_hl_mean,funding_abs_mean_bucket,funding_dispersion_bucket,funding_positive_share_bucket,funding_negative_share_bucket,funding_persistence_abs_mean_bucket,basis_abs_mean_bucket,basis_minus_abs_mean_bucket,vol_ret12_abs_mean_bucket,vol_hl_mean_bucket
2024-01-02 05:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0009335887253052363,3.421632934166478,0.034577641848294614,0.010565034299458728,high,high,high,mid,high,high,high,high,mid
2024-01-02 06:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0007856909103872526,2.9167992650001255,0.02784166030969959,0.007812971055986573,high,high,high,mid,high,high,high,high,low
2024-01-02 07:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0007994444237559942,3.2878865175001764,0.027087460547630744,0.012388105880115118,high,high,high,mid,high,high,high,high,mid
2024-01-02 08:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.000992625848214727,4.096362921666435,0.03352243996380738,0.013838546581655196,high,high,high,mid,high,high,high,high,high
2024-01-02 09:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0011574811980327264,4.788726091666427,0.03365611966423793,0.011129647617990247,high,high,high,mid,high,high,high,high,mid
2024-01-02 10:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0013077438434865585,5.911867617499751,0.029848356644173447,0.012958658222568656,high,high,high,mid,high,high,high,high,mid
2024-01-02 11:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0014006107032374648,5.145399925000331,0.017214831392346613,0.015821544164314826,high,high,high,mid,high,high,high,mid,high
2024-01-02 12:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.001230296570361648,4.72403382999971,0.012602236374455891,0.011550970687829976,high,high,high,mid,high,high,high,low,mid
2024-01-02 13:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0011598891840761776,4.344403906666116,0.007853495648777372,0.008336848189073594,high,high,high,mid,high,high,high,low,low
2024-01-02 14:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0008487967546710514,3.023355436667068,0.019070356175783298,0.026165994621480688,high,high,high,mid,high,high,high,mid,high
2024-01-02 15:00:00+00:00,0.0004003958333333334,0.00039711583333333335,0.00018776798433431678,0.9166666666666666,0.08333333333333333,1.0,0.0006814668918154002,2.5766503341665192,0.020440840445295937,0.016037248156679267,high,high,high,mid,high,high,mid,mid,high
2024-01-02 16:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9722222222222222,0.0009080313042761634,3.188987963333249,0.02118636533107557,0.013008041750688636,high,high,high,low,mid,high,high,mid,mid
2024-01-02 17:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9444444444444443,0.0007879398110682926,2.525187436666766,0.02384410542504503,0.012613753885827438,high,high,high,low,mid,high,mid,high,mid
2024-01-02 18:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.000824347263120038,2.9624787616661554,0.019721805998612923,0.007951474959534539,high,high,high,low,low,high,high,mid,low
2024-01-02 19:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.0008674657476475112,2.9242574866667557,0.0254969448271682,0.012010315888592596,high,high,high,low,low,high,high,high,mid
2024-01-02 20:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.0008639646691179226,3.278503751666769,0.03691421412647711,0.013100442485994025,high,high,high,low,low,high,high,high,mid
2024-01-02 21:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.0008543663550523625,3.457363350000021,0.03282228308713042,0.012338709780905148,high,high,high,low,low,high,high,high,mid
2024-01-02 22:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.0007007828575207783,2.2855511774996815,0.031553081546252255,0.009799369008754237,high,high,high,low,low,high,mid,high,mid
2024-01-02 23:00:00+00:00,0.0005641416666666666,0.0005641416666666666,0.00024058666909706827,0.9166666666666666,0.0,0.9166666666666666,0.0007541671617534903,2.388534960833312,0.02933606859630955,0.010017219057234317,high,high,high,low,low,high,mid,high,mid
2024-01-03 00:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,0.9444444444444443,0.0008352841272787718,3.0572111883329214,0.0229003274059431,0.012556346355842874,high,high,high,mid,mid,high,high,high,mid
2024-01-03 01:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,0.9722222222222222,0.0008604353529518364,2.9318935433331696,0.020330528465474302,0.009101567384206942,high,high,high,mid,mid,high,high,mid,mid
2024-01-03 02:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0008614957469506394,2.9423364066666946,0.008622084890173234,0.008221092880101684,high,high,high,mid,high,high,high,low,low
2024-01-03 03:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0008890445360252852,3.234839665000028,0.008368687158339059,0.005263189597237755,high,high,high,mid,high,high,high,low,low
2024-01-03 04:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0008130671914962454,3.0123496475005234,0.009469161474691975,0.008685240037128698,high,high,high,mid,high,high,high,low,low
2024-01-03 05:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0008675179251845707,2.6995219749997372,0.011954631665565893,0.00945343121401923,high,high,high,mid,high,high,mid,low,mid
2024-01-03 06:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0006751158635575812,2.7446168458336078,0.010049884723256186,0.008501148136846196,high,high,high,mid,high,high,mid,low,low
2024-01-03 07:00:00+00:00,0.0002759433333333334,0.0002090616666666667,0.0002032849254467455,0.9166666666666666,0.08333333333333333,1.0,0.0005582031926412526,1.6875494450002098,0.006730540632375344,0.015756751275744448,high,high,high,mid,high,high,low,low,high
2024-01-03 08:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9722222222222222,0.0007024281011155006,2.325843262499795,0.012806687729375618,0.007679093695159959,high,high,high,low,mid,high,mid,mid,low
2024-01-03 09:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9444444444444443,0.0008691872300831774,2.7583021874998526,0.015719378775152237,0.011473762025761674,high,high,high,low,mid,high,mid,mid,mid
2024-01-03 10:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.0006104110718860486,2.2214997400000476,0.014083237088700814,0.014069243043304902,high,high,high,low,low,high,mid,mid,high
2024-01-03 11:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.00039443895487782193,1.4606587450000743,0.025675094123421605,0.04071321861166379,high,high,high,low,low,mid,low,high,high
2024-01-03 12:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.0002632772451368337,0.9546590616668634,0.07713329070405946,0.18331470039068312,high,high,high,low,low,low,low,high,high
2024-01-03 13:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.0003624385327050302,1.5301653383333178,0.08498313758855851,0.029616832352115898,high,high,high,low,low,low,low,high,high
2024-01-03 14:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.0003680500379460068,1.474584391666893,0.0948929421555168,0.030957525408073953,high,high,high,low,low,low,low,high,high
2024-01-03 15:00:00+00:00,0.00024427583333333334,0.00024427583333333334,0.00013403728806183832,0.9166666666666666,0.0,0.9166666666666666,0.0002295016186342295,1.5477046341672205,0.07067033075566286,0.030921894760148023,high,high,high,low,low,low,low,high,high
2024-01-03 16:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,0.8888888888888888,0.0003841994143000867,1.1596822558334854,0.07867118178232267,0.022202512084772183,high,high,mid,high,low,mid,low,high,high
2024-01-03 17:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.00031106675994620653,1.2161011583332926,0.08358923263967637,0.015379806576210743,high,high,mid,high,low,low,low,high,high
2024-01-03 18:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.00042999469720112854,0.501596254167126,0.09593548019276525,0.03158422934822123,high,high,mid,high,high,mid,low,high,high
2024-01-03 19:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.0003662899192842517,0.27456619499970547,0.08308343277267613,0.020541446237202544,high,high,mid,high,high,low,low,high,high
2024-01-03 20:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.0004314160808381873,0.24406396166664787,0.07722890831650785,0.015837644193795093,high,high,mid,high,high,mid,low,high,high
2024-01-03 21:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.00027676798552932663,0.5366439024999979,0.0755679485058751,0.013338351998689928,high,high,mid,high,high,low,low,high,mid
2024-01-03 22:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.0003398299280617985,0.2872565874998714,0.07959978276883191,0.01765020551627401,high,high,mid,high,high,low,low,high,high
2024-01-03 23:00:00+00:00,0.00011772666666666667,4.894e-05,0.00013535959392177072,0.8333333333333334,0.16666666666666666,1.0,0.0003610849158521094,0.7286118708333666,0.052707516250375154,0.008946375676706303,high,high,mid,high,high,low,low,high,mid
2024-01-04 00:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.00024544036904861066,0.6745213400002736,0.017040387200117163,0.013597957092304868,high,high,mid,high,high,low,low,mid,high
2024-01-04 01:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.0002746560325268081,0.7273174774997752,0.009129823094885534,0.020289030371257913,high,high,mid,high,high,low,low,low,high
2024-01-04 02:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.0002974158514776522,0.9521106425001985,0.030076641051251258,0.01852370821003202,high,high,mid,high,high,low,low,high,high
2024-01-04 03:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.0002233810777920083,1.1140910208336992,0.007057309508890525,0.010980042809834103,high,high,mid,high,high,low,low,low,mid
2024-01-04 04:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.00022796950761086454,1.1335998841665589,0.012147156389445671,0.010161107013060526,high,high,mid,high,high,low,low,low,mid
2024-01-04 05:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.00015186397288305398,0.7292991875003341,0.013261939405718173,0.011151243766117624,high,high,mid,high,high,low,low,mid,mid
2024-01-04 06:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.00028022924462238935,0.5116261366666495,0.026240774068015005,0.0089400610787019,high,high,mid,high,high,low,low,high,mid
2024-01-04 07:00:00+00:00,0.00013694000000000003,2.972666666666667e-05,0.00015806779227772985,0.8333333333333334,0.16666666666666666,1.0,0.0002165584162507339,0.09272973083320168,0.008653469473905847,0.01641878157426989,high,high,mid,high,high,low,low,low,high
2024-01-04 08:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.0002852766076963849,0.7284169300002433,0.00815762032378912,0.012421219669122364,mid,mid,mid,high,high,low,low,low,mid
2024-01-04 09:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00026826509848889196,0.9910664874996251,0.011265523282028797,0.009641986816855934,mid,mid,mid,high,high,low,low,low,mid
2024-01-04 10:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00035192852050037565,1.329368545000149,0.008592255057676912,0.01832124033935697,mid,mid,mid,high,high,low,low,low,high
2024-01-04 11:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00037254011226007616,1.0261082141669349,0.007793688871795175,0.010993939862809091,mid,mid,mid,high,high,low,low,low,mid
2024-01-04 12:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.0003563865817311958,0.3096209358331581,0.01106905736741102,0.011198797419289778,mid,mid,mid,high,high,low,low,low,mid
2024-01-04 13:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00021434500204542406,0.2887875374999233,0.01576220404354921,0.011167336380146635,mid,mid,mid,high,high,low,low,mid,mid
2024-01-04 14:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00017243156106725813,0.17278424250034827,0.013484969029884756,0.019016577388894593,mid,mid,mid,high,high,low,low,mid,high
2024-01-04 15:00:00+00:00,0.00010131833333333336,6.534833333333335e-05,7.783464115603598e-05,0.8333333333333334,0.16666666666666666,1.0,0.00023870262523836838,0.10111731333316876,0.02121965311609512,0.018038570809471605,mid,mid,mid,high,high,low,low,mid,high
2024-01-04 16:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.00038158263291515615,0.43257711250029235,0.014828135042088889,0.015138503009354008,mid,mid,mid,high,high,mid,low,mid,high
2024-01-04 17:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.00032395659213431866,0.39270608333320794,0.015491120335639421,0.012344058513154024,mid,mid,mid,high,high,low,low,mid,mid
2024-01-04 18:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.00033642471621267434,0.38046371583303634,0.014351617130066515,0.008927380279583522,mid,mid,mid,high,high,low,low,mid,mid
2024-01-04 19:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.0003594514487545534,0.2923859433329738,0.02651999082011573,0.01283326078592349,mid,mid,mid,high,high,low,low,high,mid
2024-01-04 20:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.00024096436687898182,0.5352076749996271,0.03044908365042325,0.015564457066085747,mid,mid,mid,high,high,low,low,high,high
2024-01-04 21:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.0003333700109401372,0.1307284708335711,0.026927899490422607,0.01113092124539883,mid,mid,mid,high,high,low,low,high,mid
2024-01-04 22:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.0002662960026905044,0.3421891266671528,0.026710801056180605,0.01503316467873933,mid,mid,mid,high,high,low,low,high,high
2024-01-04 23:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.00034430912572732303,0.4351977241667527,0.026236520450504213,0.007767530044408582,mid,mid,mid,high,high,low,low,high,low
2024-01-05 00:00:00+00:00,0.00010317250000000002,6.349416666666667e-05,8.684306731669618e-05,0.8333333333333334,0.16666666666666666,1.0,0.0003999293842318526,0.23035804249968747,0.02154885600502347,0.013320986944206524,mid,mid,mid,high,high,mid,low,mid,mid
2024-01-05 01:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.0003808454298086054,0.2156742199999047,0.006969187150512822,0.05897245323382074,high,high,mid,high,high,low,low,low,high
2024-01-05 02:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.0003034027554386365,0.10184402916715618,0.016969656945598672,0.015429850290925194,high,high,mid,high,high,low,low,mid,high
2024-01-05 03:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.00036706717440712633,0.21840854333365367,0.024514393949726838,0.010381627382008258,high,high,mid,high,high,low,low,high,mid
2024-01-05 04:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.00025420104575689845,0.1895657516666204,0.018609739341277087,0.010532064764198795,high,high,mid,high,high,low,low,mid,mid
2024-01-05 05:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.0001042970856975541,0.1087644774999537,0.018739233260321685,0.00876467773818933,high,high,mid,high,high,low,low,mid,mid
2024-01-05 06:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.0002097441870009172,0.08140865416642039,0.018676645647308726,0.009529695619830938,high,high,mid,high,high,low,low,mid,mid
2024-01-05 07:00:00+00:00,0.00014556750000000002,2.109916666666667e-05,0.00023068077735470774,0.8333333333333334,0.16666666666666666,1.0,0.0002741273756695732,0.42328542833360766,0.02068464057557588,0.008334895342058772,high,high,mid,high,high,low,low,mid,low
2024-01-05 08:00:00+00:00,0.00013720500000000003,4.0169999999999997e-05,0.00018791243523691203,0.9166666666666666,0.08333333333333333,0.9444444444444443,0.00021326139130673863,0.0829112566668092,0.02317643227642453,0.008764545610324555,high,high,high,mid,mid,low,low,high,mid
2024-01-05 09:00:00+00:00,0.00013720500000000003,4.0169999999999997e-05,0.00018791243523691203,0.9166666666666666,0.08333333333333333,0.9444444444444443,0.0002107022411376632,0.24413582000010184,0.01681460663252839,0.01149355123531088,high,high,high,mid,mid,low,low,mid,mid
2024-01-05 10:00:00+00:00,0.00013720500000000003,4.0169999999999997e-05,0.00018791243523691203,0.9166666666666666,0.08333333333333333,1.0,0.00024900700874469495,0.3001190866665599,0.029215883307453967,0.025735693724730637,high,high,high,mid,high,low,low,high,high
2024-01-05 11:00:00+00:00,0.00013720500000000003,4.0169999999999997e-05,0.00018791243523691203,0.9166666666666666,0.08333333333333333,1.0,0.00036029240494288756,0.22540767583332064,0.03391350839822013,0.011998662131677983,high,high,high,mid,high,low,low,high,mid
