field_name,semantic_type,compiler_role,new_factor_role,transition_reason,primitive_candidate_count,non_l7_candidate_count,median_control_ratio
listing_age_days,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
listing_age_hours,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
log1p_listing_age_days,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
log_quote_volume_168h,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_count,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_open,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
median_quote_volume_168h,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
metrics_n_5m,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
oi_x_price_move_24h,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,10.304639624913651
open_interest_change_24h,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,19.64933716467706
premium_abs_168h,basis_premium_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,6.682600005001486
premium_count,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
premium_high,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
premium_low,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
premium_open,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
raw_latent_state_id,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
realized_vol_168h,volatility_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,2.0,0.0,10.571007303473248
realized_vol_24h,volatility_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,2.0,0.0,12.806809555241909
realized_vol_72h,volatility_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
rolling_coverage_168h,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
source_market_funding,rate_like,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
source_metrics,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
source_trade_klines,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
sqrt_listing_age_days,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
symbol,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
taker_buy_volume,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
timestamp,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_count_168h,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_open,generic_numeric,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_return_1h,price_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,4.0,0.0,1.3515217199209195
trade_return_24h,price_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,50.68426568350527
volume_volatility_ratio_168h,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
