blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage
core25e_S0_positioning_price_basis_63a7150197b9e1,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d1be7eab7cb20e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_c13c5f0bfe8049,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b7c156c271c4a8,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_ff4c7a59e68d4b,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_8942ee876a4c02,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_7ccd8c50a98d38,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a7c9bd2361f116,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b063733c23caa4,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_7d1f3f5446128f,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,tsrank_168h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_index_basis_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
