object,candidate_id,expression,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,recent_oos_2025H2_2026Apr,7248,6.0317145190430396e-05,0.5283781918681703,0.0023971180660863835,2.3550677551205528,3.2095349423590234,0.5106236203090507,0.4371786683402395,-0.6790365539038652,0.5164116372617542,-0.4974107382957391,-0.018448464479420168,-0.006580549631852494,-0.0033527315632610483,4.4762772571875895e-05,0.0036435380108619992,10,7,0.7,-0.41411017212594686,0.49999744026717935,0.031699427126919213
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,fresh_forward_2026May,392,-0.0002703865920067266,-2.368586545978925,0.002458419183040871,-10.293931380991122,-17.939204050382997,0.3877551020408163,-0.10599154406663681,-0.1319237535217133,-0.10163873395473388,-0.12378462740402096,-0.007316993658993503,-0.006105937166362886,-0.0038687586287354248,-0.0003995604823908105,0.0024823696997053543,1,0,0.0,-0.1059915440666368,0.5,0.033801020408163275
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,train_2024,8736,0.00016300317231224515,1.4279077894552674,0.0043676257467133535,3.4930330290551694,4.796381939048876,0.5138507326007326,1.4239957133197736,-1.7137337069836618,2.821166352926972,-0.8227205217937356,-0.029533046091697157,-0.011840292120201067,-0.0067287506976660885,0.00011141077736628193,0.0067925260545444255,12,10,0.8333333333333334,-1.4070427464309994,0.4549623778156129,0.022669221332927297
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,validation_2025H1,4296,0.00027249026121501095,2.387014688243496,0.00413903654176863,6.1617457995646925,7.312226451665996,0.5586592178770949,1.1706181621796872,-0.6603636100593001,2.106617460813945,-0.4935488106655236,-0.0447502823971958,-0.011477066131697846,-0.005992717189072865,0.00042369337431474125,0.006394077157817337,6,3,0.5,-0.1935148489725132,0.4804104904447905,0.028751241192996317
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,recent_oos_2025H2_2026Apr,7248,0.00019469549918804736,1.705532572887295,0.0032699254711353776,5.572757060993105,7.77891941838394,0.5233167770419426,1.4111529781149672,-1.1392944555475937,2.9443389716932464,-0.6848565976582535,-0.0254626496502755,-0.008637474539669534,-0.004760086398199599,0.00014315072406512666,0.005273949265980727,10,8,0.8,-0.7728001024419785,0.4973348893369738,0.03157103166644849
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,fresh_forward_2026May,392,-0.00034562087078646956,-3.0276388280894735,0.0038952672652148176,-8.304524141696081,-17.53756250801014,0.35459183673469385,-0.13548338134829607,-0.2869430115570086,-0.12929711786328635,-0.2499501913071258,-0.009967154576205983,-0.007732034095483633,-0.004640978431307302,-0.0005109594810595018,0.004422768414562992,1,0,0.0,-0.13548338134829604,0.5,0.033801020408163275
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,0.00015166856164578144,1.3286166000170454,0.004368013321171565,3.2498526257777147,4.463664474942267,0.5130494505494505,1.3249765545375467,-1.72347792178027,2.4609240301716566,-0.8244438795472631,-0.029533046091697157,-0.011840292120201067,-0.0067370728081236645,9.902676940650385e-05,0.0067875548738307555,12,10,0.8333333333333334,-1.414992104591133,0.4549623778156129,0.022669221332927297
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.00025811464061851276,2.261084251818172,0.004139415511524267,5.836139569354436,6.9287349985295625,0.5574953445065177,1.1088604960971309,-0.6815697220443949,1.920589396467086,-0.5041824763335812,-0.0447502823971958,-0.011477066131697846,-0.0060033495735296654,0.00039301907356907107,0.00636671433910086,6,3,0.5,-0.2022082001014074,0.4804104904447905,0.028751241192996317
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,0.00017890998335482312,1.5672514541882505,0.003270282455405274,5.12037023043837,7.154476875309899,0.5213852097130243,1.296739559355758,-1.1593037076401367,2.5179550246994675,-0.6911043838329609,-0.0254626496502755,-0.008637474539669534,-0.004777109508003772,0.00012882225759867287,0.005259106178515113,10,8,0.8,-0.7805990006836062,0.4973348893369738,0.03157103166644849
funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.0003625213809905511,-3.1756872974772277,0.0038951239321728154,-8.710927486934223,-18.39150111813977,0.3494897959183674,-0.14210838134829604,-0.28932271842234814,-0.13504835795013925,-0.25173510783203246,-0.009967154576205983,-0.007732034095483633,-0.004640978431307302,-0.0005423975446107466,0.004422768414562992,1,0,0.0,-0.14210838134829604,0.5,0.033801020408163275
