field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L3_liquidity_tier_relative_return,8,-1.0,2,False,12.724882485006487,-0.003938263928462584,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,568,-0.002063076575559219,-3.384361002209821,-1.0827105291504726,-1.8434322406635757,0.4647887323943662,614,-0.0009508765788199115,-2.363734539076069,-0.7293536324270611,-2.3579408247536193,0.40553745928338764,652,-0.002212012084811999,-4.7462864598124765,-1.7056511408017863,-2.7537661419119153,0.3895705521472393,654,0.0037131715865650196,4.608206683924199,1.6138592703117962,0.45930696371576396,0.5351681957186545,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L5_vol_adjusted_return,8,-1.0,2,False,11.4216513550425,-0.21112553269227874,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,568,-0.1336185348640277,-3.4974143224104486,-1.3381558029446592,-1.9125334470627435,0.477112676056338,614,-0.1923219303673166,-5.215272773069656,-1.9541091279589515,-2.796290875344501,0.3794788273615635,652,-0.18296310172053185,-3.39147707632282,-1.3815895337321566,-1.9579451191641462,0.39570552147239263,654,0.23909338358345236,3.020065955987036,0.9981218880640714,-0.13856696523377904,0.5122324159021406,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L0_raw_forward_return,24,-1.0,2,False,73.50864521761294,-0.004015519711414042,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,553,-0.003908345700751293,-3.7168717638687943,-0.5986357017001221,-2.1663892633027935,0.45027124773960214,598,-0.0006998098823798917,-1.0803039294746395,-0.15108693347101396,-2.335839777856223,0.45819397993311034,636,-0.0030630313957168915,-3.9286368758403745,-0.8410693452810765,-3.029713698900739,0.419811320754717,639,0.004377464844267552,3.7118553586909364,0.6451070007068562,-1.79157990652832,0.5320813771517997,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L1_cross_sectional_relative_return,24,-1.0,2,False,73.50864521761294,-0.004015519711414042,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,553,-0.0039083457007512935,-3.716871763868795,-0.5986357017001221,-2.1663892633027944,0.45027124773960214,598,-0.0006998098823798917,-1.0803039294746395,-0.1510869334710137,-2.335839777856223,0.45819397993311034,636,-0.0030630313957168915,-3.9286368758403745,-0.8410693452810762,-3.029713698900739,0.419811320754717,639,0.00437746484426755,3.711855358690935,0.6451070007068562,-1.7915799065283202,0.5320813771517997,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L3_liquidity_tier_relative_return,24,-1.0,2,False,105.13905817353287,-0.0042716634393261685,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,553,-0.004623548751429209,-4.711326682816544,-0.710218670278939,-2.8930604124078836,0.4321880650994575,598,-0.0004638330403917404,-0.7381744671117096,-0.03697056282035592,-2.390265690155836,0.45484949832775917,636,-0.003527616820749864,-4.9297856497388315,-1.1119765753595878,-2.6446039612241243,0.4025157232704403,639,0.004480456556302696,4.158889971275301,0.8596515543401986,-1.696878336657414,0.5446009389671361,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_72h,L5_vol_adjusted_return,24,-1.0,2,False,76.16082464345354,-0.09459388478446205,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,553,-0.21576194983939537,-3.394260550819902,-0.4829255121045045,-2.311575967314378,0.4665461121157324,598,-0.17668717238166187,-2.803608077519348,-0.7125258304420042,-2.5244902620008816,0.4431438127090301,636,-0.22924437499638914,-2.7183126798219854,-0.7807692849605333,-3.4202542572471275,0.4166666666666667,639,0.13198760713111335,1.1347635974430876,0.3028597873580012,-2.1776280212477785,0.4507042253521127,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L0_raw_forward_return,1,-1.0,2,False,68.87877263816428,-0.0002968036220231094,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,524,-0.00028160558344020125,-1.30018336484501,-1.30018336484501,-1.30018336484501,0.4599236641221374,689,-0.00036653910367520095,-2.503889569061395,-2.503889569061395,-2.503889569061395,0.44847605224963716,699,-0.0006010932747361447,-3.1275577980594287,-3.1275577980594287,-3.1275577980594287,0.41201716738197425,709,7.755402580513048e-05,0.22938614047789546,0.22938614047789546,0.22938614047789546,0.4809590973201692,95.86666666666666,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L1_cross_sectional_relative_return,1,-1.0,2,False,68.8787726381642,-0.0002968036220231095,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,524,-0.0002816055834402012,-1.3001833648450096,-1.3001833648450096,-1.3001833648450096,0.4599236641221374,689,-0.00036653910367520084,-2.503889569061394,-2.503889569061394,-2.503889569061394,0.44847605224963716,699,-0.0006010932747361447,-3.1275577980594287,-3.1275577980594287,-3.1275577980594287,0.41201716738197425,709,7.755402580513057e-05,0.22938614047789574,0.22938614047789574,0.22938614047789574,0.4809590973201692,95.86666666666666,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L3_liquidity_tier_relative_return,1,-1.0,2,False,125.38351278726675,-0.0002790549997415128,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,524,-0.0002866733346078761,-1.390117112913653,-1.390117112913653,-1.390117112913653,0.45229007633587787,689,-0.0003096640129990699,-2.157681455939,-2.157681455939,-2.157681455939,0.4528301886792453,699,-0.00057346411125858,-3.170728052682536,-3.170728052682536,-3.170728052682536,0.40915593705293274,709,4.042873060071193e-05,0.12977398046698196,0.12977398046698196,0.12977398046698196,0.4837799717912553,95.86666666666666,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L5_vol_adjusted_return,1,-1.0,2,False,60.477538352776385,-0.02240858701867828,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,524,-0.03002906041005193,-2.26997257596233,-2.26997257596233,-2.26997257596233,0.43702290076335876,689,-0.04908566531782242,-3.5510207152095408,-3.5510207152095408,-3.5510207152095408,0.43686502177068215,699,-0.06236021599857023,-3.3285101035549705,-3.3285101035549705,-3.3285101035549705,0.43204577968526464,709,0.008537226756978945,0.32528517038236615,0.32528517038236615,0.32528517038236615,0.4837799717912553,95.86666666666666,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L0_raw_forward_return,4,-1.0,2,False,12.03545005959041,-0.0019816249523527713,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,521,-0.0005676690356327337,-1.3363350532143343,-0.6015949240778805,-1.3270524018323848,0.4856046065259117,686,-0.001307641820207018,-4.778326302973795,-2.4609599114036738,-3.296047419361103,0.37317784256559766,696,-0.0019297707651720556,-5.346955600462714,-2.6549620708984376,-3.3443673880012152,0.39798850574712646,706,0.001554515997635065,2.4341507874813657,1.2629142536786673,0.8529123532569535,0.48725212464589235,95.46666666666667,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L1_cross_sectional_relative_return,4,-1.0,2,False,12.035450059590408,-0.0019816249523527713,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,521,-0.0005676690356327334,-1.3363350532143339,-0.6015949240778802,-1.3270524018323848,0.4856046065259117,686,-0.0013076418202070182,-4.778326302973796,-2.4609599114036738,-3.296047419361103,0.37317784256559766,696,-0.0019297707651720556,-5.346955600462714,-2.6549620708984376,-3.3443673880012152,0.39798850574712646,706,0.0015545159976350653,2.434150787481366,1.2629142536786668,0.8529123532569535,0.48725212464589235,95.46666666666667,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L3_liquidity_tier_relative_return,4,-1.0,2,False,12.686627385198388,-0.0018543195385397546,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,521,-0.0007196010371793801,-1.8579692836099837,-0.7218261559685204,-1.6462452323727592,0.4510556621880998,686,-0.0010230001361615586,-3.8602201723924927,-2.0664662119609334,-2.7172386094007646,0.38629737609329445,696,-0.0019512609091719838,-5.750132432928688,-2.907136063727005,-3.533961321792678,0.375,706,0.001398518579582116,2.429507340745035,1.1978209849893655,0.7536423787564404,0.4985835694050991,95.46666666666667,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L5_vol_adjusted_return,4,-1.0,2,False,20.659476767118644,-0.11202131779949995,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,521,-0.046033041290242424,-1.6874664297938435,-0.8826396610384205,-1.6266892940089732,0.4856046065259117,686,-0.17414806238162459,-6.79396373828408,-3.583258697558775,-4.348550278369023,0.36005830903790087,696,-0.17830582468198025,-4.839611915170788,-2.440929652240019,-3.0160210586373815,0.4166666666666667,706,0.09067519416212069,1.7422762852785234,0.9172008086516343,0.6824803754657733,0.4745042492917847,95.46666666666667,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L0_raw_forward_return,8,-1.0,2,False,10.190513170670306,-0.0037460335925858517,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,517,-0.0006357529145550702,-1.065141367011212,-0.3902271229123806,-1.045152394445042,0.4700193423597679,682,-0.0021910735575067274,-5.768476005735834,-1.866342492209093,-2.97457100858394,0.36656891495601174,692,-0.002926239592422995,-6.282984850619315,-2.396185637299097,-2.6223708944043067,0.3684971098265896,702,0.003573199107875749,3.90270887937967,1.232272821963498,1.0256857772181465,0.5341880341880342,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L1_cross_sectional_relative_return,8,-1.0,2,False,10.19051317067031,-0.003746033592585851,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,517,-0.0006357529145550703,-1.0651413670112122,-0.3902271229123807,-1.0451523944450423,0.4700193423597679,682,-0.0021910735575067274,-5.768476005735834,-1.8663424922090934,-2.97457100858394,0.36656891495601174,692,-0.002926239592422995,-6.282984850619315,-2.396185637299097,-2.6223708944043067,0.3684971098265896,702,0.0035731991078757483,3.9027088793796687,1.2322728219634982,1.0256857772181465,0.5341880341880342,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L3_liquidity_tier_relative_return,8,-1.0,2,False,10.311732140465672,-0.0035779733339588093,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,517,-0.0010741099452698404,-1.9551747773261372,-0.7360344683558094,-1.0719372516842018,0.4622823984526112,682,-0.0018532003969904728,-4.914229158666874,-1.5429413053643852,-2.8026228200634398,0.3782991202346041,692,-0.0030551626201180387,-7.110501007307797,-2.667812927632867,-2.963666162988853,0.33670520231213874,702,0.003339851395951076,4.16553649441401,1.2663870368902863,1.0870756716138845,0.5527065527065527,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L5_vol_adjusted_return,8,-1.0,2,False,15.929790355950496,-0.22189699023011816,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,517,-0.03865414760983845,-1.0621176009645013,-0.3905621240460318,-0.9979918274040115,0.4816247582205029,682,-0.2887489360397715,-7.944232648393404,-2.78419819360645,-4.096950971277984,0.34017595307917886,692,-0.24190404300549337,-5.0120234426326284,-1.774128131012552,-2.4363706125879836,0.3901734104046243,702,0.23257008051324796,2.940418430166295,1.0220042042210515,0.5968221362108095,0.50997150997151,94.93333333333334,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L0_raw_forward_return,24,-1.0,2,False,22.55950309624784,-0.004597021897277993,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,501,-0.0013835299407167377,-1.3461475702753694,-0.27380224387210755,-1.5940950172977966,0.5029940119760479,666,-0.0039046703304109823,-6.386083058152088,-1.1957668008764282,-3.431720753790925,0.4099099099099099,676,-0.00397821663165461,-5.547519625076214,-0.938408168996862,-2.793829384169022,0.41420118343195267,686,0.004876307742766758,3.7751761894771474,0.8656283129753823,-1.6799794710528189,0.5612244897959183,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L1_cross_sectional_relative_return,24,-1.0,2,False,22.55950309624784,-0.004597021897277993,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,501,-0.001383529940716738,-1.3461475702753696,-0.27380224387210766,-1.5940950172977966,0.5029940119760479,666,-0.0039046703304109823,-6.386083058152088,-1.1957668008764282,-3.4317207537909256,0.4099099099099099,676,-0.00397821663165461,-5.547519625076214,-0.938408168996862,-2.7938293841690234,0.41420118343195267,686,0.004876307742766758,3.7751761894771474,0.8656283129753821,-1.6799794710528189,0.5612244897959183,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L3_liquidity_tier_relative_return,24,-1.0,2,False,18.835142123098322,-0.005350394825448454,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,501,-0.0023561483076569873,-2.403685733515901,-0.5914113166561831,-1.6622232814370237,0.47904191616766467,666,-0.0034995793325165855,-5.741194663611722,-0.9892622767311932,-3.3711640801555607,0.4159159159159159,676,-0.004335030308438087,-6.480833445137513,-1.2693475452050331,-3.017061953234253,0.39349112426035504,686,0.005473846363095272,4.591478722708136,1.0733135006226369,-1.355662483921454,0.5918367346938775,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,tsrank_168h,L5_vol_adjusted_return,24,-1.0,2,False,59.03836354408623,-0.1804183098225921,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,501,-0.041316606849884224,-0.6698296718527199,-0.19480710063487933,-1.7408949511111007,0.48902195608782434,666,-0.5229275031956913,-8.788156469165061,-1.7873507317522566,-3.5071469262980353,0.3408408408408408,676,-0.312911327248402,-3.96521074470245,-0.8210009137361138,-3.01876842905472,0.4230769230769231,686,0.2017783014772071,1.644307521099332,0.4732680822248981,-1.8266969498620282,0.48833819241982507,92.8,
trade_return_24h,price_return,trade_ohlcv,derived_rolling,shock_24h,L0_raw_forward_return,1,-1.0,2,False,21.672753060057442,-0.0002043968720608985,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,672,-0.00016806932391002214,-0.7620512550983035,-0.7620512550983035,-0.7620512550983035,0.48214285714285715,719,-0.0002317118083708809,-1.6478617293927453,-1.6478617293927453,-1.6478617293927453,0.45479833101529904,719,-0.00029521461783655944,-1.5628378577159658,-1.5628378577159658,-1.5628378577159658,0.46453407510431155,719,0.0002033902401580258,0.5713279562913706,0.5713279562913706,0.5713279562913706,0.48956884561891517,95.86666666666666,
