checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may,recommended_action,priority,w2_registry_candidate,primary_reason,registry_score_non_may,registry_tier,registry_rank,liquidity_volatility_cell,may_used_for_registry_score,may_used_for_registry_selection,quarantine_status
1,C0050,24,24,0,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,ZScore,spread_6_vs_24,cross_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,liquidity,9,0.375,3,0.125,0,0.25,0.375,0.4166666666666667,0.2916666666666667,0.4166666666666667,0.75,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.03958333333333335,primary_control_clean_non_may_robust,30,False,False,False,allowed_control_clean
1,C0044,24,24,0,H01_cross_symbol_relative_strength,P0_price_return,RollingMinRank,H72,cross_symbol_rank,FundingCore,low_turnover,F11_cross_symbol_crowding,price,10,0.4166666666666667,1,0.0416666666666666,0,0.4166666666666667,0.375,0.4166666666666667,0.375,0.4166666666666667,0.875,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.043749999999999956,primary_control_clean_non_may_robust,31,False,False,False,allowed_control_clean
1,C0059,24,24,0,H12_horizon_ensemble_stability,P14_horizon_spread,SmoothInteraction,H24,same_symbol_zscore,FundingCore_and_Core4,lag_stable,F1_high_realized_vol,price;volatility,9,0.375,0,0.0,0,0.5416666666666666,0.2916666666666667,0.375,0.3333333333333333,0.375,0.625,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.04999999999999996,primary_control_clean_non_may_robust,32,False,False,False,allowed_control_clean
6,C0343,24,24,0,H13_symbol_tier_relative,P14_horizon_spread,TSStdZScore,H24,same_symbol_zscore,FundingCore_and_Core4,lag_stable,F6_cross_symbol_dispersion,price;volatility,9,0.375,1,0.0416666666666666,0,0.5,0.375,0.4583333333333333,0.3333333333333333,0.25,0.7083333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.052083333333333315,primary_control_clean_non_may_robust,33,False,False,False,allowed_control_clean
2,C0107,24,24,0,H11_regime_conditional_non_may,P11_volatility_basis,RegimeMaskNonMay,H48,same_symbol_zscore,Core4,low_turnover,F5_funding_neutral,basis;volatility,9,0.375,0,0.0,0,0.375,0.375,0.375,0.375,0.375,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.05624999999999997,primary_control_clean_non_may_robust,34,False,False,False,allowed_control_clean
6,C0370,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,NegRank,mixed_12_48,cross_symbol_zscore,none,medium_turnover,F11_cross_symbol_crowding,price;volatility,9,0.375,0,0.0,0,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.375,0.1666666666666666,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.058333333333333286,primary_control_clean_non_may_robust,35,False,False,False,allowed_control_clean
1,C0019,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,medium_turnover,F3_high_liquidity_high_vol,basis;price,8,0.3333333333333333,0,0.0,0,0.625,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.1666666666666666,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.06666666666666667,primary_control_clean_non_may_robust,36,False,False,False,allowed_control_clean
4,C0238,24,24,0,H13_symbol_tier_relative,P3_trade_size,DecayZScore,ensemble_6_12_24_48,cross_symbol_zscore,FundingCore,lag_stable,F4_basis_dislocation,liquidity,9,0.375,4,0.1666666666666666,0,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.5416666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.07083333333333333,primary_control_clean_non_may_robust,37,False,False,False,allowed_control_clean
3,C0164,24,24,0,H01_cross_symbol_relative_strength,P14_horizon_spread,ClipRank,H12,cross_symbol_rank,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,price;volatility,10,0.4166666666666667,1,0.0416666666666666,0,0.5416666666666666,0.4166666666666667,0.5,0.4166666666666667,0.375,0.8333333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.09374999999999999,primary_control_clean_non_may_robust,38,False,False,False,allowed_control_clean
1,C0042,24,24,0,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,SafeDivZScore,H72,same_symbol_rank,Core4,low_turnover,F4_basis_dislocation,liquidity;price,9,0.375,2,0.0833333333333333,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7916666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.1041666666666667,primary_control_clean_non_may_robust,39,False,False,False,allowed_control_clean
