scope,target,base_rate,top_decile_rate,lift,n,top_n,train_n
leave_family_out:flow_liquidity_clean,near_miss,0.112,0.64,5.714286,250,25,2000
leave_family_out:flow_liquidity_clean,research_candidate,0.0,0.0,,250,25,2000
leave_family_out:microstructure_lite,raw_survive,0.04,0.205882,5.147059,500,68,1750
leave_family_out:microstructure_lite,residual_survive,0.676,0.76,1.12426,500,50,1750
leave_family_out:microstructure_lite,cost20_survive,0.01,0.089286,8.928571,500,56,1750
leave_family_out:microstructure_lite,lag1_survive,0.032,0.171429,5.357143,500,70,1750
leave_family_out:microstructure_lite,near_miss,0.006,0.02439,4.065041,500,82,1750
leave_family_out:microstructure_lite,research_candidate,0.002,0.002,1.0,500,500,1750
leave_family_out:microstructure_lite_latency_robust,raw_survive,0.332,0.62963,1.896475,250,27,2000
leave_family_out:microstructure_lite_latency_robust,residual_survive,0.656,0.888889,1.355014,250,27,2000
leave_family_out:microstructure_lite_latency_robust,cost20_survive,0.16,0.481481,3.009259,250,27,2000
leave_family_out:microstructure_lite_latency_robust,lag1_survive,0.316,0.703704,2.22691,250,27,2000
leave_family_out:microstructure_lite_latency_robust,near_miss,0.132,0.481481,3.647587,250,27,2000
leave_family_out:microstructure_lite_latency_robust,research_candidate,0.0,0.0,,250,27,2000
