derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
Decay_4h__agg_flow_minus_ethusdt_4h,rolling_self_reproduction,agg_flow_minus_ethusdt_4h,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_universe_large_notional,rolling_self_reproduction,agg_universe_large_notional,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_universe_notional,rolling_self_reproduction,agg_universe_notional,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_universe_signed_notional,rolling_self_reproduction,agg_universe_signed_notional,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_8h__agg_btcusdt_flow_imbalance_4h,rolling_self_reproduction,agg_btcusdt_flow_imbalance_4h,cross_symbol,Decay,8,True,8,same_symbol,False,False,False
Decay_8h__agg_cross_symbol_large_notional_share,rolling_self_reproduction,agg_cross_symbol_large_notional_share,cross_symbol,Decay,8,True,8,same_symbol,False,False,False
Decay_8h__agg_cross_symbol_notional_share,rolling_self_reproduction,agg_cross_symbol_notional_share,cross_symbol,Decay,8,True,8,same_symbol,False,False,False
Decay_8h__agg_cross_symbol_signed_flow_share,rolling_self_reproduction,agg_cross_symbol_signed_flow_share,cross_symbol,Decay,8,True,8,same_symbol,False,False,False
Delta_4h__agg_btcusdt_flow_imbalance_4h,rolling_self_reproduction,agg_btcusdt_flow_imbalance_4h,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_cross_symbol_large_notional_share,rolling_self_reproduction,agg_cross_symbol_large_notional_share,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_cross_symbol_notional_share,rolling_self_reproduction,agg_cross_symbol_notional_share,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_cross_symbol_signed_flow_share,rolling_self_reproduction,agg_cross_symbol_signed_flow_share,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_ethusdt_flow_imbalance_4h,rolling_self_reproduction,agg_ethusdt_flow_imbalance_4h,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_flow_minus_btcusdt_4h,rolling_self_reproduction,agg_flow_minus_btcusdt_4h,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_flow_minus_ethusdt_4h,rolling_self_reproduction,agg_flow_minus_ethusdt_4h,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_universe_large_notional,rolling_self_reproduction,agg_universe_large_notional,cross_symbol,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_notional,rolling_self_reproduction,agg_buy_notional,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_notional_share,rolling_self_reproduction,agg_buy_notional_share,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_quantity,rolling_self_reproduction,agg_buy_quantity,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_sell_notional_ratio,rolling_self_reproduction,agg_buy_sell_notional_ratio,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_underlying_trade_count,rolling_self_reproduction,agg_buy_underlying_trade_count,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_flow_imbalance_notional,rolling_self_reproduction,agg_flow_imbalance_notional,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_flow_imbalance_qty,rolling_self_reproduction,agg_flow_imbalance_qty,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_sell_agg_trade_count,rolling_self_reproduction,agg_sell_agg_trade_count,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_sell_notional,rolling_self_reproduction,agg_sell_notional,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_sell_notional_share,rolling_self_reproduction,agg_sell_notional_share,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_sell_quantity,rolling_self_reproduction,agg_sell_quantity,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_sell_underlying_trade_count,rolling_self_reproduction,agg_sell_underlying_trade_count,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_signed_aggressor_notional,rolling_self_reproduction,agg_signed_aggressor_notional,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_signed_aggressor_quantity,rolling_self_reproduction,agg_signed_aggressor_quantity,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_4h__agg_volume_imbalance,rolling_self_reproduction,agg_volume_imbalance,flow,Delta,4,True,4,same_symbol,False,False,False
Delta_8h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Delta,8,True,8,same_symbol,False,False,False
Delta_8h__agg_buy_notional,rolling_self_reproduction,agg_buy_notional,flow,Delta,8,True,8,same_symbol,False,False,False
