candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_z2_materialization,preflight_decision,shared_pool_stage,control_modes,static_valid,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,error,selected_by_z2r,was_z1_selected
a7al2z1_0137caa89f7a1268,"SafeDiv(Mean(Sub(trade_high,trade_low),72),Mean(trade_close,72))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price|range,trade_close|trade_high|trade_low,Mean|SafeDiv|Sub,72,skeleton-42a2a88aea7a43d9,a7al2z1::Z1_price_range_volatility_structure::trade_close|trade_high|trade_low::Mean|SafeDiv|Sub::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.99824811732065,1.0,True,0.002117342134275443,0.1644865203147302,,True,True
a7al2z1_09ec291c3c80efca,"Sub(Rank(Mean(trade_close,72)),Rank(Mean(index_close,72)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close|trade_close,Mean|Rank|Sub,72,skeleton-612ffe194eccb811,a7al2z1::Z1_price_range_volatility_structure::index_close|trade_close::Mean|Rank|Sub::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9975475624256838,0.0709871116739924,True,-0.023464912280701772,0.02083333333333337,,True,True
a7al2z1_0b6494a3a4ef9490,"GroupNeutralize(Rank(Mean(Sub(trade_high,trade_low),24)),R1_market_volatility_state)",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,range|state,R1_market_volatility_state|trade_high|trade_low,GroupNeutralize|Mean|Rank|Sub,24,skeleton-6a0cf455a6085492,a7al2z1::Z1_price_range_volatility_structure::R1_market_volatility_state|trade_high|trade_low::GroupNeutralize|Mean|Rank|Sub::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9684988109393579,0.999888992223317,True,-0.49479166666666713,0.4947916666666671,,True,True
a7al2z1_48338dedf315f7a2,"Rank(Mean(Sub(mark_high,mark_low),72))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,range,mark_high|mark_low,Mean|Rank|Sub,72,skeleton-6f8455dd7afde698,a7al2z1::Z1_price_range_volatility_structure::mark_high|mark_low::Mean|Rank|Sub::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.99824811732065,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_028db6316a60db86,"Rank(Abs(ZScore(Delta(mark_close,72))))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,mark_close,Abs|Delta|Rank|ZScore,72,skeleton-8a6cec079a5f7997,a7al2z1::Z1_price_range_volatility_structure::mark_close::Abs|Delta|Rank|ZScore::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9958699960364645,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_07116c7a8a24208e,"Sub(Rank(Delta(mark_close,24)),Rank(Delta(trade_close,24)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,mark_close|trade_close,Delta|Rank|Sub,24,skeleton-8ad46b9059e6381f,a7al2z1::Z1_price_range_volatility_structure::mark_close|trade_close::Delta|Rank|Sub::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9981529924692826,0.25406567421396636,True,-0.9791666666666667,0.9791666666666667,,True,True
a7al2z1_2d6e3bd57d32e9b1,"Rank(Delta(Sub(trade_high,trade_low),24))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,range,trade_high|trade_low,Delta|Rank|Sub,24,skeleton-a00bec3381f16e2c,a7al2z1::Z1_price_range_volatility_structure::trade_high|trade_low::Delta|Rank|Sub::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9981529924692826,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_0e268536d1126a2d,"Sub(Rank(Mean(index_close,12)),Rank(Mean(trade_close,12)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close|trade_close,Mean|Rank|Sub,12,skeleton-612ffe194eccb811,a7al2z1::Z1_price_range_volatility_structure::index_close|trade_close::Mean|Rank|Sub::12,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9980350772889417,0.07535764388408853,True,-0.03125,0.03191489361702127,,True,True
a7al2z1_10d47299f1a5d1ee,"Rank(Abs(ZScore(Delta(index_close,24))))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close,Abs|Delta|Rank|ZScore,24,skeleton-8a6cec079a5f7997,a7al2z1::Z1_price_range_volatility_structure::index_close::Abs|Delta|Rank|ZScore::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9974038842647641,1.0,True,0.010416666666666666,1.0,,True,True
a7al2z1_0f752369161ae869,"Sub(Rank(Delta(mark_close,336)),Rank(Delta(index_close,336)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close|mark_close,Delta|Rank|Sub,336,skeleton-8ad46b9059e6381f,a7al2z1::Z1_price_range_volatility_structure::index_close|mark_close::Delta|Rank|Sub::336,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9822552516845026,0.22458266585425887,True,-0.96875,0.9479166666666666,,True,True
