field_name,field_group,non_null_rate_when_available,finite_rate_when_available,min,max
agg_close_to_open_bps_sum_24h,rolling,0.9994614179396788,1.0,-2628.805034903482,2326.0945059674978
agg_notional_shock_24h_mad,rolling,0.9989228358793576,1.0,-4.179147806407603,107.88246395787125
agg_signed_flow_z_24h,rolling,0.9994614179396788,1.0,-4.634247431783194,4.6208164434252526
agg_notional_accel_4h_vs_24h,rolling,0.9994614179396788,1.0,-0.8339923782977575,3.632943257716188
agg_flow_accel_4h_vs_24h,rolling,0.9994614179396788,1.0,-0.24505377634665115,0.2901448038329459
agg_universe_notional,cross_symbol,1.0,1.0,90158024.13075,30984277822.86322
agg_universe_signed_notional,cross_symbol,1.0,1.0,-1864148214.18764,1809429838.9618402
agg_universe_large_notional,cross_symbol,1.0,1.0,25196650.60969,13792665320.93798
agg_cross_symbol_notional_share,cross_symbol,1.0,1.0,0.024643028525582544,0.8425269276834172
agg_cross_symbol_signed_flow_share,cross_symbol,1.0,1.0,-5975.38701457131,7369.948252143285
agg_cross_symbol_large_notional_share,cross_symbol,1.0,1.0,0.0,0.9283338774420228
agg_btcusdt_flow_imbalance_4h,cross_symbol,0.9999510379945162,1.0,-0.28396018938815554,0.30845792311045517
agg_flow_minus_btcusdt_4h,cross_symbol,0.9999510379945162,1.0,-0.3864134916833582,0.3041916621570179
agg_ethusdt_flow_imbalance_4h,cross_symbol,0.9999510379945162,1.0,-0.21698987578093581,0.2701223412864574
agg_flow_minus_ethusdt_4h,cross_symbol,0.9999510379945162,1.0,-0.3225683009590912,0.3551403258716956
