candidate_id,arm,split,funding_beta,funding_corr,core4_beta,core4_corr
i0_basis_premium_032,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.1486174390767983,-0.1999687892745679,-0.22332333700356374,-0.2570774737357239
i0_basis_premium_032,I0_basis_premium,fresh_forward_2026May,-0.03781789972640555,-0.05919479648402811,0.018595242493413933,0.028578957350576084
i0_basis_premium_033,I0_basis_premium,validation_2025H1,0.1779001414529412,0.15200867943090476,0.3242122274287226,0.23881253991002221
i0_basis_premium_033,I0_basis_premium,recent_oos_2025H2_2026Apr,0.14464917853968898,0.1371354460616629,0.2234680139193195,0.18125357956514504
i0_basis_premium_033,I0_basis_premium,fresh_forward_2026May,0.26435659587693516,0.24400633901830288,0.2372253265377601,0.2149960196428874
i0_basis_premium_034,I0_basis_premium,validation_2025H1,-0.0881274299991029,-0.1016928381228532,-0.10597436762112876,-0.10541823522178473
i0_basis_premium_034,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.1400775592986319,-0.1789722380436911,-0.1270632420997493,-0.13889112847298934
i0_basis_premium_034,I0_basis_premium,fresh_forward_2026May,-0.07371644964746385,-0.10618638388511528,-0.013986189581839647,-0.019781637544572572
i0_basis_premium_035,I0_basis_premium,validation_2025H1,0.17531720133551473,0.15342544384711013,0.25264075666001706,0.19059518175944926
i0_basis_premium_035,I0_basis_premium,recent_oos_2025H2_2026Apr,0.06781849448103439,0.06463644997938284,0.11818932970620545,0.09637071739029833
i0_basis_premium_035,I0_basis_premium,fresh_forward_2026May,0.3282128329782462,0.2762357905389911,0.37696120528972626,0.31151535271838005
i0_basis_premium_036,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_036,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_036,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_037,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_037,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_037,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_038,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_038,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_038,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_039,I0_basis_premium,validation_2025H1,0.043786019671444756,0.037325614032787856,0.1856874150652347,0.13645504863197663
i0_basis_premium_039,I0_basis_premium,recent_oos_2025H2_2026Apr,0.11757459191096767,0.11201415579237782,0.20252108787351716,0.1650696204931926
i0_basis_premium_039,I0_basis_premium,fresh_forward_2026May,0.19854681786655462,0.17534218084821823,0.1594474563069056,0.1382609308615179
i0_basis_premium_040,I0_basis_premium,validation_2025H1,0.04717712976973711,0.05416568434088652,0.09628314019204405,0.0952968642369906
i0_basis_premium_040,I0_basis_premium,recent_oos_2025H2_2026Apr,0.05365296073724458,0.06534643275297375,0.09930853536195133,0.10347900396551109
i0_basis_premium_040,I0_basis_premium,fresh_forward_2026May,0.13911257918224612,0.20905185353497147,0.11145830383684809,0.16445930778707848
i0_basis_premium_041,I0_basis_premium,validation_2025H1,0.02577094304463312,0.02256102095793089,0.03812036168328386,0.02876875683106201
i0_basis_premium_041,I0_basis_premium,recent_oos_2025H2_2026Apr,0.006415217459985763,0.005864777591614864,0.017795661230865612,0.013918478580961069
i0_basis_premium_041,I0_basis_premium,fresh_forward_2026May,-0.1306899412829163,-0.10989350535926869,-0.12795501586424507,-0.105644182586096
