candidate_id,arm,raw_may_10bp_ann_stress_only,residual_funding_may_ann_stress_only,residual_core4_may_ann_stress_only,may_used_for_rank,may_used_for_selection
i2_microstructure_lite_020,I2_microstructure_lite,-2.7519712422626865,-0.027915063003201835,-0.11034406145665264,False,False
i2_microstructure_lite_021,I2_microstructure_lite,5.492637355340634,3.495680081100371,3.750627950994172,False,False
i2_microstructure_lite_022,I2_microstructure_lite,-4.1427620553374105,-1.4397033070368181,-1.578662523222756,False,False
i2_microstructure_lite_023,I2_microstructure_lite,5.492637355340634,3.495680081100371,3.750627950994172,False,False
i2_microstructure_lite_024,I2_microstructure_lite,-5.67157544332582,-1.6717539354327668,-1.748052599779949,False,False
i2_microstructure_lite_025,I2_microstructure_lite,8.046876773492096,4.8357142813006675,5.044714298181341,False,False
i2_microstructure_lite_026,I2_microstructure_lite,-5.67157544332582,-1.6717539354327668,-1.748052599779949,False,False
i2_microstructure_lite_027,I2_microstructure_lite,1.2503873654926096,1.7003532595403212,1.2936848106990242,False,False
i2_microstructure_lite_028,I2_microstructure_lite,0.29183385307029036,0.5426080591505908,0.33057448552141394,False,False
i2_microstructure_lite_029,I2_microstructure_lite,1.2503873654926096,1.7003532595403212,1.2936848106990242,False,False
i2_microstructure_lite_030,I2_microstructure_lite,-4.460056788466546,0.018419082547575533,-0.4695119078582381,False,False
i2_microstructure_lite_031,I2_microstructure_lite,-2.9063195640199813,-0.8044187131899573,-1.066518581837825,False,False
i2_microstructure_lite_032,I2_microstructure_lite,-4.248827721314343,-0.1320977440164702,-0.3036525457745477,False,False
i2_microstructure_lite_033,I2_microstructure_lite,-5.420744048853858,-1.0216205733546444,-1.670953465654991,False,False
i2_microstructure_lite_034,I2_microstructure_lite,-1.1294746079606781,-0.5236017214295917,-0.6122850726676313,False,False
i2_microstructure_lite_035,I2_microstructure_lite,-4.811942327928525,-1.1269372654090517,-1.5704651631300144,False,False
i2_microstructure_lite_036,I2_microstructure_lite,-3.2893871778378827,0.48248423043778377,-0.17244281993825525,False,False
i2_microstructure_lite_037,I2_microstructure_lite,0.6286016273291968,0.7773822704073088,0.535150840622586,False,False
i2_microstructure_lite_038,I2_microstructure_lite,-2.7571728961744686,0.13332074890225917,-0.42153421255480844,False,False
i2_microstructure_lite_039,I2_microstructure_lite,-5.266066577446063,-0.9528858485066586,-1.5593446562631637,False,False
i2_microstructure_lite_040,I2_microstructure_lite,-3.5387981076039585,0.2341743775118148,-0.4245263581593585,False,False
i2_microstructure_lite_041,I2_microstructure_lite,0.6605262917465691,0.1664651950953101,0.009009598286569272,False,False
i2_microstructure_lite_042,I2_microstructure_lite,-2.657733244506941,0.34560848672880107,-0.21688685212680536,False,False
i2_microstructure_lite_043,I2_microstructure_lite,-7.140822063332152,-2.3749604192840605,-2.97846352721492,False,False
i2_microstructure_lite_044,I2_microstructure_lite,-2.829796998734786,0.31431593669232416,0.4197081274319899,False,False
i2_microstructure_lite_045,I2_microstructure_lite,-5.081169932032089,-1.446589728367471,-1.6149536805051905,False,False
i2_microstructure_lite_046,I2_microstructure_lite,-3.885345679561548,-0.13016489188944422,-0.5720712027417325,False,False
i2_microstructure_lite_047,I2_microstructure_lite,-1.90012675268825,-0.1529542673573666,-0.10975637584981003,False,False
i2_microstructure_lite_048,I2_microstructure_lite,-2.7636392211174963,-0.28893514868727044,-0.3520669033741889,False,False
i2_microstructure_lite_049,I2_microstructure_lite,-11.139823820020098,-5.620665096236524,-6.175501909110818,False,False
i2_microstructure_lite_050,I2_microstructure_lite,-4.8204313562984655,-1.1538091403881219,-1.597447104208428,False,False
i2_microstructure_lite_051,I2_microstructure_lite,-4.231857400935353,-1.8607368587522706,-1.8703617559278827,False,False
i2_microstructure_lite_052,I2_microstructure_lite,-4.3508722687076,-1.953219239099353,-2.0332413840223813,False,False
i2_microstructure_lite_053,I2_microstructure_lite,-3.0914042501270185,-0.8508079899680872,-0.8809993020841346,False,False
i2_microstructure_lite_054,I2_microstructure_lite,-5.0025606389673225,-1.1491211937416288,-1.187289689178661,False,False
i2_microstructure_lite_055,I2_microstructure_lite,-6.896192368449233,-2.7697383773635904,-2.959013345153907,False,False
i2_microstructure_lite_056,I2_microstructure_lite,-3.0123245282830675,-1.0224225891621619,-1.100925736598518,False,False
i2_microstructure_lite_057,I2_microstructure_lite,-2.5867208441707636,-0.2998186546804377,-0.9310341231338763,False,False
i2_microstructure_lite_058,I2_microstructure_lite,-4.460056788466546,0.018419082547575533,-0.4695119078582381,False,False
i2_microstructure_lite_059,I2_microstructure_lite,-2.9063195640199813,-0.8044187131899573,-1.066518581837825,False,False
i2_microstructure_lite_060,I2_microstructure_lite,-3.4112104010331397,0.9151848388477543,0.3735960986238003,False,False
i2_microstructure_lite_061,I2_microstructure_lite,-5.806964429811049,-1.591061396477276,-2.1183628404153834,False,False
i2_microstructure_lite_062,I2_microstructure_lite,-2.1498868740345713,0.12473382387338938,0.025188249506055468,False,False
i2_microstructure_lite_063,I2_microstructure_lite,-5.610587605984941,-1.2856731312002045,-1.839038985906778,False,False
i2_microstructure_lite_064,I2_microstructure_lite,-3.3873852834913882,0.5191155850491057,0.20667395889421392,False,False
i2_microstructure_lite_065,I2_microstructure_lite,-6.5809959766177695,-2.4677801137826503,-2.9847000226742044,False,False
i2_microstructure_lite_066,I2_microstructure_lite,-2.1212371618154546,0.13923201347576133,0.05541634222662294,False,False
i2_microstructure_lite_067,I2_microstructure_lite,-6.105047514545654,-2.2710512352551184,-2.8949258303497496,False,False
i2_microstructure_lite_068,I2_microstructure_lite,-4.187700430083539,-0.3484907518152311,-0.8918664621630976,False,False
i2_microstructure_lite_069,I2_microstructure_lite,-0.6838743733814908,0.6635175878133,0.487762533698095,False,False
i2_microstructure_lite_070,I2_microstructure_lite,-3.2059255403365525,0.18392879515707783,-0.4203346847101913,False,False
i2_microstructure_lite_071,I2_microstructure_lite,-5.075248984272529,-0.8891734489573102,-1.1344551950075796,False,False
i2_microstructure_lite_072,I2_microstructure_lite,-2.9572550496467445,0.03696749851396506,0.1461795697793396,False,False
i2_microstructure_lite_073,I2_microstructure_lite,-4.850200134887635,-1.4713465669445842,-1.646507665507229,False,False
i2_microstructure_lite_074,I2_microstructure_lite,-6.186363369414209,-1.5919838639178134,-1.8238675393063801,False,False
i2_microstructure_lite_075,I2_microstructure_lite,-6.411030325575102,-2.119905368883239,-2.493345530812434,False,False
i2_microstructure_lite_076,I2_microstructure_lite,-2.358892038228782,0.2873867400128285,0.37461974534485515,False,False
i2_microstructure_lite_077,I2_microstructure_lite,-5.939419242580437,-2.4756037487953617,-2.65104936903103,False,False
i2_microstructure_lite_078,I2_microstructure_lite,-5.087082151734647,-1.4513296183869813,-1.7113260815662852,False,False
i2_microstructure_lite_079,I2_microstructure_lite,-2.158752912304988,0.7463724958705125,0.66301014917111,False,False
i2_microstructure_lite_080,I2_microstructure_lite,-4.127107868073352,-1.4374500303124524,-1.539022803666139,False,False
i2_microstructure_lite_081,I2_microstructure_lite,-3.7269601761894213,-0.8840177423431991,-0.9007990346211201,False,False
i2_microstructure_lite_082,I2_microstructure_lite,-5.098007805138866,-0.895912190044875,-0.952548091611859,False,False
i2_microstructure_lite_083,I2_microstructure_lite,-6.765298666971902,-3.0783939015402044,-3.0143325258385225,False,False
i2_microstructure_lite_084,I2_microstructure_lite,-0.676875235040948,1.7571412511768036,1.7362467429386645,False,False
i2_microstructure_lite_085,I2_microstructure_lite,-1.3013702615196128,0.653312076657278,0.13817837912711414,False,False
i2_microstructure_lite_086,I2_microstructure_lite,-3.3971704724303353,0.8417690521291373,0.1612251792394651,False,False
i2_microstructure_lite_087,I2_microstructure_lite,1.9171423879236373,2.0870415196136576,1.834106571380402,False,False
i2_microstructure_lite_088,I2_microstructure_lite,-3.7759414525379738,0.5085942082619765,0.036103897003796764,False,False
i2_microstructure_lite_089,I2_microstructure_lite,-5.806964429811049,-1.591061396477276,-2.1183628404153834,False,False
i2_microstructure_lite_090,I2_microstructure_lite,-2.1498868740345713,0.12473382387338938,0.025188249506055468,False,False
i2_microstructure_lite_091,I2_microstructure_lite,-5.15942262474461,-0.6886042414226483,-0.8324382068239832,False,False
i2_microstructure_lite_092,I2_microstructure_lite,-2.927237248963449,0.34610372980735316,-0.21821037158519876,False,False
i2_microstructure_lite_093,I2_microstructure_lite,-5.3266584091840254,-1.9233643891744174,-2.5878788342505294,False,False
i2_microstructure_lite_094,I2_microstructure_lite,0.5661454257438724,0.7654496644461265,0.7126600928907347,False,False
i2_microstructure_lite_095,I2_microstructure_lite,-5.656176050222764,-2.760572117905042,-3.3456600216644015,False,False
i2_microstructure_lite_096,I2_microstructure_lite,-4.042075445710574,-0.8040812375779585,-1.4685162281583548,False,False
i2_microstructure_lite_097,I2_microstructure_lite,3.57877736039711,2.9256277744762635,2.7552975903070354,False,False
i2_microstructure_lite_098,I2_microstructure_lite,-2.265640401244469,0.3883593723977897,-0.18626970271201815,False,False
i2_microstructure_lite_099,I2_microstructure_lite,-10.313235551207264,-5.358325802967704,-5.92337107198497,False,False
i2_microstructure_lite_100,I2_microstructure_lite,-4.715031429546929,-0.9856916418617063,-1.4188468210315506,False,False
i2_microstructure_lite_101,I2_microstructure_lite,-3.4023541487676927,-0.9098047251046322,-0.7734430258880053,False,False
i2_microstructure_lite_102,I2_microstructure_lite,-3.484531255234775,-0.7282559498131447,-0.7388830541209648,False,False
i2_microstructure_lite_103,I2_microstructure_lite,-6.930837426626684,-2.3840932843111626,-2.9434204458192172,False,False
i2_microstructure_lite_104,I2_microstructure_lite,-1.338486800651197,-0.15209061094666348,-0.11888302205041515,False,False
i2_microstructure_lite_105,I2_microstructure_lite,-5.678500221317477,-2.438595784697536,-2.583727540492586,False,False
i2_microstructure_lite_106,I2_microstructure_lite,-4.730269800792239,-1.2416363190983921,-1.6786448448537545,False,False
i2_microstructure_lite_107,I2_microstructure_lite,-3.692855735469679,-1.7187102492582362,-1.8087694693788,False,False
i2_microstructure_lite_108,I2_microstructure_lite,-4.330390605346128,-1.9942696603652539,-2.0546642586206882,False,False
i2_microstructure_lite_109,I2_microstructure_lite,-3.5116056944536562,-1.6665130444973193,-1.7847065517647624,False,False
i2_microstructure_lite_110,I2_microstructure_lite,-5.011229430497236,-1.266946673004696,-1.3098271160733466,False,False
i2_microstructure_lite_111,I2_microstructure_lite,-4.264373771667981,-1.1558218926405879,-1.3376329622178074,False,False
i2_microstructure_lite_112,I2_microstructure_lite,-2.7641114163791265,-1.775175517257861,-1.8568809755722049,False,False
i2_microstructure_lite_113,I2_microstructure_lite,-0.4978876854301183,0.6780796432981011,0.07185064507028777,False,False
i2_microstructure_lite_114,I2_microstructure_lite,-3.2893871778378827,0.48248423043778377,-0.17244281993825525,False,False
i2_microstructure_lite_115,I2_microstructure_lite,0.6286016273291968,0.7773822704073088,0.535150840622586,False,False
i2_microstructure_lite_116,I2_microstructure_lite,-3.710753274766239,0.49443032207102316,0.04536082260813205,False,False
i2_microstructure_lite_117,I2_microstructure_lite,-5.086059716915632,-2.2504785802110976,-2.9132933530905616,False,False
i2_microstructure_lite_118,I2_microstructure_lite,-4.167456701345096,-0.39528874883361964,-0.9350310352650826,False,False
i2_microstructure_lite_119,I2_microstructure_lite,-0.022778080596844285,1.823461279768577,1.5775746772490908,False,False
i2_microstructure_lite_120,I2_microstructure_lite,-4.309454931138521,-0.378953936089287,-0.5779808771313336,False,False
i2_microstructure_lite_121,I2_microstructure_lite,-5.3266584091840254,-1.9233643891744174,-2.5878788342505294,False,False
i2_microstructure_lite_122,I2_microstructure_lite,0.5661454257438724,0.7654496644461265,0.7126600928907347,False,False
i2_microstructure_lite_123,I2_microstructure_lite,-4.85596931750119,-1.5711590473282482,-1.993102791456449,False,False
i2_microstructure_lite_124,I2_microstructure_lite,-3.2645335114342164,-0.698951787312552,-1.363212528413411,False,False
i2_microstructure_lite_125,I2_microstructure_lite,5.385089751045774,4.565258945424909,4.382557107656273,False,False
i2_microstructure_lite_126,I2_microstructure_lite,-2.550825691044458,-0.16814480730413575,-0.7344446528052434,False,False
i2_microstructure_lite_127,I2_microstructure_lite,-5.712545743654955,-1.3004893552412748,-1.938324653485797,False,False
