blueprint_id,a7ls_lane,semantic_pair,motif,eval_success,finite_share,nonzero_share,activity_ok,std_value,error
a7ls15_0c1a08ad82f57703,A7LS14_A,listing_age_like|regime_state|liquidity_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_ec550a5a05ec8334,A7LS14_A,listing_age_like|regime_state|listing_age_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3b999c011a69bf2e,A7LS14_A,listing_age_like|regime_state|positioning_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_eb7594b7caf4005e,A7LS14_A,listing_age_like|regime_state|regime_state,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_106d272030c42d2b,A7LS14_A,listing_age_like|regime_state|volatility_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f8b21b55d760cdf7,A7LS14_A,open_interest_like|age_x_liquidity|basis_premium_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_19351e449bb84004,A7LS14_A,open_interest_like|age_x_liquidity|liquidity_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_11d1ad142630a829,A7LS14_A,open_interest_like|age_x_liquidity|listing_age_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_7e16279f422ebdad,A7LS14_A,open_interest_like|age_x_liquidity|positioning_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f5c97a7453dc1d6a,A7LS14_A,open_interest_like|age_x_liquidity|regime_state,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5cb44dfa87564857,A7LS14_A,open_interest_like|age_x_liquidity|volatility_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4620e3a0bbae3ced,A7LS14_A,open_interest_like|liquidity_rank_active_universe|basis_premium_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b817fb312929b968,A7LS14_A,open_interest_like|liquidity_rank_active_universe|liquidity_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_cbd55c520017824b,A7LS14_A,open_interest_like|liquidity_rank_active_universe|listing_age_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b838fc298731f851,A7LS14_A,open_interest_like|liquidity_rank_active_universe|positioning_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_cff910af177ef43a,A7LS14_A,open_interest_like|liquidity_rank_active_universe|regime_state,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_c0db7f9be45af455,A7LS14_A,open_interest_like|liquidity_rank_active_universe|volatility_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_7b5f48a95fe3b84f,A7LS14_A,open_interest_like|positioning_like|basis_premium_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_092d9a736d7f0811,A7LS14_A,open_interest_like|positioning_like|liquidity_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_de75bdd96dce20fa,A7LS14_A,open_interest_like|positioning_like|listing_age_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_62820ea2f3aa232c,A7LS14_A,open_interest_like|positioning_like|positioning_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_ac4dfbb9a4ca15a1,A7LS14_A,open_interest_like|positioning_like|regime_state,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d9baebd31435c3fc,A7LS14_A,open_interest_like|positioning_like|volatility_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e5e24a6c005dc35f,A7LS14_A,positioning_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_0db2837c13504ff0,A7LS14_A,price_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d5397c51795ee4c5,A7LS14_A,volatility_like,single,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_832a9041445dcea5,A7LS14_A,volatility_like|basis_premium_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_386f2d7c5de6c1e6,A7LS14_A,volatility_like|liquidity_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a42cd8ee4ff69c71,A7LS14_A,volatility_like|liquidity_rank_active_universe|basis_premium_like,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f773a0e79df0fcec,A7LS14_A,volatility_like|liquidity_rank_active_universe|liquidity_like,seed_smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_17bd858f18f00eb7,A7LS14_A,volatility_like|liquidity_rank_active_universe|listing_age_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a762bc2bc2ffb3cc,A7LS14_A,volatility_like|liquidity_rank_active_universe|positioning_like,seed_relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f5918268a0f175b4,A7LS14_A,volatility_like|liquidity_rank_active_universe|regime_state,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e85c62c9fdd9bc5c,A7LS14_A,volatility_like|liquidity_rank_active_universe|volatility_like,seed_gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_8bbe25b5b28aebbb,A7LS14_A,volatility_like|listing_age_like,seed_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_211f210efd0bf6cb,A7LS14_A,volatility_like|positioning_like,seed_signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_aa1d05b4d74620ea,A7LS14_A,volatility_like|regime_state,seed_sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_bac0cb8faa9b9f0d,A7LS14_B,basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d38ec7d8ed8243b0,A7LS14_B,basis_premium_like|funding_state_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_7d59fabc94fe4680,A7LS14_B,basis_premium_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3e130f4143ddb920,A7LS14_B,basis_premium_like|listing_age_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_1efd61784e3b6836,A7LS14_B,basis_premium_like|open_interest_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d8f5537e95099b5b,A7LS14_B,basis_premium_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_21f47cd87e82a2b8,A7LS14_B,basis_premium_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_559916e6d34c83f6,A7LS14_B,basis_premium_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_2c7fc27d3a4e2c64,A7LS14_B,basis_premium_like|volatility_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_8a715d767813b5a9,A7LS14_B,funding_state_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a3e97482b2adb49f,A7LS14_B,funding_state_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_80e66f728fd69cdf,A7LS14_B,funding_state_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_127218a1581f053a,A7LS14_B,funding_state_like|open_interest_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f5cf830855bb93d1,A7LS14_B,funding_state_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_508de207d80adbcb,A7LS14_B,funding_state_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_c3fc0be65d6f9a6b,A7LS14_B,funding_state_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b715d19d7618922c,A7LS14_B,funding_state_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_90eb026b7fd8bdd0,A7LS14_B,liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9a60b10d66a8fc1b,A7LS14_B,liquidity_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_74744ef95eb72db5,A7LS14_B,liquidity_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_8ff4dbfb24d27a03,A7LS14_B,liquidity_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_196767e279b2fd56,A7LS14_B,listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_bc66536ee2e4dc3f,A7LS14_B,listing_age_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a0fae7af6fc985dd,A7LS14_B,open_interest_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e9ecd60299265353,A7LS14_B,open_interest_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_2bc0dd3e0489c387,A7LS14_B,open_interest_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_1e225e667281dbc9,A7LS14_B,open_interest_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_09ec119a8b6569fb,A7LS14_B,open_interest_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_18c92811e024a54d,A7LS14_B,open_interest_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d0ec52387c0698e2,A7LS14_B,open_interest_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_046439e050bbd1fd,A7LS14_B,positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_429d0d3fee18d47f,A7LS14_B,positioning_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4145cefde43736f0,A7LS14_B,positioning_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_65e68f938781da91,A7LS14_B,positioning_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f7e615901fc2207b,A7LS14_B,positioning_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e43a4c79c04999e1,A7LS14_B,positioning_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_325899424cd977df,A7LS14_B,price_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5688f193de0ef90d,A7LS14_B,price_like|basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4326081180b46d49,A7LS14_B,price_like|funding_state_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_fb82e6bb92efa0bd,A7LS14_B,price_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_ec9a5cbfa32fdd96,A7LS14_B,price_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_6bf7afd8f4a7d95e,A7LS14_B,price_like|open_interest_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_eb6d3ee633ceac1b,A7LS14_B,price_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9bf0da987bc7e6ae,A7LS14_B,price_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_163709b8e4da9d62,A7LS14_B,price_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_2851a5d8d05fc50f,A7LS14_B,price_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_13d97e2ffbdcf411,A7LS14_B,regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3d3452cb6fa6dae7,A7LS14_B,taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_1fd5799b94e74cb3,A7LS14_B,taker_flow_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_0c22a4e4c20c8185,A7LS14_B,taker_flow_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_32d1fa543436e24f,A7LS14_B,taker_flow_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_163381722ef97145,A7LS14_B,taker_flow_like|volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_1840f8b80db96643,A7LS14_B,volatility_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_bd5c85355f712b1a,A7LS14_B,volatility_like|listing_age_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_70b3edce54a7f875,A7LS14_B,volatility_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d499b7b088a15fd5,A7LS14_B,price_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_de4d6e5aca42b7fa,A7LS14_B,price_like|basis_premium_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b728f9825ddce857,A7LS14_B,price_like|funding_state_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d6e0123359aa9e44,A7LS14_B,price_like|open_interest_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_417e9f6112b84595,A7LS14_B,price_like|positioning_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3b595bafe1bc8e78,A7LS14_B,price_like|taker_flow_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_33f0723e5cf596e2,A7LS14_B,price_like|liquidity_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e93f3512cb3c830c,A7LS14_B,price_like|volatility_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9ee0e453ed8e5e66,A7LS14_B,price_like|listing_age_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_93a64f340bc035d1,A7LS14_C,funding_state_like|basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a432dab0d81f0596,A7LS14_C,funding_state_like|basis_premium_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_2106657d76e2d0e7,A7LS14_C,funding_state_like|basis_premium_like,spread_rank,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_01c8d04669f65f4b,A7LS14_C,funding_state_like|basis_premium_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f6556edafe3e4b69,A7LS14_C,funding_state_like|basis_premium_like,safe_div_abs,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b10201a7fef2f944,A7LS14_C,funding_state_like|basis_premium_like,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_94e83f49caa2d915,A7LS14_C,funding_state_like|basis_premium_like,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_9e9a3544c08b4453,A7LS14_C,listing_age_like|basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_7ac42a1a9b47dc62,A7LS14_C,listing_age_like|basis_premium_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_fac84dc8cfe643e1,A7LS14_C,listing_age_like|basis_premium_like,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5b2e0493df10b7e1,A7LS14_C,listing_age_like|basis_premium_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_23deebb6e2095bda,A7LS14_C,listing_age_like|basis_premium_like,signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a7d99732f7aa0ea7,A7LS14_C,listing_age_like|basis_premium_like,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_3b659e15adff111b,A7LS14_C,listing_age_like|basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a3c46a8b1cf31cd4,A7LS14_C,listing_age_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_c2942c10baa89e70,A7LS14_C,listing_age_like|liquidity_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_14ecafe99e83a443,A7LS14_C,listing_age_like|liquidity_like,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_ac6afd576a855d89,A7LS14_C,listing_age_like|liquidity_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_adc017b4f0a4d75b,A7LS14_C,listing_age_like|liquidity_like,signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d86f2b2ba03330dd,A7LS14_C,listing_age_like|liquidity_like,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_143892088219818a,A7LS14_C,listing_age_like|liquidity_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a8ff5f02f95b8bdd,A7LS14_C,open_interest_like|funding_state_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_f2659254d2aa39c5,A7LS14_C,open_interest_like|funding_state_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4c48dafc06fc29ce,A7LS14_C,open_interest_like|funding_state_like,spread_rank,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_501bcefd894869df,A7LS14_C,open_interest_like|funding_state_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a80901f8d4c29833,A7LS14_C,open_interest_like|funding_state_like,safe_div_abs,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_16648ac8af1c24cf,A7LS14_C,open_interest_like|funding_state_like,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_274b7775812f9510,A7LS14_C,open_interest_like|funding_state_like,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_4f71aed7e4380cb0,A7LS14_C,open_interest_like|positioning_like,mean_reversion_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_677d4384c4ee7cda,A7LS14_C,open_interest_like|positioning_like,delta_x_divergence,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_a36f4f7bfbfe6e66,A7LS14_C,open_interest_like|positioning_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_0b2f1b7704954525,A7LS14_C,open_interest_like|positioning_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5af7d79093766092,A7LS14_C,open_interest_like|positioning_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d0298511f72c18b1,A7LS14_C,open_interest_like|positioning_like,spread_rank,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_6150d56212159496,A7LS14_C,open_interest_like|positioning_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_dfa068bdcd57cc66,A7LS14_C,open_interest_like|regime_state,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_aac6b545a1cdb5c8,A7LS14_C,open_interest_like|regime_state,signed_spread,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_aa050ee86cf268cf,A7LS14_C,open_interest_like|regime_state,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5cf9d4da4072c451,A7LS14_C,open_interest_like|regime_state,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_883871111ad57894,A7LS14_C,open_interest_like|regime_state,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b68e6a1ebaa0ed3c,A7LS14_C,open_interest_like|regime_state,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_63113d7a435c4ed8,A7LS14_C,open_interest_like|regime_state,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_dde105ceeb80b7f1,A7LS14_C,open_interest_like|taker_flow_like,mean_reversion_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_e1ed0acd0448a3bc,A7LS14_C,open_interest_like|taker_flow_like,delta_x_divergence,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_c0b9fe07b777fcb8,A7LS14_C,open_interest_like|taker_flow_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_bb8c1826423c21a7,A7LS14_C,open_interest_like|taker_flow_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_0cb30274e3afaf8a,A7LS14_C,open_interest_like|taker_flow_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_812983833d0230cf,A7LS14_C,open_interest_like|taker_flow_like,spread_rank,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_28a666d9f0692cde,A7LS14_C,open_interest_like|taker_flow_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_fff653f94dd6e8a2,A7LS14_C,positioning_like|basis_premium_like,mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_00e3c393908a6209,A7LS14_C,positioning_like|basis_premium_like,sub,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_982c459fa90224ed,A7LS14_C,positioning_like|basis_premium_like,spread_rank,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_655799f05288f93f,A7LS14_C,positioning_like|basis_premium_like,gated_sign,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_d1a055856284566b,A7LS14_C,positioning_like|basis_premium_like,safe_div_abs,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_b0e6f666aefb8c11,A7LS14_C,positioning_like|basis_premium_like,smooth_mul,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_418085113a3014dc,A7LS14_C,positioning_like|basis_premium_like,relative_shock,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_fa7b6fb7116b566c,A7LS14_C,positioning_like|taker_flow_like,mean_reversion_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_dcff75f8ccfb4007,A7LS14_C,positioning_like|taker_flow_like,delta_x_divergence,,,,,,numeric_smoke_not_run_local_schema_preflight_only
a7ls15_5f2a6641d264f469,A7LS14_C,positioning_like|taker_flow_like,state_gate,,,,,,numeric_smoke_not_run_local_schema_preflight_only
