cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,regime_fold_target,expression,bucketed_expression,max_window,horizon_bucket
C0005,0,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(TSMean(WinsorZScore(TSMean(ret_6,3),1.5),3))","ResidualizeVsFundingCore(TSMean(WinsorZScore(TSMean(ret_6,H6),1.5),H6))",3,H6
C0005,1,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(Rank(TSMean(WinsorZScore(TSMean(ret_12,4),2.0),4)))","ResidualizeVsFundingCore(Rank(TSMean(WinsorZScore(TSMean(ret_12,H6),2.0),H6)))",4,H6
C0006,0,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,3)),3)))","ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,H6)),H6)))",3,H6
C0006,1,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(number_of_trades,4)),4))))","ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(number_of_trades,H6)),H6))))",4,H6
C0007,0,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,F4_basis_dislocation,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,3)),Clip(Abs(ZScore(TSMean(cs_z_premium_index,5))),0.02,1.5)),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,H6)),Clip(Abs(ZScore(TSMean(cs_z_premium_index,H6))),0.02,1.5)),H6)))",5,H6
C0007,1,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,F4_basis_dislocation,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_12,4)),Clip(Abs(ZScore(TSMean(cs_z_ret_6,12))),0.05,2.0)),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_12,H6)),Clip(Abs(ZScore(TSMean(cs_z_ret_6,H12))),0.05,2.0)),H6))))",12,H12
C0008,0,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,3)),3))","ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,H6)),H6))",3,H6
C0008,1,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(number_of_trades,4)),4)))","ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(number_of_trades,H6)),H6)))",4,H6
C0009,0,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,F0_calendar_blocks,"TSMean(Mul(TSRank(taker_buy_ratio,3),ZScore(TSMean(cs_z_taker_imbalance,5))),3)","TSMean(Mul(TSRank(taker_buy_ratio,H6),ZScore(TSMean(cs_z_taker_imbalance,H6))),H6)",5,H6
C0009,1,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,F0_calendar_blocks,"Rank(TSMean(Mul(TSRank(taker_imbalance,4),ZScore(TSMean(taker_imbalance,12))),4))","Rank(TSMean(Mul(TSRank(taker_imbalance,H6),ZScore(TSMean(taker_imbalance,H12))),H6))",12,H12
C0010,0,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(ret_6,3)),Rank(TSMean(premium_index,5))),3)))","ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(ret_6,H6)),Rank(TSMean(premium_index,H6))),H6)))",5,H6
C0010,1,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(ret_12,4)),Rank(TSMean(mark_index_ratio,12))),4))))","ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(ret_12,H6)),Rank(TSMean(mark_index_ratio,H12))),H6))))",12,H12
C0011,0,H13_symbol_tier_relative,P13_trade_size_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,F1_high_realized_vol,"ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(Decay(avg_trade_size_quote,3)),3)))","ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(Decay(avg_trade_size_quote,H6)),H6)))",3,H6
C0011,1,H13_symbol_tier_relative,P13_trade_size_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,F1_high_realized_vol,"ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(Decay(number_of_trades,4)),4))))","ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(Decay(number_of_trades,H6)),H6))))",4,H6
C0012,0,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,SafeDivZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,F9_liquidity_shock,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,3)),Clip(Abs(ZScore(TSMean(quote_volume_mean_12,5))),0.02,1.5)),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,H6)),Clip(Abs(ZScore(TSMean(quote_volume_mean_12,H6))),0.02,1.5)),H6))))",5,H6
C0012,1,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,SafeDivZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,F9_liquidity_shock,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(SafeDiv(ZScore(TSMean(number_of_trades,4)),Clip(Abs(ZScore(TSMean(quote_asset_volume,12))),0.05,2.0)),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(SafeDiv(ZScore(TSMean(number_of_trades,H6)),Clip(Abs(ZScore(TSMean(quote_asset_volume,H12))),0.05,2.0)),H6)))))",12,H12
C0013,0,H03_basis_premium_residual,P12_liquidity_flow,MulRankRank,mixed_6_24,cross_symbol_rank,none,F5_funding_neutral,"cross_symbol_rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,3)),Rank(TSMean(taker_buy_ratio,5))),3))","cross_symbol_rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,H6)),Rank(TSMean(taker_buy_ratio,H6))),H6))",5,H6
C0013,1,H03_basis_premium_residual,P12_liquidity_flow,MulRankRank,mixed_6_24,cross_symbol_rank,none,F5_funding_neutral,"cross_symbol_rank(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_24,4)),Rank(TSMean(taker_imbalance,12))),4)))","cross_symbol_rank(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_24,H6)),Rank(TSMean(taker_imbalance,H12))),H6)))",12,H12
C0014,0,H07_taker_flow_lag_stable,P4_taker_flow,AddZScore,H48,cross_symbol_zscore,FundingCore,F2_low_liquidity,"ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Add(ZScore(TSMean(taker_buy_ratio,3)),ZScore(TSMean(cs_z_taker_imbalance,5))),3)))","ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Add(ZScore(TSMean(taker_buy_ratio,H6)),ZScore(TSMean(cs_z_taker_imbalance,H6))),H6)))",5,H6
C0014,1,H07_taker_flow_lag_stable,P4_taker_flow,AddZScore,H48,cross_symbol_zscore,FundingCore,F2_low_liquidity,"ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Add(ZScore(TSMean(taker_imbalance,4)),ZScore(TSMean(taker_imbalance,12))),4))))","ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Add(ZScore(TSMean(taker_imbalance,H6)),ZScore(TSMean(taker_imbalance,H12))),H6))))",12,H12
C0015,0,H10_range_breakout_failure,P10_price_liquidity,HorizonSpread,H48,same_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Sub(Rank(TSMean(ret_6,3)),Rank(TSMean(ret_6,5))),3)))","ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Sub(Rank(TSMean(ret_6,H6)),Rank(TSMean(ret_6,H6))),H6)))",5,H6
C0015,1,H10_range_breakout_failure,P10_price_liquidity,HorizonSpread,H48,same_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Sub(Rank(TSMean(ret_12,4)),Rank(TSMean(ret_12,12))),4))))","ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Sub(Rank(TSMean(ret_12,H6)),Rank(TSMean(ret_12,H12))),H6))))",12,H12
C0016,0,H12_horizon_ensemble_stability,P8_regime_state,DecayZScore,mixed_12_48,cross_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(cross_symbol_rank(TSMean(ZScore(Decay(realized_vol_24,3)),3)))","ResidualizeVsFundingCore(cross_symbol_rank(TSMean(ZScore(Decay(realized_vol_24,H6)),H6)))",3,H6
C0016,1,H12_horizon_ensemble_stability,P8_regime_state,DecayZScore,mixed_12_48,cross_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(ZScore(Decay(quote_volume_mean_24,4)),4))))","ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(ZScore(Decay(quote_volume_mean_24,H6)),H6))))",4,H6
C0017,0,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,F2_low_liquidity,"cross_symbol_zscore(TSMean(ZScore(TSStd(quote_asset_volume,3)),3))","cross_symbol_zscore(TSMean(ZScore(TSStd(quote_asset_volume,H6)),H6))",3,H6
C0017,1,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,F2_low_liquidity,"cross_symbol_zscore(Rank(TSMean(ZScore(TSStd(number_of_trades,4)),4)))","cross_symbol_zscore(Rank(TSMean(ZScore(TSStd(number_of_trades,H6)),H6)))",4,H6
C0018,0,H01_cross_symbol_relative_strength,P14_horizon_spread,ResidualizeVsCore4,spread_12_vs_48,cross_symbol_rank,Core4,F7_trend_reversal,"ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,3)),ZScore(TSMean(realized_vol_6,5)))),3)))","ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,H6)),ZScore(TSMean(realized_vol_6,H6)))),H6)))",5,H6
C0018,1,H01_cross_symbol_relative_strength,P14_horizon_spread,ResidualizeVsCore4,spread_12_vs_48,cross_symbol_rank,Core4,F7_trend_reversal,"ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_12,4)),ZScore(TSMean(ret_6,12)))),4))))","ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_12,H6)),ZScore(TSMean(ret_6,H12)))),H6))))",12,H12
C0019,0,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,F3_high_liquidity_high_vol,"cross_symbol_rank(TSMean(CrossSymbolRank(TSMean(ret_6,3)),3))","cross_symbol_rank(TSMean(CrossSymbolRank(TSMean(ret_6,H6)),H6))",3,H6
C0019,1,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,F3_high_liquidity_high_vol,"cross_symbol_rank(Rank(TSMean(CrossSymbolRank(TSMean(ret_12,4)),4)))","cross_symbol_rank(Rank(TSMean(CrossSymbolRank(TSMean(ret_12,H6)),H6)))",4,H6
C0020,0,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,same_symbol_zscore,Core4,F0_calendar_blocks,"ResidualizeVsCore4(TSMean(Mul(Rank(TSMean(realized_vol_24,3)),Rank(TSMean(latest_known_funding_rate,5))),3))","ResidualizeVsCore4(TSMean(Mul(Rank(TSMean(realized_vol_24,H6)),Rank(TSMean(latest_known_funding_rate,H6))),H6))",5,H6
C0020,1,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,same_symbol_zscore,Core4,F0_calendar_blocks,"ResidualizeVsCore4(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_24,4)),Rank(TSMean(realized_vol_24,12))),4)))","ResidualizeVsCore4(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_24,H6)),Rank(TSMean(realized_vol_24,H12))),H6)))",12,H12
C0021,0,H13_symbol_tier_relative,P6_funding_observable,SubRank,H6,same_symbol_rank,Core4,F6_cross_symbol_dispersion,"ResidualizeVsCore4(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,3)),Rank(TSMean(funding_rate_persistence_3,5))),3))","ResidualizeVsCore4(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,H6)),Rank(TSMean(funding_rate_persistence_3,H6))),H6))",5,H6
C0021,1,H13_symbol_tier_relative,P6_funding_observable,SubRank,H6,same_symbol_rank,Core4,F6_cross_symbol_dispersion,"ResidualizeVsCore4(Rank(TSMean(Sub(Rank(TSMean(funding_rate_z_24,4)),Rank(TSMean(funding_rate_z_24,12))),4)))","ResidualizeVsCore4(Rank(TSMean(Sub(Rank(TSMean(funding_rate_z_24,H6)),Rank(TSMean(funding_rate_z_24,H12))),H6)))",12,H12
C0022,0,H04_basis_compression_expansion,P4_taker_flow,DeltaRank,H24,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(Delta(taker_buy_ratio,3)),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(Delta(taker_buy_ratio,H6)),H6))))",3,H6
C0022,1,H04_basis_compression_expansion,P4_taker_flow,DeltaRank,H24,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(Delta(taker_imbalance,4)),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(Delta(taker_imbalance,H6)),H6)))))",4,H6
C0023,0,H08_trade_size_microstructure_lite,P0_price_return,TSRankMul,mixed_12_48,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(TSMean(Mul(TSRank(ret_3,3),ZScore(TSMean(ret_24,5))),3))","ResidualizeVsCore4(TSMean(Mul(TSRank(ret_3,H6),ZScore(TSMean(ret_24,H6))),H6))",5,H6
C0023,1,H08_trade_size_microstructure_lite,P0_price_return,TSRankMul,mixed_12_48,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(ret_6,4),ZScore(TSMean(ret_12,12))),4)))","ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(ret_6,H6),ZScore(TSMean(ret_12,H12))),H6)))",12,H12
C0024,0,H15_placebo_null_adversarial,P7_cross_symbol_relative,ResidualizeVsCore4,H48,same_symbol_rank,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,3)),ZScore(TSMean(cs_z_premium_index,5)))),3))","ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,H6)),ZScore(TSMean(cs_z_premium_index,H6)))),H6))",5,H6
C0024,1,H15_placebo_null_adversarial,P7_cross_symbol_relative,ResidualizeVsCore4,H48,same_symbol_rank,FundingCore,F10_volatility_compression,"ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_12,4)),ZScore(TSMean(cs_z_ret_6,12)))),4)))","ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_12,H6)),ZScore(TSMean(cs_z_ret_6,H12)))),H6)))",12,H12
C0025,0,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,mixed_6_24,cross_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(TSStd(ret_3,3)),3)))","ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(TSStd(ret_3,H6)),H6)))",3,H6
C0025,1,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,mixed_6_24,cross_symbol_rank,Core4,F3_high_liquidity_high_vol,"ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(TSStd(ret_6,4)),4))))","ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(TSStd(ret_6,H6)),H6))))",4,H6
C0026,0,H00_low_turnover_robust,P15_open_ast_diverse,TSRankMul,spread_6_vs_24,same_symbol_rank,Core4,F0_calendar_blocks,"ResidualizeVsCore4(TSMean(Mul(TSRank(mark_index_ratio,3),ZScore(TSMean(spot_perp_basis,5))),3))","ResidualizeVsCore4(TSMean(Mul(TSRank(mark_index_ratio,H6),ZScore(TSMean(spot_perp_basis,H6))),H6))",5,H6
C0026,1,H00_low_turnover_robust,P15_open_ast_diverse,TSRankMul,spread_6_vs_24,same_symbol_rank,Core4,F0_calendar_blocks,"ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(mark_minus_index,4),ZScore(TSMean(quote_volume_mean_12,12))),4)))","ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(mark_minus_index,H6),ZScore(TSMean(quote_volume_mean_12,H12))),H6)))",12,H12
C0027,0,H01_cross_symbol_relative_strength,P7_cross_symbol_relative,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,F10_volatility_compression,"cross_symbol_zscore(TSMean(Rank(TSMean(cs_z_ret_6,3)),3))","cross_symbol_zscore(TSMean(Rank(TSMean(cs_z_ret_6,H6)),H6))",3,H6
C0027,1,H01_cross_symbol_relative_strength,P7_cross_symbol_relative,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,F10_volatility_compression,"cross_symbol_zscore(Rank(TSMean(Rank(TSMean(cs_z_ret_12,4)),4)))","cross_symbol_zscore(Rank(TSMean(Rank(TSMean(cs_z_ret_12,H6)),H6)))",4,H6
C0028,0,H12_horizon_ensemble_stability,P8_regime_state,ResidualizeVsFundingCore,mixed_6_24,same_symbol_zscore,FundingCore_and_Core4,F0_calendar_blocks,"ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_24,3)),ZScore(TSMean(latest_known_funding_rate,5)))),3)))","ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_24,H6)),ZScore(TSMean(latest_known_funding_rate,H6)))),H6)))",5,H6
C0028,1,H12_horizon_ensemble_stability,P8_regime_state,ResidualizeVsFundingCore,mixed_6_24,same_symbol_zscore,FundingCore_and_Core4,F0_calendar_blocks,"ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(quote_volume_mean_24,4)),ZScore(TSMean(realized_vol_24,12)))),4))))","ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsFundingCore(Mul(Rank(TSMean(quote_volume_mean_24,H6)),ZScore(TSMean(realized_vol_24,H12)))),H6))))",12,H12
C0029,0,H13_symbol_tier_relative,P4_taker_flow,SafeDivZScore,spread_6_vs_24,cross_symbol_rank,FundingCore_and_Core4,F4_basis_dislocation,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(taker_buy_ratio,3)),Clip(Abs(ZScore(TSMean(cs_z_taker_imbalance,5))),0.02,1.5)),3))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(taker_buy_ratio,H6)),Clip(Abs(ZScore(TSMean(cs_z_taker_imbalance,H6))),0.02,1.5)),H6))))",5,H6
C0029,1,H13_symbol_tier_relative,P4_taker_flow,SafeDivZScore,spread_6_vs_24,cross_symbol_rank,FundingCore_and_Core4,F4_basis_dislocation,"ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(taker_imbalance,4)),Clip(Abs(ZScore(TSMean(taker_imbalance,12))),0.05,2.0)),4)))))","ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(taker_imbalance,H6)),Clip(Abs(ZScore(TSMean(taker_imbalance,H12))),0.05,2.0)),H6)))))",12,H12
C0030,0,H08_trade_size_microstructure_lite,P15_open_ast_diverse,SafeDivZScore,H12,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(SafeDiv(ZScore(TSMean(mark_index_ratio,3)),Clip(Abs(ZScore(TSMean(spot_perp_basis,5))),0.02,1.5)),3)))","ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(SafeDiv(ZScore(TSMean(mark_index_ratio,H6)),Clip(Abs(ZScore(TSMean(spot_perp_basis,H6))),0.02,1.5)),H6)))",5,H6
C0030,1,H08_trade_size_microstructure_lite,P15_open_ast_diverse,SafeDivZScore,H12,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(SafeDiv(ZScore(TSMean(mark_minus_index,4)),Clip(Abs(ZScore(TSMean(quote_volume_mean_12,12))),0.05,2.0)),4))))","ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(SafeDiv(ZScore(TSMean(mark_minus_index,H6)),Clip(Abs(ZScore(TSMean(quote_volume_mean_12,H12))),0.05,2.0)),H6))))",12,H12
