candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay,q_decision,q_reasons,q_warnings,q_label_t1_positive_premay_splits,q_label_t2_positive_premay_splits,q_one_bar_lag_positive_premay_splits,q_timevarying_latent_positive_premay_splits,q_net_10bps_positive_premay_splits,q_control_ratio_premay_max_by_split,q_recent_net_mean_spread_10bps,q_recent_turnover,q_recent_newey_west_tstat_lag24,q_selector_score_no_may,r_decision,r_reasons,r_warnings,r_label_t1_positive_premay_splits,r_label_t2_positive_premay_splits,r_one_bar_lag_positive_premay_splits,r_latent_positive_premay_splits,r_net_10bps_positive_premay_splits,r_control_ratio_premay_max,r_top_symbol_abs_contribution_share,r_top_month_abs_contribution_share,r_top_latent_abs_contribution_share,s_a7al2s_tier,s_allowed_as_seed_for_large_search,s_allowed_as_seed_for_company_full_qr_comparison,s_allowed_for_may_stress_failure_attribution,s_allowed_for_local_expansion_before_full_pool,s_premay_positive_split_count,s_pre_may_control_ratio_max,s_may_control_ratio_max,s_may_gate_max,t_entry_rows,t_failure_labels,t_may_sign_flip_rows,t_may_control_dominated_rows,t_may_min_spread,t_may_mean_spread,t_premay_mean_spread,t_eligible_for_expansion,in_a7al2q_generated,in_a7al2q_fast_replay,in_a7al2r_forensic,in_a7al2s_followup,in_a7al2t_may_attribution,shared_pool_stage,has_repaired_canonical_chain,is_control_dominated_premay,is_may_stress_failed,eligible_for_large_search,eligible_for_alpha_proof,selector_feature_replay_alignment_score,selector_feature_latency_survival_score,selector_feature_neutral_survival_score,selector_feature_cost_survival_score,selector_feature_robust_stat_score,selector_feature_spread_score,selector_feature_control_penalty,selector_feature_turnover_penalty,selector_feature_concentration_penalty,selector_hard_reject_reason,selector_score_no_may,selector_score_uses_may,selected_by_a7al2v
a7al2q_ceda68bb417b5cad,"Mul(Abs(ZScore(Mean(open_interest_value_last,336))),Abs(ZScore(Delta(index_close,96))))",index_close|open_interest_value_last,open_interest|price,oi_abs_x_price_abs_delta,open_interest_value_last,index_close,336,96,336|96,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_last|index_close::336|96,,local_mutation,002fef3fce4df845,True,HOLD_A7AL2Q_CONTROL_DOMINATED,control_dominated,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,9.941975815989,0.0014199078784059,0.1390542907180385,,3.977932062416975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.5,0.5,0.0,0.5,0.0,0.6628876027584997,1.0,0.17600712845284436,0.0,premay_control_dominated,0.46927445,False,False
a7al2q_f00f22bbcc48dc2c,"Sub(Abs(ZScore(Mean(open_interest_value_mean,48))),Abs(ZScore(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,abs_level_gap,open_interest_value_mean,index_close,48,96,48|96,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|index_close::48|96,,local_mutation,0034c35fee8a3080,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.7371290356519459,0.0018263690736925,0.0030970596368328,,13.589240038040616,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.7371290356519459,0.0450271148930863,0.2852357571105751,0.2046259429881021,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.7625024999687683,2.7761562178053643,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0015547433524247,-0.0015465942422031,0.001635925540385,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7135371716732756,0.36856451782597294,0.003071800403320326,0.2852357571105751,,3.25411583,False,True
a7al2q_b463b7c4454b038d,"Mul(Abs(ZScore(Delta(open_interest_last,48))),Abs(ZScore(Mean(trade_close,720))))",open_interest_last|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_last,trade_close,48,720,48|720,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::48|720,,local_mutation,0037096485c1aae2,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2.0,2.0,2.0,,2.0,21.262958385778468,-0.0005192504605881,0.3107383168955664,,-12.782208846366595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4212469859751809,1.0,0.3943863433850772,0.0,premay_control_dominated,-0.26422468,False,False
a7al2q_fe342a17a3bf56da,"Sub(Abs(ZScore(Mean(open_interest_last,720))),Abs(ZScore(Mean(mark_close,72))))",mark_close|open_interest_last,open_interest|price,abs_level_gap,open_interest_last,mark_close,720,72,720|72,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_last|mark_close::720|72,,local_mutation,003cad54ed5a61f5,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,0.0,0.0,0.0,,0.0,1.3821737494618165,-0.000263499298796,0.0006820905152548,,0.3543269517420949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.4531164147040149,0.6910868747309082,0.0,0.0,premay_control_dominated,-0.67299596,False,False
a7al2q_0a44f7b06019cff8,"Mul(Abs(ZScore(Delta(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,trade_close,168,72,168|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::168|72,,local_mutation,003dff1a4ad35031,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,1.0,15.657102872450244,0.0011994310645524,0.2178080929117891,,-8.957671807897821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6354137486566116,1.0,0.27618065000234493,0.0,premay_control_dominated,-0.58364429,False,False
a7al2q_153d45b2cb3aebdd,"Mul(ZScore(Delta(open_interest_mean,4)),ZScore(Mean(mark_close,72)))",mark_close|open_interest_mean,open_interest|price,oi_delta_x_price_level,open_interest_mean,mark_close,4,72,4|72,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_mean|mark_close::4|72,,local_mutation,004188769dc9629b,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2.0,2.0,2.0,,1.0,16.387932294952506,0.0003286736943577,0.5299290257166559,,-7.559258600594797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5269077314988663,1.0,0.6731932654879708,0.0,premay_control_dominated,-0.44312762,False,False
a7al2q_0de0d41346741bd1,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,24))))",open_interest_value_last|trade_close,open_interest|price,abs_level_gap,open_interest_value_last,trade_close,24,24,24|24,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|24,,local_mutation,0041dfda1ad09e43,True,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,3.0,3.0,3.0,,3.0,0.6049334484305215,0.0019896866149119,0.0048115033643653,,13.884753166481424,A7AL2R_LOCAL_FORENSIC_PASS,,,3.0,3.0,3.0,3.0,3.0,0.6438314312964573,0.0445558048280246,0.2892728857383039,0.2036129071849568,primary_clean_premay__may_control_dominated,False,False,True,False,4.0,0.864621324308874,1.215722607865385,HOLD_CONTROL_DOMINATED,2.0,MAY_SIGN_FLIP|MAY_CONTROL_DOMINATED,2.0,2.0,-0.0018528277024546,-0.0018441812191608,0.0017405768373257,False,True,True,True,True,True,stress_attributed,True,False,True,False,False,1.0,1.0,0.5,1.0,0.0,0.7338883470250853,0.32191571564822863,0.005252544201097384,0.2892728857383039,,3.32987059,False,True
a7al2q_1a85ce2f6824961f,"Mul(ZScore(Delta(open_interest_last,48)),ZScore(Delta(index_close,336)))",index_close|open_interest_last,open_interest|price,oi_delta_x_price_delta,open_interest_last,index_close,48,336,48|336,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_last|index_close::48|336,,local_mutation,004575067feb4af6,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,2.0,2.0,,1.0,75.55696610221291,-0.0002633939464693,0.2163701723661167,,-68.32036004868225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.25,0.3333333333333333,0.0,0.16666666666666666,0.0,0.45312954277132717,1.0,0.2743516390751771,0.0,premay_control_dominated,-0.45148887,False,False
a7al2q_d933f0049acb4699,"Mul(ZScore(Delta(open_interest_value_last,336)),ZScore(Delta(trade_close,720)))",open_interest_value_last|trade_close,open_interest|price,oi_delta_x_price_delta,open_interest_value_last,trade_close,336,720,336|720,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_value_last|trade_close::336|720,,local_mutation,004607aa09f817fb,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,2.0,2.0,2.0,,2.0,7.139759051846315,0.0001988423649584,0.1636279841460042,,2.0590833131120867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5107293091993647,1.0,0.20726445622098208,0.0,premay_control_dominated,-0.14056851,False,False
a7al2q_d1103bc53dda5f19,"Add(ZScore(Mean(open_interest_last,336)),Neg(ZScore(Delta(trade_close,96))))",open_interest_last|trade_close,open_interest|price,oi_level_plus_neg_price_delta,open_interest_last,trade_close,336,96,336|96,skeleton-cdd50cc367bea61c,a7al2q_local_oi_price::oi_level_plus_neg_price_delta::open_interest_last|trade_close::336|96,,local_mutation,004613daecd72228,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,1.0,15.535882415801668,0.0007608719686474,0.1064798598949211,,-9.27501044715426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5807644256490866,1.0,0.1345729962950804,0.0,premay_control_dominated,-0.56960367,False,False
a7al2q_7b47c379b145850f,"Mul(ZScore(Mean(open_interest_value_last,4)),ZScore(Delta(mark_close,96)))",mark_close|open_interest_value_last,open_interest|price,oi_level_x_price_delta,open_interest_value_last,mark_close,4,96,4|96,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_value_last|mark_close::4|96,,local_mutation,0047ad4b1c8dc2d1,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,1.0,92.86600308506296,-0.0031673531273208,0.162798414600424,,-90.5333562123838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.09126405016870948,1.0,0.20620925760915448,0.0,premay_control_dominated,-0.91285161,False,False
a7al2q_ae4f22820243f5d8,"Mul(Abs(ZScore(Delta(open_interest_value_mean,72))),Abs(ZScore(Mean(mark_close,72))))",mark_close|open_interest_value_mean,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,mark_close,72,72,72|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|mark_close::72|72,,local_mutation,00483d2c07895b93,True,HOLD_A7AL2Q_CONTROL_DOMINATED,label_t1_not_all_premay_positive|label_t2_not_all_premay_positive|one_bar_lag_fragile|control_dominated|cost_proxy_fragile|recent_10bps_negative,timevarying_latent_deferred_to_a7al2r|overlap_adjusted_recent_tstat_weak,1.0,1.0,1.0,,0.0,23.681509397915928,-0.0011270629017703,0.292100654438197,,-19.80857229968625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,fast_replay_scored,True,True,False,False,False,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.34550682065581045,1.0,0.3706795479060169,0.0,premay_control_dominated,-0.95515841,False,False
